# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;සිනහ මුහුණ;මුහුණ|සිනහ මුහුණ|සිනහව
🐩;කුඩා පූඩල් බල්ලා;කුඩා පූඩල් බල්ලා|බල්ලා
🐺;වෘක මුහුණ;මුහුණ|වෘක මුහුණ|වෘකයා
🦊;නරියා;නරියා|මුහුණ
🦝;රාකියුං;කුතුහලයෙන් යුතු|ප්‍රයෝගකාර|රාකියුං
🐱;බළල් මුහුණ;බළලා|බළල් මුහුණ|මුහුණ|සුරතල් සතා
🐈;බළලා;බළලා|සුරතල් සතා
🐈‍⬛;කළු බළලා;අවාසනාවන්ත|කළු|කළු බළලා|පූසා
🦁;සිංහ මුහුණ;මුහුණ|රාශි චක්‍රය|සිංහ මුහුණ|සිංහ රාශි|සිංහයා
🐯;කොටි මුහුණ;කොටි මුහුණ|කොටියා|මුහුණ
🐅;කොටියා;කොටියා
🐆;දිවියා;දිවියා
🐴;අශ්ව මුහුණ;අශ්ව මුහුණ|අශ්වයා|මුහුණ
🫎;ගෝනා;අං|එල්ක්|ක්ෂීරපායී|ගෝනා|සත්ව
🫏;බූරුවා;කොටළුවා|ක්ෂීරපායී|බුරෝ|බූරුවා|මුරණ්ඩු|සත්ව
🐎;අශ්වයා;අශ්වයා|තුරඟ තරඟය|රේස් තරඟය
🦄;යුනිකෝන් අශ්ව මුහුණ;මුහුණ|යුනිකෝන්|යුනිකෝන් අශ්ව මුහුණ
🦓;සිඹ්රා;වයිරම|සිඹ්රා
🦌;මුවා;මුවා|සතා
🦬;බයිසන්;බයිසන්|බුද්ධිමත්|මී හරක්|රංචුව
🐮;හරක් මුහුණ;මුහුණ|හරකා|හරක් මුහුණ
🐂;ගොනා;ගොනා|රාශි චක්‍රය|වෘෂභ රාශිය
🐃;දිය මීහරකා;ජලය|දිය මීහරකා|මීහරකා
🐄;එළදෙන;එළදෙන
🐷;උෟරු මුහුණ;උෟරු මුහුණ|ඌරා|මුහුණ
🐖;ඌරා;ඊරි|ඌරා
🐗;බෝර් ඌරු මුහුණ;ඌරා|බෝර් ඌරු මුහුණ
🐽;ඌරු නහය;ඌරා|ඌරු නහය|නාසය|මුහුණ
🐏;මේෂ රාශිය;බැටළුවා|මේෂ රාශිය|රාශි චක්‍රය
🐑;බැටළු දෙන;එළුවා|බැටළු දෙන|බැටළුවා
🐐;එළුවා;එළුවා|මකර රාශිය|රාශි චක්‍රය
🐪;ඔටුුවා;ඔටුුවා|මොල්ලිය|මොල්ලිය සහිත ඔටුවා
🐫;මොල්ලි දෙකේ ඔටුවා;ඔටුවා|මොල්ලි දෙකේ ඔටුවා|මොල්ලිය|මොල්ලිි දෙකේ ඔටුවා
🦙;ලලාමා;ඇල්පකා|ගුවානෝකෝ|ලලාමා|ලොම්|වීකුන
🦒;ජිරාෆ්;ජිරාෆ්|තිත්
🐘;අලියා;අලියා
🦣;මැමත්;ඇත්දළ|මැමත්|ලොම්|වඳවීම|විශාල
🦏;රයිනෝසිරස්;රයිනෝසිරස්|සතා
🦛;හිපපොටේමස්;හිපපොටේමස්|හිපෝ
🐭;මී මුහුණ;මී මුහුණ|මීයා|මුහුණ
🐁;මීයා;මීයා
🐀;ලොකු මීයා;මීයා|ලොකු මීයා
🐹;හැම්ස්ටර් මුහුණ;මුහුණ|සුරතල් සතා|හැම්ස්ටර්
🐰;හා මුහුණ;මුහුණ|සුරතල් සතා|හා පැටිය|හා මුහුණ|හාවා
🐇;හාවා;සුරතල් සතා|හා පැටියා|හාවා
🐿️;දඬුලේනා;දඬුලේනා|ලේනා
🦫;බීවර්;බීවර්|වේල්ල
🦔;ඉත්තෑවා;ඉත්තෑවා|කටු සහිත
🦇;වවුලා;වවුලා|වේශ්‍යාව|සතා
🐻;වළස් මුහුණ;මුහුණ|වළසා|වළස් මුහුණ
🐻‍❄️;හිම වලහා;ආක්ටික්|වලසා|සුදු|හිම වලසා|හිම වලහා
🐨;කෝලා;කෝලා|වළසා
🐼;පැන්ඩා මුහුණ;පැන්ඩා|මුහුණ
🦥;අලස;අලස|කම්මැලි|මන්දගාමී
🦦;දියබල්ලා;දියබල්ලා|මසුන් ඇල්ලීම|සෙල්ලක්කාර
🦨;උරුලෑවා;උරුලෑවා|දුගඳ
🦘;කැන්ගරු;ඕස්ට්‍රේලියාව|කැන්ගරු|ජෝයි|පැනීම|සුන්බුන්
🦡;බැජර්;කරදර කරනවා|බැජර්|මීපැණි බැජර්
🐾;අඩිි සලකුණ;අඩි|අඩිය|අඩිි සලකුණ|සලකුණ
🦃;කළුකුමා;කළුකුමා|කුරුල්ලා
🐔;කිකිළි;කිකිළි|කුකුල් මස්|කුරුල්ලා
🐓;කුකුළා;කුකුළා|කුරුල්ලා
🐣;බිත්තරයෙන් එළියට එන කුකුළු පැටියා;කුකුළු පැටියා|පැටියා|බිත්තරයෙන් එළියට එන කුකුළු පැටියා|බිත්තරයෙන් එළියට ඒම
🐤;ළදරු කුකුළු පැටියා;කුරුල්ලා|පැටියා|බබා|ළදරු කුකුළු පැටියා
🐥;ඉදිරියට මුහුණ පා සිටින ළදරු කුකුළු පැටියා;ඉදිරියට මුහුණ පා සිටින ළදරු කුකුළු පැටියා|කුකුළු පැටියා|පැටියා
🐦;කුරුල්ලා;කුරුල්ලා
🐧;පෙන්ගුවින්;කුරුල්ලා|පෙන්ගුයින්|පෙන්ගුවින්
🕊️;පරෙවියා;ඉගිලීම|කුරුල්ලා|පරෙවියා|සාමය
🦅;උකුස්සා;උකුස්සා|කුරුල්ලා|රාජාලියා
🦆;තාරාව;කුරුල්ලා|තාරාව
🦢;හංසයා;කැත තාරාවා|කුරුල්ලා|හංසය පැටියා|හංසයා
🦉;බකමුහුණා;කුරුල්ලා|පණ්ඩිතයා|බකමුහුණා
🦤;ඩෝඩෝ;ඩෝඩෝ|මොරිෂස්|වඳවීම|විශාල
🪶;පිහාටු;පිහාටු
🦩;රණහංසයා;චිත්තාකර්ෂණීය|නිවර්තන|රණහංසයා
🦚;මොනරා;ආඩම්බර|ඕස්ටන්ටෙයිසස්|කුරුල්ලා|මොනරා|සෙබඩ
🦜;ගිරවා;කථා කරන|කුරුල්ලා|ගිරවා|මුහුදු කොල්ලකාරයා
🪽;පියාපත්;කුරුල්ලා|ගුවන් ගමන්|දේවදූත|පියාපත්|පියාසර කරනවා|පුරාවෘත්තය
🐦‍⬛;කළු කුරුල්ලා;කපුටන්|කපුටා|කළු|කුරුල්ලා|රොක්
🪿;පාත්තයා;කුකුළා|කුරුල්ලා|පාත්තයා|මෝඩ|හංසයන්ගේ හඬ|හෝන් කරනවා
🐦‍🔥;ෆීනික්ස්;ගිනි කුරුල්ලා|නැවත ඉපදීම|පුනරුත්පත්තිය|ෆැන්ටසි|ෆීනික්ස්
🐸;ගෙඹි මුහුණ;ගෙඹි මුහුණ|මුහුණ
🐊;කිඹුලා;කිඹුලා
🐢;ඉබ්බා;ඉබ්බා|කැස්බෑවා
🦎;කටුස්සා;උරගයා|කටුස්සා
🐍;නයා;ඔපිකස්|නයා|භාරකරු|රාශි චක්‍රය|සර්පයා
🐲;මකර මුහුණ;මකර මුහුණ|මකරා|මුහුණ|සුරංගනා කථාව
🐉;මකරා;මකරා|සුරංංඟනා කථාව
🦕;සාරූපෝඩ්;ඩිප්ලෝඩොකස්|බ්‍රචියෝසොසරස්|බ්රෝන්ටෝසොරස්|සාරූපෝඩ්
🦖;ටී-රෙක්ස්;ටිරානාශ්රෝරස් රෙක්ස් ටයිරාන්නොසෝරස්|ටී-රෙක්ස්
🐳;දිය විදින තල්මසා;තල්මසා|දිය විදින තල්මසා|මුහුණ
🐋;තල්මහා;තල්මහා
🐬;ඩොල්ෆින්;අවල් පත|ඩොල්ෆින්
🦭;සීල් මත්ස්‍යයා;මුහුදු සිංහයා|සීල් මත්ස්‍යයා
🐟;මාළුවා;මාළුවා|මීන රාශිය|රාශි චක්‍රය
🐠;නිවර්තන මාළුවා;නිවර්තන|මාළුවා
🐡;ඉහඳ මාළුවා;ඉහඳ මාළුවා|මාළුවා
🦈;මෝරා;මාළුවා|මෝරා
🐙;බූවල්ලා;බූවල්ලා
🐚;සර්පිල කටුව;සර්පිල කටුව|සර්පිලාකාර
🪸;කොරල්;කොරල්|ගල්පර|සාගරය
🪼;ජෙලිෆිෂ්;අපෘෂ්ඨවංශික|කඩුල්ල|ජෙලි|ජෙලිෆිෂ්|පුළුස්සා දමනවා|සමුද්ර
🐌;ගොළුබෙල්ලා;ගොළුබෙල්ලා
🦋;සමනළයා;කෘමියා|සමනළයා|සුරුබුහුටි
🐛;මකුණා;කෘමියා|මකුණා
🐜;කූඹියා;කූඹියා|කෘමියා
🐝;මීමැස්සා;කෘමියා|මීමැස්සා
🪲;කුරුමිණියා;කුරුමිණියා|කෘමීන්|මකුණා
🐞;ලේඩි බීටල්;කුරුමිණියා|කෘමියා|ලේඩි බීටල්
🦗;පළගැටියා;තණකොළ පෙත්තා|පළගැටියා
🪳;කැරපොත්තා;කැරපොත්ත|කැරපොත්තා|කෘමීන්|පළිබෝධ
🕷️;මකුළුවා;කෘමියා|මකුළුවා
🕸️;මකුළු දැල;මකුළු දැල|මකුළුවා
🦂;ගොනුස්සා;ගොනුස්සා|රාශි චක්‍රය|වෘශ්චික රාශිය
🦟;මදුරුවෝ;උණ|කෘමියා|මදුරුවෝ|මැලේරියාව|රෝගය|වෛරසය
🪰;මැස්සා;කුණුවීම|පළිබෝධ|මැසි පිළවා|මැස්සා|රෝග
🪱;පණුවා;පණුවා|පරපෝෂිතයා|පස් පණුවා|වාලසික
🦠;ක්ෂුද්‍ර ජීවියා;ඇමීබා|ක්ෂුද්‍ර ජීවියා|බැක්ටීරියා|වෛරස
💐;මල් පොකුර;පැලය|ප්‍රේමය|මල|මල් පොකුර
🌸;චෙරි මල;චෙරි|පැළය|මල|මල් පිපීම
💮;සුදු මල;මල|සුදු මල
🪷;නෙළුම්;ඉන්දියාව|නෙළුම්|බුද්ධාගම|මල්|වියට්නාමය|සංශුද්ධතාවය|හින්දු ධර්මය
🏵️;රොසට් මල;පැළය|රොසට් මල
🌹;රෝස මල;පැළය|මල|රෝස මල
🥀;මැරුණු මල;මල|මැරුණු
🌺;වද මල;පැළය|මල|වද මල
🌻;සූරියකාන්ත මල;ඉර|පැළය|මල|සූරියකාන්ත මල
🌼;මල;පැළය|මල
🌷;ටියුලිප්;ටියුලිප්|පැළය|මල
🪻;හයසින්ත්;බ්ලූබොනට්|මල්|ලැවෙන්ඩර්|ලුපයින්|ස්නැප්ඩ්‍රැගන්|හයසින්ත්
🌱;බීජ පැළය;නොමේරු|පැළය|බීජ පැළය
🪴;පෝච්චි කළ පැලය;කම්මැලි|නිවස|නිෂ්එල|පෝච්චි කළ පැලය|පෝෂණය|වර්ධනය|ශාකය
🌲;සදාහරිත ශාකය;ගස|පැළය|සදාහරිත ශාකය
🌳;පතනශීල ගස;ගස|පතනය|පතනශීල
🌴;තාල ගස;ගස|තාල|පැළය
🌵;පතොක්;පතොක්|පැළය
🌾;ගොයම් පඳුර;ගොයම් පඳුර|ධාන්‍ය|පැළය|බත්
🌿;ඔසු පැළය;ඔසු පැළය|පත්‍රය|පැළය
☘️;තුන්පෙති මල;තුන්පෙති මල|පැළය
🍀;උඳුපියලිය;4|උඳුපියලිය|තිපත්‍ර|පත්‍රය|පැළය|හතර
🍁;මේපල් පත්‍රය;පත්‍රය|පැළය|මේපල්|වැටෙන
🍂;වැටෙන කොළය;කොළය|පැළය|වැටෙන
🍃;සුළඟේ පාවෙන කොළ;කොළය|පාවෙන|සුළඟ|සුළඟට ගසාගෙන යන|සුළඟේ පාවෙන කොළ
🪹;හිස් කැදැල්ල;කැදැල්ල|හිස් කැදැල්ල
🪺;බිත්තර සමඟ කූඩුව;කැදැල්ල|බිත්තර සමඟ කූඩුව
🍄;හතු;පැළය|හතු

[food_drink]
🍇;මිදි;පලතුරු|පැළය|මිදි
🍈;කොමඩු;කොමඩු|පලතුරු|පැළය
🍉;පැණි කොමඩු;පළතුරු|පැණි කොමඩු|පැළය
🍊;ජමනාරං;ජමනාරං|දොඩම්|පළතුරු|පැළය
🍋;ලෙමන්;පලතුරු|පැළය|ලෙමන්|සිට්රස්
🍋‍🟩;දෙහි;දෙහි|නිවර්තන|පළතුරු|පැඟිරි
🍌;කෙසෙල්;කෙසෙල්|පලතුරු|පැළය
🍍;අන්නාසි;අන්නාසි|පලතුරු|පැළය
🥭;අඹ;අඹ|නිවර්තන කලාපීය|පලතුරු
🍎;රතු ඇපල්;ඇපල්|පලතුරු|පැළය|රතු
🍏;කොළ ඇපල්;ඇපල්|කොළ|පලතුරු|පැළය
🍐;පෙයාස්;පලතුරු|පැළය|පෙයාස්
🍑;පීච්;පලතුරු|පැළය|පීච්
🍒;චෙරිි;චෙරි|චෙරිි|පලතුරු|පැළය
🍓;ස්ට්‍රෝෙබෙරි;පලතුරු|පැළය|බෙරි|ස්ට්‍රෝෙබෙරි
🫐;බ්ලූබෙරී;නිල්|බිල්බෙරි|බෙරී|බ්ලූ බෙරි|බ්ලූබෙරී
🥝;කීවිෆෘට්;කෑම|කීවි|කීවිෆෘට්|පළතුර
🍅;තක්කාලි;එළවළු|තක්කාලි|පැළය
🫒;ඔලිව්;ආහාර|ඔලිව්
🥥;පොල්;පාම්|පොල්
🥑;අලිගැට පේර;අලිගැට පේර|කෑම|පළතුර
🍆;වම්බටු;එළවළු|පැළය|වම්බටු
🥔;අල;අල|එළවළු|කෑම
🥕;කෑරට්;එළවළු|කෑම|කෑරට්
🌽;ඉරිඟු;ඉරිඟු|කරල|පැළය|බඩ ඉරිඟු|වංක ගිරිය
🌶️;අමු ගම්මිරිස්;අමු|ගම්මිරිස්|පැළය
🫑;බෙල් පෙපර්;එළවළු|කැප්සියම්|ගම්මිරිස්|බෙල් පෙපර්
🥒;පිපිඤ්ඤ;අච්චාරු|කෑම|පිපිඤ්ඤ
🥬;හරිත කොළ;කෙල්|ගෝව|බොක් චෝයි|ලෙටිස්|හරිත කොළ
🥦;බ්රොකොලී;බ්රොකොලී|වල් ගෝවා
🧄;සුදුළුනු;රස ගැන්වීම|සුදුළුනු
🧅;ලූනු;රස ගැන්වීම|ලූනු
🥜;රටකජු;අච්චාරු|කජු|කෑම|රටකජු
🫘;බෝංචි;ආහාර|බෝංචි|රනිල|වකුගඩු
🌰;චෙස්ට්නට්;චෙස්ට්නට්|පැළය
🫚;ඉඟුරු අල;ඉඟුරු අල|කුළුබඩු|බියර්|මූල
🫛;කඩල කරල්;එළවළු|කඩල|කරල්|බෝංචි|රනිල කුලයට අයත්
🍄‍🟫;දුඹුරු හතු;ආහාර|එළවළු|දිලීර|දුඹුරු බිම්මල්|දුඹුරු හතු|ස්වභාවය
🍞;පාන්;පාන්|රාත්තල
🥐;කිඹුලා බනිස්;කෑම|කිඹුලා බනිස්|කිඹුලා බනිස් රෝල්|පාන්|ප්‍රංශ
🥖;බෑගට් පාන්;කෑම|පාන්|ප්‍රංශ|බෑගට් පාන්
🫓;පැතලි පාන්;නාන්|පැතලි පාන්|පිටා|ලවාෂ්
🥨;ප්‍රේට්සල්;ඇඹරුණු|ප්‍රේට්සල්
🥯;මුදු හැඩැති පාන්;බේකරි|මුදු හැඩැති පාන්|ෂිමාර්
🥞;පැන් කේක්;උණුසුම් කේක්|කෑම|පැන් කේක්
🧇;වැෆල්;අනිශ්වත|ඉතා ශක්තිමත්|වැෆල්
🧀;චීස් පෙත්ත;චීස්|චීස් පෙත්ත
🍖;කටුවෙහි මස්;කටු|කටුවෙහි මස්|මස්
🍗;කුකුළු මස් කකුළ;කකුළ|කටු|කුකුළු මස්|කුකුළු මස් කකුළ|බිත්තර
🥩;මස් කැපීම්;ඌරු මස් පෙත්ත|බැටළු මස් පෙත්ත|මස් කැපීම්|මස් පෙත්ත|ස්ටීක්
🥓;බේකන්;කෑම|බේකන්|මස්
🍔;හැම්බර්ගර්;බර්ගර්ය|හැම්බර්ගර්
🍟;ෆ්‍රෙන්ච් ෆ්රයිස්;ප්‍රෙන්ච්|ෆ්‍රෙන්ච් ෆ්රයිස්
🍕;පීසා;චීස්|පීසා|පෙත්ත
🌭;හොට්ඩොග්;ලිංගුස්|සොසේජස්|හොට්ඩොග්
🥪;සැන්ඩ්විච්;පාන්|සැන්ඩ්විච්
🌮;ටැකෝ;ටැකෝ|මැක්සිකානු
🌯;බුරිටෝ;බුරිටෝ|මැක්සිකානු
🫔;තමලේ;එතූ|තමලේ|මෙක්සිකානු
🥙;පිරවූ පාන්;කෑම|කෙබාබ්|ගයිරෝ|පිරවූ පාන්|ෆලෆෙල්
🧆;ෆැලෆෙල්;කොණ්ඩකඩල|මීට්බෝල්|ෆැලෆෙල්
🥚;බිත්තර;කෑම|බිත්තර
🍳;පිසීම;තාච්චිය|පිසීම|බදින|බිත්තරය
🥘;නොගැඹුරු තැටියේ කෑම;කෑම|තම්බන තැටිය|තැටිය|නොගැඹුරු|නොගැඹුරු තැටියේ කෑම
🍲;ආහාර බඳුන;ආහාර බඳුන|බඳුන|ස්ටූ
🫕;ෆොන්ඩි;උණු කොට|චීස්|චොකලට්|බඳුන|ස්විට්සර්ලන්තය|ෆොන්ඩි
🥣;හැන්දක් සහිත බඳුන;උදෑසන ආහාරය|කොන්ගෙයි|සීරියල්|හැන්දක් සහිත බඳුන
🥗;කොළ සලාදය;කෑම|කොළ|සලාදය
🍿;පොරි;පොරි
🧈;බටර්;කිරි|බටර්
🧂;ලුණු;තුනපහ|ලුණු|ෂේකර්
🥫;ටින් කළ ආහාර;ටින්|ටින් කළ ආහාර
🍱;බෙන්ටෝ පෙට්ටිය;පෙට්ටිය|බෙන්ටෝ
🍘;සහල් විස්කෝතුව;විස්කෝතුව|සහල්
🍙;රයිස් බෝල්;ජපාන|බෝල|රයිස් බෝල්|සහල්
🍚;පිසින ලද සහල්;පිසින ලද|පිසින ලද සහල්|සහල්
🍛;බත් සහ හොදි;බත් සහ හොදි|සහල්|හොදි
🍜;උණු බඳුන;උණු|උණු බඳුන|නූඩ්ල්ස්|බඳුුන|රාමන්
🍝;ස්පැගටි;පැස්ටා|ස්පැගටි
🍠;රෝස්ට් කළ බතල;අල|පැණි රස|රෝස්ට් කළ|රෝස්ට් කළ බතල
🍢;ඕඩන්;ඕඩන්|කෙබෑබ්|කෝටුව|මස් කූර|මුහුදු ආහාර
🍣;සුෂි;සුෂි
🍤;බදින ලද ඉස්සා;ඉස්සා|කූනිස්සා|බදින ලද|බදින ලද ඉස්සා
🍥;කරකැවෙුණු මාළු කේක්;කරකැවෙුණු මාළු කේක්|කේක්|පේස්ට්‍රි|මාළු|සුළිය
🥮;මුන් කේක්;උත්සවය|මුන් කේක්|සරත් ඍතුව
🍡;ඩැන්ගෝ;අතුරුපස|කෝටුව|ජපාන|ඩැන්ගෝ|පැණි රස
🥟;ඩම්ප්ලිං;ඉම්පාපාඩාව|ජවුසර්|ඩම්ප්ලිං|පිරෝගී|පොටිස්ක්ටර්
🥠;වාසනාවන්ත කුකී;අනාවැකිය|වාසනාවන්ත කුකී
🥡;කෑම ගෙන යන පෙට්ටිය;කෑම ගෙන යන පෙට්ටිය|බෙල්ලන් පියලි
🦀;කකුළුවා;කකුළුවා|කටක රාශිය|රාශි චක්‍රය
🦞;පොකිරිස්සා;නියපොතු|පොකිරිස්සන් සුප්|පොකිරිස්සා|මුහුදු ආහාර
🦐;කූනිස්සා;කෑම|කුඩා|කූනිස්සා|සිප්පි බෙල්ලා
🦑;දැල්ලා;කෑම|දැල්ලා|පුෂ්ටිකයන්
🦪;බෙල්ලා;කිමිදීම|බෙල්ලා|මුතු ඇටය
🍦;මෘදු අයිස් ක්‍රීම්;අතුරුපස|අයිස්|ක්‍රීම්|මෘදු අයිස් ක්‍රීම්|මෘදු. පැණි රස
🍧;වර්ණ ගැන්වූ අයිස්;අතුරුපස|අයිස්|පැණි රස|වර්ණ ගැන්වූ|වර්ණ ගැන්වූ අයිස්
🍨;අයිස් ක්‍රීම්;අතුරුපස|අයිස්|ක්‍රීම්|පැණි රස
🍩;ඩෝනට්;අතුරුපස|ඩෝනට්|පැණි රස
🍪;කුකී;අතුරුපස|කුකී|පැණි රස
🎂;උපන් දින කේක්;අතුරුපස|උපන් දින කේක්|උපන් දිනය|කේක්|පැණි රස|පේස්ට්‍රි
🍰;ෂෝට්කේක්;අතුරුපස|කේක්|පැණි රස|පෙත්ත|පේස්ට්‍රි|ෂෝට්කේක්
🧁;කප්කේක්;කප්කේක්|පැණිරස|බේකරි
🥧;පයි;පයි|පිරවීම්|පේස්ට්රි
🍫;චොකලට් තීරුව;අතුරුපස|චොකලට්|තීරුව|පැණි රස
🍬;කැන්ඩි;අතුරුපස|කැන්ඩි|පැණි රස
🍭;ලොලිපොප්;අතුරුපස|පැණි රස|ලොලිපොප්|සූකිරි
🍮;කස්ටාර්ඩ්;අතුරුපස|කස්ටාර්ඩ්|පැණි රස|පුඩිම
🍯;හනී පොට්;පැණි|පැණි රස|පොට්|හනී පොට්
🍼;ළදරු බෝතලය;කිරීම|පානය කිරීම|බෝතලය|ළදරු බෝතලය|ළදරුවා
🥛;කිරි වීදුරුව;කිරි|බීම|වීදුරුව
☕;උණුු පානය;උණු|උණුු පානය|කෝපි|තේ|පානය කිරීම|බීම
🫖;තේ පෝච්චිය;තේ|තේ පෝච්චිය|බඳුන|බොන්න
🍵;අඬුව රහිත තේ කෝප්පය;අඬුව රහිත තේ කෝප්පය|කෝප්පය|තේ|තේ පෝච්චිය|පානය කිරීම
🍶;සකෙ;තැබෑරුම|පානය කිරීම|බීම|බෝතලය|සකෙ
🍾;මූඩිය පනින බෝතලය;තැබෑරුම|පනින|පානය කිරීම|බෝතලය|මූඩිය
🍷;වයින් වීදුරුව;තැබෑරුම|පානය කිරීම|බීම|වයින්|වීදුරුව
🍸;කොක්ටේල් වීදුරුව;කොක්ටේල්|තැබෑරුම|පානය කිරීම|වීදුරුව
🍹;නිවර්තන පානය;තැබෑරුම|නිවර්තන|නිවර්තන පානය|පානය කිරීම
🍺;බියර් ජෝග්ගුව;තැබෑරුම|බියර්|බියර් ජෝග්ගුව
🍻;එකිනෙක ගැටෙන බියර් ජෝගු;එකිනෙක ගැටෙන බියර් ජෝගු|එකිනෙක ගැටෙන හඬ|ජෝග්ගුව|පානය කිරීම|බියර්
🥂;වීදුරු හැප්පවිම;බිම|වීදුරු|වීදුරු හැප්පවිම|සමරනවා|හැප්පීම
🥃;බොන වීදුරුව;බිම|බොන වීදුරුව|මත්පැන්|විස්කි|වීදුරුව
🫗;දියර වත් කිරීම;කාන්දු වීම|දියර වත් කිරීම|බොන්න|වීදුරු|හිස්
🥤;බටය සමඟ කෝප්පයක;බටය සමඟ කෝප්පයක|යුෂ|සෝඩා
🧋;බුබුලු තේ;කිරි|තේ|බුබුල|බුබුලු තේ|මුතු
🧃;බීම පෙට්ටිය;බීම පෙට්ටිය|යුෂ පෙට්ටිය
🧉;අත් උදව්කරුවා;අත් උදව්කරුවා|පානය
🧊;අයිස් කැටය;අයිස් කැටය|සීත|හිම කුට්ටිය
🥢;චොප්ස්ටික්ස්;චොප්ස්ටික්ස්|හැෂි
🍽️;පිඟාන සමගින් ගෑරප්පුව සහ පිහිය;ගැරැප්පුව|පිඟාන|පිඟාන සමගින් ගෑරප්පුව සහ පිහිය|පිසීම|පිහිය
🍴;ගෑරප්පුව සහ පිහිය;ගැරැප්පුව|ගෑරප්පුව සහ පිහිය|පිසීම|පිහිය
🥄;හැන්ද;කෑම මේසයේ උපකරණ|හැන්ද
🔪;මුළුතැන්ගෙයි පිහිය;ආයුධය|ආහාර පිසීම|පිහිය|මුළුතැන්ගෙයි පිහිය|මෙවලම
🫙;භාජනය;ගබඩාව|බහාලුම|භාජනය|රසකැවිලි|සෝස්|හිස්
🏺;ඇම්ෆෝරා;ඇම්ෆෝරා|කුම්භ රාශිය|ජෝගුව|පානය කිරීම|පිසීම

[travel_places]
🌍;යුරෝපා-අප්‍රිකාව පෙන්වන ලෝක ගෝලය;අප්‍රිකාව|පෘථිවිය|යුරෝපය|යුරෝපා-අප්‍රිකාව පෙන්වන ලෝක ගෝලය|ලෝක ගෝලය|ලෝකය
🌎;ඇමෙරිකාව පෙන්වන ලෝක ගෝලය;ඇමරිකාව|ඇමෙරිකාව පෙන්වන ලෝක ගෝලය|පෘථිවිය|ලෝක ගෝලය|ලෝකය
🌏;ආසියා-ඕස්ට්‍රේලියාව පෙන්වන ලෝක ගෝලය;ආසියා-ඕස්ට්‍රේලියාව පෙන්වන ලෝක ගෝලය|ආසියාව|ඕස්ට්‍රේලියාව|පෘථිවිය|ලෝක ගෝලය|ලෝකය
🌐;ධ්‍රැවක රේඛා සහිත ලෝක ගෝලය;ධ්‍රැවක රේඛා සහිත ලෝක ගෝලය|ධ්‍රැවක රේඛාව|පෘථිවිය|ලෝක ගෝලය|ලෝකය
🗺️;ලෝක සිතියම;ලෝක සිතියම|ලෝකය|සිතියම
🗾;ජපානයේ සිතියම;ජපානය|ජපානයේ සිතියම|සිතියම
🧭;මාලිමාව;චුම්බක|මාලිමාව|යාත්‍රණය|සිතියම් බලා ගමන් කිරීම
🏔️;හිම සහිත කඳු මුදුන;කන්ද|සීත|හිම|හිම සහිත කඳු මුදුන
⛰️;කන්ද;කන්ද
🌋;ගිනිකන්ද;කන්ද|කාලගුණය|ගිනිකන්ද|පිපිරීම
🗻;ෆීජි කන්ද;කන්ද|ෆීජි
🏕️;කඳවුරු බැඳීම;කඳවුරු බැඳීම
🏖️;කුඩය හා මුහුද;කුඩය|කුඩය හා මුහුද|වෙරළ
🏜️;කාන්තාරය;කාන්තාරය
🏝️;කාන්තාර දූපත;කාන්තාර දූපත|කාන්තාරය|දූපත
🏞️;ජාතික උද්‍යානය;උද්‍යානය|ජාතික උද්‍යානය
🏟️;ක්‍රීඩාංගනය;ක්‍රීඩාංගනය
🏛️;පැරණි ගොඩනැගිල්ල;ගොඩනැගිල්ල|පැරණි
🏗️;ගොඩනැගිලි ඉදි කිරීම;ඉදි කිරීම|ගොඩනැගිලි ඉදි කිරීම|ගොඩනැගිල්ල
🧱;ගඩොල්;ගඩොල්|බදාම|බිත්තිය|මැටි
🪨;ගල;ගල|ගල්|ගල්පර්වතය|ඝන|පාෂාණය|බර
🪵;දැව;දැව|ලී
🛖;පැල්පත;නිවස|පැල්පත|මැටියෙන් තැනූ පැල|වටරවුම නිවාස
🏘️;නිවාස ගොඩනැගිලි;ඉදි කිරීම|නිවස|නිවාස ගොඩනැගිලි
🏚️;අත් හැර දමන ලද නිවාස ගොඩනැගිල්ල;අත් හැර දමන ලද|අත් හැර දමන ලද නිවාස ගොඩනැගිල්ල|ඉදි කිරීම|නිවස
🏠;නිවාස ගොඩනැගිල්ල;ඉදි කිරීම|ගෘහය|නිවස|නිවාස ගොඩනැගිල්ල
🏡;වත්ත සහිත නිවස;ඉදි කිරීම|ගෘහය|ගෙවත්ත|නිවස|වත්ත සහිත නිවස
🏢;කාර්යාල ගොඩනැගිල්ල;කාර්යාල ගොඩනැගිල්ල|ගොඩනැගිල්ල
🏣;ජපන් තැපැල් කාර්යාලය;ගොඩනැගිල්ල|ජපන්|ජපන් තැපැල් කාර්යාලය|තැපැල් කාර්යාලය
🏤;තැපැල් කාර්යාලය;ගොඩනැගිල්ල|තැපැල් කාර්යාලය|යුරෝපීය
🏥;රෝහල;ඖෂධ|ගොඩනැගිල්ල|රෝහල|වෛද්‍යවරයා
🏦;බැංකුව;ගොඩනැගිල්ල|බැංකුව
🏨;හෝටලය;ගොඩනැගිල්ල|හෝටලය
