# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;មុខសើច;មុខ|មុខសើច|សើច
👩‍🔧;ជាងម៉ាស៊ីនស្រី;ជាង|ជាងទុយោ|ជាងភ្លើង|ជាងម៉ាស៊ីន|ជាងម៉ាស៊ីនស្រី|ឈ្មួញ|នារី|ស្រី
	👩🏻‍🔧;ជាងម៉ាស៊ីនស្រី: សម្បុរស;ជាង|ជាងទុយោ|ជាងភ្លើង|ជាងម៉ាស៊ីន|ជាងម៉ាស៊ីនស្រី|ជាងម៉ាស៊ីនស្រី: សម្បុរស|ឈ្មួញ|នារី|សម្បុរស|ស្រី
	👩🏼‍🔧;ជាងម៉ាស៊ីនស្រី: សម្បុរសល្មម;ជាង|ជាងទុយោ|ជាងភ្លើង|ជាងម៉ាស៊ីន|ជាងម៉ាស៊ីនស្រី|ជាងម៉ាស៊ីនស្រី: សម្បុរសល្មម|ឈ្មួញ|នារី|សម្បុរសល្មម|ស្រី
	👩🏽‍🔧;ជាងម៉ាស៊ីនស្រី: សម្បុរស្រអែម;ជាង|ជាងទុយោ|ជាងភ្លើង|ជាងម៉ាស៊ីន|ជាងម៉ាស៊ីនស្រី|ជាងម៉ាស៊ីនស្រី: សម្បុរស្រអែម|ឈ្មួញ|នារី|សម្បុរស្រអែម|ស្រី
	👩🏾‍🔧;ជាងម៉ាស៊ីនស្រី: សម្បុរខ្មៅល្មម;ជាង|ជាងទុយោ|ជាងភ្លើង|ជាងម៉ាស៊ីន|ជាងម៉ាស៊ីនស្រី|ជាងម៉ាស៊ីនស្រី: សម្បុរខ្មៅល្មម|ឈ្មួញ|នារី|សម្បុរខ្មៅល្មម|ស្រី
	👩🏿‍🔧;ជាងម៉ាស៊ីនស្រី: សម្បុរខ្មៅ;ជាង|ជាងទុយោ|ជាងភ្លើង|ជាងម៉ាស៊ីន|ជាងម៉ាស៊ីនស្រី|ជាងម៉ាស៊ីនស្រី: សម្បុរខ្មៅ|ឈ្មួញ|នារី|សម្បុរខ្មៅ|ស្រី
🧑‍🏭;កម្មកររោងចក្រ;កម្មករ|កម្មកររោងចក្រ|ការដំឡើង|រោងចក្រ|ឧស្សាហកម្ម
	🧑🏻‍🏭;កម្មកររោងចក្រ: សម្បុរស;កម្មករ|កម្មកររោងចក្រ|កម្មកររោងចក្រ: សម្បុរស|ការដំឡើង|រោងចក្រ|សម្បុរស|ឧស្សាហកម្ម
	🧑🏼‍🏭;កម្មកររោងចក្រ: សម្បុរសល្មម;កម្មករ|កម្មកររោងចក្រ|កម្មកររោងចក្រ: សម្បុរសល្មម|ការដំឡើង|រោងចក្រ|សម្បុរសល្មម|ឧស្សាហកម្ម
	🧑🏽‍🏭;កម្មកររោងចក្រ: សម្បុរស្រអែម;កម្មករ|កម្មកររោងចក្រ|កម្មកររោងចក្រ: សម្បុរស្រអែម|ការដំឡើង|រោងចក្រ|សម្បុរស្រអែម|ឧស្សាហកម្ម
	🧑🏾‍🏭;កម្មកររោងចក្រ: សម្បុរខ្មៅល្មម;កម្មករ|កម្មកររោងចក្រ|កម្មកររោងចក្រ: សម្បុរខ្មៅល្មម|ការដំឡើង|រោងចក្រ|សម្បុរខ្មៅល្មម|ឧស្សាហកម្ម
	🧑🏿‍🏭;កម្មកររោងចក្រ: សម្បុរខ្មៅ;កម្មករ|កម្មកររោងចក្រ|កម្មកររោងចក្រ: សម្បុរខ្មៅ|ការដំឡើង|រោងចក្រ|សម្បុរខ្មៅ|ឧស្សាហកម្ម
👨‍🏭;កម្មកររោងចក្រប្រុស;កម្មករ|កម្មកររោងចក្រប្រុស|បុរស|ប្រុស|រោងចក្រ
	👨🏻‍🏭;កម្មកររោងចក្រប្រុស: សម្បុរស;កម្មករ|កម្មកររោងចក្រប្រុស|កម្មកររោងចក្រប្រុស: សម្បុរស|បុរស|ប្រុស|រោងចក្រ|សម្បុរស
	👨🏼‍🏭;កម្មកររោងចក្រប្រុស: សម្បុរសល្មម;កម្មករ|កម្មកររោងចក្រប្រុស|កម្មកររោងចក្រប្រុស: សម្បុរសល្មម|បុរស|ប្រុស|រោងចក្រ|សម្បុរសល្មម
	👨🏽‍🏭;កម្មកររោងចក្រប្រុស: សម្បុរស្រអែម;កម្មករ|កម្មកររោងចក្រប្រុស|កម្មកររោងចក្រប្រុស: សម្បុរស្រអែម|បុរស|ប្រុស|រោងចក្រ|សម្បុរស្រអែម
	👨🏾‍🏭;កម្មកររោងចក្រប្រុស: សម្បុរខ្មៅល្មម;កម្មករ|កម្មកររោងចក្រប្រុស|កម្មកររោងចក្រប្រុស: សម្បុរខ្មៅល្មម|បុរស|ប្រុស|រោងចក្រ|សម្បុរខ្មៅល្មម
	👨🏿‍🏭;កម្មកររោងចក្រប្រុស: សម្បុរខ្មៅ;កម្មករ|កម្មកររោងចក្រប្រុស|កម្មកររោងចក្រប្រុស: សម្បុរខ្មៅ|បុរស|ប្រុស|រោងចក្រ|សម្បុរខ្មៅ
👩‍🏭;កម្មការនីរោងចក្រ;កម្មករ|កម្មការនី|កម្មការនីរោងចក្រ|នារី|រោងចក្រ|ស្រី
	👩🏻‍🏭;កម្មការនីរោងចក្រ: សម្បុរស;កម្មករ|កម្មការនី|កម្មការនីរោងចក្រ|កម្មការនីរោងចក្រ: សម្បុរស|នារី|រោងចក្រ|សម្បុរស|ស្រី
	👩🏼‍🏭;កម្មការនីរោងចក្រ: សម្បុរសល្មម;កម្មករ|កម្មការនី|កម្មការនីរោងចក្រ|កម្មការនីរោងចក្រ: សម្បុរសល្មម|នារី|រោងចក្រ|សម្បុរសល្មម|ស្រី
	👩🏽‍🏭;កម្មការនីរោងចក្រ: សម្បុរស្រអែម;កម្មករ|កម្មការនី|កម្មការនីរោងចក្រ|កម្មការនីរោងចក្រ: សម្បុរស្រអែម|នារី|រោងចក្រ|សម្បុរស្រអែម|ស្រី
	👩🏾‍🏭;កម្មការនីរោងចក្រ: សម្បុរខ្មៅល្មម;កម្មករ|កម្មការនី|កម្មការនីរោងចក្រ|កម្មការនីរោងចក្រ: សម្បុរខ្មៅល្មម|នារី|រោងចក្រ|សម្បុរខ្មៅល្មម|ស្រី
	👩🏿‍🏭;កម្មការនីរោងចក្រ: សម្បុរខ្មៅ;កម្មករ|កម្មការនី|កម្មការនីរោងចក្រ|កម្មការនីរោងចក្រ: សម្បុរខ្មៅ|នារី|រោងចក្រ|សម្បុរខ្មៅ|ស្រី
🧑‍💼;បុគ្គលិកការិយាល័យ;ធុរកិច្ច|បុគ្គលិកការិយាល័យ|ស្ថាបត្យករ|អ្នកគ្រប់គ្រង|អ្នកធ្វើការក្នុងការិយាល័យ
	🧑🏻‍💼;បុគ្គលិកការិយាល័យ: សម្បុរស;ធុរកិច្ច|បុគ្គលិកការិយាល័យ|បុគ្គលិកការិយាល័យ: សម្បុរស|សម្បុរស|ស្ថាបត្យករ|អ្នកគ្រប់គ្រង|អ្នកធ្វើការក្នុងការិយាល័យ
	🧑🏼‍💼;បុគ្គលិកការិយាល័យ: សម្បុរសល្មម;ធុរកិច្ច|បុគ្គលិកការិយាល័យ|បុគ្គលិកការិយាល័យ: សម្បុរសល្មម|សម្បុរសល្មម|ស្ថាបត្យករ|អ្នកគ្រប់គ្រង|អ្នកធ្វើការក្នុងការិយាល័យ
	🧑🏽‍💼;បុគ្គលិកការិយាល័យ: សម្បុរស្រអែម;ធុរកិច្ច|បុគ្គលិកការិយាល័យ|បុគ្គលិកការិយាល័យ: សម្បុរស្រអែម|សម្បុរស្រអែម|ស្ថាបត្យករ|អ្នកគ្រប់គ្រង|អ្នកធ្វើការក្នុងការិយាល័យ
	🧑🏾‍💼;បុគ្គលិកការិយាល័យ: សម្បុរខ្មៅល្មម;ធុរកិច្ច|បុគ្គលិកការិយាល័យ|បុគ្គលិកការិយាល័យ: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម|ស្ថាបត្យករ|អ្នកគ្រប់គ្រង|អ្នកធ្វើការក្នុងការិយាល័យ
	🧑🏿‍💼;បុគ្គលិកការិយាល័យ: សម្បុរខ្មៅ;ធុរកិច្ច|បុគ្គលិកការិយាល័យ|បុគ្គលិកការិយាល័យ: សម្បុរខ្មៅ|សម្បុរខ្មៅ|ស្ថាបត្យករ|អ្នកគ្រប់គ្រង|អ្នកធ្វើការក្នុងការិយាល័យ
👨‍💼;បុគ្គលិកប្រុស;ជំនួញ|ធុរកិច្ច|បុគ្គលិកការិយាល័យ|បុគ្គលិកប្រុស|បុរស|ប្រុស|ស្ថាបត្យករ|អ្នកគ្រប់គ្រង|អ្នកធ្វើការក្នុងការិយាល័យ
	👨🏻‍💼;បុគ្គលិកប្រុស: សម្បុរស;ជំនួញ|ធុរកិច្ច|បុគ្គលិកការិយាល័យ|បុគ្គលិកប្រុស|បុគ្គលិកប្រុស: សម្បុរស|បុរស|ប្រុស|សម្បុរស|ស្ថាបត្យករ|អ្នកគ្រប់គ្រង|អ្នកធ្វើការក្នុងការិយាល័យ
	👨🏼‍💼;បុគ្គលិកប្រុស: សម្បុរសល្មម;ជំនួញ|ធុរកិច្ច|បុគ្គលិកការិយាល័យ|បុគ្គលិកប្រុស|បុគ្គលិកប្រុស: សម្បុរសល្មម|បុរស|ប្រុស|សម្បុរសល្មម|ស្ថាបត្យករ|អ្នកគ្រប់គ្រង|អ្នកធ្វើការក្នុងការិយាល័យ
	👨🏽‍💼;បុគ្គលិកប្រុស: សម្បុរស្រអែម;ជំនួញ|ធុរកិច្ច|បុគ្គលិកការិយាល័យ|បុគ្គលិកប្រុស|បុគ្គលិកប្រុស: សម្បុរស្រអែម|បុរស|ប្រុស|សម្បុរស្រអែម|ស្ថាបត្យករ|អ្នកគ្រប់គ្រង|អ្នកធ្វើការក្នុងការិយាល័យ
