# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;មុខសើច;មុខ|មុខសើច|សើច
😩;មុខអស់កម្លាំងខ្លាំង;មុខអស់កម្លាំងខ្លាំង|ហត់នឿយ|អស់កម្លាំង
😫;មុខអស់កម្លាំង;មុខអស់កម្លាំង|ហត់|អស់កម្លាំង
🥱;មុខស្ងាប;គួរឱ្យធុញ|ធុញ|មុខស្ងាប|ស្ងាប
😤;មុខមានចំហាយក្តៅចេញពីច្រមុះ;ក្តៅចិត្ត|មុខមានចំហាយក្តៅចេញពីច្រមុះ
😡;មុខមួរម៉ៅខ្លាំង;ខឹង|មុខក្រហម|មុខមួរម៉ៅខ្លាំង|មួរម៉ៅ
😠;មុខមួរម៉ៅ;ខឹង|មុខក្រហម|មុខមួរម៉ៅ|មួរម៉ៅ
🤬;មុខមាននិមិត្តសញ្ញាលើមាត់;ជេរ|មុខមាននិមិត្តសញ្ញាលើមាត់
😈;មុខមានស្នែងញញឺមក្នុងបំណងមិនល្អ;ញញឹម|មុខ|មុខមានស្នែងញញឺមក្នុងបំណងមិនល្អ|ស្នែង
👿;មុខមានស្នែងខឹង;ខឹង|ពេប|មុខ|មុខមានស្នែងខឹង|ស្នែង
💀;ក្បាលខ្មោច;ក្បាលខ្មោច|លលាដ៏ក្បាល
☠️;ក្បាលខ្មោចមានឆ្អឹងក្នុងមាត់;ក្បាលខ្មោច|ក្បាលខ្មោចមានឆ្អឹងក្នុងមាត់|ឆ្អឹងខោ្មច|លលាដ៏ក្បាល
💩;គំនរអាចម៍, គំនរលាមក;គំនរលាមក|គំនរអាចម៍|គំនរអាចម៍, គំនរលាមក|លាមក|អាចម៍
🤡;មុុខថ្លុក;ថ្លុក|មុខ|មុខថ្លុក|មុុខថ្លុក
👹;មុខយក្ស;មុខ|មុខយក្ស|យក្ស|សត្វចម្លែក|អាក្រក់
👺;មុខមនុស្សអាក្រក់;មនុស្ស|មុខមនុស្សអាក្រក់|អាក្រក់
👻;ខ្មោច;ខោ្មចលង|ខ្មោច|លង
👽;មនុស្សក្រៅភព, មនុស្សចម្លែក;ភពក្រៅ|មនុស្សក្រៅភព|មនុស្សក្រៅភព, មនុស្សចម្លែក|មនុស្សចម្លែក
👾;តុក្កតាក្រៅភព;ក្រៅភព|តុក្កតា|តុក្កតាក្រៅភព
🤖;មុខមនុស្សយន្ត;មនុស្សយន្ត|មុខ|មុខមនុស្សយន្ត
😺;មុខឆ្មាញញឹម;ឆ្មា|ញញឹម|មុខ|មុខឆ្មាញញឹម
😸;មុខឆ្មាសើច;ឆ្មា|មុខ|មុខឆ្មាសើច|សើច
😹;មុខឆ្មាសើចឡើងហៀរទឹកភ្នែក;ឆ្មា|ទឹកភ្នែក|មុខ|មុខឆ្មាសើចឡើងហៀរទឹកភ្នែក|សើច|ហៀរទឹកភ្នែក
😻;មុខឆ្មាញញឹមមានរូបបេះដូងក្នុងក្នែក;ឆ្មា|បេះដូង|មុខឆ្មាញញឹមមានរូបបេះដូងក្នុងក្នែក|ស្រឡាញ
😼;មុខឆ្មាធ្វើមុខក្រឺត;ក្រឺត|ឆ្មា|មុខឆ្មាធ្វើមុខក្រឺត
😽;មុខឆ្មាកំពុងថើបបិទភ្នែក;ឆ្មា|ថើប|បិទភ្នែក|មុខឆ្មាកំពុងថើបបិទភ្នែក
🙀;មុខឆ្មាស្រែកខ្លាំង;ឆ្មា|មុខឆ្មាស្រែកខ្លាំង|ស្រែក
😿;មុខឆ្មាស្រក់ទឹកភ្នែក;ឆ្មា|មុខឆ្មាស្រក់ទឹកភ្នែក|យំ|ស្រក់ទឹកភ្នែក
