# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;چىشلىق كۈلگەن چىراي;چىراي|چىشلىق|چىشلىق كۈلگەن چىراي
	🤽🏼;سۇ توپى ئويناۋاتقانلار: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|توپ|سۇ|سۇ توپى ئويناۋاتقانلار|سۇ توپى ئويناۋاتقانلار: ئارا ئاچ تېرە رەڭگى
	🤽🏽;سۇ توپى ئويناۋاتقانلار: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|توپ|سۇ|سۇ توپى ئويناۋاتقانلار|سۇ توپى ئويناۋاتقانلار: ئارا تېرە رەڭگى
	🤽🏾;سۇ توپى ئويناۋاتقانلار: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|توپ|سۇ|سۇ توپى ئويناۋاتقانلار|سۇ توپى ئويناۋاتقانلار: ئارا توق تېرە رەڭگى
	🤽🏿;سۇ توپى ئويناۋاتقانلار: توق تېرە رەڭ;توپ|توق تېرە رەڭ|سۇ|سۇ توپى ئويناۋاتقانلار|سۇ توپى ئويناۋاتقانلار: توق تېرە رەڭ
🤽‍♂️;سۇ توپى ئويناۋاتقان ئەر;ئەر|سۇ توپى|سۇ توپى ئويناۋاتقان ئەر
	🤽🏻‍♂️;سۇ توپى ئويناۋاتقان ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|سۇ توپى|سۇ توپى ئويناۋاتقان ئەر|سۇ توپى ئويناۋاتقان ئەر: ئاچ تېرە رەڭ
	🤽🏼‍♂️;سۇ توپى ئويناۋاتقان ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|سۇ توپى|سۇ توپى ئويناۋاتقان ئەر|سۇ توپى ئويناۋاتقان ئەر: ئارا ئاچ تېرە رەڭگى
	🤽🏽‍♂️;سۇ توپى ئويناۋاتقان ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|سۇ توپى|سۇ توپى ئويناۋاتقان ئەر|سۇ توپى ئويناۋاتقان ئەر: ئارا تېرە رەڭگى
	🤽🏾‍♂️;سۇ توپى ئويناۋاتقان ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|سۇ توپى|سۇ توپى ئويناۋاتقان ئەر|سۇ توپى ئويناۋاتقان ئەر: ئارا توق تېرە رەڭگى
	🤽🏿‍♂️;سۇ توپى ئويناۋاتقان ئەر: توق تېرە رەڭ;ئەر|توق تېرە رەڭ|سۇ توپى|سۇ توپى ئويناۋاتقان ئەر|سۇ توپى ئويناۋاتقان ئەر: توق تېرە رەڭ
🤽‍♀️;سۇ توپى ئويناۋاتقان ئايال;ئايال|سۇ توپى|سۇ توپى ئويناۋاتقان ئايال
	🤽🏻‍♀️;سۇ توپى ئويناۋاتقان ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|سۇ توپى|سۇ توپى ئويناۋاتقان ئايال|سۇ توپى ئويناۋاتقان ئايال: ئاچ تېرە رەڭ
	🤽🏼‍♀️;سۇ توپى ئويناۋاتقان ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|سۇ توپى|سۇ توپى ئويناۋاتقان ئايال|سۇ توپى ئويناۋاتقان ئايال: ئارا ئاچ تېرە رەڭگى
	🤽🏽‍♀️;سۇ توپى ئويناۋاتقان ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|سۇ توپى|سۇ توپى ئويناۋاتقان ئايال|سۇ توپى ئويناۋاتقان ئايال: ئارا تېرە رەڭگى
	🤽🏾‍♀️;سۇ توپى ئويناۋاتقان ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|سۇ توپى|سۇ توپى ئويناۋاتقان ئايال|سۇ توپى ئويناۋاتقان ئايال: ئارا توق تېرە رەڭگى
	🤽🏿‍♀️;سۇ توپى ئويناۋاتقان ئايال: توق تېرە رەڭ;ئايال|توق تېرە رەڭ|سۇ توپى|سۇ توپى ئويناۋاتقان ئايال|سۇ توپى ئويناۋاتقان ئايال: توق تېرە رەڭ
🤾;قولتوپ ئويناۋاتقان كىشى;توپ|قولتوپ|قولتوپ ئويناۋاتقان كىشى
	🤾🏻;قولتوپ ئويناۋاتقان كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|توپ|قولتوپ|قولتوپ ئويناۋاتقان كىشى|قولتوپ ئويناۋاتقان كىشى: ئاچ تېرە رەڭ
	🤾🏼;قولتوپ ئويناۋاتقان كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|توپ|قولتوپ|قولتوپ ئويناۋاتقان كىشى|قولتوپ ئويناۋاتقان كىشى: ئارا ئاچ تېرە رەڭگى
	🤾🏽;قولتوپ ئويناۋاتقان كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|توپ|قولتوپ|قولتوپ ئويناۋاتقان كىشى|قولتوپ ئويناۋاتقان كىشى: ئارا تېرە رەڭگى
	🤾🏾;قولتوپ ئويناۋاتقان كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|توپ|قولتوپ|قولتوپ ئويناۋاتقان كىشى|قولتوپ ئويناۋاتقان كىشى: ئارا توق تېرە رەڭگى
	🤾🏿;قولتوپ ئويناۋاتقان كىشى: توق تېرە رەڭ;توپ|توق تېرە رەڭ|قولتوپ|قولتوپ ئويناۋاتقان كىشى|قولتوپ ئويناۋاتقان كىشى: توق تېرە رەڭ
🤾‍♂️;قولتوپ ئويناۋاتقان ئەر;ئەر|قولتوپ|قولتوپ ئويناۋاتقان ئەر
	🤾🏻‍♂️;قولتوپ ئويناۋاتقان ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|قولتوپ|قولتوپ ئويناۋاتقان ئەر|قولتوپ ئويناۋاتقان ئەر: ئاچ تېرە رەڭ
	🤾🏼‍♂️;قولتوپ ئويناۋاتقان ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|قولتوپ|قولتوپ ئويناۋاتقان ئەر|قولتوپ ئويناۋاتقان ئەر: ئارا ئاچ تېرە رەڭگى
	🤾🏽‍♂️;قولتوپ ئويناۋاتقان ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|قولتوپ|قولتوپ ئويناۋاتقان ئەر|قولتوپ ئويناۋاتقان ئەر: ئارا تېرە رەڭگى
	🤾🏾‍♂️;قولتوپ ئويناۋاتقان ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|قولتوپ|قولتوپ ئويناۋاتقان ئەر|قولتوپ ئويناۋاتقان ئەر: ئارا توق تېرە رەڭگى
	🤾🏿‍♂️;قولتوپ ئويناۋاتقان ئەر: توق تېرە رەڭ;ئەر|توق تېرە رەڭ|قولتوپ|قولتوپ ئويناۋاتقان ئەر|قولتوپ ئويناۋاتقان ئەر: توق تېرە رەڭ
🤾‍♀️;قولتوپ ئويناۋاتقان ئايال;ئايال|قولتوپ|قولتوپ ئويناۋاتقان ئايال
	🤾🏻‍♀️;قولتوپ ئويناۋاتقان ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|قولتوپ|قولتوپ ئويناۋاتقان ئايال|قولتوپ ئويناۋاتقان ئايال: ئاچ تېرە رەڭ
	🤾🏼‍♀️;قولتوپ ئويناۋاتقان ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|قولتوپ|قولتوپ ئويناۋاتقان ئايال|قولتوپ ئويناۋاتقان ئايال: ئارا ئاچ تېرە رەڭگى
	🤾🏽‍♀️;قولتوپ ئويناۋاتقان ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|قولتوپ|قولتوپ ئويناۋاتقان ئايال|قولتوپ ئويناۋاتقان ئايال: ئارا تېرە رەڭگى
	🤾🏾‍♀️;قولتوپ ئويناۋاتقان ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|قولتوپ|قولتوپ ئويناۋاتقان ئايال|قولتوپ ئويناۋاتقان ئايال: ئارا توق تېرە رەڭگى
	🤾🏿‍♀️;قولتوپ ئويناۋاتقان ئايال: توق تېرە رەڭ;ئايال|توق تېرە رەڭ|قولتوپ|قولتوپ ئويناۋاتقان ئايال|قولتوپ ئويناۋاتقان ئايال: توق تېرە رەڭ
🤹;شار ئوينىغۇچى;تەڭپۇڭلۇق|شار ئويناش|شار ئوينىغۇچى|كۆپ ئىش قىلىش|ھۈنەر
	🤹🏻;شار ئوينىغۇچى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|تەڭپۇڭلۇق|شار ئويناش|شار ئوينىغۇچى|شار ئوينىغۇچى: ئاچ تېرە رەڭ|كۆپ ئىش قىلىش|ھۈنەر
	🤹🏼;شار ئوينىغۇچى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|تەڭپۇڭلۇق|شار ئويناش|شار ئوينىغۇچى|شار ئوينىغۇچى: ئارا ئاچ تېرە رەڭگى|كۆپ ئىش قىلىش|ھۈنەر
	🤹🏽;شار ئوينىغۇچى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|تەڭپۇڭلۇق|شار ئويناش|شار ئوينىغۇچى|شار ئوينىغۇچى: ئارا تېرە رەڭگى|كۆپ ئىش قىلىش|ھۈنەر
	🤹🏾;شار ئوينىغۇچى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|تەڭپۇڭلۇق|شار ئويناش|شار ئوينىغۇچى|شار ئوينىغۇچى: ئارا توق تېرە رەڭگى|كۆپ ئىش قىلىش|ھۈنەر
	🤹🏿;شار ئوينىغۇچى: توق تېرە رەڭ;تەڭپۇڭلۇق|توق تېرە رەڭ|شار ئويناش|شار ئوينىغۇچى|شار ئوينىغۇچى: توق تېرە رەڭ|كۆپ ئىش قىلىش|ھۈنەر
🤹‍♂️;شار ئويناۋاتقان ئەر;ئەر|شار ئويناش|شار ئويناۋاتقان ئەر|كۆپ ئىش قىلىش
	🤹🏻‍♂️;شار ئويناۋاتقان ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|شار ئويناش|شار ئويناۋاتقان ئەر|شار ئويناۋاتقان ئەر: ئاچ تېرە رەڭ|كۆپ ئىش قىلىش
	🤹🏼‍♂️;شار ئويناۋاتقان ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|شار ئويناش|شار ئويناۋاتقان ئەر|شار ئويناۋاتقان ئەر: ئارا ئاچ تېرە رەڭگى|كۆپ ئىش قىلىش
	🤹🏽‍♂️;شار ئويناۋاتقان ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|شار ئويناش|شار ئويناۋاتقان ئەر|شار ئويناۋاتقان ئەر: ئارا تېرە رەڭگى|كۆپ ئىش قىلىش
	🤹🏾‍♂️;شار ئويناۋاتقان ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|شار ئويناش|شار ئويناۋاتقان ئەر|شار ئويناۋاتقان ئەر: ئارا توق تېرە رەڭگى|كۆپ ئىش قىلىش
	🤹🏿‍♂️;شار ئويناۋاتقان ئەر: توق تېرە رەڭ;ئەر|توق تېرە رەڭ|شار ئويناش|شار ئويناۋاتقان ئەر|شار ئويناۋاتقان ئەر: توق تېرە رەڭ|كۆپ ئىش قىلىش
🤹‍♀️;شار ئويناۋاتقان ئايال;ئايال|شار ئويناش|شار ئويناۋاتقان ئايال|كۆپ ئىش قىلىش
	🤹🏻‍♀️;شار ئويناۋاتقان ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|شار ئويناش|شار ئويناۋاتقان ئايال|شار ئويناۋاتقان ئايال: ئاچ تېرە رەڭ|كۆپ ئىش قىلىش
	🤹🏼‍♀️;شار ئويناۋاتقان ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|شار ئويناش|شار ئويناۋاتقان ئايال|شار ئويناۋاتقان ئايال: ئارا ئاچ تېرە رەڭگى|كۆپ ئىش قىلىش
	🤹🏽‍♀️;شار ئويناۋاتقان ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|شار ئويناش|شار ئويناۋاتقان ئايال|شار ئويناۋاتقان ئايال: ئارا تېرە رەڭگى|كۆپ ئىش قىلىش
	🤹🏾‍♀️;شار ئويناۋاتقان ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|شار ئويناش|شار ئويناۋاتقان ئايال|شار ئويناۋاتقان ئايال: ئارا توق تېرە رەڭگى|كۆپ ئىش قىلىش
	🤹🏿‍♀️;شار ئويناۋاتقان ئايال: توق تېرە رەڭ;ئايال|توق تېرە رەڭ|شار ئويناش|شار ئويناۋاتقان ئايال|شار ئويناۋاتقان ئايال: توق تېرە رەڭ|كۆپ ئىش قىلىش
🧘;گىياھ ھەرىكەتلىك كىشى;تىنچلىنىش|گىياھ ھەرىكەتلىك كىشى|يوگا
	🧘🏻;گىياھ ھەرىكەتلىك كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|تىنچلىنىش|گىياھ ھەرىكەتلىك كىشى|گىياھ ھەرىكەتلىك كىشى: ئاچ تېرە رەڭ|يوگا
	🧘🏼;گىياھ ھەرىكەتلىك كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|تىنچلىنىش|گىياھ ھەرىكەتلىك كىشى|گىياھ ھەرىكەتلىك كىشى: ئارا ئاچ تېرە رەڭگى|يوگا
	🧘🏽;گىياھ ھەرىكەتلىك كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|تىنچلىنىش|گىياھ ھەرىكەتلىك كىشى|گىياھ ھەرىكەتلىك كىشى: ئارا تېرە رەڭگى|يوگا
	🧘🏾;گىياھ ھەرىكەتلىك كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|تىنچلىنىش|گىياھ ھەرىكەتلىك كىشى|گىياھ ھەرىكەتلىك كىشى: ئارا توق تېرە رەڭگى|يوگا
	🧘🏿;گىياھ ھەرىكەتلىك كىشى: توق تېرە رەڭ;توق تېرە رەڭ|تىنچلىنىش|گىياھ ھەرىكەتلىك كىشى|گىياھ ھەرىكەتلىك كىشى: توق تېرە رەڭ|يوگا
🧘‍♂️;گىياھ ھەرىكەتلىك ئەر;تىنچلىنىش|گىياھ ھەرىكەتلىك ئەر|يوگا
	🧘🏻‍♂️;گىياھ ھەرىكەتلىك ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|تىنچلىنىش|گىياھ ھەرىكەتلىك ئەر|گىياھ ھەرىكەتلىك ئەر: ئاچ تېرە رەڭ|يوگا
	🧘🏼‍♂️;گىياھ ھەرىكەتلىك ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|تىنچلىنىش|گىياھ ھەرىكەتلىك ئەر|گىياھ ھەرىكەتلىك ئەر: ئارا ئاچ تېرە رەڭگى|يوگا
	🧘🏽‍♂️;گىياھ ھەرىكەتلىك ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|تىنچلىنىش|گىياھ ھەرىكەتلىك ئەر|گىياھ ھەرىكەتلىك ئەر: ئارا تېرە رەڭگى|يوگا
	🧘🏾‍♂️;گىياھ ھەرىكەتلىك ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|تىنچلىنىش|گىياھ ھەرىكەتلىك ئەر|گىياھ ھەرىكەتلىك ئەر: ئارا توق تېرە رەڭگى|يوگا
	🧘🏿‍♂️;گىياھ ھەرىكەتلىك ئەر: توق تېرە رەڭ;توق تېرە رەڭ|تىنچلىنىش|گىياھ ھەرىكەتلىك ئەر|گىياھ ھەرىكەتلىك ئەر: توق تېرە رەڭ|يوگا
🧘‍♀️;گىياھ ھەرىكەتلىك ئايال;تىنچلىنىش|گىياھ ھەرىكەتلىك ئايال|يوگا
	🧘🏻‍♀️;گىياھ ھەرىكەتلىك ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|تىنچلىنىش|گىياھ ھەرىكەتلىك ئايال|گىياھ ھەرىكەتلىك ئايال: ئاچ تېرە رەڭ|يوگا
	🧘🏼‍♀️;گىياھ ھەرىكەتلىك ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|تىنچلىنىش|گىياھ ھەرىكەتلىك ئايال|گىياھ ھەرىكەتلىك ئايال: ئارا ئاچ تېرە رەڭگى|يوگا
	🧘🏽‍♀️;گىياھ ھەرىكەتلىك ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|تىنچلىنىش|گىياھ ھەرىكەتلىك ئايال|گىياھ ھەرىكەتلىك ئايال: ئارا تېرە رەڭگى|يوگا
	🧘🏾‍♀️;گىياھ ھەرىكەتلىك ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|تىنچلىنىش|گىياھ ھەرىكەتلىك ئايال|گىياھ ھەرىكەتلىك ئايال: ئارا توق تېرە رەڭگى|يوگا
	🧘🏿‍♀️;گىياھ ھەرىكەتلىك ئايال: توق تېرە رەڭ;توق تېرە رەڭ|تىنچلىنىش|گىياھ ھەرىكەتلىك ئايال|گىياھ ھەرىكەتلىك ئايال: توق تېرە رەڭ|يوگا
🛀;يۇيۇنۇۋاتقان كىشى;يۇيۇش|يۇيۇنداق|يۇيۇنۇۋاتقان كىشى
	🛀🏻;يۇيۇنۇۋاتقان كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|يۇيۇش|يۇيۇنداق|يۇيۇنۇۋاتقان كىشى|يۇيۇنۇۋاتقان كىشى: ئاچ تېرە رەڭ
	🛀🏼;يۇيۇنۇۋاتقان كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|يۇيۇش|يۇيۇنداق|يۇيۇنۇۋاتقان كىشى|يۇيۇنۇۋاتقان كىشى: ئارا ئاچ تېرە رەڭگى
	🛀🏽;يۇيۇنۇۋاتقان كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|يۇيۇش|يۇيۇنداق|يۇيۇنۇۋاتقان كىشى|يۇيۇنۇۋاتقان كىشى: ئارا تېرە رەڭگى
	🛀🏾;يۇيۇنۇۋاتقان كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|يۇيۇش|يۇيۇنداق|يۇيۇنۇۋاتقان كىشى|يۇيۇنۇۋاتقان كىشى: ئارا توق تېرە رەڭگى
	🛀🏿;يۇيۇنۇۋاتقان كىشى: توق تېرە رەڭ;توق تېرە رەڭ|يۇيۇش|يۇيۇنداق|يۇيۇنۇۋاتقان كىشى|يۇيۇنۇۋاتقان كىشى: توق تېرە رەڭ
🛌;كارىۋاتتىكى كىشى;ئۇخلاش|كارىۋاتتىكى كىشى|مېھمانخانا
	🛌🏻;كارىۋاتتىكى كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئۇخلاش|كارىۋاتتىكى كىشى|كارىۋاتتىكى كىشى: ئاچ تېرە رەڭ|مېھمانخانا
	🛌🏼;كارىۋاتتىكى كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئۇخلاش|كارىۋاتتىكى كىشى|كارىۋاتتىكى كىشى: ئارا ئاچ تېرە رەڭگى|مېھمانخانا
	🛌🏽;كارىۋاتتىكى كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئۇخلاش|كارىۋاتتىكى كىشى|كارىۋاتتىكى كىشى: ئارا تېرە رەڭگى|مېھمانخانا
	🛌🏾;كارىۋاتتىكى كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئۇخلاش|كارىۋاتتىكى كىشى|كارىۋاتتىكى كىشى: ئارا توق تېرە رەڭگى|مېھمانخانا
	🛌🏿;كارىۋاتتىكى كىشى: توق تېرە رەڭ;ئۇخلاش|توق تېرە رەڭ|كارىۋاتتىكى كىشى|كارىۋاتتىكى كىشى: توق تېرە رەڭ|مېھمانخانا
🧑‍🤝‍🧑;;
	🧑🏻‍🤝‍🧑🏻;;
	🧑🏻‍🤝‍🧑🏼;;
	🧑🏻‍🤝‍🧑🏽;;
	🧑🏻‍🤝‍🧑🏾;;
	🧑🏻‍🤝‍🧑🏿;;
	🧑🏼‍🤝‍🧑🏻;;
	🧑🏼‍🤝‍🧑🏼;;
	🧑🏼‍🤝‍🧑🏽;;
	🧑🏼‍🤝‍🧑🏾;;
	🧑🏼‍🤝‍🧑🏿;;
	🧑🏽‍🤝‍🧑🏻;;
	🧑🏽‍🤝‍🧑🏼;;
	🧑🏽‍🤝‍🧑🏽;;
	🧑🏽‍🤝‍🧑🏾;;
	🧑🏽‍🤝‍🧑🏿;;
	🧑🏾‍🤝‍🧑🏻;;
	🧑🏾‍🤝‍🧑🏼;;
	🧑🏾‍🤝‍🧑🏽;;
	🧑🏾‍🤝‍🧑🏾;;
	🧑🏾‍🤝‍🧑🏿;;
	🧑🏿‍🤝‍🧑🏻;;
	🧑🏿‍🤝‍🧑🏼;;
	🧑🏿‍🤝‍🧑🏽;;
	🧑🏿‍🤝‍🧑🏾;;
	🧑🏿‍🤝‍🧑🏿;;
👭;قول تۇتۇشقان ئاياللار;ئايال|تۇتۇش|جۈپ|قول|قول تۇتۇشقان ئاياللار
	👭🏻;قول تۇتۇشقان ئاياللار: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|تۇتۇش|جۈپ|قول|قول تۇتۇشقان ئاياللار|قول تۇتۇشقان ئاياللار: ئاچ تېرە رەڭ
	👩🏻‍🤝‍👩🏼;قول تۇتۇشقان ئاياللار: ئاچ تېرە رەڭ and ئارا ئاچ تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا ئاچ تېرە رەڭگى|ئايال|تۇتۇش|جۈپ|قول|قول تۇتۇشقان ئاياللار|قول تۇتۇشقان ئاياللار: ئاچ تېرە رەڭ and ئارا ئاچ تېرە رەڭگى
	👩🏻‍🤝‍👩🏽;قول تۇتۇشقان ئاياللار: ئاچ تېرە رەڭ and ئارا تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا تېرە رەڭگى|ئايال|تۇتۇش|جۈپ|قول|قول تۇتۇشقان ئاياللار|قول تۇتۇشقان ئاياللار: ئاچ تېرە رەڭ and ئارا تېرە رەڭگى
	👩🏻‍🤝‍👩🏾;قول تۇتۇشقان ئاياللار: ئاچ تېرە رەڭ and ئارا توق تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا توق تېرە رەڭگى|ئايال|تۇتۇش|جۈپ|قول|قول تۇتۇشقان ئاياللار|قول تۇتۇشقان ئاياللار: ئاچ تېرە رەڭ and ئارا توق تېرە رەڭگى
	👩🏻‍🤝‍👩🏿;قول تۇتۇشقان ئاياللار: ئاچ تېرە رەڭ and توق تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|توق تېرە رەڭ|تۇتۇش|جۈپ|قول|قول تۇتۇشقان ئاياللار|قول تۇتۇشقان ئاياللار: ئاچ تېرە رەڭ and توق تېرە رەڭ
	👩🏼‍🤝‍👩🏻;قول تۇتۇشقان ئاياللار: ئارا ئاچ تېرە رەڭگى and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا ئاچ تېرە رەڭگى|ئايال|تۇتۇش|جۈپ|قول|قول تۇتۇشقان ئاياللار|قول تۇتۇشقان ئاياللار: ئارا ئاچ تېرە رەڭگى and ئاچ تېرە رەڭ
	👭🏼;قول تۇتۇشقان ئاياللار: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|تۇتۇش|جۈپ|قول|قول تۇتۇشقان ئاياللار|قول تۇتۇشقان ئاياللار: ئارا ئاچ تېرە رەڭگى
	👩🏼‍🤝‍👩🏽;قول تۇتۇشقان ئاياللار: ئارا ئاچ تېرە رەڭگى and ئارا تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا تېرە رەڭگى|ئايال|تۇتۇش|جۈپ|قول|قول تۇتۇشقان ئاياللار|قول تۇتۇشقان ئاياللار: ئارا ئاچ تېرە رەڭگى and ئارا تېرە رەڭگى
	👩🏼‍🤝‍👩🏾;قول تۇتۇشقان ئاياللار: ئارا ئاچ تېرە رەڭگى and ئارا توق تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا توق تېرە رەڭگى|ئايال|تۇتۇش|جۈپ|قول|قول تۇتۇشقان ئاياللار|قول تۇتۇشقان ئاياللار: ئارا ئاچ تېرە رەڭگى and ئارا توق تېرە رەڭگى
	👩🏼‍🤝‍👩🏿;قول تۇتۇشقان ئاياللار: ئارا ئاچ تېرە رەڭگى and توق تېرە رەڭ;ئارا ئاچ تېرە رەڭگى|ئايال|توق تېرە رەڭ|تۇتۇش|جۈپ|قول|قول تۇتۇشقان ئاياللار|قول تۇتۇشقان ئاياللار: ئارا ئاچ تېرە رەڭگى and توق تېرە رەڭ
	👩🏽‍🤝‍👩🏻;قول تۇتۇشقان ئاياللار: ئارا تېرە رەڭگى and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا تېرە رەڭگى|ئايال|تۇتۇش|جۈپ|قول|قول تۇتۇشقان ئاياللار|قول تۇتۇشقان ئاياللار: ئارا تېرە رەڭگى and ئاچ تېرە رەڭ
	👩🏽‍🤝‍👩🏼;قول تۇتۇشقان ئاياللار: ئارا تېرە رەڭگى and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا تېرە رەڭگى|ئايال|تۇتۇش|جۈپ|قول|قول تۇتۇشقان ئاياللار|قول تۇتۇشقان ئاياللار: ئارا تېرە رەڭگى and ئارا ئاچ تېرە رەڭگى
	👭🏽;قول تۇتۇشقان ئاياللار: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|تۇتۇش|جۈپ|قول|قول تۇتۇشقان ئاياللار|قول تۇتۇشقان ئاياللار: ئارا تېرە رەڭگى
	👩🏽‍🤝‍👩🏾;قول تۇتۇشقان ئاياللار: ئارا تېرە رەڭگى and ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئارا تېرە رەڭگى|ئايال|تۇتۇش|جۈپ|قول|قول تۇتۇشقان ئاياللار|قول تۇتۇشقان ئاياللار: ئارا تېرە رەڭگى and ئارا توق تېرە رەڭگى
	👩🏽‍🤝‍👩🏿;قول تۇتۇشقان ئاياللار: ئارا تېرە رەڭگى and توق تېرە رەڭ;ئارا تېرە رەڭگى|ئايال|توق تېرە رەڭ|تۇتۇش|جۈپ|قول|قول تۇتۇشقان ئاياللار|قول تۇتۇشقان ئاياللار: ئارا تېرە رەڭگى and توق تېرە رەڭ
	👩🏾‍🤝‍👩🏻;قول تۇتۇشقان ئاياللار: ئارا توق تېرە رەڭگى and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا توق تېرە رەڭگى|ئايال|تۇتۇش|جۈپ|قول|قول تۇتۇشقان ئاياللار|قول تۇتۇشقان ئاياللار: ئارا توق تېرە رەڭگى and ئاچ تېرە رەڭ
