# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ᎤᏤᏣᏍᏗ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏤᏣᏍᏗ ᎤᎧᏛ|ᎤᏰᏍᎩ
😏;ᎤᏰᏗᏍᎩ ᎤᎧᏛ;ᎠᏤᏣᏍᏗ|ᎤᎧᏛ|ᎤᏰᏗᏍᎩ ᎤᎧᏛ
😒;ᏄᏰᏗᏍᎬᎾ ᎤᎧᏛ;ᎤᎧᏛ|ᎾᎵᎮᎵᎬᎾ|ᏄᏰᏗᏍᎬᎾ
🙄;ᎤᎧᏛᎢ ᎤᏠᏯᏍᏗ ᎦᎦᏐᏆᎴᎦ ᏗᎦᏙᎵ;ᎤᎧᏛ|ᎤᎧᏛᎢ ᎤᏠᏯᏍᏗ ᎦᎦᏐᏆᎴᎦ ᏗᎦᏙᎵ|ᏓᎵᏐᏈᎴ|ᏗᎦᏘ
😬;ᎤᏓᏁᎪᏳᎲᎢ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏓᏁᎪᏳ|ᎤᏓᏁᎪᏳᎲᎢ ᎤᎧᏛ
😮‍💨;ᎤᎧᏛ ᎤᏓᏅᏖᏙᏗ;ᎠᏓᏍᏕᎸᏗ|ᎠᏦᏔᏍᏗ|ᎤᎧᏛ ᎤᏓᏅᏖᏙᏗ|ᎤᏗᏒᏅᎩ|ᎧᏬᎳᏕᏍᎬ
🤥;ᎠᎵᏍᎪᏅᏍᎦ ᎤᎧᏛ;ᎠᎵᏍᎪᏅᏍᎦ ᎤᎧᏛ|ᎠᏓ ᎠᏧᏣ|ᎠᏛᏍᎪᏅ|ᎤᎧᏛ
🫨;ᎦᎵᏍᏛᏂᎭ;ᎤᎧᏛ|ᎤᏍᎦ ᏍᏓᏁᎸ|ᎤᏩᎾᏫᏛ|ᎦᎵᏍᏛᏂᎭ|ᎦᏙ ᎠᎵᏖᎸᎮᏍᎬ
🙂‍↔️;ᎠᎵᏍᏛᏂᎭ;ᎠᎵᏍᏛᏂᎭ|ᎥᏝ|ᎦᎵᏍᏛᏂᎭ
🙂‍↕️;ᎤᏍᎫᏴᎢ;ᎤᏍᎫᏍᏗ|ᎤᏍᎫᏴᎢ|ᎥᎥ
😌;ᎤᏯᏪᏐᏢ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏯᏪᏐᏢ
😔;ᎠᏓᏅᏖᎸᏍᎩ ᎤᎧᏛ;ᎠᏓᏅᏖᎸᏍᎩ|ᎤᎧᏛ|ᏓᏓᏑᎶ
😪;ᎦᏢᏍᎩ ᎤᎧᏛ;ᎤᎧᏛ|ᎦᏟ|ᎦᏢᏍᎩ ᎤᎧᏛ
🤤;ᏗᎭᏬᎢᎭ ᎤᎧᏛ;ᎤᎧᏛ|ᏗᎭᏬᎢᎭ
😴;ᎦᏟᎯ ᎤᎧᏛ;ᎤᎧᏛ|ᎦᏟ|ᎦᏟᎯ ᎤᎧᏛ|ᏃᏃᏃ
😷;ᎤᎧᏛᎢ ᎤᏠᏯᏍᏗ ᎦᏃᏢᎩᏅᏬᏘ ᎠᎵᎬᏚᎶᏗ;ᎠᎦᎾᎦᏘ|ᎠᎵᎬᏚᎶᏗ|ᎤᎧᏛ|ᎤᎧᏛᎢ ᎤᏠᏯᏍᏗ ᎦᏃᏢᎩᏅᏬᏘ ᎠᎵᎬᏚᎶᏗ|ᎤᏢᎦ|ᎤᏴᏜ
🤒;ᎤᎧᏛᎢ ᎤᏠᏯᏍᏗ ᎤᏗᏞᎬ ᎤᎦᏅᏮ ᎠᏎᎯᎯ;ᎤᎧᏛ|ᎤᎧᏛᎢ ᎤᏠᏯᏍᏗ ᎤᏗᏞᎬ ᎤᎦᏅᏮ ᎠᏎᎯᎯ|ᎤᏓᏂᎳ|ᎤᏗᏞᎬ ᎤᎦᏅᏮ ᎠᏎᎯᎯ|ᎤᏢᎦ
🤕;ᎤᎧᏛᎢ ᎤᏠᏯᏍᏗ ᎠᏍᎪᎳ-ᎤᏐᏅᏅ ᎦᏇᏅᏙᏗ;ᎤᎧᏛ|ᎤᎧᏛᎢ ᎤᏠᏯᏍᏗ ᎠᏍᎪᎳ-ᎤᏐᏅᏅ ᎦᏇᏅᏙᏗ|ᎤᎵᏇᏅᎯ|ᎤᏥᏅᏅᎢ|ᎤᏪᏍᏓᏁ
🤢;ᎤᎸᏕᎳᏗ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᎸᏕᎳᏗ|ᏧᎦᏍᏘᏂᏕᎾ
🤮;ᎤᎧᏛ ᏚᎦᏍᏗᎲᎢ;ᎤᎧᏛ ᏚᎦᏍᏗᎲᎢ|ᎤᏓᏂᎸ|ᏚᎦᏍᏗᎲᎢ
🤧;ᏧᏴᏍᏙᏍᎩ ᎤᎧᏔ;ᎠᏗᏴᎳᏛᏍᎩ ᏗᏁᏟᏙᏗ|ᎤᎧᏛ|ᏚᏴᏍᏙᏍᎬᎢ|ᏧᏴᏍᏙᏍᎩ ᎤᎧᏔ
🥵;ᎤᏗᏞᎦ ᎤᎧᏛ;ᎠᎵ ᏓᏓᏑᎶ|ᎤᏗᎴᎬ ᎤᎸᏓᎸᏅ|ᎤᏗᎴᎲᏍᎩ|ᎤᏗᏞᎦ|ᎤᏗᏞᎦ ᎤᎧᏛ|ᎩᎦᎨ-ᎤᎧᏛᎢ
🥶;ᎤᏴᏜ ᎤᎧᏛ;ᎤᏴᏜ|ᎤᏴᏜ ᎤᎧᏛ|ᏌᎪᏂᎨ-ᎤᎧᏛᎢ|ᏕᎦᏁᏍᏓᎳᏗᎠ|ᏚᎿᏍᏓᎥ|ᏧᏁᏍᏓᎶᏒ
🥴;ᎤᎸᏕᏍᏗ ᎤᎧᏛ;ᎢᏧᎳᎭ ᏂᎨᏒᎾ ᏗᎦᏙᎵ|ᎤᎸᏕᎯ|ᎤᎸᏕᏍᏗ ᎤᎧᏛ|ᎤᏚᎩᏓ|ᎤᏥᏈᏗ ᎠᎰᎵ|ᎤᏴᏍᏕᏛᏉ
😵;ᎤᎸᏕᎯᏓ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᎸᏕᎯᏓ
😵‍💫;ᎤᎧᏛ ᏗᎩᏙᎵ ᎠᎦᎷᎦ ᎢᏳᏍᏗ;ᎠᎦᎷᎦ|ᎤᎧᏛ ᏗᎩᏙᎵ ᎠᎦᎷᎦ ᎢᏳᏍᏗ|ᎤᏦᎠᏎᏗ|ᏗᎦᎵᏔᏗᏍᎩ|Ꮼ
🤯;ᎠᏔᏍᎩᏍᎩ ᎠᎦᏍᏓᏛ;ᎠᏔᏍᎩᏍᎩ ᎠᎦᏍᏓᏛ|ᎤᏍᎦᏍᏓᏁᎸᎢ
🤠;ᏗᏍᎳᏗᏍᎩ ᎤᎵᏍᏇᏚᎩ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᎵᏍᏇᏚᎩ|ᏗᏍᎳᏗᏍᎩ
🥳;ᎤᎧᏛ ᎤᎾᏓᏡᎨᏍᎬ;ᎠᎵᏍᏇᏔᏬ|ᎤᎧᏛ ᎤᎾᏓᏡᎨᏍᎬ|ᎤᎾᏓᏡᎨᏍᎬ|ᎤᎾᏕᏘᏰᏍᎬ|ᎤᏲᎾ
🥸;ᎠᏣᏅᏙᏗ ᎤᎧᏛ;ᎠᏣᏅᏙᏗ|ᎤᎧᏛ|ᎤᎵᏕᎵᏍᏗ|ᎧᏴᏐᎵ|ᏗᎦᏘᏅᏗ
😎;ᎤᏰᏗᏍᎩ ᎤᎧᏔ ᏅᏓ ᏗᎦᏛᏅᏙᏗ ᏗᎦᏛᏅᏗᏍᏗ;ᎠᎦᎵ|ᎤᎧᏛ|ᎤᏁᏏᏴᏞ|ᎤᏰᏗᏍᎩ ᎤᎧᏔ ᏅᏓ ᏗᎦᏛᏅᏙᏗ ᏗᎦᏛᏅᏗᏍᏗ|ᏅᏓ|ᏅᏓ ᏗᎦᏛᏅᏙᏗ
🤓;ᎤᎦᎸᏗ ᎤᎧᏛ;ᎠᎧᎾᏗ|ᎤᎦᎸᏗ|ᎤᎧᏛ
🧐;ᏗᎦᏛᏅᏙᏗ ᎤᎧᏛ;ᎠᎧᎵ|ᏗᎦᏛᏅᏙᏗ ᎤᎧᏛ
😕;ᎤᏎᎩᏲᏤᎸᎢ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏎᎩᏲᏤᎸᎢ
🫤;ᎤᎧᏛ ᎾᎿ ᎤᏙᏌᏘ ᎠᎰᎵ;ᎤᎧᏛ ᎾᎿ ᎤᏙᏌᏘ ᎠᎰᎵ|ᎤᎵᏓᏍᏙᏗ|ᎤᏔᎴᏒ|ᎤᏜᏏᏛᎡᎭ|Ꮭ ᏳᏙᎯᏳᎢ
😟;ᎤᏪᎵᎯᏍᎩ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏪᎵᎯᏍᎩ
🙁;ᏍᏗᎩᏓ ᎤᏓᏁᎪᏳᏒ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏓᏁᎪᏳ|ᏍᏗᎩᏓ ᎤᏓᏁᎪᏳᏒ ᎤᎧᏛ
☹️;ᎤᏓᏁᎪᏳ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏓᏁᎪᏳ
😮;ᎤᎧᏛ ᎤᏠᏯᏍᏗ ᎤᏔᏠᎬᎢ;ᎠᎰᎵ|ᎠᏍᏚᎢᏓ|ᎤᎧᏛ|ᎤᎧᏛ ᎤᏠᏯᏍᏗ ᎤᏔᏠᎬᎢ|ᎤᏲ ᎠᏰᎸᎾ
😯;ᎡᎶᏪ ᎤᎧᏛ;ᎠᏥᏎᎦᏍᏛᏅ|ᎠᏥᏰᎶᎢᏍᏔᏅ|ᎡᎶᏪ ᎤᎧᏛ|ᎡᎶᏪ ᏯᎬᏁᎸᎢ|ᎤᎧᏛ
😲;ᎠᏥᏎᎦᏍᏔᏅᎢ ᎤᎧᏛ;ᎠᏥᏎᎦᏍᏔᏅᎢ|ᎤᎧᏛ|ᎤᏍᏆᏂᎦᏘ ᎤᏰᎸᏅ|ᎧᎵᏬ
😳;ᎦᏃᎱᎪᏗ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏎᎩᏲᏤ|ᎦᏃᎱᎪᏗ
🥺;ᎦᏂᎳᏗᎠ ᎤᎧᏛ;ᎠᏓᏙᎵᏍᏗ|ᎠᏚᎳᏗᏍᎬ|ᎦᏂᎳᏗᎠ ᎤᎧᏛ|ᎩᎵ ᎠᏗ ᏗᎦᏙᎵ
🥹;ᏧᎦᏌᏬᏛ ᎤᎧᏛ;ᎠᎵᏤᎸᎮᏍᎩ|ᎠᏠᎯᎭ|ᎤᎿᎸᎯ|ᎤᏢᏉᏗ|ᎤᏪᏙᎵᏍᏗ|ᏧᎦᏌᏬᏛ ᎤᎧᏛ
😦;ᎤᏓᏁᎪᏳᎲᎢ ᎤᎧᏛ ᎤᏔᏠᎩ;ᎠᎰᎵ|ᎠᏍᏚᎢᏓ|ᎤᎧᏛ|ᎤᏓᏁᎪᏳ|ᎤᏓᏁᎪᏳᎲᎢ ᎤᎧᏛ ᎤᏔᏠᎩ
😧;ᎠᎩᏟᏲᎬᎢ ᎤᎧᏛ;ᎠᎩᏟᏲᎬᎢ|ᎤᎧᏛ
😨;ᎤᎾᏰᏌᏘ ᎤᎧᏛ;ᎠᏍᎦᎢᎭ|ᎤᎧᏛ|ᎤᎾᏰᏌᏘ|ᎤᏍᎦᎡᎯ
😰;ᎤᎷᎶ ᎤᎧᏛ ᎠᎵ;ᎠᎵ|ᎠᏅᏍᏔᏅᎢ|ᎤᎧᏛ|ᎤᎷᎶ ᎤᎧᏛ ᎠᎵ|ᎤᏴᏜ|ᏌᎪᏂᎨ
