# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ᎤᏤᏣᏍᏗ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏤᏣᏍᏗ ᎤᎧᏛ|ᎤᏰᏍᎩ
🐾;ᏚᎳᏏᏅ ᏚᏙᏪᎸᎢ;ᎤᎳᏏᏅ ᎤᏙᏪᎸ|ᎤᎳᏏᏕᎾ|ᎤᏬᏱ|ᏚᎳᏏᏅ ᏚᏙᏪᎸᎢ
🦃;ᎬᏂ;ᎬᏂ|ᏥᏍᏆ
🐔;ᏣᏔᎦ;ᏣᏔᎦ|ᏥᏍᏆ
🐓;ᏣᏔᎦ ᎠᏨᏯ;ᏣᏔᎦ ᎠᏨᏯ|ᏥᏍᏆ
🐣;ᏣᏔᎩ ᎠᏣᎢ;ᎠᏣᎢ|ᎤᏍᏗ|ᏣᏔᎦ ᎤᏍᏗ|ᏣᏔᎩ ᎠᏣᎢ|ᏥᏍᏆ
🐤;ᎤᏍᏗ ᏣᏔᎩ;ᎤᏍᏗ|ᎤᏍᏗ ᏣᏔᎦ|ᎤᏍᏗ ᏣᏔᎩ|ᏥᏍᏆ
🐥;ᎢᎬᏱ-ᏗᏜ ᎤᏍᏗ ᏥᏔᎦ;ᎢᎬᏱ-ᏗᏜ ᎤᏍᏗ ᏥᏔᎦ|ᎤᏍᏗ|ᎤᏍᏗ ᏣᏔᎦ|ᏥᏍᏆ
🐦;ᏥᏍᏆ;ᏥᏍᏆ
🐧;ᏧᏴᏝ ᎡᎯ ᏥᏍᏆ;ᏥᏍᏆ|ᏧᏴᏝ ᎡᎯ ᏥᏍᏆ
🕊️;ᎫᎴ ᏗᏍᎪᏂ;ᎦᏃᎯᎵ|ᎫᎴ ᏗᏍᎪᏂ|ᏅᏩᏙᎯᏯᏛ|ᏥᏍᏆ
🦅;ᏬᎭᎵ;ᏥᏍᏆ|ᏬᎭᎵ
🦆;ᎧᏬᏄ;ᎧᏬᏄ|ᏥᏍᏆ
🦢;ᏍᎨᏆ;ᎠᏓᎨ ᎠᏓ|ᎤᏁᎩᎸᏗ ᎧᏬᏄ ᎠᏓ|ᏍᎨᏆ|ᏥᏍᏆ
🦉;ᎤᎫᎫ;ᎠᏓᏪ|ᎤᎫᎫ|ᏥᏍᏆ
🦤;ᏙᏙ;ᎡᏆ|ᎤᏲᎱᏒ|ᎹᎵᏏᎥᏍ|ᏙᏙ
🪶;ᎤᎩᏓᏟ;ᎤᎩᏓᏟ|ᎤᏘᏍᏓ|ᎦᏃᎭᎵᏙᎯ
🦩;ᎠᏚᎯᏅᏍᏗ ᏥᏍᏆ;ᎠᏚᎯᏅᏍᏗ ᏥᏍᏆ|ᎤᏗᏞᎦ|ᎤᏥᏍᏔᎷᎩᏍᎩ
🦚;ᎬᎾ ᏧᏆᏔᎵ ᏧᎷᎩ ᎠᏨᏯᎢ;ᎤᎾᏢᏉᏗ|ᎦᎾᏄᎪᏫᏍᎦ|ᎬᎾ ᏧᏆᏔᎵ ᏧᎷᎩ ᎠᎩᏏ|ᎬᎾ ᏧᏆᏔᎵ ᏧᎷᎩ ᎠᏨᏯᎢ|ᏥᏍᏆ
🦜;ᏥᏍᏆ ᎦᏬᏂᏍᎩ;ᎯᏬᏂᎯ|ᏥᏍᏆ|ᏥᏍᏆ ᎦᏬᏂᏍᎩ|ᏥᏳᎡᏙᎯ ᎠᏓᏌᎲᏍᎩ
🪽;ᎧᏃᎨᏂ;ᎦᏃᎯᎵᏙᎯ|ᎧᏃᎨᏂ|ᎧᏃᎮᏛ|ᏗᎧᏃᏩᏗᏙᎯ|ᏥᏍᏆ
🐦‍⬛;ᏥᏍᏆᎵᏍᏗ;ᎪᎦ|ᎪᎳᎾ|ᎪᎷ|ᎬᎿᎨ|ᏥᏍᏆ|ᏥᏍᏆᎵᏍᏗ
🪿;ᏌᏌ;ᎠᏛᏁᎵᎭ|ᏂᎦᏪᏍᎦ|ᏌᏌ|ᏥᏍᏆ
🐦‍🔥;ᏧᎴᎯᏌᏅᎯ;ᎠᏥᎳ|ᎧᏃᎮᏓ|ᎪᏍᏚ|ᎪᏛ|ᏈᏂᎩᏏ|ᏧᎴᎯᏌᏅᎯ
🐸;ᏩᎶᏏ ᎤᎧᏛ;ᎤᎧᏛ|ᏩᎶᏏ
🐊;ᏧᎳᏍᎩ;ᏧᎳᏍᎩ
🐢;ᏓᎦᏏ;ᎠᎹᏱ ᎡᎯ ᏓᎦᏏ|ᏓᎦᏏ|ᏓᎦᏏ ᎡᏆ
🦎;ᏘᏲᎭᎵ;ᎠᎾᏓᏏᏂᏙᎯ|ᏘᏲᎭᎵ
🐍;ᎢᎾᏓ;ᎠᏍᎦᏯ ᎢᎾᏓ ᎧᏂᏙᎯ|ᎢᎾᏓ|ᏃᏈᏏ ᏓᏟᎶᏍᏗᎲᎢ|ᏗᎧᏂᏙᎯ
🐲;ᎤᎦᏖᎾ ᎤᎧᏛ;ᎠᏓᏪᎯ ᎧᏃᎮᏓ|ᎤᎦᏖᎾ|ᎤᎧᏛ
🐉;ᎢᎾᏓ ᏗᎪᏯᏗ;ᎠᏓᏪᎯ|ᎢᎾᏓ ᏗᎪᏯᏗ
🦕;ᏘᏲᎭᎵ ᎤᎳᏏᏕᎾ;ᎢᏅ ᎢᎦᏘ ᏘᏲᎭᎵ|ᎧᏃᎨᏂ ᏘᏲᎭᎵ|ᏔᎵ ᎦᏖᏍᎨ|ᏘᏲᎭᎵ ᎤᎳᏏᏕᎾ
🦖;Ꭴ-ᎤᎬᏫᏳᎯ;Ꭴ-ᎤᎬᏫᏳᎯ|ᎤᎵᏍᎦᏂ ᏘᏲᎭᎵ ᎤᎬᏫᏳᎯ
🐳;ᎧᏬᎵᏕᏍᎬ ᏓᏆ;ᎤᎧᏛ|ᎧᏬᎵᏕᏍᎬ|ᏓᏆ
🐋;ᏓᏆ;ᏓᏆ
🐬;ᏗᎵᏆᏕᎩ;ᎧᎷᏆᏕᎩ|ᏗᎵᏆᏕᎩ
🦭;ᏗᏏᏫᏍᎩ;ᏗᏏᏛᏂ|ᏗᏏᏫᏍᎩ
🐟;ᎠᏣᏗ;ᎠᏂᏔᎵ ᎠᏣᏗ|ᎠᏣᏗ|ᏃᏈᏏ ᏓᏟᎶᏍᏗᎲᎢ
🐠;ᎤᏗᏞᎦ ᎠᏣᏗ;ᎠᏣᏗ|ᎤᏗᏞᎦ
🐡;ᎠᏦᏔᏍᎩᎠᏣᏗ;ᎠᏣᏗ|ᎠᏦᏔᏍᎩᎠᏣᏗ
🦈;ᏗᎧᏳᎦ;ᎠᏣᏗ|ᏗᎧᏳᎦ
🐙;ᎠᏓᏢᎢ;ᎠᏓᏢᎢ
🐚;ᎠᏕᏲᎯ ᎠᏯᏍᎦᎸᎢ;ᎠᏕᏲᎯ|ᎠᏯᏍᎦᎸᎢ
🪸;ᏅᏯ ᎠᎹᏱ;ᎠᎺᏉ|ᏅᏯ ᎠᎹᏱ
🪼;ᏩᏂᎨ ᎠᏣᏗ;ᎠᎺᏉᎯ|ᎠᏓᏨᏯᏍᎩ|ᎠᏣᏗ|ᎠᏲ|ᏩᏂᎨ
🐌;ᎡᎳᏆ;ᎡᎳᏆ
🦋;ᎤᏍᏗ ᎧᎹᎹ;ᎤᏍᏗ ᎧᎹᎹ|ᎤᏬᏚᎯ|ᎧᎹᎹ|ᏥᏍᎪᏯ
🐛;ᏥᏍᎪᏯ;ᏥᏍᎪᏯ
🐜;ᏙᏒᏓᎵ;ᏙᏒᏓᎵ|ᏥᏍᎪᏯ
🐝;ᎦᏍᎪᏳ;ᎦᏍᎪᏳ|ᏥᏍᎪᏯ
🪲;ᏧᎵᏍᎫᏩ;ᏍᎪᏯ|ᏥᏍᎪᏯ|ᏧᎵᏍᎫᏩ
🐞;ᎠᎨᏯ ᏧᎵᏍᎫᏩ;ᎠᎨᏯ ᏥᏍᎪᏯ|ᎠᎨᏯ ᏥᏍᏆ|ᎠᎨᏯ ᏧᎵᏍᎫᏩ|ᏥᏍᎪᏯ|ᏧᎵᏍᎫᏩ
🦗;ᏔᎳᏚ;ᏔᎳᏚ|ᏙᎳᏧᎦ
🪳;ᎤᏂᎾᏌ;ᎤᏂᎾᏌ|ᎾᏌ|ᏥᏍᎪᏯ
🕷️;ᎧᎿᏁᏍᎩ;ᎧᎿᏁᏍᎩ|ᏥᏍᎪᏯ
🕸️;ᎧᎿᏁᏍᎩ ᎤᏏᎳᏛᎢ;ᎤᏏᎳᏛᎢ|ᎧᎿᏁᏍᎩ
🦂;ᏥᏍᏛᎾ ᎠᏓᏨᏍᎩ;ᏃᏈᏏ ᏓᏟᎶᏍᏗᎲᎢ|ᏥᏍᏛᎾ ᎠᏓᏨᏍᎩ|ᏧᏁᎵᏁ
🦟;ᏙᏌ;ᎤᏗᎴᎲᏍᎩ|ᎥᏳᎩ|ᎥᏳᎩ ᎠᏱᎵᏙ|ᏓᎶᏂᎨ ᎤᏗᏞᎲᏍᎬ|ᏙᏌ|ᏨᏍᎪᏱ
🪰;ᏛᎦ;ᎤᎪᏏᏛ|ᎤᏥᏯᏳᏍᏗ|ᎥᏳᎩ ᎠᏳᎵᏙ|ᏓᎹᎦ|ᏛᎦ|ᏥᏥ
🪱;ᎤᏥᏯ;ᎡᎶᎯ ᎤᏥᏯ|ᎡᏁᎵᏓ|ᎤᏥᏯ|ᏜᏄᏩ
🦠;ᎥᏳᎩ ᎠᏓᏠᎩ;ᎤᏅᏥᏓ ᎠᎩᏍᎩ|ᎥᏳᎩ ᎠᏓᏠᎩ|ᎥᏳᎩ ᎠᏱᎵᏙ|ᏬᏍᏗᎬ ᎬᏃᏗ ᎥᏳᎩ
💐;ᏧᏂᏥᎸᏍᎩ;ᎤᏥᎸᏍᎩ|ᏧᏂᏥᎸᏍᎩ
🌸;ᎩᏔᏯ ᎤᏥᎸᏅ;ᎤᏥᎸᏅ|ᎤᏥᎸᏍᎩ|ᎩᏔᏯ
💮;ᎤᏁᎦ ᎤᏥᎸᏍᎩ;ᎤᏁᎦ ᎤᏥᎸᏍᎩ|ᎤᏥᎸᏍᎩ
🪷;ᏓᎶᏂᎨᏍᏛ ᎠᏥᎸᏍᎩ;ᎠᏥᎸᏍᎩ|ᎢᏂᏗᎢᎠ|ᎯᏂᏚ|ᏊᏓ|ᏓᎶᏂᎨᏍᏛ ᎠᏥᎸᏍᎩ|ᏙᎯ|ᏫᏰᏘᎾᎻ
🏵️;ᎠᎧᏁᏍᏗ;ᎠᎧᏁᏍᏗ|ᎦᎪᏗ
🌹;ᎶᏏ;ᎤᏥᎸᏍᎩ|ᎶᏏ
🥀;ᎤᏩᏅᏬᏒ ᎠᏥᎸᏍᎩ;ᎤᏥᎸᏍᎩ|ᎤᏩᏅᏬᏒ ᎠᏥᎸᏍᎩ
🌺;ᎭᏈᏍᎬᏏ;ᎤᏥᎸᏍᎩ|ᎭᏈᏍᎬᏏ
🌻;ᏅᏓᏗᎧᏅᏩᏗᏙᎯ;ᎤᏥᎸᏍᎩ|ᏅᏓ ᎢᎦ ᎡᎯ|ᏅᏓᏗᎧᏅᏩᏗᏙᎯ
🌼;ᎤᏥᎸᏅ;ᎤᏥᎸᏅ|ᎤᏥᎸᏍᎩ
🌷;ᏚᎵᏈ;ᎤᏥᎸᏍᎩ|ᏚᎵᏈ
🪻;ᎤᎬ ᎠᏔᏍᎩᏍᎩ;ᎠᏓᎲᎵᎨ|ᎠᏔᏍᎩᏍᎩ|ᎤᎬ|ᎪᏍᏚᏛ|ᏔᏆᎵ
🌱;ᎤᎦᏔᏛᏅ;ᎠᏓ|ᎤᎦᏔᏛᏅ
🪴;ᎦᎪᏗ;ᎠᎵᏍᏕᎸᏗ|ᎤᏛᎯᏍᏙᏗ|ᎦᎪᏗ|ᎦᎵᏦᏕ|ᏄᎵᏍᎨᏗᏴᎾ|ᏙᎯ
🌲;ᎠᏥᎾ ᎢᏡᎬᎢ;ᎠᏥᎾ ᎢᏡᎬᎢ|ᎢᏡᎬᎢ
🌳;ᎦᎵᏍᏚᏬᏍᎬᎢ ᎢᏡᎬᎢ;ᎠᏚᏩᏂᎩᏍᏗ|ᎢᏡᎬᎢ|ᎦᎵᏍᏚᏬᏍᎬᎢ
🌴;ᏧᎦᏄᏓᏅᎯᏛ ᎢᏡᎬᎢ;ᎢᏡᎬᎢ|ᏧᎦᏄᏓᏅᎯᏛ
🌵;ᎤᎵᎡᏍᎩ;ᎤᎵᎡᏍᎩ|ᎦᎪᏗ
🌾;ᎠᏍᏓᏴᏓᏅ Ꮎ ᏓᎵᏆ;ᎠᏍᏓᏴᏓᏅ Ꮎ ᏓᎵᏆ|ᎤᎦᏔᏛᏅᎢ|ᎦᎴᏂ|ᏓᎵᏆ
🌿;ᎤᎿᏍᏕᎳ;ᎤᎦᎶᎦ|ᎤᎿᏍᏕᎳ
☘️;ᏧᎦᎶᎦ;ᎦᎪᏗ|ᏧᎦᎶᎦ
🍀;ᏅᎩ ᏧᎦᎶᎩ ᎩᎦᎨ ᎠᏥᎸᏍᎩ;4|ᎤᎦᎶᎦ|ᎩᎦᎨ ᎠᏥᎸᏍᎩ|ᏅᎩ|ᏅᎩ ᏧᎦᎶᎩ ᎩᎦᎨ ᎠᏥᎸᏍᎩ
🍁;ᏢᏩᎩ ᎤᏆᎶᎩ;ᎤᎦᎶᎦ|ᏢᏩᎩ|ᏢᏩᎩ ᎤᏆᎶᎩ
🍂;ᎤᎵᏍᏚᎪᏒᎩ;ᎤᎦᎶᎦ|ᎤᎵᏍᏚᎪᏒᎩ|ᎪᎰᏍᎦ
🍃;ᎤᎦᎶᎦ ᎦᏃᏰ ᎦᏃᎸᏍᎬᎢ;ᎠᏦᏔᏍᏗ|ᎤᎦᎶᎦ|ᎤᎦᎶᎦ ᎦᏃᏰ ᎦᏃᎸᏍᎬᎢ|ᎦᏃᎸᏍᎦ|ᏓᎵᏐᏰ
🪹;ᎧᏁᏍᏓᎳᎲᎢ;ᎤᏁᏍᎩᎸᏒ|ᎧᏁᏍᏓᎳᎲᎢ
🪺;ᎧᏁᏍᏓᎳᎲᎢ ᎠᎴ ᏧᏪᏥ;ᎤᏁᏍᎩᎸᏒ|ᎧᏁᏍᏓᎳᎲᎢ ᎠᎴ ᏧᏪᏥ
🍄;ᏓᏬᎵ;ᏓᏬᎵ|ᏩᎶᏏ ᏓᏬᎵ

[food_drink]
🍇;ᎤᏂᏖᎸᎳᏗ;ᎤᏂᏖᎸᎳᏗ|ᎤᏓᏔᏅᎢ|ᏖᎸᎳᏗ
🍈;ᎬᎩᏍᏗ;ᎤᏓᏔᏅᎢ|ᎬᎩᏍᏗ
🍉;ᎠᎹ ᎬᎩᏍᏗ;ᎠᎹ ᎬᎩᏍᏗ|ᎤᏓᏔᏅᎢ
🍊;ᎠᏓᎶᏂᎨ ᎠᎩᏍᏗ;ᎠᏓᎶᏂᎨ ᎠᎩᏍᏗ|ᎣᏂᏥ|ᎤᏓᏔᏅᎢ
🍋;ᎵᎹᏂ;ᎤᏓᏔᏅᎢ|ᎵᎹᏂ|ᏧᎾᏦᎢᏍᏗ
🍋‍🟩;ᎳᎻ;ᎤᎦᏄᏮ ᏗᏢ|ᎤᏓᏔᏅᎢ|ᎳᎻ|ᏧᎾᏦᎢᏍᏗ
🍌;ᏆᏁᎾ;ᎤᏓᏔᏅᎢ|ᏆᏁᎾ
🍍;ᏃᏣ ᏒᎦᏔ ᎠᎩᏍᏓ;ᎤᏓᏔᏅᎢ|ᏃᏣ ᏒᎦᏔ ᎠᎩᏍᏓ
🥭;ᎺᏂᎪ;ᎠᏓᏛᏍᎩ|ᎦᏚᎵᏓ|ᎺᏂᎪ
🍎;ᎩᎦᎨ ᏒᎦᏔ;ᎤᏓᏔᏅ|ᎩᎦᎨ|ᏒᎦᏔ
🍏;ᎢᏤᏳᏍᏗ ᏒᎦᏔ;ᎢᏤ ᎢᏳᏍᏗ|ᎢᏤᏳᏍᏗ ᏒᎦᏔ|ᎤᏓᏔᏅ|ᏒᎦᏔ
🍐;ᎦᏛᏗ;ᎤᏓᏔᏅᎢ|ᎦᏛᏗ
🍑;ᏆᎾ;ᎤᏓᏔᏅᎢ|ᏆᎾ
🍒;ᎩᏔᏯ;ᎤᎦᎾᏍᏓ|ᎤᏓᏛᏅᎢ|ᎩᎦᎨ|ᎩᏔᏯ|ᎯᎸᏍᎩ ᎩᏔᏯ
🍓;ᎠᏂ;ᎠᏂ|ᎤᎦᎾᏍᏓ|ᎤᏓᏔᏅᎯ
🫐;ᎫᏩᏯ;ᎤᎦᎾᏍᏓ|ᎫᏩᏯ|ᏌᎪᏂᎨ|ᏳᎳᏈ ᎫᏩᏯ
🥝;ᎩᏫ ᎤᏓᏔᏅᎢ;ᎠᎵᏍᏓᏴᏗ|ᎤᏓᏛᏅᎢ|ᎩᏫ|ᎩᏫ ᎤᏓᏔᏅᎢ
🍅;ᏓᎹᏟ;ᎠᏫᏒᏅ ᎤᏛᏒ|ᎤᏓᏔᏅ|ᏓᎹᏟ
🫒;ᎣᎵᏩ;ᎠᎩᏍᏗ|ᎣᎵᏩ
🥥;ᏐᏈ ᎤᏪᏥ;ᎭᏪᎾᏗᏢ ᎤᏬᏰᏂ|ᏈᎾ ᎪᎳᏓ|ᏐᏈ ᎤᏪᏥ
🥑;ᏧᎳᏍᎩ ᎤᏪᏥ;ᎠᎵᏍᏓᏴᏗ|ᎤᏓᏔᏅᎢ|ᏧᎳᏍᎩ ᎤᏪᏥ
🍆;ᎤᏪᏥᎦᎪᏗ;ᎠᏓᎲᎵᎨ ᎠᏓᏛᏍᎩ|ᎠᏫᏒᏅ ᎤᏛᏒ|ᎤᏪᏥᎦᎪᏗ
🥔;ᏄᎾ;ᎠᎵᏍᏓᏴᏗ|ᎠᏫᏒᏅ ᎤᏛᏒᎢ|ᏄᎾ
🥕;ᏓᎶᏂᎨ ᎦᏢᏍᎩ;ᎠᎵᏍᏓᏴᏗ|ᎠᏫᏒᏅ ᎤᏛᏒᎢ|ᏓᎶᏂᎨ ᎦᏢᏍᎩ
🌽;ᏎᎷ ᎦᎵᏟᎬ;ᎠᎷ|ᎠᏓᎴᎾᏍᏗᏍᎩ|ᎦᎴ|ᏎᎷ|ᏎᎷ ᎦᎵᏟᎬ
🌶️;ᎤᏗᏞᎩ ᏗᏆᏲᏗ;ᎤᏗᏞᎩ|ᏗᏆᏲᏗ
🫑;ᎤᎭᎸᏂ ᎤᏥᎸ ᎤᏴᏍᏗ;ᎠᏫᏌᏂ|ᎤᎭᎸᏂ ᎤᏥᎸ ᎤᏴᏍᏗ|ᎤᏗᏞᎬᎢ|ᎤᏥᎸ ᎤᏴᏍᏗ
🥒;ᎦᎦᎹ;ᎠᎵᏍᏓᏴᏗ|ᎠᏫᏒᏅ ᎤᏛᏒᎢ|ᎦᎦᎹ|ᎦᎦᎹ ᏗᎧᏅᏦᎢᏍᏔᏅ
🥬;ᎢᏤᎢᏳᏍᏗ ᎤᎦᎶᎦ;ᎠᎪᏍᏓᎩᏍᏗ|ᎢᏤᎢᏳᏍᏗ ᎤᎦᎶᎦ|ᎤᏔᎾ ᏧᎦᎶᎦ ᏧᎦᏅᏕᎾ|ᏓᎶᏂᎨᏍᏛ ᏂᏓᏳᎶᏒ ᏧᎦᏅᏕᎾ|ᏧᎦᏅᏕᎾ
🥦;ᏧᎦᏅᏕᎾ ᎤᏍᏗ;ᏣᎦᏅᏕᎾ ᎢᎾᎨ ᎡᎯ|ᏧᎦᏅᏕᎾ ᎤᏍᏗ
🧄;ᏃᏳᏟ;ᎠᏑᏴᏗ|ᏃᏳᏟ
🧅;ᏒᎩ;ᎠᏑᏴᏗ|ᏒᎩ
🥜;ᎠᏂᏅᎯᏓ ᏚᏯ;ᎠᎵᏍᏓᏴᏗ|ᎠᏂᏅᎯᏓ ᏚᏯ|ᎠᏫᏒᏅ ᎤᏛᏒᎢ|ᏐᎯ|ᏚᏯ ᎠᏂᎳᏗᏍᎩ
🫘;ᏚᏯ;ᎠᎩᏍᏗ|ᎤᏓᎵ|ᏚᏯ
🌰;ᏘᎵ;ᎦᎪᏗ|ᏘᎵ
🫚;ᏄᏱᎦᎵ;ᎩᎵ ᎤᏩᏘ|ᏄᏱᎦᎵ|ᏫᏱ ᎦᏙᎩ
🫛;ᎤᏅᏢᏓᎵ;ᎢᏤ ᎢᏳᏍᏗ|ᎤᏅᏢᏓᎵ|ᎦᏅᎯᏓ|ᏚᏯ
🍄‍🟫;ᎤᏬᏗᎨ ᏓᏬᎵ;ᎠᎩᏍᏗ|ᎢᎾᎨ|ᎤᏬᏗᎨ ᏓᏬᎵ|ᏓᏬᎵ|ᏫᏏ
🍞;ᎦᏚ;ᎦᏚ|ᎦᏚᏅ
🥐;ᎦᎸᏥ ᎦᏚ;ᎠᎵᏍᏓᏴᏗ|ᎦᎸᏥ|ᎦᏐᏆᎳ ᎦᏚ|ᎦᏚ
🥖;ᎦᏅᎯᏓ ᏌᎨ ᎦᏚ;ᎠᎩᏍᏗ|ᎦᎸᏥ|ᎦᏅᎯᏓ ᏌᎨ ᎦᏚ|ᎦᏚ
🫓;ᎠᏍᏓᏅᏅᎢ ᎦᏚ;ᎠᏍᏓᏅᏅᎢ ᎦᏚ|ᎪᎢ ᎠᏍᏓᏅᏅᎢ ᎦᏚ|ᏎᎷ ᎠᏍᏓᏅᏅᎢ ᎦᏚ|ᏓᎶᏂᎨᏍᏛ ᎠᏍᏓᏅᏅᎢ ᎦᏚ|ᏗᎧᎸᎬ ᎠᏰᏟ ᎠᏍᏓᏅᏅᎢ ᎦᏚ
🥨;ᎤᏍᏓᎦᏴᎯᏓ ᎦᏚ;ᎤᏍᏓᎦᏴᎯᏓ ᎦᏚ|ᎦᏄᏖᏲᎸᎢ
🥯;ᎤᏣᎴᏍᏗᎤᎦᏔ ᎦᏚ;ᎤᏣᎴᏍᏗᎤᎦᏔ ᎦᏚ|ᎦᏚ ᎦᏅᎵᏰᏗ|ᏧᏂᏅᏘᏱ
🥞;ᏔᎷᎩᏍᎩ ᎦᏚ;ᎠᎵᏍᏓᏴᏗ|ᎤᏗᏞᎦ|ᎦᏚ ᎤᎦᎾᏍᏓ|ᏌᎨ ᎦᏚ|ᏔᎷᎩᏍᎩ ᎦᏚ
🧇;ᏅᎩ ᏧᎾᏏᏯ ᎦᏚ;ᏂᏓᎫᎦᏗᏍᎬᎾ|ᏅᎩ ᏧᎾᏏᏯ ᎦᏚ|ᏔᎷᎩᏍᎩ ᎤᏗᏞᎦ
🧀;ᎤᏅᏗ ᎦᏚᏅ ᎠᎦᏯᎷᏴᎢ;ᎤᏅᏗ ᎦᏚᏅ|ᎤᏅᏗ ᎦᏚᏅ ᎠᎦᏯᎷᏴᎢ
🍖;ᎭᏫᏯ ᎦᏁᎦᎸ ᎪᎳ;ᎪᎳ|ᎭᏫᏯ|ᎭᏫᏯ ᎦᏁᎦᎸ ᎪᎳ
🍗;ᏥᏔᎦ ᎦᎦᎸ;ᎦᏅᏍᎨᎾ|ᎪᎳ|ᏣᏔᎦ|ᏥᏍᏆ ᎭᏫᏯ|ᏥᏔᎦ ᎦᎦᎸ
🥩;ᎭᏫᏯ ᎠᎬᎭᎷᏴᎢ;ᎤᏃᏕᎾ ᎭᏫᏯ|ᎦᎷᏴ|ᎭᏫᏯ|ᎭᏫᏯ ᎠᎬᎭᎷᏴᎢ|ᏏᏆ ᎭᏫᏯ
🥓;ᎭᏫᏯ ᏗᎦᏒᏍᏔᏅ;ᎠᎵᏍᏓᏴᏗ|ᎭᏫᏯ|ᎭᏫᏯ ᏗᎦᏒᏍᏔᏅ
🍔;ᎭᏫᏯ ᎠᏍᏛᎭᏟ;ᎭᏫᏯ ᎠᏍᏛᎭᏟ|ᏩᎧ ᎠᏍᏛᎭᏟ
🍟;ᎦᎸᏥᏅᎾ ᏗᎬᏣᎳᏅᎯ;ᎦᎸᏥᏅᎾ|ᏗᎬᏣᎳᏅᎯ
🍕;ᎠᏍᏓᎲᏢᏅ ᎠᎩᏍᏗ;ᎠᏍᏓᎲᏢᏅ ᎠᎩᏍᏗ|ᎤᏅᏗ ᎦᏚᏅ|ᎦᎬᎭᎷᏴ
🌭;ᎠᏒᏅᏙᏗ ᎭᏫᏯ;ᎠᏒᏅᏙᏗ ᎭᏫᏯ|ᎠᏓᏥ|ᎭᏫᏯ|ᏏᏆ ᎭᏫᏯ
🥪;ᎠᏍᏛᎭᏟ;ᎠᏍᏛᎭᏟ|ᎦᏚ
🌮;ᏎᎷ ᎦᏚ ᎤᏂᏍᏛᎦᏱᏓ;ᎠᏍᏆᏂ|ᏎᎷ ᎦᏚ ᎤᏂᏍᏛᎦᏱᏓ
🌯;ᎦᏇᏅ;ᎠᏍᏆᏂ|ᎦᏇᏅ|ᎦᏇᏅᏗ
🫔;ᏔᎹᎴ;ᎠᏍᏆᏂ|ᎦᏇᏅᏗ|ᏔᎹᎴ
🥙;ᎦᏆᏅᏓᏅ ᎠᏍᏓᏅᏅᎢ ᎦᏚ;ᎠᎩᏍᏗ|ᎠᏍᏓᏅᏅᎢ ᎦᏚ|ᎦᏆᏅᏓᏅ|ᎦᏆᏅᏓᏅ ᎠᏍᏓᏅᏅᎢ ᎦᏚ|ᎨᏆᏆ|ᏥᎶ|ᏩᎳᏪᎵ
🧆;ᏍᏆᏞᏍᏗ ᏚᏳᎾᏍᏗᎢ;ᎭᏫᏯ ᏍᏆᏞᏍᏗ|ᏍᏆᏞᏍᏗ ᏚᏳᎾᏍᏗᎢ|ᏚᏳᎾᏍᏗᎢ
🥚;ᎤᏪᏥ;ᎠᎵᏍᏓᏴᏗ|ᎤᏪᏥ
🍳;ᎠᏓᏍᏓᏴᎲᏍᎩ;ᎠᏓᏍᏓᏴᎲᏍᎩ|ᎠᏓᏍᏙᏗ|ᎤᏪᏥ|ᎬᏣᏢᏍᎦ
🥘;ᏅᏬᏚ ᎤᏩᏖᏌᏓ Ꮎ ᎠᎵᏍᏓᏴᏗ;ᎠᎩᏍᏗ|ᎤᏩᏖᏌᏓᎾ|ᎧᏌᎶᎵ|ᏅᏬᏗ|ᏅᏬᏚ ᎤᏩᏖᏌᏓ Ꮎ ᎠᎵᏍᏓᏴᏗ|ᏅᏬᏚ ᎤᏩᏖᏌᏓᎾ ᎠᎵᏍᏓᏴᏗ|ᏆᏰᏯ
🍲;ᏧᎳᏍᎩ ᎧᎵ ᎠᎵᏍᏓᏴᏗ;ᎠᏟᏍᏛ|ᎤᎦᎹ|ᏧᎳᏍᎩ ᎧᎵ ᎠᎵᏍᏓᏴᏗ
🫕;ᎤᏅᏗ ᎦᏚᏅ ᎬᎾᏬᏍᎦ;ᎤᏅᏗ ᎦᏚᏅ|ᎤᏅᏗ ᎦᏚᏅ ᎬᎾᏬᏍᎦ|ᎧᎵᏎᏥ ᎤᏬᏗᎨ|ᎬᎾᏬᏍᎦ|ᏍᏫᏏ|ᏧᎳᏍᎩ
🥣;ᎤᏅᏪᏓ ᎾᏍᎩ ᎬᏩᏠᏯᏍᏗ ᎠᏗᏙᏘ;ᎤᏅᏪᏓ ᎾᏍᎩ ᎬᏩᏠᏯᏍᏗ ᎠᏗᏙᏘ|ᎬᏫᏍᏓ|ᏑᎾᎴᎢ ᎠᎵᏍᏓᏰᏗ|ᏓᎵᏆ ᎬᏫᏍᏔᏅ
🥗;ᎢᏤᏳᏍᏗ ᎪᏍᏓ ᎠᎩᏍᏗ;ᎠᎩᏍᏗ|ᎢᏤ ᎢᏳᏍᏗ|ᎢᏤᏳᏍᏗ ᎪᏍᏓ ᎠᎩᏍᏗ
