# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;Ojú tó rẹ́rìn;fẹyín|ojú|Ojú tó rẹ́rìn
	🫱🏼;ọwọ́ ọ̀tún: amọ́lára díẹ̀;amọ́lára díẹ̀|apá ọtún|ọtún|owọ́|ọwọ́ ọ̀tún|ọwọ́ ọ̀tún: amọ́lára díẹ̀
	🫱🏽;ọwọ́ ọ̀tún: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|apá ọtún|ọtún|owọ́|ọwọ́ ọ̀tún|ọwọ́ ọ̀tún: amọ́láwọ̀ díẹ̀
	🫱🏾;ọwọ́ ọ̀tún: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|apá ọtún|ọtún|owọ́|ọwọ́ ọ̀tún|ọwọ́ ọ̀tún: adúláwọ̀ díẹ̀
	🫱🏿;ọwọ́ ọ̀tún: adúláwọ̀;adúláwọ̀|apá ọtún|ọtún|owọ́|ọwọ́ ọ̀tún|ọwọ́ ọ̀tún: adúláwọ̀
🫲;ọwọ́ òsì;apa [posí|òsì|owo|ọwọ́ òsì
	🫲🏻;ọwọ́ òsì: amọ́lára;amọ́lára|apa [posí|òsì|owo|ọwọ́ òsì|ọwọ́ òsì: amọ́lára
	🫲🏼;ọwọ́ òsì: amọ́lára díẹ̀;amọ́lára díẹ̀|apa [posí|òsì|owo|ọwọ́ òsì|ọwọ́ òsì: amọ́lára díẹ̀
	🫲🏽;ọwọ́ òsì: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|apa [posí|òsì|owo|ọwọ́ òsì|ọwọ́ òsì: amọ́láwọ̀ díẹ̀
	🫲🏾;ọwọ́ òsì: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|apa [posí|òsì|owo|ọwọ́ òsì|ọwọ́ òsì: adúláwọ̀ díẹ̀
	🫲🏿;ọwọ́ òsì: adúláwọ̀;adúláwọ̀|apa [posí|òsì|owo|ọwọ́ òsì|ọwọ́ òsì: adúláwọ̀
🫳;àtẹ́lẹ̀wọ́ ìsàlẹ̀;àtẹ́lẹ̀wọ́ ìsàlẹ̀|jabọ̀|lé lọ|ọwọ́ ìsàlẹ̀|shoo
	🫳🏻;àtẹ́lẹ̀wọ́ ìsàlẹ̀: amọ́lára;amọ́lára|àtẹ́lẹ̀wọ́ ìsàlẹ̀|àtẹ́lẹ̀wọ́ ìsàlẹ̀: amọ́lára|jabọ̀|lé lọ|ọwọ́ ìsàlẹ̀|shoo
	🫳🏼;àtẹ́lẹ̀wọ́ ìsàlẹ̀: amọ́lára díẹ̀;amọ́lára díẹ̀|àtẹ́lẹ̀wọ́ ìsàlẹ̀|àtẹ́lẹ̀wọ́ ìsàlẹ̀: amọ́lára díẹ̀|jabọ̀|lé lọ|ọwọ́ ìsàlẹ̀|shoo
	🫳🏽;àtẹ́lẹ̀wọ́ ìsàlẹ̀: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|àtẹ́lẹ̀wọ́ ìsàlẹ̀|àtẹ́lẹ̀wọ́ ìsàlẹ̀: amọ́láwọ̀ díẹ̀|jabọ̀|lé lọ|ọwọ́ ìsàlẹ̀|shoo
	🫳🏾;àtẹ́lẹ̀wọ́ ìsàlẹ̀: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|àtẹ́lẹ̀wọ́ ìsàlẹ̀|àtẹ́lẹ̀wọ́ ìsàlẹ̀: adúláwọ̀ díẹ̀|jabọ̀|lé lọ|ọwọ́ ìsàlẹ̀|shoo
	🫳🏿;àtẹ́lẹ̀wọ́ ìsàlẹ̀: adúláwọ̀;adúláwọ̀|àtẹ́lẹ̀wọ́ ìsàlẹ̀|àtẹ́lẹ̀wọ́ ìsàlẹ̀: adúláwọ̀|jabọ̀|lé lọ|ọwọ́ ìsàlẹ̀|shoo
🫴;àtẹ́lẹwọ́ òkè;àtẹ́lẹwọ́ òkè|fún|mú|ọwọ́ òkè|pè|wá
	🫴🏻;àtẹ́lẹwọ́ òkè: amọ́lára;amọ́lára|àtẹ́lẹwọ́ òkè|àtẹ́lẹwọ́ òkè: amọ́lára|fún|mú|ọwọ́ òkè|pè|wá
	🫴🏼;àtẹ́lẹwọ́ òkè: amọ́lára díẹ̀;amọ́lára díẹ̀|àtẹ́lẹwọ́ òkè|àtẹ́lẹwọ́ òkè: amọ́lára díẹ̀|fún|mú|ọwọ́ òkè|pè|wá
	🫴🏽;àtẹ́lẹwọ́ òkè: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|àtẹ́lẹwọ́ òkè|àtẹ́lẹwọ́ òkè: amọ́láwọ̀ díẹ̀|fún|mú|ọwọ́ òkè|pè|wá
	🫴🏾;àtẹ́lẹwọ́ òkè: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|àtẹ́lẹwọ́ òkè|àtẹ́lẹwọ́ òkè: adúláwọ̀ díẹ̀|fún|mú|ọwọ́ òkè|pè|wá
	🫴🏿;àtẹ́lẹwọ́ òkè: adúláwọ̀;adúláwọ̀|àtẹ́lẹwọ́ òkè|àtẹ́lẹwọ́ òkè: adúláwọ̀|fún|mú|ọwọ́ òkè|pè|wá
🫷;títi ọwọ́ sọ́sì;apa osi|duro|ìka ọwọ́ márùn|kùnà|ti|títi ọwọ́ sọ́sì
	🫷🏻;títi ọwọ́ sọ́sì: amọ́lára;amọ́lára|apa osi|duro|ìka ọwọ́ márùn|kùnà|ti|títi ọwọ́ sọ́sì|títi ọwọ́ sọ́sì: amọ́lára
	🫷🏼;títi ọwọ́ sọ́sì: amọ́lára díẹ̀;amọ́lára díẹ̀|apa osi|duro|ìka ọwọ́ márùn|kùnà|ti|títi ọwọ́ sọ́sì|títi ọwọ́ sọ́sì: amọ́lára díẹ̀
	🫷🏽;títi ọwọ́ sọ́sì: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|apa osi|duro|ìka ọwọ́ márùn|kùnà|ti|títi ọwọ́ sọ́sì|títi ọwọ́ sọ́sì: amọ́láwọ̀ díẹ̀
	🫷🏾;títi ọwọ́ sọ́sì: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|apa osi|duro|ìka ọwọ́ márùn|kùnà|ti|títi ọwọ́ sọ́sì|títi ọwọ́ sọ́sì: adúláwọ̀ díẹ̀
	🫷🏿;títi ọwọ́ sọ́sì: adúláwọ̀;adúláwọ̀|apa osi|duro|ìka ọwọ́ márùn|kùnà|ti|títi ọwọ́ sọ́sì|títi ọwọ́ sọ́sì: adúláwọ̀
🫸;títi ọwọ́ sọ́tun;apa ọ̀tún|duro|ìka ọwọ́ márùn|kùnà|ti|títi ọwọ́ sọ́tun
	🫸🏻;títi ọwọ́ sọ́tun: amọ́lára;amọ́lára|apa ọ̀tún|duro|ìka ọwọ́ márùn|kùnà|ti|títi ọwọ́ sọ́tun|títi ọwọ́ sọ́tun: amọ́lára
	🫸🏼;títi ọwọ́ sọ́tun: amọ́lára díẹ̀;amọ́lára díẹ̀|apa ọ̀tún|duro|ìka ọwọ́ márùn|kùnà|ti|títi ọwọ́ sọ́tun|títi ọwọ́ sọ́tun: amọ́lára díẹ̀
	🫸🏽;títi ọwọ́ sọ́tun: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|apa ọ̀tún|duro|ìka ọwọ́ márùn|kùnà|ti|títi ọwọ́ sọ́tun|títi ọwọ́ sọ́tun: amọ́láwọ̀ díẹ̀
	🫸🏾;títi ọwọ́ sọ́tun: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|apa ọ̀tún|duro|ìka ọwọ́ márùn|kùnà|ti|títi ọwọ́ sọ́tun|títi ọwọ́ sọ́tun: adúláwọ̀ díẹ̀
	🫸🏿;títi ọwọ́ sọ́tun: adúláwọ̀;adúláwọ̀|apa ọ̀tún|duro|ìka ọwọ́ márùn|kùnà|ti|títi ọwọ́ sọ́tun|títi ọwọ́ sọ́tun: adúláwọ̀
👌;Ọwọ ODARA;ÓDÁRA|ọwọ́|Ọwọ ODARA
	👌🏻;Ọwọ ODARA: amọ́lára;amọ́lára|ÓDÁRA|ọwọ́|Ọwọ ODARA|Ọwọ ODARA: amọ́lára
	👌🏼;Ọwọ ODARA: amọ́lára díẹ̀;amọ́lára díẹ̀|ÓDÁRA|ọwọ́|Ọwọ ODARA|Ọwọ ODARA: amọ́lára díẹ̀
	👌🏽;Ọwọ ODARA: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ÓDÁRA|ọwọ́|Ọwọ ODARA|Ọwọ ODARA: amọ́láwọ̀ díẹ̀
	👌🏾;Ọwọ ODARA: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ÓDÁRA|ọwọ́|Ọwọ ODARA|Ọwọ ODARA: adúláwọ̀ díẹ̀
	👌🏿;Ọwọ ODARA: adúláwọ̀;adúláwọ̀|ÓDÁRA|ọwọ́|Ọwọ ODARA|Ọwọ ODARA: adúláwọ̀
🤌;ìka kíkákò;ẹ̀fẹ̀|ìfiwọ́ sọ̀rọ̀|ìka|ìka kíkákò|ìwanulẹ́nuwò|yín
	🤌🏻;ìka kíkákò: amọ́lára;amọ́lára|ẹ̀fẹ̀|ìfiwọ́ sọ̀rọ̀|ìka|ìka kíkákò|ìka kíkákò: amọ́lára|ìwanulẹ́nuwò|yín
	🤌🏼;ìka kíkákò: amọ́lára díẹ̀;amọ́lára díẹ̀|ẹ̀fẹ̀|ìfiwọ́ sọ̀rọ̀|ìka|ìka kíkákò|ìka kíkákò: amọ́lára díẹ̀|ìwanulẹ́nuwò|yín
	🤌🏽;ìka kíkákò: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ẹ̀fẹ̀|ìfiwọ́ sọ̀rọ̀|ìka|ìka kíkákò|ìka kíkákò: amọ́láwọ̀ díẹ̀|ìwanulẹ́nuwò|yín
	🤌🏾;ìka kíkákò: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ẹ̀fẹ̀|ìfiwọ́ sọ̀rọ̀|ìka|ìka kíkákò|ìka kíkákò: adúláwọ̀ díẹ̀|ìwanulẹ́nuwò|yín
	🤌🏿;ìka kíkákò: adúláwọ̀;adúláwọ̀|ẹ̀fẹ̀|ìfiwọ́ sọ̀rọ̀|ìka|ìka kíkákò|ìka kíkákò: adúláwọ̀|ìwanulẹ́nuwò|yín
🤏;ìka kíká;ìka kíká|owó kẹ̀keré|ọwọ́ yínyín
	🤏🏻;ìka kíká: amọ́lára;amọ́lára|ìka kíká|ìka kíká: amọ́lára|owó kẹ̀keré|ọwọ́ yínyín
	🤏🏼;ìka kíká: amọ́lára díẹ̀;amọ́lára díẹ̀|ìka kíká|ìka kíká: amọ́lára díẹ̀|owó kẹ̀keré|ọwọ́ yínyín
	🤏🏽;ìka kíká: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ìka kíká|ìka kíká: amọ́láwọ̀ díẹ̀|owó kẹ̀keré|ọwọ́ yínyín
	🤏🏾;ìka kíká: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ìka kíká|ìka kíká: adúláwọ̀ díẹ̀|owó kẹ̀keré|ọwọ́ yínyín
	🤏🏿;ìka kíká: adúláwọ̀;adúláwọ̀|ìka kíká|ìka kíká: adúláwọ̀|owó kẹ̀keré|ọwọ́ yínyín
✌️;aṣeyọrí ọwọ́;aṣeyọrí|ọwọ́|v
	✌🏻;aṣeyọrí ọwọ́: amọ́lára;amọ́lára|aṣeyọrí|aṣeyọrí ọwọ́: amọ́lára|ọwọ́|v
	✌🏼;aṣeyọrí ọwọ́: amọ́lára díẹ̀;amọ́lára díẹ̀|aṣeyọrí|aṣeyọrí ọwọ́: amọ́lára díẹ̀|ọwọ́|v
	✌🏽;aṣeyọrí ọwọ́: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|aṣeyọrí|aṣeyọrí ọwọ́: amọ́láwọ̀ díẹ̀|ọwọ́|v
	✌🏾;aṣeyọrí ọwọ́: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|aṣeyọrí|aṣeyọrí ọwọ́: adúláwọ̀ díẹ̀|ọwọ́|v
	✌🏿;aṣeyọrí ọwọ́: adúláwọ̀;adúláwọ̀|aṣeyọrí|aṣeyọrí ọwọ́: adúláwọ̀|ọwọ́|v
🤞;Igbekalera;dábùú|Igbekalera|ìka|orírere|ọwọ́
	🤞🏻;Igbekalera: amọ́lára;amọ́lára|dábùú|Igbekalera|Igbekalera: amọ́lára|ìka|orírere|ọwọ́
	🤞🏼;Igbekalera: amọ́lára díẹ̀;amọ́lára díẹ̀|dábùú|Igbekalera|Igbekalera: amọ́lára díẹ̀|ìka|orírere|ọwọ́
	🤞🏽;Igbekalera: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|dábùú|Igbekalera|Igbekalera: amọ́láwọ̀ díẹ̀|ìka|orírere|ọwọ́
	🤞🏾;Igbekalera: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|dábùú|Igbekalera|Igbekalera: adúláwọ̀ díẹ̀|ìka|orírere|ọwọ́
	🤞🏿;Igbekalera: adúláwọ̀;adúláwọ̀|dábùú|Igbekalera|Igbekalera: adúláwọ̀|ìka|orírere|ọwọ́
🫰;ọwọ́ pẹ̀lú ìka kẹ́keré àti ìka ńlá ní pípapọ̀;heart|ìfẹ́|owó|ọwọ́ pẹ̀lú ìka kekeré|ọwọ́ pẹ̀lú ìka kẹ́keré àti ìka ńlá ní pípapọ̀|snap àti atanpako to wà papọ̀|wọ́n
	🫰🏻;ọwọ́ pẹ̀lú ìka kẹ́keré àti ìka ńlá ní pípapọ̀: amọ́lára;amọ́lára|heart|ìfẹ́|owó|ọwọ́ pẹ̀lú ìka kekeré|ọwọ́ pẹ̀lú ìka kẹ́keré àti ìka ńlá ní pípapọ̀|ọwọ́ pẹ̀lú ìka kẹ́keré àti ìka ńlá ní pípapọ̀: amọ́lára|snap àti atanpako to wà papọ̀|wọ́n
	🫰🏼;ọwọ́ pẹ̀lú ìka kẹ́keré àti ìka ńlá ní pípapọ̀: amọ́lára díẹ̀;amọ́lára díẹ̀|heart|ìfẹ́|owó|ọwọ́ pẹ̀lú ìka kekeré|ọwọ́ pẹ̀lú ìka kẹ́keré àti ìka ńlá ní pípapọ̀|ọwọ́ pẹ̀lú ìka kẹ́keré àti ìka ńlá ní pípapọ̀: amọ́lára díẹ̀|snap àti atanpako to wà papọ̀|wọ́n
	🫰🏽;ọwọ́ pẹ̀lú ìka kẹ́keré àti ìka ńlá ní pípapọ̀: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|heart|ìfẹ́|owó|ọwọ́ pẹ̀lú ìka kekeré|ọwọ́ pẹ̀lú ìka kẹ́keré àti ìka ńlá ní pípapọ̀|ọwọ́ pẹ̀lú ìka kẹ́keré àti ìka ńlá ní pípapọ̀: amọ́láwọ̀ díẹ̀|snap àti atanpako to wà papọ̀|wọ́n
	🫰🏾;ọwọ́ pẹ̀lú ìka kẹ́keré àti ìka ńlá ní pípapọ̀: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|heart|ìfẹ́|owó|ọwọ́ pẹ̀lú ìka kekeré|ọwọ́ pẹ̀lú ìka kẹ́keré àti ìka ńlá ní pípapọ̀|ọwọ́ pẹ̀lú ìka kẹ́keré àti ìka ńlá ní pípapọ̀: adúláwọ̀ díẹ̀|snap àti atanpako to wà papọ̀|wọ́n
	🫰🏿;ọwọ́ pẹ̀lú ìka kẹ́keré àti ìka ńlá ní pípapọ̀: adúláwọ̀;adúláwọ̀|heart|ìfẹ́|owó|ọwọ́ pẹ̀lú ìka kekeré|ọwọ́ pẹ̀lú ìka kẹ́keré àti ìka ńlá ní pípapọ̀|ọwọ́ pẹ̀lú ìka kẹ́keré àti ìka ńlá ní pípapọ̀: adúláwọ̀|snap àti atanpako to wà papọ̀|wọ́n
🤟;ìfọwọ́júwè mo ní ìfẹ́;ìfọwọ́júwè mo ní ìfẹ́|ILY|Ọwọ́
	🤟🏻;ìfọwọ́júwè mo ní ìfẹ́: amọ́lára;amọ́lára|ìfọwọ́júwè mo ní ìfẹ́|ìfọwọ́júwè mo ní ìfẹ́: amọ́lára|ILY|Ọwọ́
	🤟🏼;ìfọwọ́júwè mo ní ìfẹ́: amọ́lára díẹ̀;amọ́lára díẹ̀|ìfọwọ́júwè mo ní ìfẹ́|ìfọwọ́júwè mo ní ìfẹ́: amọ́lára díẹ̀|ILY|Ọwọ́
	🤟🏽;ìfọwọ́júwè mo ní ìfẹ́: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ìfọwọ́júwè mo ní ìfẹ́|ìfọwọ́júwè mo ní ìfẹ́: amọ́láwọ̀ díẹ̀|ILY|Ọwọ́
	🤟🏾;ìfọwọ́júwè mo ní ìfẹ́: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ìfọwọ́júwè mo ní ìfẹ́|ìfọwọ́júwè mo ní ìfẹ́: adúláwọ̀ díẹ̀|ILY|Ọwọ́
	🤟🏿;ìfọwọ́júwè mo ní ìfẹ́: adúláwọ̀;adúláwọ̀|ìfọwọ́júwè mo ní ìfẹ́|ìfọwọ́júwè mo ní ìfẹ́: adúláwọ̀|ILY|Ọwọ́
🤘;Aami Awọn Iwo;19900|Aami Awọn Iwo|ìka|ìwo|ọwọ́
	🤘🏻;Aami Awọn Iwo: amọ́lára;19900|Aami Awọn Iwo|Aami Awọn Iwo: amọ́lára|amọ́lára|ìka|ìwo|ọwọ́
	🤘🏼;Aami Awọn Iwo: amọ́lára díẹ̀;19900|Aami Awọn Iwo|Aami Awọn Iwo: amọ́lára díẹ̀|amọ́lára díẹ̀|ìka|ìwo|ọwọ́
	🤘🏽;Aami Awọn Iwo: amọ́láwọ̀ díẹ̀;19900|Aami Awọn Iwo|Aami Awọn Iwo: amọ́láwọ̀ díẹ̀|amọ́láwọ̀ díẹ̀|ìka|ìwo|ọwọ́
	🤘🏾;Aami Awọn Iwo: adúláwọ̀ díẹ̀;19900|Aami Awọn Iwo|Aami Awọn Iwo: adúláwọ̀ díẹ̀|adúláwọ̀ díẹ̀|ìka|ìwo|ọwọ́
	🤘🏿;Aami Awọn Iwo: adúláwọ̀;19900|Aami Awọn Iwo|Aami Awọn Iwo: adúláwọ̀|adúláwọ̀|ìka|ìwo|ọwọ́
🤙;Ọwọ Ipeni;ìpè|ọwọ́|Ọwọ Ipeni
	🤙🏻;Ọwọ Ipeni: amọ́lára;amọ́lára|ìpè|ọwọ́|Ọwọ Ipeni|Ọwọ Ipeni: amọ́lára
	🤙🏼;Ọwọ Ipeni: amọ́lára díẹ̀;amọ́lára díẹ̀|ìpè|ọwọ́|Ọwọ Ipeni|Ọwọ Ipeni: amọ́lára díẹ̀
	🤙🏽;Ọwọ Ipeni: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ìpè|ọwọ́|Ọwọ Ipeni|Ọwọ Ipeni: amọ́láwọ̀ díẹ̀
	🤙🏾;Ọwọ Ipeni: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ìpè|ọwọ́|Ọwọ Ipeni|Ọwọ Ipeni: adúláwọ̀ díẹ̀
	🤙🏿;Ọwọ Ipeni: adúláwọ̀;adúláwọ̀|ìpè|ọwọ́|Ọwọ Ipeni|Ọwọ Ipeni: adúláwọ̀
👈;Ẹyin Ọwọ Ti O Tọka Si Apa Osi;ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Apa Osi|ìka|ìka kékeré|ọ̀gángán|ọwọ́
	👈🏻;Ẹyin Ọwọ Ti O Tọka Si Apa Osi: amọ́lára;amọ́lára|ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Apa Osi|Ẹyin Ọwọ Ti O Tọka Si Apa Osi: amọ́lára|ìka|ìka kékeré|ọ̀gángán|ọwọ́
	👈🏼;Ẹyin Ọwọ Ti O Tọka Si Apa Osi: amọ́lára díẹ̀;amọ́lára díẹ̀|ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Apa Osi|Ẹyin Ọwọ Ti O Tọka Si Apa Osi: amọ́lára díẹ̀|ìka|ìka kékeré|ọ̀gángán|ọwọ́
	👈🏽;Ẹyin Ọwọ Ti O Tọka Si Apa Osi: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Apa Osi|Ẹyin Ọwọ Ti O Tọka Si Apa Osi: amọ́láwọ̀ díẹ̀|ìka|ìka kékeré|ọ̀gángán|ọwọ́
	👈🏾;Ẹyin Ọwọ Ti O Tọka Si Apa Osi: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Apa Osi|Ẹyin Ọwọ Ti O Tọka Si Apa Osi: adúláwọ̀ díẹ̀|ìka|ìka kékeré|ọ̀gángán|ọwọ́
	👈🏿;Ẹyin Ọwọ Ti O Tọka Si Apa Osi: adúláwọ̀;adúláwọ̀|ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Apa Osi|Ẹyin Ọwọ Ti O Tọka Si Apa Osi: adúláwọ̀|ìka|ìka kékeré|ọ̀gángán|ọwọ́
👉;Ẹyin Ọwọ Ti O Tọka Si Apa Ọtun;ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Apa Ọtun|ìka|ìka kékeré|ọ̀gángán|ọwọ́
	👉🏻;Ẹyin Ọwọ Ti O Tọka Si Apa Ọtun: amọ́lára;amọ́lára|ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Apa Ọtun|Ẹyin Ọwọ Ti O Tọka Si Apa Ọtun: amọ́lára|ìka|ìka kékeré|ọ̀gángán|ọwọ́
	👉🏼;Ẹyin Ọwọ Ti O Tọka Si Apa Ọtun: amọ́lára díẹ̀;amọ́lára díẹ̀|ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Apa Ọtun|Ẹyin Ọwọ Ti O Tọka Si Apa Ọtun: amọ́lára díẹ̀|ìka|ìka kékeré|ọ̀gángán|ọwọ́
	👉🏽;Ẹyin Ọwọ Ti O Tọka Si Apa Ọtun: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Apa Ọtun|Ẹyin Ọwọ Ti O Tọka Si Apa Ọtun: amọ́láwọ̀ díẹ̀|ìka|ìka kékeré|ọ̀gángán|ọwọ́
	👉🏾;Ẹyin Ọwọ Ti O Tọka Si Apa Ọtun: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Apa Ọtun|Ẹyin Ọwọ Ti O Tọka Si Apa Ọtun: adúláwọ̀ díẹ̀|ìka|ìka kékeré|ọ̀gángán|ọwọ́
	👉🏿;Ẹyin Ọwọ Ti O Tọka Si Apa Ọtun: adúláwọ̀;adúláwọ̀|ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Apa Ọtun|Ẹyin Ọwọ Ti O Tọka Si Apa Ọtun: adúláwọ̀|ìka|ìka kékeré|ọ̀gángán|ọwọ́
👆;Ẹyin Ọwọ Ti O Tọka Si Oke;ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Oke|ìka|ìka kékeré|ọwọ́|sókè|tọ́ka
	👆🏻;Ẹyin Ọwọ Ti O Tọka Si Oke: amọ́lára;amọ́lára|ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Oke|Ẹyin Ọwọ Ti O Tọka Si Oke: amọ́lára|ìka|ìka kékeré|ọwọ́|sókè|tọ́ka
	👆🏼;Ẹyin Ọwọ Ti O Tọka Si Oke: amọ́lára díẹ̀;amọ́lára díẹ̀|ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Oke|Ẹyin Ọwọ Ti O Tọka Si Oke: amọ́lára díẹ̀|ìka|ìka kékeré|ọwọ́|sókè|tọ́ka
	👆🏽;Ẹyin Ọwọ Ti O Tọka Si Oke: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Oke|Ẹyin Ọwọ Ti O Tọka Si Oke: amọ́láwọ̀ díẹ̀|ìka|ìka kékeré|ọwọ́|sókè|tọ́ka
	👆🏾;Ẹyin Ọwọ Ti O Tọka Si Oke: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Oke|Ẹyin Ọwọ Ti O Tọka Si Oke: adúláwọ̀ díẹ̀|ìka|ìka kékeré|ọwọ́|sókè|tọ́ka
	👆🏿;Ẹyin Ọwọ Ti O Tọka Si Oke: adúláwọ̀;adúláwọ̀|ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Oke|Ẹyin Ọwọ Ti O Tọka Si Oke: adúláwọ̀|ìka|ìka kékeré|ọwọ́|sókè|tọ́ka
🖕;ìka àárín;ìka|ìka àárín|ọwọ́
	🖕🏻;ìka àárín: amọ́lára;amọ́lára|ìka|ìka àárín|ìka àárín: amọ́lára|ọwọ́
	🖕🏼;ìka àárín: amọ́lára díẹ̀;amọ́lára díẹ̀|ìka|ìka àárín|ìka àárín: amọ́lára díẹ̀|ọwọ́
	🖕🏽;ìka àárín: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ìka|ìka àárín|ìka àárín: amọ́láwọ̀ díẹ̀|ọwọ́
	🖕🏾;ìka àárín: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ìka|ìka àárín|ìka àárín: adúláwọ̀ díẹ̀|ọwọ́
	🖕🏿;ìka àárín: adúláwọ̀;adúláwọ̀|ìka|ìka àárín|ìka àárín: adúláwọ̀|ọwọ́
👇;Ẹyin Ọwọ Ti O Tọka Si Isalẹ;ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Isalẹ|ìka|ìka kékeré|ìsàlẹ̀|ọwọ́|tọ́ka
	👇🏻;Ẹyin Ọwọ Ti O Tọka Si Isalẹ: amọ́lára;amọ́lára|ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Isalẹ|Ẹyin Ọwọ Ti O Tọka Si Isalẹ: amọ́lára|ìka|ìka kékeré|ìsàlẹ̀|ọwọ́|tọ́ka
	👇🏼;Ẹyin Ọwọ Ti O Tọka Si Isalẹ: amọ́lára díẹ̀;amọ́lára díẹ̀|ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Isalẹ|Ẹyin Ọwọ Ti O Tọka Si Isalẹ: amọ́lára díẹ̀|ìka|ìka kékeré|ìsàlẹ̀|ọwọ́|tọ́ka
	👇🏽;Ẹyin Ọwọ Ti O Tọka Si Isalẹ: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ẹ̀yìn ọwọ́|Ẹyin Ọwọ Ti O Tọka Si Isalẹ|Ẹyin Ọwọ Ti O Tọka Si Isalẹ: amọ́láwọ̀ díẹ̀|ìka|ìka kékeré|ìsàlẹ̀|ọwọ́|tọ́ka
