# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;Ojú tó rẹ́rìn;fẹyín|ojú|Ojú tó rẹ́rìn
🧡;ọlakàn ọsàn;aláwọ̀ ọsàn|ọlakàn ọsàn
💛;Ọkan Awọ Ofeefe;Ọkan Awọ Ofeefe|yẹ́lò
💚;Ọkan Awọ Ewe;àwọ̀ ewé|Ọkan Awọ Ewe
💙;Ọkan Bulu;búlù|Ọkan Bulu
🩵;okàn buluu díè;búlùú díẹ̀|ọkàn|okàn buluu díè|síyánì|tílì
💜;Ọkan Awọ Pọpu;Ọkan Awọ Pọpu|pọ́pù
🤎;ọkàn awo igi;awo igi / ọkàn|ọkàn awo igi
🖤;Ọkàn Dúdú;dúdú|èṣù|ìkà|Ọkàn Dúdú
🩶;ọkan eerú;eérú|ọkàn|ọkan eerú|sífà|síléètì
🤍;ọkàn funfun;ọkàn / funfun|ọkàn funfun
💋;Aami Ifẹnuko;Aami Ifẹnuko|ètè|fẹnukonu
💯;koko ọgọrun;100|ìṣirò|koko ọgọrun|kún|ọgọ́rùn
💢;Àmì Ibinu;Àmì Ibinu|àwàdà|bínú
💥;Ikọlu;àwàdà|bóòmù|Ikọlu
💫;Itoogbe;àwàdà|ìràwọ̀|Itoogbe
💦;Ilaagun Ti N kan;àwàdà|Ilaagun Ti N kan|òógùn|tami
💨;N Salọ;àwàdà|dáàṣì|N Salọ|ń sáré
🕳️;ihò;ihò
💬;Bàlúnù Ọ̀rọ̀ Sísọ;àdàlú|àwàdà|bàlú|Bàlúnù Ọ̀rọ̀ Sísọ|ìtàkùrọ̀sọ|ọ̀rọ̀
👁️‍🗨️;ojú ní àlú ọ̀rọ̀;bàlú ọ̀rọ̀|ẹléri|eyinjú|ojú ní àlú ọ̀rọ̀
🗨️;bàlúnù ọ̀rọ̀ sísọ òsì;bàlúnù ọ̀rọ̀ sísọ òsì|ìtàkùrọ̀sọ|ọ̀rọ̀
🗯️;bàlúnù ọ̀rọ̀ sísọ ọ̀tún;àdàlú|bàlúnù|bàlúnù ọ̀rọ̀ sísọ ọ̀tún|bínú
💭;Bàlúnù Ero;àdàlú|àwàdà|bàlúnù|Bàlúnù Ero|èrò
💤;Zzz;àwàdà|sùn|Zzz

[people_body]
👋;N Juwọ;juwọ́|N Juwọ|ń juwọ́|ọwọ́
	👋🏻;N Juwọ: amọ́lára;amọ́lára|juwọ́|N Juwọ|ń juwọ́|N Juwọ: amọ́lára|ọwọ́
	👋🏼;N Juwọ: amọ́lára díẹ̀;amọ́lára díẹ̀|juwọ́|N Juwọ|ń juwọ́|N Juwọ: amọ́lára díẹ̀|ọwọ́
	👋🏽;N Juwọ: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|juwọ́|N Juwọ|ń juwọ́|N Juwọ: amọ́láwọ̀ díẹ̀|ọwọ́
	👋🏾;N Juwọ: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|juwọ́|N Juwọ|ń juwọ́|N Juwọ: adúláwọ̀ díẹ̀|ọwọ́
	👋🏿;N Juwọ: adúláwọ̀;adúláwọ̀|juwọ́|N Juwọ|ń juwọ́|N Juwọ: adúláwọ̀|ọwọ́
🤚;Na Ẹhin Ọwọ Soke;ẹ̀yìn ọwọ́|Na Ẹhin Ọwọ Soke|nà sókè
	🤚🏻;Na Ẹhin Ọwọ Soke: amọ́lára;amọ́lára|ẹ̀yìn ọwọ́|Na Ẹhin Ọwọ Soke|Na Ẹhin Ọwọ Soke: amọ́lára|nà sókè
	🤚🏼;Na Ẹhin Ọwọ Soke: amọ́lára díẹ̀;amọ́lára díẹ̀|ẹ̀yìn ọwọ́|Na Ẹhin Ọwọ Soke|Na Ẹhin Ọwọ Soke: amọ́lára díẹ̀|nà sókè
	🤚🏽;Na Ẹhin Ọwọ Soke: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ẹ̀yìn ọwọ́|Na Ẹhin Ọwọ Soke|Na Ẹhin Ọwọ Soke: amọ́láwọ̀ díẹ̀|nà sókè
	🤚🏾;Na Ẹhin Ọwọ Soke: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ẹ̀yìn ọwọ́|Na Ẹhin Ọwọ Soke|Na Ẹhin Ọwọ Soke: adúláwọ̀ díẹ̀|nà sókè
	🤚🏿;Na Ẹhin Ọwọ Soke: adúláwọ̀;adúláwọ̀|ẹ̀yìn ọwọ́|Na Ẹhin Ọwọ Soke|Na Ẹhin Ọwọ Soke: adúláwọ̀|nà sókè
🖐️;nawọ́ sókè pẹ̀lú ìyàka;ìka|nawọ́ sókè pẹ̀lú ìyàka|ọwọ́|yàka
	🖐🏻;nawọ́ sókè pẹ̀lú ìyàka: amọ́lára;amọ́lára|ìka|nawọ́ sókè pẹ̀lú ìyàka|nawọ́ sókè pẹ̀lú ìyàka: amọ́lára|ọwọ́|yàka
	🖐🏼;nawọ́ sókè pẹ̀lú ìyàka: amọ́lára díẹ̀;amọ́lára díẹ̀|ìka|nawọ́ sókè pẹ̀lú ìyàka|nawọ́ sókè pẹ̀lú ìyàka: amọ́lára díẹ̀|ọwọ́|yàka
	🖐🏽;nawọ́ sókè pẹ̀lú ìyàka: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ìka|nawọ́ sókè pẹ̀lú ìyàka|nawọ́ sókè pẹ̀lú ìyàka: amọ́láwọ̀ díẹ̀|ọwọ́|yàka
	🖐🏾;nawọ́ sókè pẹ̀lú ìyàka: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ìka|nawọ́ sókè pẹ̀lú ìyàka|nawọ́ sókè pẹ̀lú ìyàka: adúláwọ̀ díẹ̀|ọwọ́|yàka
	🖐🏿;nawọ́ sókè pẹ̀lú ìyàka: adúláwọ̀;adúláwọ̀|ìka|nawọ́ sókè pẹ̀lú ìyàka|nawọ́ sókè pẹ̀lú ìyàka: adúláwọ̀|ọwọ́|yàka
✋;Ọwọ Nina Soke;ọwọ́|Ọwọ Nina Soke
	✋🏻;Ọwọ Nina Soke: amọ́lára;amọ́lára|ọwọ́|Ọwọ Nina Soke|Ọwọ Nina Soke: amọ́lára
	✋🏼;Ọwọ Nina Soke: amọ́lára díẹ̀;amọ́lára díẹ̀|ọwọ́|Ọwọ Nina Soke|Ọwọ Nina Soke: amọ́lára díẹ̀
	✋🏽;Ọwọ Nina Soke: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ọwọ́|Ọwọ Nina Soke|Ọwọ Nina Soke: amọ́láwọ̀ díẹ̀
	✋🏾;Ọwọ Nina Soke: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ọwọ́|Ọwọ Nina Soke|Ọwọ Nina Soke: adúláwọ̀ díẹ̀
	✋🏿;Ọwọ Nina Soke: adúláwọ̀;adúláwọ̀|ọwọ́|Ọwọ Nina Soke|Ọwọ Nina Soke: adúláwọ̀
🖖;Kiki Ibẹri Funni;ìka|Kiki Ibẹri Funni|ọwọ́|spock|vulcan
	🖖🏻;Kiki Ibẹri Funni: amọ́lára;amọ́lára|ìka|Kiki Ibẹri Funni|Kiki Ibẹri Funni: amọ́lára|ọwọ́|spock|vulcan
	🖖🏼;Kiki Ibẹri Funni: amọ́lára díẹ̀;amọ́lára díẹ̀|ìka|Kiki Ibẹri Funni|Kiki Ibẹri Funni: amọ́lára díẹ̀|ọwọ́|spock|vulcan
	🖖🏽;Kiki Ibẹri Funni: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ìka|Kiki Ibẹri Funni|Kiki Ibẹri Funni: amọ́láwọ̀ díẹ̀|ọwọ́|spock|vulcan
	🖖🏾;Kiki Ibẹri Funni: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ìka|Kiki Ibẹri Funni|Kiki Ibẹri Funni: adúláwọ̀ díẹ̀|ọwọ́|spock|vulcan
	🖖🏿;Kiki Ibẹri Funni: adúláwọ̀;adúláwọ̀|ìka|Kiki Ibẹri Funni|Kiki Ibẹri Funni: adúláwọ̀|ọwọ́|spock|vulcan
🫱;ọwọ́ ọ̀tún;apá ọtún|ọtún|owọ́|ọwọ́ ọ̀tún
	🫱🏻;ọwọ́ ọ̀tún: amọ́lára;amọ́lára|apá ọtún|ọtún|owọ́|ọwọ́ ọ̀tún|ọwọ́ ọ̀tún: amọ́lára
