# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ырсайган бет;бет|ырсай|ырсайган бет
	👩🏿‍⚕️;аял медицина кызматкери: кара;аял|аял медицина кызматкери|аял медицина кызматкери: кара|доктор|кара|медайым|саламаттыкты сактоо|терапевт
🧑‍🎓;студент;студент
	🧑🏻‍🎓;студент: акжуумал;акжуумал|студент|студент: акжуумал
	🧑🏼‍🎓;студент: буудай жүздүү;буудай жүздүү|студент|студент: буудай жүздүү
	🧑🏽‍🎓;студент: орточо;орточо|студент|студент: орточо
	🧑🏾‍🎓;студент: кара тору;кара тору|студент|студент: кара тору
	🧑🏿‍🎓;студент: кара;кара|студент|студент: кара
👨‍🎓;эркек студент;бүтүрүүчү|студент|эркек
	👨🏻‍🎓;эркек студент: акжуумал;акжуумал|бүтүрүүчү|студент|эркек|эркек студент: акжуумал
	👨🏼‍🎓;эркек студент: буудай жүздүү;буудай жүздүү|бүтүрүүчү|студент|эркек|эркек студент: буудай жүздүү
	👨🏽‍🎓;эркек студент: орточо;бүтүрүүчү|орточо|студент|эркек|эркек студент: орточо
	👨🏾‍🎓;эркек студент: кара тору;бүтүрүүчү|кара тору|студент|эркек|эркек студент: кара тору
	👨🏿‍🎓;эркек студент: кара;бүтүрүүчү|кара|студент|эркек|эркек студент: кара
👩‍🎓;аял студент;аял|бүтүрүүчү|студент
	👩🏻‍🎓;аял студент: акжуумал;акжуумал|аял|аял студент: акжуумал|бүтүрүүчү|студент
	👩🏼‍🎓;аял студент: буудай жүздүү;аял|аял студент: буудай жүздүү|буудай жүздүү|бүтүрүүчү|студент
	👩🏽‍🎓;аял студент: орточо;аял|аял студент: орточо|бүтүрүүчү|орточо|студент
	👩🏾‍🎓;аял студент: кара тору;аял|аял студент: кара тору|бүтүрүүчү|кара тору|студент
	👩🏿‍🎓;аял студент: кара;аял|аял студент: кара|бүтүрүүчү|кара|студент
🧑‍🏫;мугалим;мугалим
	🧑🏻‍🏫;мугалим: акжуумал;акжуумал|мугалим|мугалим: акжуумал
	🧑🏼‍🏫;мугалим: буудай жүздүү;буудай жүздүү|мугалим|мугалим: буудай жүздүү
	🧑🏽‍🏫;мугалим: орточо;мугалим|мугалим: орточо|орточо
	🧑🏾‍🏫;мугалим: кара тору;кара тору|мугалим|мугалим: кара тору
	🧑🏿‍🏫;мугалим: кара;кара|мугалим|мугалим: кара
👨‍🏫;эркек мугалим;мугалим|окутуучу|профессор|эркек
	👨🏻‍🏫;эркек мугалим: акжуумал;акжуумал|мугалим|окутуучу|профессор|эркек|эркек мугалим: акжуумал
	👨🏼‍🏫;эркек мугалим: буудай жүздүү;буудай жүздүү|мугалим|окутуучу|профессор|эркек|эркек мугалим: буудай жүздүү
	👨🏽‍🏫;эркек мугалим: орточо;мугалим|окутуучу|орточо|профессор|эркек|эркек мугалим: орточо
	👨🏾‍🏫;эркек мугалим: кара тору;кара тору|мугалим|окутуучу|профессор|эркек|эркек мугалим: кара тору
	👨🏿‍🏫;эркек мугалим: кара;кара|мугалим|окутуучу|профессор|эркек|эркек мугалим: кара
👩‍🏫;аял мугалим;аял|мугалим|окутуучу|профессор
	👩🏻‍🏫;аял мугалим: акжуумал;акжуумал|аял|аял мугалим: акжуумал|мугалим|окутуучу|профессор
	👩🏼‍🏫;аял мугалим: буудай жүздүү;аял|аял мугалим: буудай жүздүү|буудай жүздүү|мугалим|окутуучу|профессор
	👩🏽‍🏫;аял мугалим: орточо;аял|аял мугалим: орточо|мугалим|окутуучу|орточо|профессор
	👩🏾‍🏫;аял мугалим: кара тору;аял|аял мугалим: кара тору|кара тору|мугалим|окутуучу|профессор
	👩🏿‍🏫;аял мугалим: кара;аял|аял мугалим: кара|кара|мугалим|окутуучу|профессор
🧑‍⚖️;сот;сот
	🧑🏻‍⚖️;сот: акжуумал;акжуумал|сот|сот: акжуумал
	🧑🏼‍⚖️;сот: буудай жүздүү;буудай жүздүү|сот|сот: буудай жүздүү
