# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kusisqa uya;kusi|kusisqa uya|uya
	🧑🏽‍❤️‍💋‍🧑🏿;much’a: runa, runa, tunpa qara niraq, yana qara niraq;much’a|much’a: runa, runa, tunpa qara niraq, yana qara niraq|pitu runakuna|runa|tunpa qara niraq|yana qara niraq
	🧑🏾‍❤️‍💋‍🧑🏻;much’a: runa, runa, tunpa yana qara niraq, chuya qara niraq;chuya qara niraq|much’a|much’a: runa, runa, tunpa yana qara niraq, chuya qara niraq|pitu runakuna|runa|tunpa yana qara niraq
	🧑🏾‍❤️‍💋‍🧑🏼;much’a: runa, runa, tunpa yana qara niraq, tunpa chuya qara niraq;much’a|much’a: runa, runa, tunpa yana qara niraq, tunpa chuya qara niraq|pitu runakuna|runa|tunpa chuya qara niraq|tunpa yana qara niraq
	🧑🏾‍❤️‍💋‍🧑🏽;much’a: runa, runa, tunpa yana qara niraq, tunpa qara niraq;much’a|much’a: runa, runa, tunpa yana qara niraq, tunpa qara niraq|pitu runakuna|runa|tunpa qara niraq|tunpa yana qara niraq
	🧑🏾‍❤️‍💋‍🧑🏿;much’a: runa, runa, tunpa yana qara niraq, yana qara niraq;much’a|much’a: runa, runa, tunpa yana qara niraq, yana qara niraq|pitu runakuna|runa|tunpa yana qara niraq|yana qara niraq
	🧑🏿‍❤️‍💋‍🧑🏻;much’a: runa, runa, yana qara niraq, chuya qara niraq;chuya qara niraq|much’a|much’a: runa, runa, yana qara niraq, chuya qara niraq|pitu runakuna|runa|yana qara niraq
	🧑🏿‍❤️‍💋‍🧑🏼;much’a: runa, runa, yana qara niraq, tunpa chuya qara niraq;much’a|much’a: runa, runa, yana qara niraq, tunpa chuya qara niraq|pitu runakuna|runa|tunpa chuya qara niraq|yana qara niraq
	🧑🏿‍❤️‍💋‍🧑🏽;much’a: runa, runa, yana qara niraq, tunpa qara niraq;much’a|much’a: runa, runa, yana qara niraq, tunpa qara niraq|pitu runakuna|runa|tunpa qara niraq|yana qara niraq
	🧑🏿‍❤️‍💋‍🧑🏾;much’a: runa, runa, yana qara niraq, tunpa yana qara niraq;much’a|much’a: runa, runa, yana qara niraq, tunpa yana qara niraq|pitu runakuna|runa|tunpa yana qara niraq|yana qara niraq
👩‍❤️‍💋‍👨;much’a: warmi, qari;much’a|much’a: warmi, qari|pitu runakuna|qari|warmi
	👩🏻‍❤️‍💋‍👨🏻;much’a: warmi, qari, chuya qara niraq;chuya qara niraq|much’a|much’a: warmi, qari, chuya qara niraq|pitu runakuna|qari|warmi
	👩🏻‍❤️‍💋‍👨🏼;much’a: warmi, qari, chuya qara niraq, tunpa chuya qara niraq;chuya qara niraq|much’a|much’a: warmi, qari, chuya qara niraq, tunpa chuya qara niraq|pitu runakuna|qari|tunpa chuya qara niraq|warmi
	👩🏻‍❤️‍💋‍👨🏽;much’a: warmi, qari, chuya qara niraq, tunpa qara niraq;chuya qara niraq|much’a|much’a: warmi, qari, chuya qara niraq, tunpa qara niraq|pitu runakuna|qari|tunpa qara niraq|warmi
	👩🏻‍❤️‍💋‍👨🏾;much’a: warmi, qari, chuya qara niraq, tunpa yana qara niraq;chuya qara niraq|much’a|much’a: warmi, qari, chuya qara niraq, tunpa yana qara niraq|pitu runakuna|qari|tunpa yana qara niraq|warmi
	👩🏻‍❤️‍💋‍👨🏿;much’a: warmi, qari, chuya qara niraq, yana qara niraq;chuya qara niraq|much’a|much’a: warmi, qari, chuya qara niraq, yana qara niraq|pitu runakuna|qari|warmi|yana qara niraq
	👩🏼‍❤️‍💋‍👨🏻;much’a: warmi, qari, tunpa chuya qara niraq, chuya qara niraq;chuya qara niraq|much’a|much’a: warmi, qari, tunpa chuya qara niraq, chuya qara niraq|pitu runakuna|qari|tunpa chuya qara niraq|warmi
	👩🏼‍❤️‍💋‍👨🏼;much’a: warmi, qari, tunpa chuya qara niraq;much’a|much’a: warmi, qari, tunpa chuya qara niraq|pitu runakuna|qari|tunpa chuya qara niraq|warmi
	👩🏼‍❤️‍💋‍👨🏽;much’a: warmi, qari, tunpa chuya qara niraq, tunpa qara niraq;much’a|much’a: warmi, qari, tunpa chuya qara niraq, tunpa qara niraq|pitu runakuna|qari|tunpa chuya qara niraq|tunpa qara niraq|warmi
	👩🏼‍❤️‍💋‍👨🏾;much’a: warmi, qari, tunpa chuya qara niraq, tunpa yana qara niraq;much’a|much’a: warmi, qari, tunpa chuya qara niraq, tunpa yana qara niraq|pitu runakuna|qari|tunpa chuya qara niraq|tunpa yana qara niraq|warmi
	👩🏼‍❤️‍💋‍👨🏿;much’a: warmi, qari, tunpa chuya qara niraq, yana qara niraq;much’a|much’a: warmi, qari, tunpa chuya qara niraq, yana qara niraq|pitu runakuna|qari|tunpa chuya qara niraq|warmi|yana qara niraq
	👩🏽‍❤️‍💋‍👨🏻;much’a: warmi, qari, tunpa qara niraq, chuya qara niraq;chuya qara niraq|much’a|much’a: warmi, qari, tunpa qara niraq, chuya qara niraq|pitu runakuna|qari|tunpa qara niraq|warmi
	👩🏽‍❤️‍💋‍👨🏼;much’a: warmi, qari, tunpa qara niraq, tunpa chuya qara niraq;much’a|much’a: warmi, qari, tunpa qara niraq, tunpa chuya qara niraq|pitu runakuna|qari|tunpa chuya qara niraq|tunpa qara niraq|warmi
	👩🏽‍❤️‍💋‍👨🏽;much’a: warmi, qari, tunpa qara niraq;much’a|much’a: warmi, qari, tunpa qara niraq|pitu runakuna|qari|tunpa qara niraq|warmi
	👩🏽‍❤️‍💋‍👨🏾;much’a: warmi, qari, tunpa qara niraq, tunpa yana qara niraq;much’a|much’a: warmi, qari, tunpa qara niraq, tunpa yana qara niraq|pitu runakuna|qari|tunpa qara niraq|tunpa yana qara niraq|warmi
	👩🏽‍❤️‍💋‍👨🏿;much’a: warmi, qari, tunpa qara niraq, yana qara niraq;much’a|much’a: warmi, qari, tunpa qara niraq, yana qara niraq|pitu runakuna|qari|tunpa qara niraq|warmi|yana qara niraq
	👩🏾‍❤️‍💋‍👨🏻;much’a: warmi, qari, tunpa yana qara niraq, chuya qara niraq;chuya qara niraq|much’a|much’a: warmi, qari, tunpa yana qara niraq, chuya qara niraq|pitu runakuna|qari|tunpa yana qara niraq|warmi
	👩🏾‍❤️‍💋‍👨🏼;much’a: warmi, qari, tunpa yana qara niraq, tunpa chuya qara niraq;much’a|much’a: warmi, qari, tunpa yana qara niraq, tunpa chuya qara niraq|pitu runakuna|qari|tunpa chuya qara niraq|tunpa yana qara niraq|warmi
	👩🏾‍❤️‍💋‍👨🏽;much’a: warmi, qari, tunpa yana qara niraq, tunpa qara niraq;much’a|much’a: warmi, qari, tunpa yana qara niraq, tunpa qara niraq|pitu runakuna|qari|tunpa qara niraq|tunpa yana qara niraq|warmi
	👩🏾‍❤️‍💋‍👨🏾;much’a: warmi, qari, tunpa yana qara niraq;much’a|much’a: warmi, qari, tunpa yana qara niraq|pitu runakuna|qari|tunpa yana qara niraq|warmi
	👩🏾‍❤️‍💋‍👨🏿;much’a: warmi, qari, tunpa yana qara niraq, yana qara niraq;much’a|much’a: warmi, qari, tunpa yana qara niraq, yana qara niraq|pitu runakuna|qari|tunpa yana qara niraq|warmi|yana qara niraq
	👩🏿‍❤️‍💋‍👨🏻;much’a: warmi, qari, yana qara niraq, chuya qara niraq;chuya qara niraq|much’a|much’a: warmi, qari, yana qara niraq, chuya qara niraq|pitu runakuna|qari|warmi|yana qara niraq
	👩🏿‍❤️‍💋‍👨🏼;much’a: warmi, qari, yana qara niraq, tunpa chuya qara niraq;much’a|much’a: warmi, qari, yana qara niraq, tunpa chuya qara niraq|pitu runakuna|qari|tunpa chuya qara niraq|warmi|yana qara niraq
	👩🏿‍❤️‍💋‍👨🏽;much’a: warmi, qari, yana qara niraq, tunpa qara niraq;much’a|much’a: warmi, qari, yana qara niraq, tunpa qara niraq|pitu runakuna|qari|tunpa qara niraq|warmi|yana qara niraq
	👩🏿‍❤️‍💋‍👨🏾;much’a: warmi, qari, yana qara niraq, tunpa yana qara niraq;much’a|much’a: warmi, qari, yana qara niraq, tunpa yana qara niraq|pitu runakuna|qari|tunpa yana qara niraq|warmi|yana qara niraq
	👩🏿‍❤️‍💋‍👨🏿;much’a: warmi, qari, yana qara niraq;much’a|much’a: warmi, qari, yana qara niraq|pitu runakuna|qari|warmi|yana qara niraq
👨‍❤️‍💋‍👨;much’a: qari, qari;much’a|much’a: qari, qari|pitu runakuna|qari
	👨🏻‍❤️‍💋‍👨🏻;much’a: qari, qari, chuya qara niraq;chuya qara niraq|much’a|much’a: qari, qari, chuya qara niraq|pitu runakuna|qari
	👨🏻‍❤️‍💋‍👨🏼;much’a: qari, qari, chuya qara niraq, tunpa chuya qara niraq;chuya qara niraq|much’a|much’a: qari, qari, chuya qara niraq, tunpa chuya qara niraq|pitu runakuna|qari|tunpa chuya qara niraq
	👨🏻‍❤️‍💋‍👨🏽;much’a: qari, qari, chuya qara niraq, tunpa qara niraq;chuya qara niraq|much’a|much’a: qari, qari, chuya qara niraq, tunpa qara niraq|pitu runakuna|qari|tunpa qara niraq
	👨🏻‍❤️‍💋‍👨🏾;much’a: qari, qari, chuya qara niraq, tunpa yana qara niraq;chuya qara niraq|much’a|much’a: qari, qari, chuya qara niraq, tunpa yana qara niraq|pitu runakuna|qari|tunpa yana qara niraq
	👨🏻‍❤️‍💋‍👨🏿;much’a: qari, qari, chuya qara niraq, yana qara niraq;chuya qara niraq|much’a|much’a: qari, qari, chuya qara niraq, yana qara niraq|pitu runakuna|qari|yana qara niraq
	👨🏼‍❤️‍💋‍👨🏻;much’a: qari, qari, tunpa chuya qara niraq, chuya qara niraq;chuya qara niraq|much’a|much’a: qari, qari, tunpa chuya qara niraq, chuya qara niraq|pitu runakuna|qari|tunpa chuya qara niraq
	👨🏼‍❤️‍💋‍👨🏼;much’a: qari, qari, tunpa chuya qara niraq;much’a|much’a: qari, qari, tunpa chuya qara niraq|pitu runakuna|qari|tunpa chuya qara niraq
	👨🏼‍❤️‍💋‍👨🏽;much’a: qari, qari, tunpa chuya qara niraq, tunpa qara niraq;much’a|much’a: qari, qari, tunpa chuya qara niraq, tunpa qara niraq|pitu runakuna|qari|tunpa chuya qara niraq|tunpa qara niraq
	👨🏼‍❤️‍💋‍👨🏾;much’a: qari, qari, tunpa chuya qara niraq, tunpa yana qara niraq;much’a|much’a: qari, qari, tunpa chuya qara niraq, tunpa yana qara niraq|pitu runakuna|qari|tunpa chuya qara niraq|tunpa yana qara niraq
	👨🏼‍❤️‍💋‍👨🏿;much’a: qari, qari, tunpa chuya qara niraq, yana qara niraq;much’a|much’a: qari, qari, tunpa chuya qara niraq, yana qara niraq|pitu runakuna|qari|tunpa chuya qara niraq|yana qara niraq
	👨🏽‍❤️‍💋‍👨🏻;much’a: qari, qari, tunpa qara niraq, chuya qara niraq;chuya qara niraq|much’a|much’a: qari, qari, tunpa qara niraq, chuya qara niraq|pitu runakuna|qari|tunpa qara niraq
	👨🏽‍❤️‍💋‍👨🏼;much’a: qari, qari, tunpa qara niraq, tunpa chuya qara niraq;much’a|much’a: qari, qari, tunpa qara niraq, tunpa chuya qara niraq|pitu runakuna|qari|tunpa chuya qara niraq|tunpa qara niraq
	👨🏽‍❤️‍💋‍👨🏽;much’a: qari, qari, tunpa qara niraq;much’a|much’a: qari, qari, tunpa qara niraq|pitu runakuna|qari|tunpa qara niraq
	👨🏽‍❤️‍💋‍👨🏾;much’a: qari, qari, tunpa qara niraq, tunpa yana qara niraq;much’a|much’a: qari, qari, tunpa qara niraq, tunpa yana qara niraq|pitu runakuna|qari|tunpa qara niraq|tunpa yana qara niraq
	👨🏽‍❤️‍💋‍👨🏿;much’a: qari, qari, tunpa qara niraq, yana qara niraq;much’a|much’a: qari, qari, tunpa qara niraq, yana qara niraq|pitu runakuna|qari|tunpa qara niraq|yana qara niraq
	👨🏾‍❤️‍💋‍👨🏻;much’a: qari, qari, tunpa yana qara niraq, chuya qara niraq;chuya qara niraq|much’a|much’a: qari, qari, tunpa yana qara niraq, chuya qara niraq|pitu runakuna|qari|tunpa yana qara niraq
	👨🏾‍❤️‍💋‍👨🏼;much’a: qari, qari, tunpa yana qara niraq, tunpa chuya qara niraq;much’a|much’a: qari, qari, tunpa yana qara niraq, tunpa chuya qara niraq|pitu runakuna|qari|tunpa chuya qara niraq|tunpa yana qara niraq
	👨🏾‍❤️‍💋‍👨🏽;much’a: qari, qari, tunpa yana qara niraq, tunpa qara niraq;much’a|much’a: qari, qari, tunpa yana qara niraq, tunpa qara niraq|pitu runakuna|qari|tunpa qara niraq|tunpa yana qara niraq
	👨🏾‍❤️‍💋‍👨🏾;much’a: qari, qari, tunpa yana qara niraq;much’a|much’a: qari, qari, tunpa yana qara niraq|pitu runakuna|qari|tunpa yana qara niraq
	👨🏾‍❤️‍💋‍👨🏿;much’a: qari, qari, tunpa yana qara niraq, yana qara niraq;much’a|much’a: qari, qari, tunpa yana qara niraq, yana qara niraq|pitu runakuna|qari|tunpa yana qara niraq|yana qara niraq
	👨🏿‍❤️‍💋‍👨🏻;much’a: qari, qari, yana qara niraq, chuya qara niraq;chuya qara niraq|much’a|much’a: qari, qari, yana qara niraq, chuya qara niraq|pitu runakuna|qari|yana qara niraq
	👨🏿‍❤️‍💋‍👨🏼;much’a: qari, qari, yana qara niraq, tunpa chuya qara niraq;much’a|much’a: qari, qari, yana qara niraq, tunpa chuya qara niraq|pitu runakuna|qari|tunpa chuya qara niraq|yana qara niraq
	👨🏿‍❤️‍💋‍👨🏽;much’a: qari, qari, yana qara niraq, tunpa qara niraq;much’a|much’a: qari, qari, yana qara niraq, tunpa qara niraq|pitu runakuna|qari|tunpa qara niraq|yana qara niraq
	👨🏿‍❤️‍💋‍👨🏾;much’a: qari, qari, yana qara niraq, tunpa yana qara niraq;much’a|much’a: qari, qari, yana qara niraq, tunpa yana qara niraq|pitu runakuna|qari|tunpa yana qara niraq|yana qara niraq
	👨🏿‍❤️‍💋‍👨🏿;much’a: qari, qari, yana qara niraq;much’a|much’a: qari, qari, yana qara niraq|pitu runakuna|qari|yana qara niraq
👩‍❤️‍💋‍👩;much’a: warmi, warmi;much’a|much’a: warmi, warmi|pitu runakuna|warmi
	👩🏻‍❤️‍💋‍👩🏻;much’a: warmi, warmi, chuya qara niraq;chuya qara niraq|much’a|much’a: warmi, warmi, chuya qara niraq|pitu runakuna|warmi
	👩🏻‍❤️‍💋‍👩🏼;much’a: warmi, warmi, chuya qara niraq, tunpa chuya qara niraq;chuya qara niraq|much’a|much’a: warmi, warmi, chuya qara niraq, tunpa chuya qara niraq|pitu runakuna|tunpa chuya qara niraq|warmi
	👩🏻‍❤️‍💋‍👩🏽;much’a: warmi, warmi, chuya qara niraq, tunpa qara niraq;chuya qara niraq|much’a|much’a: warmi, warmi, chuya qara niraq, tunpa qara niraq|pitu runakuna|tunpa qara niraq|warmi
	👩🏻‍❤️‍💋‍👩🏾;much’a: warmi, warmi, chuya qara niraq, tunpa yana qara niraq;chuya qara niraq|much’a|much’a: warmi, warmi, chuya qara niraq, tunpa yana qara niraq|pitu runakuna|tunpa yana qara niraq|warmi
	👩🏻‍❤️‍💋‍👩🏿;much’a: warmi, warmi, chuya qara niraq, yana qara niraq;chuya qara niraq|much’a|much’a: warmi, warmi, chuya qara niraq, yana qara niraq|pitu runakuna|warmi|yana qara niraq
	👩🏼‍❤️‍💋‍👩🏻;much’a: warmi, warmi, tunpa chuya qara niraq, chuya qara niraq;chuya qara niraq|much’a|much’a: warmi, warmi, tunpa chuya qara niraq, chuya qara niraq|pitu runakuna|tunpa chuya qara niraq|warmi
	👩🏼‍❤️‍💋‍👩🏼;much’a: warmi, warmi, tunpa chuya qara niraq;much’a|much’a: warmi, warmi, tunpa chuya qara niraq|pitu runakuna|tunpa chuya qara niraq|warmi
	👩🏼‍❤️‍💋‍👩🏽;much’a: warmi, warmi, tunpa chuya qara niraq, tunpa qara niraq;much’a|much’a: warmi, warmi, tunpa chuya qara niraq, tunpa qara niraq|pitu runakuna|tunpa chuya qara niraq|tunpa qara niraq|warmi
	👩🏼‍❤️‍💋‍👩🏾;much’a: warmi, warmi, tunpa chuya qara niraq, tunpa yana qara niraq;much’a|much’a: warmi, warmi, tunpa chuya qara niraq, tunpa yana qara niraq|pitu runakuna|tunpa chuya qara niraq|tunpa yana qara niraq|warmi
	👩🏼‍❤️‍💋‍👩🏿;much’a: warmi, warmi, tunpa chuya qara niraq, yana qara niraq;much’a|much’a: warmi, warmi, tunpa chuya qara niraq, yana qara niraq|pitu runakuna|tunpa chuya qara niraq|warmi|yana qara niraq
	👩🏽‍❤️‍💋‍👩🏻;much’a: warmi, warmi, tunpa qara niraq, chuya qara niraq;chuya qara niraq|much’a|much’a: warmi, warmi, tunpa qara niraq, chuya qara niraq|pitu runakuna|tunpa qara niraq|warmi
	👩🏽‍❤️‍💋‍👩🏼;much’a: warmi, warmi, tunpa qara niraq, tunpa chuya qara niraq;much’a|much’a: warmi, warmi, tunpa qara niraq, tunpa chuya qara niraq|pitu runakuna|tunpa chuya qara niraq|tunpa qara niraq|warmi
	👩🏽‍❤️‍💋‍👩🏽;much’a: warmi, warmi, tunpa qara niraq;much’a|much’a: warmi, warmi, tunpa qara niraq|pitu runakuna|tunpa qara niraq|warmi
	👩🏽‍❤️‍💋‍👩🏾;much’a: warmi, warmi, tunpa qara niraq, tunpa yana qara niraq;much’a|much’a: warmi, warmi, tunpa qara niraq, tunpa yana qara niraq|pitu runakuna|tunpa qara niraq|tunpa yana qara niraq|warmi
	👩🏽‍❤️‍💋‍👩🏿;much’a: warmi, warmi, tunpa qara niraq, yana qara niraq;much’a|much’a: warmi, warmi, tunpa qara niraq, yana qara niraq|pitu runakuna|tunpa qara niraq|warmi|yana qara niraq
	👩🏾‍❤️‍💋‍👩🏻;much’a: warmi, warmi, tunpa yana qara niraq, chuya qara niraq;chuya qara niraq|much’a|much’a: warmi, warmi, tunpa yana qara niraq, chuya qara niraq|pitu runakuna|tunpa yana qara niraq|warmi
	👩🏾‍❤️‍💋‍👩🏼;much’a: warmi, warmi, tunpa yana qara niraq, tunpa chuya qara niraq;much’a|much’a: warmi, warmi, tunpa yana qara niraq, tunpa chuya qara niraq|pitu runakuna|tunpa chuya qara niraq|tunpa yana qara niraq|warmi
	👩🏾‍❤️‍💋‍👩🏽;much’a: warmi, warmi, tunpa yana qara niraq, tunpa qara niraq;much’a|much’a: warmi, warmi, tunpa yana qara niraq, tunpa qara niraq|pitu runakuna|tunpa qara niraq|tunpa yana qara niraq|warmi
	👩🏾‍❤️‍💋‍👩🏾;much’a: warmi, warmi, tunpa yana qara niraq;much’a|much’a: warmi, warmi, tunpa yana qara niraq|pitu runakuna|tunpa yana qara niraq|warmi
	👩🏾‍❤️‍💋‍👩🏿;much’a: warmi, warmi, tunpa yana qara niraq, yana qara niraq;much’a|much’a: warmi, warmi, tunpa yana qara niraq, yana qara niraq|pitu runakuna|tunpa yana qara niraq|warmi|yana qara niraq
	👩🏿‍❤️‍💋‍👩🏻;much’a: warmi, warmi, yana qara niraq, chuya qara niraq;chuya qara niraq|much’a|much’a: warmi, warmi, yana qara niraq, chuya qara niraq|pitu runakuna|warmi|yana qara niraq
	👩🏿‍❤️‍💋‍👩🏼;much’a: warmi, warmi, yana qara niraq, tunpa chuya qara niraq;much’a|much’a: warmi, warmi, yana qara niraq, tunpa chuya qara niraq|pitu runakuna|tunpa chuya qara niraq|warmi|yana qara niraq
	👩🏿‍❤️‍💋‍👩🏽;much’a: warmi, warmi, yana qara niraq, tunpa qara niraq;much’a|much’a: warmi, warmi, yana qara niraq, tunpa qara niraq|pitu runakuna|tunpa qara niraq|warmi|yana qara niraq
	👩🏿‍❤️‍💋‍👩🏾;much’a: warmi, warmi, yana qara niraq, tunpa yana qara niraq;much’a|much’a: warmi, warmi, yana qara niraq, tunpa yana qara niraq|pitu runakuna|tunpa yana qara niraq|warmi|yana qara niraq
	👩🏿‍❤️‍💋‍👩🏿;much’a: warmi, warmi, yana qara niraq;much’a|much’a: warmi, warmi, yana qara niraq|pitu runakuna|warmi|yana qara niraq
💑;pitu runakuna sunquwan;munay|pitu runakuna|pitu runakuna sunquwan
	💑🏻;pitu runakuna sunquwan: chuya qara niraq;chuya qara niraq|munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: chuya qara niraq
	💑🏼;pitu runakuna sunquwan: tunpa chuya qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: tunpa chuya qara niraq|tunpa chuya qara niraq
	💑🏽;pitu runakuna sunquwan: tunpa qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: tunpa qara niraq|tunpa qara niraq
	💑🏾;pitu runakuna sunquwan: tunpa yana qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: tunpa yana qara niraq|tunpa yana qara niraq
	💑🏿;pitu runakuna sunquwan: yana qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: yana qara niraq|yana qara niraq
	🧑🏻‍❤️‍🧑🏼;pitu runakuna sunquwan: runa, runa, chuya qara niraq, tunpa chuya qara niraq;chuya qara niraq|munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: runa, runa, chuya qara niraq, tunpa chuya qara niraq|runa|tunpa chuya qara niraq
	🧑🏻‍❤️‍🧑🏽;pitu runakuna sunquwan: runa, runa, chuya qara niraq, tunpa qara niraq;chuya qara niraq|munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: runa, runa, chuya qara niraq, tunpa qara niraq|runa|tunpa qara niraq
	🧑🏻‍❤️‍🧑🏾;pitu runakuna sunquwan: runa, runa, chuya qara niraq, tunpa yana qara niraq;chuya qara niraq|munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: runa, runa, chuya qara niraq, tunpa yana qara niraq|runa|tunpa yana qara niraq
	🧑🏻‍❤️‍🧑🏿;pitu runakuna sunquwan: runa, runa, chuya qara niraq, yana qara niraq;chuya qara niraq|munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: runa, runa, chuya qara niraq, yana qara niraq|runa|yana qara niraq
	🧑🏼‍❤️‍🧑🏻;pitu runakuna sunquwan: runa, runa, tunpa chuya qara niraq, chuya qara niraq;chuya qara niraq|munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: runa, runa, tunpa chuya qara niraq, chuya qara niraq|runa|tunpa chuya qara niraq
	🧑🏼‍❤️‍🧑🏽;pitu runakuna sunquwan: runa, runa, tunpa chuya qara niraq, tunpa qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: runa, runa, tunpa chuya qara niraq, tunpa qara niraq|runa|tunpa chuya qara niraq|tunpa qara niraq
	🧑🏼‍❤️‍🧑🏾;pitu runakuna sunquwan: runa, runa, tunpa chuya qara niraq, tunpa yana qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: runa, runa, tunpa chuya qara niraq, tunpa yana qara niraq|runa|tunpa chuya qara niraq|tunpa yana qara niraq
	🧑🏼‍❤️‍🧑🏿;pitu runakuna sunquwan: runa, runa, tunpa chuya qara niraq, yana qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: runa, runa, tunpa chuya qara niraq, yana qara niraq|runa|tunpa chuya qara niraq|yana qara niraq
	🧑🏽‍❤️‍🧑🏻;pitu runakuna sunquwan: runa, runa, tunpa qara niraq, chuya qara niraq;chuya qara niraq|munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: runa, runa, tunpa qara niraq, chuya qara niraq|runa|tunpa qara niraq
	🧑🏽‍❤️‍🧑🏼;pitu runakuna sunquwan: runa, runa, tunpa qara niraq, tunpa chuya qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: runa, runa, tunpa qara niraq, tunpa chuya qara niraq|runa|tunpa chuya qara niraq|tunpa qara niraq
	🧑🏽‍❤️‍🧑🏾;pitu runakuna sunquwan: runa, runa, tunpa qara niraq, tunpa yana qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: runa, runa, tunpa qara niraq, tunpa yana qara niraq|runa|tunpa qara niraq|tunpa yana qara niraq
	🧑🏽‍❤️‍🧑🏿;pitu runakuna sunquwan: runa, runa, tunpa qara niraq, yana qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: runa, runa, tunpa qara niraq, yana qara niraq|runa|tunpa qara niraq|yana qara niraq
	🧑🏾‍❤️‍🧑🏻;pitu runakuna sunquwan: runa, runa, tunpa yana qara niraq, chuya qara niraq;chuya qara niraq|munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: runa, runa, tunpa yana qara niraq, chuya qara niraq|runa|tunpa yana qara niraq
	🧑🏾‍❤️‍🧑🏼;pitu runakuna sunquwan: runa, runa, tunpa yana qara niraq, tunpa chuya qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: runa, runa, tunpa yana qara niraq, tunpa chuya qara niraq|runa|tunpa chuya qara niraq|tunpa yana qara niraq
	🧑🏾‍❤️‍🧑🏽;pitu runakuna sunquwan: runa, runa, tunpa yana qara niraq, tunpa qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: runa, runa, tunpa yana qara niraq, tunpa qara niraq|runa|tunpa qara niraq|tunpa yana qara niraq
	🧑🏾‍❤️‍🧑🏿;pitu runakuna sunquwan: runa, runa, tunpa yana qara niraq, yana qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: runa, runa, tunpa yana qara niraq, yana qara niraq|runa|tunpa yana qara niraq|yana qara niraq
	🧑🏿‍❤️‍🧑🏻;pitu runakuna sunquwan: runa, runa, yana qara niraq, chuya qara niraq;chuya qara niraq|munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: runa, runa, yana qara niraq, chuya qara niraq|runa|yana qara niraq
	🧑🏿‍❤️‍🧑🏼;pitu runakuna sunquwan: runa, runa, yana qara niraq, tunpa chuya qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: runa, runa, yana qara niraq, tunpa chuya qara niraq|runa|tunpa chuya qara niraq|yana qara niraq
	🧑🏿‍❤️‍🧑🏽;pitu runakuna sunquwan: runa, runa, yana qara niraq, tunpa qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: runa, runa, yana qara niraq, tunpa qara niraq|runa|tunpa qara niraq|yana qara niraq
	🧑🏿‍❤️‍🧑🏾;pitu runakuna sunquwan: runa, runa, yana qara niraq, tunpa yana qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: runa, runa, yana qara niraq, tunpa yana qara niraq|runa|tunpa yana qara niraq|yana qara niraq
👩‍❤️‍👨;pitu runakuna sunquwan: warmi, qari;munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: warmi, qari|qari|warmi
	👩🏻‍❤️‍👨🏻;pitu runakuna sunquwan: warmi, qari, chuya qara niraq;chuya qara niraq|munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: warmi, qari, chuya qara niraq|qari|warmi
	👩🏻‍❤️‍👨🏼;pitu runakuna sunquwan: warmi, qari, chuya qara niraq, tunpa chuya qara niraq;chuya qara niraq|munay|pitu runakuna|pitu runakuna sunquwan|pitu runakuna sunquwan: warmi, qari, chuya qara niraq, tunpa chuya qara niraq|qari|tunpa chuya qara niraq|warmi
