# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;rai ngguyu;guyu|rai|rai ngguyu
🌻;kembang sengenge;kembang|sengenge|tanduran
🌼;sekar;kembang|sekar|tanduran
🌷;tulip;kembang|tanduran|tulip
🪻;hyacin;blubonet|hyacin|kembang|lavender|lupin|snapdragon|tanduran
🌱;pembibitan;bakal|bibit|cilik|pembibitan|tanduran
🪴;tanduran njero adah;mboseni|ngopeni|omah|ora migunani|tanduran|tanduran njero wadhah|thukul
🌲;wit cemara;wit|wit cemara
🌳;wit godhonge rontok;gogrok|rontok|wit|wit godhonge rontok
🌴;wit kambil;kambil|wit
🌵;kaktus;kaktus|tanduran
🌾;pari saiket;gandum|kuping|pari|pari saiket
🌿;jamu;godhong|jamu
☘️;semanggi;semanggi|tanduran
🍀;semanggi godhong papat;4|godhong|papat|semanggi
🍁;godhong mapel;godhong|mapel|rontok
🍂;godhong gogrok;godhong|gogrok
🍃;godhong ngawe-ngawe kena angin;angin|godhong|gumuruh|ndamu
🪹;susuh kosong;nyusuh|susuh kosong
🪺;susuh ono endoke;nyusuh|susuh ana endhoge
🍄;jamur;jamur|jamur payung
🪾;wit tanpa godhong;gabug|garing|mangsa adhem|wit tanpa godhong

[food_drink]
🍇;anggur;anggur|woh-wohan
🍈;melon;melon|woh-wohan
🍉;semangka;semangka|woh-wohan
🍊;jeruk keprok;jeruk|jeruk keprok|woh-wohan
🍋;jeruk lemon;jeruk lemon|jeruk nipis|woh-wohan
🍋‍🟩;jeruk nipis;jeruk|jeruk nipis|tropis|woh
🍌;gedhang;gedhang|woh-wohan
🍍;nanas;nanas|woh-wohan
🥭;pelem;pelem|tropis|woh-wohan
🍎;apel abang;abang|apel|woh-wohan
🍏;apel ijo;apel|ijo|woh-wohan
🍐;pir;pir|woh-wohan
🍑;persik;persik|woh-wohan
🍒;ceri;abang|beri|ceri|woh ceri|woh-wohan
🍓;stroberi;beri|stroberi|woh-wohan
🫐;beri biru;beri|bilberi|biru|woh-wohan
🥝;woh kiwi;kiwi|panganan|woh kiwi|woh-wohan
🍅;tomat;sayuran|tomat|woh-wohan
🫒;zaitun;panganan|zaitun
🥥;kambil;colada|kambil|klapa|palem
🥑;avokad;avokad|pangan|woh-wohan
🍆;terong;sayuran|terong|terung
🥔;kenthang;kenthang|pangan|sayuran
🥕;wortel;pangan|sayuran|wortel
🌽;tongkol jagung;jagung|klembak|maizena|tongkol jagung
🌶️;lombok;lombok|pedhes
🫑;paprika;kapsikum|lombok|paprika|sayuran
🥒;timun;acar|pangan|sayuran|timun
🥬;selada ijo;bok coi|kol|kubis|selada|selada ijo
🥦;brokoli;brokoli|kubis|liar
🧄;bawang putih;bawang putih|panyedhep rasa
🧅;bawang bombai;bawang bombai|panyedhep rasa
🥜;kacang brol;dhaharan|kacang|kacang brol|sayuran
🫘;buncis;buncis|ginjel|legum|panganan
🌰;kenari;kenari|tetuwuhan
🫚;jahe;bir|bumbu|jahe|oyod
🫛;kacang polong;buncis|edamame|kacang|polong|polong-polongan|sayuran
🍄‍🟫;jamur soklat;alam|jamur|jamur soklat|panganan|sayuran
🫜;sayuran oyot;bit|lobak|oyot|sayuran|taman
🍞;roti;gandum|panganan|roti|roti tawar
🥐;kroasang;croissant|dhaharan|kroasang|kroisan|prancis|roti|roti gulung bulan sabit
🥖;roti baget;baget|dhaharan|prancis|roti
🫓;roti warata;panganan|roti arepa|roti lapash|roti naan|roti pita|roti warata
🥨;pretsel;diuntir|kuwih|pretsel
🥯;roti bagel;pabrik roti|roti bagel|roti semir|sarapan
🥞;panekuk;apem|dhaharan|krep|panekuk
🧇;wafel;mangu-mangu|wafel|wesi
🧀;keju sairis;balok|keju
🍖;iwak daging sabalunge;balung|daging
🍗;pupu sempol;balung|iwak ayam|pupu|sempol|unggas
🥩;daging sairis;bistik|daging sairis|iwak daging|samata
🥓;bakon;bakon|daging|pangan
🍔;burger;burger|hamburger
🍟;balok kenthang goreng;balok kenthang goreng|goreng|kenthang balok|panganan
🍕;pizza keju;keju|panganan|pizza|sairis
🌭;roti sosis;frankfurter|hotdog|roti sosis|sosis
🥪;sendwich;roti|sendwich
🌮;tako;pangan meksiko|tako
🌯;burito;burito|dhaharan meksiko|sega bungkus roti
🫔;tamale;dhaharan meksiko|kabungkus|tamale
🥙;roti pita gulung;dhaharan|falafel|isi|kebab turki|kebab yunani|roti pita|roti pita gulung
🧆;bakwan falafel;bakso|bakwan falafel|kacang garbanzo
🥚;ndhog;dhaharan|ndhog
🍳;masak;masak|ndhog|nggoreng|wajan
🥘;jangan sawajan cethek;casserole|cethek|kaserol|paella|panganan|wajan
🍲;jangan sapanci;jangan sapanci|panci|semur
🫕;pondue;adah|keju|lumer|pondue|soklat|Swiss
🥣;mangkok karo sendhok;bubur|mangkok karo sendhok|sarapan|sereal
🥗;urap-urap sayur;dhaharan|ijo-ijo|urap|urap-urap sayur
🍿;brondong jagung;brondong jagung
🧈;mertega;mertega|olahan susu
🧂;uyah;ubarampe|uyah|wadhah nyawur uyah
🥫;dhaharan kalengan;kaleng|panganan|panganan kalengan
🍱;sakothak bento;bento|kothak|panganan|sakothak bento|tepak
🍘;rengginan;krupuk|rengginang|sega kepel
🍙;themlek sega;Jepang|sega|themlek
🍚;sega mateng;mateng|sega
🍛;sega kare;kare|sega
🍜;mangkok kemepul;bakmi|kemepul|mangkok|panganan|ramen
🍝;bakmi sepageti;bakmi sepageti|panganan|pasta|sepageti
🍠;tela pendhem panggang;panganan|panggang|tela pendhem|tela pendhem panggang
🍢;sate oden;iwak laut|kebab|oden|panganan|sate|sunduk
🍣;susi;panganan|sushi
🍤;urang goreng;ebi|goreng|tempura|urang
🍥;bakso iwak Jepang;bakso|bakso iwak Jepang|iwak|mlungker|panganan|pastri
🥮;kuwih bulan;festival|kek|musim gugur|rembulan|yuèbǐng
🍡;sate dango;dango|Jepang|legi|panganan manis|sate|sunduk
🥟;siomay kukus;empanada|gyoza|jiaozi|pierogi|siomay|siomay goreng|siomay kukus
🥠;roti begja;kabegjan|kuki|ramalan
🥡;kothak bungkus;bungkusan kothak|gawa mulih|kothak bungkus|panganan
🍦;es krim salju;alus|es|es krim salju|krim|legi|panganan manis
🍧;es puter;es|es kokrok|es puter|legi|panganan manis
🍨;es krim;es|krim|legi|panganan manis
🍩;donat;donat|legi|panganan manis
🍪;biskwit;biskwit|legi|panganan manis
🎂;roti ambal taun;ambal taun|kuwih|legi|panganan manis|pastri|pista|roti ambal taun
🍰;kuwih lapis;kuwih|kuwih lapis|legi|panganan manis|pastri|sairis
🧁;kuwih mangkok;kuwih mangkok|legi|roti-rotian
🥧;pai;apel|isi|kuwih|pai|panganan|pastri
🍫;sapapan soklat;legi|panganan manis|papan|sapapan soklat|soklat
🍬;permen;legi|panganan manis|permen
🍭;permen loli;legi|panganan manis|permen|permen loli
🍮;ager-ager hungkwe;ager-ager hungkwe|hungkwe|legi|panganan manis|podeng
🍯;satoples madu;legi|madu|satoples madu|toples
🍼;botol kempong;bayi|botol|botol kempong|susu|unjukan
🥛;sagelas susu;gelas|minuman|omben|susu|unjukan
☕;wedang panas;kemepul|kopi|panas|teh|unjukan|wedang
🫖;ceret;ceret|teh|unjukan|wadhah
🍵;cangkir teh tanpa kuping;cangkir|cangkir teh tanpa kuping|teh|unjukan|wedang
🍶;sabotol sake;bar|botol|cangkir|sabotol sake|sake|unjukan|wedang
🍾;botol mencelat subale;bar|botol|mencelat|omben|subal
🍷;gelas anggur;anggur|bar|gelas|unjukan|wedang
🍸;gelas koktail;bar|gelas|koktail|unjukan
🍹;unjukan cara tropis;alkohol|bar|koktail|pesta|tropis|unjukan|unjukan cara tropis
🍺;gelas bir;alkohol|bar|bir|gelas bir|unjukan
🍻;gelas-gelas bir ditutulake;bar|bir|gelas bir|gelas bir ditutulake|gelas-gelas bir ditutulake|mak thing|unjukan
🥂;gelas-gelas ditutulke;gelas|gemerincing|omben|prayaan
🥃;gelas sloki;anggur|gelas|sloki|unjukan
🫗;nyuntak banyu;gelas|ngombe|nyuntak banyu|suwung|wuthah
🥤;gelas mawa sedhotan;gelas mawa sedhotan|soda|wedang jus
🧋;teh kocok;mutiyara|plembungan|susu|teh|teh kocok
🧃;wedang kothakan;jus kothakan|wedang kothakan
🧉;teh mate;teh mate|unjukan
🧊;es batu;adhem|es|gunung es|kubus
🥢;sumpit;hashi|sumpit
🍽️;sendhok garpu sapiringe;garpu|masak|peso|piring|sendhok garpu sapiringe
🍴;garpu lan peso;enak|garpu|garpu lan peso|mangan|masak|peso|sendhok garpu
🥄;sendhok;pranti dhahar|sendhok
🔪;peso dhapur;alat|gaman|hocho|masak|peso|peso dhapur
🫙;wadhah;bumbu|saos|suwung|toko|wadhah
🏺;guci kuping loro;amphora|Aquarius|guci kuping loro|masak|palintangan|teko|unjukan

[travel_places]
🌍;globe sing nuduhake benua Eropa-Afrika;Afrika|bumi|donya|Eropa|Eropa-Afrika|globe
🌎;globe sing nuduhake benua Amerika;Amerika|bumi|donya|globe
🌏;globe sing nuduhake benua Asia-Australia;Asia|Asia-Australia|Australia|bumi|donya|globe
🌐;globe mawa garis meridian;bumi|donya|globe|globe mawa garis meridian|meridian
🗺️;peta donya;donya|peta
🗾;peta Jepang;Jepang|peta
🧭;kompas;kompas|magnetik|navigasi|pangarahan
🏔️;gunung punthuke katutup salju;adhem|gunung|katutup salju|salju
⛰️;gunung;gunung
🛘;longsor;bebaya|bencana|gempa bumi|gunung|lemah longsor|longsoran salju|watu-watu
🌋;gunung geni;gunung|gunung geni|njeblug
🗻;gunung fuji;fuji|gunung
🏕️;kemah;kemah
🏖️;pasisir karo payung tumancep;payung|pesisir
🏜️;ara-ara;ara-ara
🏝️;pulo ara-ara;ara-ara|pulo
🏞️;taman nasional;taman|taman nasional
🏟️;stadion;stadion
🏛️;wewangunan kuna;klasik|kuna|wewangunan
🏗️;konstruksi wewangunan;konstruksi|konstruksi wewangunan
🧱;bata;bata|lempung|semen|tembok
🪨;watu;abot|atos|watu|watu gedhe
🪵;kayu;kayu|kayu log|kayu tugelan|kayu ulahan
🛖;pondhok;omah|omah bunder|pondhok|yurt
🏘️;omah-omah;omah-omah
🏚️;omah bobrok;bobrok|omah
🏠;omah;omah|padunungan
🏡;omah ana kebone;kebon|omah|omah ana kebone|padunungan
🏢;wewangunan kantor;wewangunan|wewangunan kantor
🏣;kantor pos ing Jepang;Jepang|kantor pos ing Jepang|pos
🏤;kantor pos ing Eropa;kantor pos|kantor pos ing Eropa|pos
🏥;griya sakit;dhokter|griya sakit|obat
🏦;wewangunan bank;bank|wewangunan
🏨;wewangunan hotel;hotèl|wewangunan|wewangunan hotel
🏩;hotel sewan miturut jam;hotel|hotel sewan miturut jam|miturut jam
🏪;minimarket;minimarket|toko
🏫;sekolahan;sekolahan|wewangunan
🏬;supermarket;supermarket|toko
🏭;pabrik;pabrik|wewangunan
🏯;puri Jepang;Jepang|puri
🏰;puri;Eropa|puri
💒;ngantenan;greja|ngantenan|pepasangan
🗼;menara Tokyo;menara|Tokyo
🗽;Patung Liberti;kamardhikan|patung|Patung Liberti
⛪;greja;agama|greja|Kristen|salib
🕌;mesjid;agama|Islam|mesjid|Muslim
🛕;pura Hindu;Hindu|pura
🕍;sinagoga;agama|kuil|sinagog|wong Yahudi|Yahudi
⛩️;kuil Shinto;agama|kuil|Shinto
🕋;Kakbah;agama|Islam|Kakbah|Muslim
⛲;banyu muncrat;banyu muncrat
⛺;tendha;kemah|tendha
🌁;katutup pedhut;katutup pedhut|pedhut
🌃;bengi ana lintang;lintang|wengi
🏙️;gedhung-gedhung anyakar mega;gedhung-gedhung anyakar mega|kutha
🌄;srengenge mlethek sadhuwuring kendheng;esuk|gunung|srengenge|srengenge mlethek
🌅;srengenge mlethek;esuk|srengenge|srengenge mlethek
🌆;gedhung-gedhung wayah sandhekala;bawana|gedhung-gedhung wayah sandhekala|kutha|sandhekala|sore|srengenge mudhun
🌇;srengenge mudhun;sandhekala|srengenge|srengenge mudhun
🌉;kreteg ing wayah bengi;bengi|kreteg|kreteg ing wayah bengi
♨️;tuk banyu panas;kemepul|panas|tuk|tuk banyu panas
🎠;jaran komidhi puter;jaran|jaran komidhi puter|komidhi puter
🛝;plosotan;dolanan|plosotan|taman hiburan
🎡;jinantra;jinantra|rodha|taman hiburan
🎢;kreta sluncur;kreta|sluncur|taman hiburan
💈;panandha kiyose tukang cukur;cukur rambut|panandha|panandha kiyose tukang cukur|tukang cukur
🎪;tendha sirkus;sirkus|tendha
🚂;lokomotip;jalur ril|lokomotip|mesin|sepur|uwap
🚃;bis jalur ril;bis jalur ril|bis troli|jalur ril|listrik|montor|sepur
🚄;sepur rikat;jalur ril|kacepetan|sepur|sepur rikat|shinkansen
🚅;sepur pelor;jalur ril|kacepetan|pelor|sepur|shinkansen
🚆;sepur;jalur ril|sepur
🚇;sepur metro;metro|sepur metro|sepur ngisor lemah
🚈;sepur LRT;jalur ril|sepur LRT
🚉;setasiun;jalur ril|sepur|setasiun
🚊;trem;bis troli|trem
🚝;monoril;monoril|tetumpakan
🚞;jalur sepur nggunung;gunung|jalur ril|jalur sepur nggunung|montor
🚋;montor trem;bis troli|montor|trem
🚌;bis;bis|tetumpakan
🚍;bis katon mara;bis|bis katon mara|mara
🚎;bis troli;bis|trem|troli
🚐;bis cilik;bis|bis cilik|kendaraan
🚑;ambulan;ambulan|tetumpakan
🚒;blamwir;blamwir|kobongan|trek
🚓;montor pulisi;montor|patroli|pulisi
🚔;montor pulisi katon mara;mara|montor|montor pulisi katon mara|pulisi
🚕;taksi;taksi|tetumpakan
🚖;taksi mara;kuning|mara|taksi
🚗;montor otomatis;montor|montor otomatis
🚘;montor otomatis mara;mara|montor|montor otomatis|montor otomatis mara
🚙;tetumpakan srana ulah raga;rekreasi|srana ulah raga|tetumpakan srana ulah raga
🛻;trek pikep;methuk|pikep|trek
🚚;prahoto pangiriman;kendaraan|montor|pangiriman|truk
🚛;lori gandheng;lori|lori gandheng|prahoto|separo
🚜;traktor;tetumpakan|traktor
🏎️;montor balap;balapan|montor|montor balap
🏍️;pit montor;balapan|pit montor
🛵;pespa;pespa|pit
🦽;kursi rodha manual;kalancaran|kursi rodha manual
🦼;kursi rodha mesin;kalancaran|kursi rodha mesin
🛺;bemo;bemo|bemo tuk tuk
🚲;sepedha;pit|sepedha
🛴;otopet jejek;jejek|otopet
🛹;papan skate;papan|papan skate
🛼;sepatu rodha;gulungan|sepatu rodha
🚏;halte bis;bis|halte bis|mandheg
🛣️;dalan gedhe;dalan|dalan gedhe|dalan tol
🛤️;jalur ril;jalur ril|jalur sepur|sepur
🛢️;drim lenga;drim|lenga
⛽;pompa bensin;bensin|disel|gas|pom|pompa
🛞;rodha;ban|bunder|nguripake|rodha
🚨;lampu montor pulisi;cemlorot|lampu|montor|mubeng-mubeng|pulisi
🚥;lampu bangjo turu;aba-aba|lalu lintas|lampu|lampu bangjo turu
🚦;lampu bangjo ngadeg;aba-aba|lalu lintas|lampu|lampu bangjo ngadeg
🛑;tandha setop;mandheg|oktagonal|setop|tandha
🚧;konstruksi;konstruksi|pager wates
⚓;jangkar;jangkar|kapal|pralatan
🛟;ban pelampung;ban pelampung|kaselamatan|klambi pengampul|kumambang|nyelamatke|panyelamat
⛵;prau layar;kapal layar|prau|prau layar|resor|segara
🛶;kano;kano|prau
🚤;kapal rikat;kapal rikat|prau
🛳️;kapal panumpang;kapal|panumpang
⛴️;kapal feri;feri|kapal|panumpang
🛥️;kapal motor;kapal|kapal motor
🚢;kapal gedhe;kapal|kapal gedhe|panumpang
✈️;montor mabur;lelungan|montor mabur
🛩️;montor mabur cilik;montor mabur|montor mabur cilik
🛫;montor mabur mangkat;cek in|mangkat|montor mabur|montor mabur mangkat
🛬;montor mabur teka;montor mabur|montor mabur teka|ndharat|tekan
🪂;terjun payung;parasit|skydive|terjun payung
💺;lungguhan;kursi|lungguhan
🚁;helikopter;helikopter|tetumpakan
🚟;jalur ril suspensi;jalur ril|jalur ril suspensi|suspensi
🚠;gantole;gantole|gunung|jalur kabel gunung|kabel
🚡;jalur trem nggantung;gantole|jalur trem|jalur trem nggantung|kabel|montor|nggantung
🛰️;satelit;antariksa|satelit
🚀;roket;antariksa|roket
🛸;piring mabur;piring mabur|UFO
🛎️;bel leladen;bel|bel leladen|hotel
🧳;koper;koper|lelungan|ngepak
⌛;jam pasir tuntas;jam pasir tuntas|pangatur wektu|pasir
⏳;jam pasir isih mlaku;jam pasir|jam pasir isih mlaku|pangatur wektu|pasir
⌚;erloji;arloji|jam tangan
⏰;jam weker;alarm|dering|jam|telat|weker
⏱️;pangatur wektu;jam|pangatur wektu
⏲️;jam pangatur wektu;jam|jam pangatur wektu|pangatur wektu
🕰️;jam dhudhuk kuna;jam|jam dhudhuk kuna
🕛;jam rolas;00|12|12:00|jam|rolas|theng
🕧;jam setengah siji;12|12:30|jam|setengah|siji
🕐;jam siji;00|1|1:00|jam|siji|theng
🕜;jam setengah loro;1|1:30|jam|loro|setengah
🕑;jam loro;00|2|2:00|jam|loro|theng
🕝;jam setengah telu;2|2:30|jam|setengah|telu
🕒;jam telu;00|3|3:00|jam|telu|theng
🕞;jam setengah papat;3|3:30|jam|papat|setengah
🕓;jam papat;00|4|4:00|jam|papat|theng
🕟;jam setengah lima;4|4:30|jam|lima|setengah
🕔;jam lima;00|5|5:00|jam|lima|theng
🕠;jam setengah enem;jam enem|jam setengah enem
🕕;jam enem;00|6|6:00|enem|jam|theng
🕡;jam setengah pitu;6|6:30|jam|pitu|setengah
🕖;jam pitu;00|7|7:00|jam|pitu|theng
🕢;jam setengah wolu;7|7:30|jam|setengah|wolu
🕗;jam wolu;00|8|8:00|jam|theng|wolu
🕣;jam setengah sanga;8|8:30|jam|sanga|setengah
🕘;jam sanga;00|9|9:00|jam|sanga|theng
🕤;jam setengah sepuluh;9|9:30|jam|sepuluh|setengah
🕙;jam sepuluh;00|10|10:00|jam|sepuluh|theng
🕥;jam setengah sewelas;10|10:30|jam|setengah|sewelas
🕚;jam sewelas;00|11|11:00|jam|sewelas|theng
🕦;jam setengah rolas;11|11:30|jam|rolas|setengah
🌑;bulan kawitan;bulan|bulan kawitan|peteng|rembulan
🌒;bulan tanggal sepisan;bulan|bulan tanggal sepisan|padhange nambah sithik-sithik|tanggal sepisan
🌓;bulan separo;bulan|separo
🌔;bulan separo luwih;bulan|bulan separo luwih|padhange meh kebak|padhange sithik-sithik
🌕;purnama sidi;bulan|purnama|purnama sidi
🌖;bulan ilang seprapat;bulan|bulan ilang seprapat|padhange ilang sithik-sithik|padhange meh kebak
🌗;bulan peteng separo;bulan|bulan peteng separo|separo
🌘;bulan gari seprapat;bulan|bulan gari seprapat|padhange ilang sithik-sithik|seprapat
🌙;bulan nanggal sepisan;bulan|bulan nanggal sepisan|sabit
🌚;rai bulan kawitan;bulan|rai|rai bulan kawitan
🌛;rai bulan separo marep ngiwa;bulan|rai|rai bulan separo marep ngiwa|sabit|separo
🌜;rai bulan separo marep nengen;bulan|rai|rai bulan separo marep nengen|sabit|separo
🌡️;termometer;cuaca|termometer
☀️;srengenge;clorot|ketiga|padhang|sinar|srengenge
🌝;rai purnama sidi;bulan|padhang|purnama|rai|rai purnama sidi
🌞;srengenge katon raine;padhang|rai|srengenge|srengenge katon raine
🪐;planet anganggo ali-ali;planet anganggo ali-ali|saturnus|wong sing lairane ketiban sipating saturnus
⭐;lintang;astronomi|lintang|putih
🌟;lintang cemlorot;clorot|kelip-kelip|kerlip-kerlip|lintang|lintang cemlorot
🌠;lintang abuntut;buntut|lintang|lintang abuntut|lintang ngalih|tumiba
🌌;bima sekti;antariksa|bima sekti
☁️;mega mendhung;cuaca|mega mendhung|mendhung
⛅;srengenge saburine mega;mega|srengenge|srengenge saburine mega
⛈️;mega ngemu bledhek lan udan;bledhek|mega|mega ngemu bledhek lan udan|udan
🌤️;srengenge saburine mega cilik;mega|srengenge|srengenge saburine mega cilik
🌥️;srengenge saburine mega gedhe;mega|srengenge|srengenge saburine mega gedhe
🌦️;srengenge saburine mega ngemu udan;mega|srengenge|srengenge saburine mega ngemu udan|udan
🌧️;mega ngemu udan;mega|mega ngemu udan|udan
🌨️;mega ngemu salju;adhem|mega|mega ngemu salju|salju
🌩️;mega ngemu bledhek;bledhek|mega|mega ngemu bledhek
🌪️;angin puyuh;angin puyuh|mendhung|tornado
🌫️;pedhut;mega|pedhut
🌬️;rai anyebul angin;angin|mega|nyebul|rai|rai anyebul angin
🌀;angin siklon;angin ribut|angin siklon|muser-muser|siklon|topan|tornado
🌈;kluwung;kluwung|plangi|udan
🌂;payung mingkup;payung|payung mingkup|sandhangan|udan
☂️;payung;payung|sandhangan|udan
☔;payung ketiban udan;payung|payung ketiban udan|sandhangan|tletik|udan
⛱️;payung tumancep lemah;payung|payung tumancep lemah|srengenge|udan
⚡;tegangan dhuwur;bebaya|bledhek|listrik|mak byar|tegangan|tegangan dhuwur
❄️;satesing salju;adhem|salju|satesing salju
☃️;wong-wongan salju;adhem|salju|wong-wongan salju
⛄;wong-wongan salju tanpa salju;adhem|salju|wong-wongan salju|wong-wongan salju tanpa salju
☄️;komet;antariksa|komet
🔥;geni;bekakas|geni|mbulating geni
💧;tesing;adhem|komik|kringet|tes|tesing
🌊;ombak banyu;banyu|ombak|segara

[activities]
🎃;lampion jack-o-lantern;halloween|jack|jack-o-lantern|lampion jack-o-lantern|lampion labu|perayaan
🎄;Uwit Natal;Natal|perayaan|uwit
🎆;kembang api;kembang api|perayaan
🎇;bang api;bang api|kembang api|mbang api|mletik|perayaan
🧨;petasan;bahan peledak|dinamit|kembang api|petasan
✨;mbang api;*|bang api|lintang|mbang api
🎈;balon;ambal warsa|balon|perayaan
🎉;hiasan pesta;ambal warsa|hiasan|perayaan|pesta|riasan
🎊;balon konfeti;balon|konfeti|perayaan
🎋;wit tanabata;Jepang|perayaan|spanduk|wit|wit tanabata
🎍;dekorasi pinus;bambu|dekorasi pinus|Jepang|perayaan|pinus
🎎;boneka Jepang;boneka|festival|Jepang|perayaan
🎏;gendera koinobori;gendera|koinobori|perayaan
🎐;klinthingan angin;angin|klinthingan|lonceng|perayaan
🎑;upacara nyawang mbulan;mbulan|perayaan|upacara|upacara nyawang mbulan
🧧;ang pao;andum pandonga|ang pao|dhuwit|hongbao|kado|lai see
🎀;pita;perayaan|pita
🎁;kado dibungkus;bingkisan|dibungkus|kado|kothak|perayaan
🎗️;pita pangeling;pangeling|perayaan|pita
🎟️;tiket mlebu;mlebu|tiket
🎫;tiket;mlebu|tiket
🎖️;medali militer;medali|militer|perayaan
🏆;trofi;hadiah|juara|menang|trofi
🏅;medali olahraga;emas|medali|medali olahraga
🥇;medali juara ka-1;emas|kasiji|medali|medali juara ka-1
🥈;medali juara ka-2;kaloro|medali|medali juara ka-2|perak
🥉;medali juara ka-3;katelu|medali|medali juara ka-3|tembaga
⚽;bal sepak bola;bal|bal sepak bola|bal-balan|sepak bola|sepak bola amerika
⚾;bisbol;bal|bisbol|olahraga
🥎;sofbol;bal|kelek|olahraga|sarung tangan|sofbol
🏀;bola basket;bal|bola basket|mlumpat
🏐;voli;bal|game|voli
🏈;sepak bola amerika;amerika|bal|olahraga|sepak bola|sepak bola amerika
🏉;sepak bola rugby;bal|olahraga|rugby|sepak bola|sepak bola rugby
🎾;tenis;bal|olahraga|raket|tenis
🥏;cakram mabur;cakram mabur|mutakhir
🎳;boling;bal|boling|game
🏏;game kriket;bal|bat|game|game kriket
🏑;hoki lapangan;bal|game|hoki|lapangan|tongkat
🏒;hoki es;es|game|hoki|puk|tongkat
🥍;lacrosse;bal|gol|lacrosse|tongkat
🏓;ping pong;bal|bat|dayung|ping pong|tenis meja
🏸;badminton;badminton|game|kok|manuk|raket
🥊;sarung tangan tinju;sarung tangan|sarung tangan tinju|tinju
🥋;sragam bela diri;bela diri|judo|karate|sragam|sragam bela diri|taekwondo
🥅;jaring gawang;gawang|jaring
⛳;gendera golf;bolongan|gendera golf|golf
⛸️;luncur es;es|luncur es
🎣;tongkat pancing;iwak|tongkat|tongkat pancing
🤿;masker nyilem;masker nyilem|nyilem|skuba|snorkeling
🎽;kaos mlayu;atletik|kaos|mlayu|selempang
🎿;ski;luncur ski|salju|ski
🛷;kreta luncur;kreta luncur|kreta salju|kreta salju ditarik jaran
🥌;watu curling stone;game|watu cadhas|watu curling stone
🎯;kena sasaran;dart|kena|kena sasaran|target|tepat sasaran
🪀;yoyo;dolanan|yoyo
🪁;layangan;layangan|mabur|nglayang
🔫;bedhil;bedhil|gegaman|pistul|pranti|revolver|senjata
🎱;pool bal 8;8|bal|bilyar|game|pool bal 8|wolu
🔮;bal kristal;bal|dongeng|fantasi|kristal|perkakas|raja brana
🪄;tongkat sihir;penyihir|sihir|tongkat sihir|tuntunan
🎮;game video;game|game video|pangontrol
🕹️;tuas kontrol;game|game video|tuas kontrol
🎰;mesin slot;game|mesin slot|slot
🎲;dhadhu game;dhadhu|game
🧩;cuwilan teka-teki;cuwilan teka-teki|jigsaw|kemunci|pituduh|potongan|teka-teki
🧸;beruang teddy;alat dolanan|beruang teddy|dijejeli|dolanan|mewah
🪅;pinata;pinata|pista|prayaan
🪩;bal pangilon;bal pangilon|disko|jogèd|kumrincing|pesta
🪆;boneka rusia;boneka|nyusuh|rusia
♠️;kertu sekop;game|kertu|kertu sekop
♥️;kertu ati;emosi|game|kertu|kertu ati
♦️;kertu berlian;game|kertu|kertu berlian
♣️;kertu waru;game|kertu|kertu waru
♟️;pion;bisa dibuwang|catur|dupe|pion
🃏;kertu joker;game|joker|kertu|kertu liar
🀄;naga abang mahyong;abang|game|mahyong|naga abang mahyong
🎴;kertu gambar kembang;dolanan|game|Jepang|kembang|kertu|kertu gambar kembang
🎭;seni pagelaran;pagelaran|seni|teater|topeng
🖼️;gambar nganggo pigura;gambar|gambar nganggo pigura|lukisan|museum|pigura|seni
🎨;palet pelukis;lukisan|museum|palet|palet pelukis|seni
🧵;benang;benang|dom|njait|senar|sepul
🪡;jarum jait;babagan jait|dom|jait|jaitan|jarum|sulaman
🧶;bolah;bal|bolah|rajut|renda
🪢;simpul;benang|dasi|ditaleni|kusut|simpul|tali

[objects]
👓;kacamata;kaca tingal|kacamata|mata|panganggo mripat|sandangan
🕶️;kacamata ireng;kacamata|kacamata ireng|mripat|panganggo mripat|peteng
🥽;gogel;gogel|ngelas|nglangi|proteksi mripat
🥼;jas lab;dokter|eksperimen|ilmuwan|jas lab
🦺;rompi keslametan;darurat|keslametan|rompi
👔;dasi;dasi|sandhangan
👕;kaos lengen cendhak;kaos|kaos lengen cendhak|kaus|sandhangan
👖;jins;jins|kathok|kathok dawa|sandhangan
🧣;skarf;gulu|skarf
🧤;sarung tangan;sarung tangan|tangan
🧥;mantel;jaket|mantel
🧦;kaos sikil;kaos sikil|stoking
👗;rok;rok|sandhangan
👘;kimono;kimono|sandhangan
🥻;sari;rok|sandhangan|sari
🩱;klambi nglangi terusan;klambi adus|klambi nglangi terusan
🩲;kathok njero;kathok njero|klambi nglangi|klambi njero|mantel adus|terusan
🩳;kathok cendhak;kathok|kathok cendhak|klambi adus|klambi njero
👙;bikini;bikini|nglangi|sandhangan
👚;sandhangan wong wadon;sandhangan|sandhangan wong wadon|wong wadon
🪭;kipas lipat;isin|kipas|kipas lipat|nari|ngadem|ngelirik|panas
👛;tas;koin|sandhangan|tas
👜;tas tangan;sandhangan|tas|tas tangan
👝;tas jinjing;dompet|sandhangan|tas|tas jinjing
🛍️;tas blanja;blanja|hotel|tas
🎒;ransel;ransel|sekolah|tas|tas cangklong|tas gendhong
🩴;sandal japit;japit|sandal|sandal gisik|sandal zori
