# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kusisqa uya;kusi|kusisqa uya|uya
	🤟🏿;munanki yupi: yana qara niraq;ILY|maki|munanki yupi|yana qara niraq
🤘;waqrakuna unancha;maki|rock|rukana|waqrakuna|waqrakuna unancha
	🤘🏻;waqrakuna unancha: chuya qara niraq;chuya qara niraq|maki|rock|rukana|waqrakuna|waqrakuna unancha
	🤘🏼;waqrakuna unancha: tunpa chuya qara niraq;maki|rock|rukana|tunpa chuya qara niraq|waqrakuna|waqrakuna unancha
	🤘🏽;waqrakuna unancha: tunpa qara niraq;maki|rock|rukana|tunpa qara niraq|waqrakuna|waqrakuna unancha
	🤘🏾;waqrakuna unancha: tunpa yana qara niraq;maki|rock|rukana|tunpa yana qara niraq|waqrakuna|waqrakuna unancha
	🤘🏿;waqrakuna unancha: yana qara niraq;maki|rock|rukana|waqrakuna|waqrakuna unancha|yana qara niraq
🤙;waqyawani maki;maki|qayana|waqyawani maki
	🤙🏻;waqyawani maki: chuya qara niraq;chuya qara niraq|maki|qayana|waqyawani maki
	🤙🏼;waqyawani maki: tunpa chuya qara niraq;maki|qayana|tunpa chuya qara niraq|waqyawani maki
	🤙🏽;waqyawani maki: tunpa qara niraq;maki|qayana|tunpa qara niraq|waqyawani maki
	🤙🏾;waqyawani maki: tunpa yana qara niraq;maki|qayana|tunpa yana qara niraq|waqyawani maki
	🤙🏿;waqyawani maki: yana qara niraq;maki|qayana|waqyawani maki|yana qara niraq
👈;tʼupsi rukʼanawan lluqʼiman chimpuy;chimpuy|indice|jinchʼa|maki|rukana|tʼupsi rukʼanawan lluqʼiman chimpuy
	👈🏻;tʼupsi rukʼanawan lluqʼiman chimpuy: chuya qara niraq;chimpuy|chuya qara niraq|indice|jinchʼa|maki|rukana|tʼupsi rukʼanawan lluqʼiman chimpuy
	👈🏼;tʼupsi rukʼanawan lluqʼiman chimpuy: tunpa chuya qara niraq;chimpuy|indice|jinchʼa|maki|rukana|tunpa chuya qara niraq|tʼupsi rukʼanawan lluqʼiman chimpuy
	👈🏽;tʼupsi rukʼanawan lluqʼiman chimpuy: tunpa qara niraq;chimpuy|indice|jinchʼa|maki|rukana|tunpa qara niraq|tʼupsi rukʼanawan lluqʼiman chimpuy
	👈🏾;tʼupsi rukʼanawan lluqʼiman chimpuy: tunpa yana qara niraq;chimpuy|indice|jinchʼa|maki|rukana|tunpa yana qara niraq|tʼupsi rukʼanawan lluqʼiman chimpuy
	👈🏿;tʼupsi rukʼanawan lluqʼiman chimpuy: yana qara niraq;chimpuy|indice|jinchʼa|maki|rukana|tʼupsi rukʼanawan lluqʼiman chimpuy|yana qara niraq
👉;tʼupsi rukʼanawan pañaman chimpuy;chimpuy|indice|jinchʼa|maki|rukana|tʼupsi rukʼanawan pañaman chimpuy
	👉🏻;tʼupsi rukʼanawan pañaman chimpuy: chuya qara niraq;chimpuy|chuya qara niraq|indice|jinchʼa|maki|rukana|tʼupsi rukʼanawan pañaman chimpuy
	👉🏼;tʼupsi rukʼanawan pañaman chimpuy: tunpa chuya qara niraq;chimpuy|indice|jinchʼa|maki|rukana|tunpa chuya qara niraq|tʼupsi rukʼanawan pañaman chimpuy
	👉🏽;tʼupsi rukʼanawan pañaman chimpuy: tunpa qara niraq;chimpuy|indice|jinchʼa|maki|rukana|tunpa qara niraq|tʼupsi rukʼanawan pañaman chimpuy
	👉🏾;tʼupsi rukʼanawan pañaman chimpuy: tunpa yana qara niraq;chimpuy|indice|jinchʼa|maki|rukana|tunpa yana qara niraq|tʼupsi rukʼanawan pañaman chimpuy
	👉🏿;tʼupsi rukʼanawan pañaman chimpuy: yana qara niraq;chimpuy|indice|jinchʼa|maki|rukana|tʼupsi rukʼanawan pañaman chimpuy|yana qara niraq
👆;tʼupsi rukʼanawan hanaqman chimpuy;chimpuy|hanaq|jinchʼa|maki|rukana|tʼupsi rukʼanawan hanaqman chimpuy
	👆🏻;tʼupsi rukʼanawan hanaqman chimpuy: chuya qara niraq;chimpuy|chuya qara niraq|hanaq|jinchʼa|maki|rukana|tʼupsi rukʼanawan hanaqman chimpuy
	👆🏼;tʼupsi rukʼanawan hanaqman chimpuy: tunpa chuya qara niraq;chimpuy|hanaq|jinchʼa|maki|rukana|tunpa chuya qara niraq|tʼupsi rukʼanawan hanaqman chimpuy
	👆🏽;tʼupsi rukʼanawan hanaqman chimpuy: tunpa qara niraq;chimpuy|hanaq|jinchʼa|maki|rukana|tunpa qara niraq|tʼupsi rukʼanawan hanaqman chimpuy
	👆🏾;tʼupsi rukʼanawan hanaqman chimpuy: tunpa yana qara niraq;chimpuy|hanaq|jinchʼa|maki|rukana|tunpa yana qara niraq|tʼupsi rukʼanawan hanaqman chimpuy
	👆🏿;tʼupsi rukʼanawan hanaqman chimpuy: yana qara niraq;chimpuy|hanaq|jinchʼa|maki|rukana|tʼupsi rukʼanawan hanaqman chimpuy|yana qara niraq
🖕;chawpi rukana;chawpi rukana|maki|rukana
	🖕🏻;chawpi rukana: chuya qara niraq;chawpi rukana|chuya qara niraq|maki|rukana
	🖕🏼;chawpi rukana: tunpa chuya qara niraq;chawpi rukana|maki|rukana|tunpa chuya qara niraq
	🖕🏽;chawpi rukana: tunpa qara niraq;chawpi rukana|maki|rukana|tunpa qara niraq
	🖕🏾;chawpi rukana: tunpa yana qara niraq;chawpi rukana|maki|rukana|tunpa yana qara niraq
	🖕🏿;chawpi rukana: yana qara niraq;chawpi rukana|maki|rukana|yana qara niraq
👇;tʼupsi rukʼanawan uranman chimpuy;chimpuy|jinchʼa|maki|rukana|tʼupsi rukʼanawan uranman chimpuy|uran
	👇🏻;tʼupsi rukʼanawan uranman chimpuy: chuya qara niraq;chimpuy|chuya qara niraq|jinchʼa|maki|rukana|tʼupsi rukʼanawan uranman chimpuy|uran
	👇🏼;tʼupsi rukʼanawan uranman chimpuy: tunpa chuya qara niraq;chimpuy|jinchʼa|maki|rukana|tunpa chuya qara niraq|tʼupsi rukʼanawan uranman chimpuy|uran
	👇🏽;tʼupsi rukʼanawan uranman chimpuy: tunpa qara niraq;chimpuy|jinchʼa|maki|rukana|tunpa qara niraq|tʼupsi rukʼanawan uranman chimpuy|uran
	👇🏾;tʼupsi rukʼanawan uranman chimpuy: tunpa yana qara niraq;chimpuy|jinchʼa|maki|rukana|tunpa yana qara niraq|tʼupsi rukʼanawan uranman chimpuy|uran
	👇🏿;tʼupsi rukʼanawan uranman chimpuy: yana qara niraq;chimpuy|jinchʼa|maki|rukana|tʼupsi rukʼanawan uranman chimpuy|uran|yana qara niraq
☝️;rukʼanawan hanaqman chimpuy;chimpuy|hanaq|indice|maki|rukana|rukʼanawan hanaqman chimpuy
	☝🏻;rukʼanawan hanaqman chimpuy: chuya qara niraq;chimpuy|chuya qara niraq|hanaq|indice|maki|rukana|rukʼanawan hanaqman chimpuy
	☝🏼;rukʼanawan hanaqman chimpuy: tunpa chuya qara niraq;chimpuy|hanaq|indice|maki|rukana|rukʼanawan hanaqman chimpuy|tunpa chuya qara niraq
	☝🏽;rukʼanawan hanaqman chimpuy: tunpa qara niraq;chimpuy|hanaq|indice|maki|rukana|rukʼanawan hanaqman chimpuy|tunpa qara niraq
	☝🏾;rukʼanawan hanaqman chimpuy: tunpa yana qara niraq;chimpuy|hanaq|indice|maki|rukana|rukʼanawan hanaqman chimpuy|tunpa yana qara niraq
	☝🏿;rukʼanawan hanaqman chimpuy: yana qara niraq;chimpuy|hanaq|indice|maki|rukana|rukʼanawan hanaqman chimpuy|yana qara niraq
🫵;indice rukanawan chimpusqa qawaqman;chimpuy|indice rukanawan chimpusqa qawaqman|qam
	🫵🏻;indice rukanawan chimpusqa qawaqman: chuya qara niraq;chimpuy|chuya qara niraq|indice rukanawan chimpusqa qawaqman|qam
	🫵🏼;indice rukanawan chimpusqa qawaqman: tunpa chuya qara niraq;chimpuy|indice rukanawan chimpusqa qawaqman|qam|tunpa chuya qara niraq
	🫵🏽;indice rukanawan chimpusqa qawaqman: tunpa qara niraq;chimpuy|indice rukanawan chimpusqa qawaqman|qam|tunpa qara niraq
	🫵🏾;indice rukanawan chimpusqa qawaqman: tunpa yana qara niraq;chimpuy|indice rukanawan chimpusqa qawaqman|qam|tunpa yana qara niraq
	🫵🏿;indice rukanawan chimpusqa qawaqman: yana qara niraq;chimpuy|indice rukanawan chimpusqa qawaqman|qam|yana qara niraq
👍;hanaqpi rukʼana;+1|hanaq|hanaqpi rukʼana|maki|rukʼana
	👍🏻;hanaqpi rukʼana: chuya qara niraq;+1|chuya qara niraq|hanaq|hanaqpi rukʼana|maki|rukʼana
	👍🏼;hanaqpi rukʼana: tunpa chuya qara niraq;+1|hanaq|hanaqpi rukʼana|maki|rukʼana|tunpa chuya qara niraq
	👍🏽;hanaqpi rukʼana: tunpa qara niraq;+1|hanaq|hanaqpi rukʼana|maki|rukʼana|tunpa qara niraq
	👍🏾;hanaqpi rukʼana: tunpa yana qara niraq;+1|hanaq|hanaqpi rukʼana|maki|rukʼana|tunpa yana qara niraq
	👍🏿;hanaqpi rukʼana: yana qara niraq;+1|hanaq|hanaqpi rukʼana|maki|rukʼana|yana qara niraq
👎;uranpi rukʼana;-1|maki|rukʼana|uran|uranpi rukʼana
	👎🏻;uranpi rukʼana: chuya qara niraq;-1|chuya qara niraq|maki|rukʼana|uran|uranpi rukʼana
	👎🏼;uranpi rukʼana: tunpa chuya qara niraq;-1|maki|rukʼana|tunpa chuya qara niraq|uran|uranpi rukʼana
	👎🏽;uranpi rukʼana: tunpa qara niraq;-1|maki|rukʼana|tunpa qara niraq|uran|uranpi rukʼana
	👎🏾;uranpi rukʼana: tunpa yana qara niraq;-1|maki|rukʼana|tunpa yana qara niraq|uran|uranpi rukʼana
	👎🏿;uranpi rukʼana: yana qara niraq;-1|maki|rukʼana|uran|uranpi rukʼana|yana qara niraq
✊;juqharisqa saqma;ch’uqmi|juqharisqa saqma|maki|pipuyasqa|saqma
	✊🏻;juqharisqa saqma: chuya qara niraq;ch’uqmi|chuya qara niraq|juqharisqa saqma|maki|pipuyasqa|saqma
	✊🏼;juqharisqa saqma: tunpa chuya qara niraq;ch’uqmi|juqharisqa saqma|maki|pipuyasqa|saqma|tunpa chuya qara niraq
	✊🏽;juqharisqa saqma: tunpa qara niraq;ch’uqmi|juqharisqa saqma|maki|pipuyasqa|saqma|tunpa qara niraq
	✊🏾;juqharisqa saqma: tunpa yana qara niraq;ch’uqmi|juqharisqa saqma|maki|pipuyasqa|saqma|tunpa yana qara niraq
	✊🏿;juqharisqa saqma: yana qara niraq;ch’uqmi|juqharisqa saqma|maki|pipuyasqa|saqma|yana qara niraq
👊;saqma unancha;ch’uqmi|juqharisqa saqma|maki|saqma unancha
	👊🏻;saqma unancha: chuya qara niraq;ch’uqmi|chuya qara niraq|juqharisqa saqma|maki|saqma unancha
	👊🏼;saqma unancha: tunpa chuya qara niraq;ch’uqmi|juqharisqa saqma|maki|saqma unancha|tunpa chuya qara niraq
	👊🏽;saqma unancha: tunpa qara niraq;ch’uqmi|juqharisqa saqma|maki|saqma unancha|tunpa qara niraq
	👊🏾;saqma unancha: tunpa yana qara niraq;ch’uqmi|juqharisqa saqma|maki|saqma unancha|tunpa yana qara niraq
	👊🏿;saqma unancha: yana qara niraq;ch’uqmi|juqharisqa saqma|maki|saqma unancha|yana qara niraq
🤛;lluqʼi saqma;lluq’iman|lluqʼi saqma|saqma
	🤛🏻;lluqʼi saqma: chuya qara niraq;chuya qara niraq|lluq’iman|lluqʼi saqma|saqma
	🤛🏼;lluqʼi saqma: tunpa chuya qara niraq;lluq’iman|lluqʼi saqma|saqma|tunpa chuya qara niraq
	🤛🏽;lluqʼi saqma: tunpa qara niraq;lluq’iman|lluqʼi saqma|saqma|tunpa qara niraq
	🤛🏾;lluqʼi saqma: tunpa yana qara niraq;lluq’iman|lluqʼi saqma|saqma|tunpa yana qara niraq
	🤛🏿;lluqʼi saqma: yana qara niraq;lluq’iman|lluqʼi saqma|saqma|yana qara niraq
🤜;paña saqma;paña saqma|pañaman|saqma
	🤜🏻;paña saqma: chuya qara niraq;chuya qara niraq|paña saqma|pañaman|saqma
	🤜🏼;paña saqma: tunpa chuya qara niraq;paña saqma|pañaman|saqma|tunpa chuya qara niraq
	🤜🏽;paña saqma: tunpa qara niraq;paña saqma|pañaman|saqma|tunpa qara niraq
	🤜🏾;paña saqma: tunpa yana qara niraq;paña saqma|pañaman|saqma|tunpa yana qara niraq
	🤜🏿;paña saqma: yana qara niraq;paña saqma|pañaman|saqma|yana qara niraq
👏;jayllisqa makikuna;jayllisqa makikuna|jaylliy|maki
	👏🏻;jayllisqa makikuna: chuya qara niraq;chuya qara niraq|jayllisqa makikuna|jaylliy|maki
	👏🏼;jayllisqa makikuna: tunpa chuya qara niraq;jayllisqa makikuna|jaylliy|maki|tunpa chuya qara niraq
	👏🏽;jayllisqa makikuna: tunpa qara niraq;jayllisqa makikuna|jaylliy|maki|tunpa qara niraq
	👏🏾;jayllisqa makikuna: tunpa yana qara niraq;jayllisqa makikuna|jaylliy|maki|tunpa yana qara niraq
	👏🏿;jayllisqa makikuna: yana qara niraq;jayllisqa makikuna|jaylliy|maki|yana qara niraq
🙌;juqharisqa makikuna;achhalay|gesto|juqharisqa|juqharisqa makikuna|maki|raymi
	🙌🏻;juqharisqa makikuna: chuya qara niraq;achhalay|chuya qara niraq|gesto|juqharisqa|juqharisqa makikuna|maki|raymi
	🙌🏼;juqharisqa makikuna: tunpa chuya qara niraq;achhalay|gesto|juqharisqa|juqharisqa makikuna|maki|raymi|tunpa chuya qara niraq
	🙌🏽;juqharisqa makikuna: tunpa qara niraq;achhalay|gesto|juqharisqa|juqharisqa makikuna|maki|raymi|tunpa qara niraq
	🙌🏾;juqharisqa makikuna: tunpa yana qara niraq;achhalay|gesto|juqharisqa|juqharisqa makikuna|maki|raymi|tunpa yana qara niraq
	🙌🏿;juqharisqa makikuna: yana qara niraq;achhalay|gesto|juqharisqa|juqharisqa makikuna|maki|raymi|yana qara niraq
🫶;sunqu makikunawan;munay|sunqu makikunawan
	🫶🏻;sunqu makikunawan: chuya qara niraq;chuya qara niraq|munay|sunqu makikunawan
	🫶🏼;sunqu makikunawan: tunpa chuya qara niraq;munay|sunqu makikunawan|tunpa chuya qara niraq
	🫶🏽;sunqu makikunawan: tunpa qara niraq;munay|sunqu makikunawan|tunpa qara niraq
	🫶🏾;sunqu makikunawan: tunpa yana qara niraq;munay|sunqu makikunawan|tunpa yana qara niraq
	🫶🏿;sunqu makikunawan: yana qara niraq;munay|sunqu makikunawan|yana qara niraq
👐;kichasqa makikuna;kichasqa makikuna|kichay|maki
	👐🏻;kichasqa makikuna: chuya qara niraq;chuya qara niraq|kichasqa makikuna|kichay|maki
	👐🏼;kichasqa makikuna: tunpa chuya qara niraq;kichasqa makikuna|kichay|maki|tunpa chuya qara niraq
	👐🏽;kichasqa makikuna: tunpa qara niraq;kichasqa makikuna|kichay|maki|tunpa qara niraq
	👐🏾;kichasqa makikuna: tunpa yana qara niraq;kichasqa makikuna|kichay|maki|tunpa yana qara niraq
	👐🏿;kichasqa makikuna: yana qara niraq;kichasqa makikuna|kichay|maki|yana qara niraq
🤲;makikunawan plegaria unancha;makikunawan plegaria unancha|plegaria
	🤲🏻;makikunawan plegaria unancha: chuya qara niraq;chuya qara niraq|makikunawan plegaria unancha|plegaria
	🤲🏼;makikunawan plegaria unancha: tunpa chuya qara niraq;makikunawan plegaria unancha|plegaria|tunpa chuya qara niraq
	🤲🏽;makikunawan plegaria unancha: tunpa qara niraq;makikunawan plegaria unancha|plegaria|tunpa qara niraq
	🤲🏾;makikunawan plegaria unancha: tunpa yana qara niraq;makikunawan plegaria unancha|plegaria|tunpa yana qara niraq
	🤲🏿;makikunawan plegaria unancha: yana qara niraq;makikunawan plegaria unancha|plegaria|yana qara niraq
🤝;pipuyasqa makikunapura;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|uyniy
	🤝🏻;pipuyasqa makikunapura: chuya qara niraq;chuya qara niraq|huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|uyniy
	🤝🏼;pipuyasqa makikunapura: tunpa chuya qara niraq;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|tunpa chuya qara niraq|uyniy
	🤝🏽;pipuyasqa makikunapura: tunpa qara niraq;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|tunpa qara niraq|uyniy
	🤝🏾;pipuyasqa makikunapura: tunpa yana qara niraq;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|tunpa yana qara niraq|uyniy
	🤝🏿;pipuyasqa makikunapura: yana qara niraq;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|uyniy|yana qara niraq
	🫱🏻‍🫲🏼;pipuyasqa makikunapura: chuya qara niraq, tunpa chuya qara niraq;chuya qara niraq|huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|tunpa chuya qara niraq|uyniy
	🫱🏻‍🫲🏽;pipuyasqa makikunapura: chuya qara niraq, tunpa qara niraq;chuya qara niraq|huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|tunpa qara niraq|uyniy
	🫱🏻‍🫲🏾;pipuyasqa makikunapura: chuya qara niraq, tunpa yana qara niraq;chuya qara niraq|huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|tunpa yana qara niraq|uyniy
	🫱🏻‍🫲🏿;pipuyasqa makikunapura: chuya qara niraq, yana qara niraq;chuya qara niraq|huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|uyniy|yana qara niraq
	🫱🏼‍🫲🏻;pipuyasqa makikunapura: tunpa chuya qara niraq, chuya qara niraq;chuya qara niraq|huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|tunpa chuya qara niraq|uyniy
	🫱🏼‍🫲🏽;pipuyasqa makikunapura: tunpa chuya qara niraq, tunpa qara niraq;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|tunpa chuya qara niraq|tunpa qara niraq|uyniy
	🫱🏼‍🫲🏾;pipuyasqa makikunapura: tunpa chuya qara niraq, tunpa yana qara niraq;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|tunpa chuya qara niraq|tunpa yana qara niraq|uyniy
	🫱🏼‍🫲🏿;pipuyasqa makikunapura: tunpa chuya qara niraq, yana qara niraq;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|tunpa chuya qara niraq|uyniy|yana qara niraq
	🫱🏽‍🫲🏻;pipuyasqa makikunapura: tunpa qara niraq, chuya qara niraq;chuya qara niraq|huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|tunpa qara niraq|uyniy
	🫱🏽‍🫲🏼;pipuyasqa makikunapura: tunpa qara niraq, tunpa chuya qara niraq;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|tunpa chuya qara niraq|tunpa qara niraq|uyniy
	🫱🏽‍🫲🏾;pipuyasqa makikunapura: tunpa qara niraq, tunpa yana qara niraq;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|tunpa qara niraq|tunpa yana qara niraq|uyniy
	🫱🏽‍🫲🏿;pipuyasqa makikunapura: tunpa qara niraq, yana qara niraq;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|tunpa qara niraq|uyniy|yana qara niraq
	🫱🏾‍🫲🏻;pipuyasqa makikunapura: tunpa yana qara niraq, chuya qara niraq;chuya qara niraq|huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|tunpa yana qara niraq|uyniy
	🫱🏾‍🫲🏼;pipuyasqa makikunapura: tunpa yana qara niraq, tunpa chuya qara niraq;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|tunpa chuya qara niraq|tunpa yana qara niraq|uyniy
	🫱🏾‍🫲🏽;pipuyasqa makikunapura: tunpa yana qara niraq, tunpa qara niraq;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|tunpa qara niraq|tunpa yana qara niraq|uyniy
	🫱🏾‍🫲🏿;pipuyasqa makikunapura: tunpa yana qara niraq, yana qara niraq;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|tunpa yana qara niraq|uyniy|yana qara niraq
	🫱🏿‍🫲🏻;pipuyasqa makikunapura: yana qara niraq, chuya qara niraq;chuya qara niraq|huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|uyniy|yana qara niraq
	🫱🏿‍🫲🏼;pipuyasqa makikunapura: yana qara niraq, tunpa chuya qara niraq;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|tunpa chuya qara niraq|uyniy|yana qara niraq
	🫱🏿‍🫲🏽;pipuyasqa makikunapura: yana qara niraq, tunpa qara niraq;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|tunpa qara niraq|uyniy|yana qara niraq
	🫱🏿‍🫲🏾;pipuyasqa makikunapura: yana qara niraq, tunpa yana qara niraq;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|tunpa yana qara niraq|uyniy|yana qara niraq
🙏;makikuna rezando;maki|makikuna rezando|orar|pachi|tapuy
	🙏🏻;makikuna rezando: chuya qara niraq;chuya qara niraq|maki|makikuna rezando|orar|pachi|tapuy
	🙏🏼;makikuna rezando: tunpa chuya qara niraq;maki|makikuna rezando|orar|pachi|tapuy|tunpa chuya qara niraq
	🙏🏽;makikuna rezando: tunpa qara niraq;maki|makikuna rezando|orar|pachi|tapuy|tunpa qara niraq
	🙏🏾;makikuna rezando: tunpa yana qara niraq;maki|makikuna rezando|orar|pachi|tapuy|tunpa yana qara niraq
	🙏🏿;makikuna rezando: yana qara niraq;maki|makikuna rezando|orar|pachi|tapuy|yana qara niraq
✍️;maki qillqachkan;maki|maki qillqachkan|qillqay
	✍🏻;maki qillqachkan: chuya qara niraq;chuya qara niraq|maki|maki qillqachkan|qillqay
	✍🏼;maki qillqachkan: tunpa chuya qara niraq;maki|maki qillqachkan|qillqay|tunpa chuya qara niraq
	✍🏽;maki qillqachkan: tunpa qara niraq;maki|maki qillqachkan|qillqay|tunpa qara niraq
	✍🏾;maki qillqachkan: tunpa yana qara niraq;maki|maki qillqachkan|qillqay|tunpa yana qara niraq
	✍🏿;maki qillqachkan: yana qara niraq;maki|maki qillqachkan|qillqay|yana qara niraq
💅;esmalte sillukunapaq;cosmeticos|esmalte|esmalte sillukunapaq|manicura|qhaway|sillu
	💅🏻;esmalte sillukunapaq: chuya qara niraq;chuya qara niraq|cosmeticos|esmalte|esmalte sillukunapaq|manicura|qhaway|sillu
	💅🏼;esmalte sillukunapaq: tunpa chuya qara niraq;cosmeticos|esmalte|esmalte sillukunapaq|manicura|qhaway|sillu|tunpa chuya qara niraq
	💅🏽;esmalte sillukunapaq: tunpa qara niraq;cosmeticos|esmalte|esmalte sillukunapaq|manicura|qhaway|sillu|tunpa qara niraq
	💅🏾;esmalte sillukunapaq: tunpa yana qara niraq;cosmeticos|esmalte|esmalte sillukunapaq|manicura|qhaway|sillu|tunpa yana qara niraq
	💅🏿;esmalte sillukunapaq: yana qara niraq;cosmeticos|esmalte|esmalte sillukunapaq|manicura|qhaway|sillu|yana qara niraq
🤳;selfie;camara|selfie|telefono
	🤳🏻;selfie: chuya qara niraq;camara|chuya qara niraq|selfie|telefono
	🤳🏼;selfie: tunpa chuya qara niraq;camara|selfie|telefono|tunpa chuya qara niraq
	🤳🏽;selfie: tunpa qara niraq;camara|selfie|telefono|tunpa qara niraq
	🤳🏾;selfie: tunpa yana qara niraq;camara|selfie|telefono|tunpa yana qara niraq
	🤳🏿;selfie: yana qara niraq;camara|selfie|telefono|yana qara niraq
💪;iskaychasqa bicepkuna;challwan|comic|iskaychasqa bicepkuna|musculo|p’akchiy
	💪🏻;iskaychasqa bicepkuna: chuya qara niraq;challwan|chuya qara niraq|comic|iskaychasqa bicepkuna|musculo|p’akchiy
	💪🏼;iskaychasqa bicepkuna: tunpa chuya qara niraq;challwan|comic|iskaychasqa bicepkuna|musculo|p’akchiy|tunpa chuya qara niraq
	💪🏽;iskaychasqa bicepkuna: tunpa qara niraq;challwan|comic|iskaychasqa bicepkuna|musculo|p’akchiy|tunpa qara niraq
	💪🏾;iskaychasqa bicepkuna: tunpa yana qara niraq;challwan|comic|iskaychasqa bicepkuna|musculo|p’akchiy|tunpa yana qara niraq
	💪🏿;iskaychasqa bicepkuna: yana qara niraq;challwan|comic|iskaychasqa bicepkuna|musculo|p’akchiy|yana qara niraq
🦾;mecanico maki;mecanico maki|prostetico|yaykurinalla
🦿;mecanico chaka;mecanico chaka|prostetico|yaykurinalla
🦵;chanka;chanka|jaytʼay|miembro
	🦵🏻;chanka: chuya qara niraq;chanka|chuya qara niraq|jaytʼay|miembro
	🦵🏼;chanka: tunpa chuya qara niraq;chanka|jaytʼay|miembro|tunpa chuya qara niraq
	🦵🏽;chanka: tunpa qara niraq;chanka|jaytʼay|miembro|tunpa qara niraq
	🦵🏾;chanka: tunpa yana qara niraq;chanka|jaytʼay|miembro|tunpa yana qara niraq
	🦵🏿;chanka: yana qara niraq;chanka|jaytʼay|miembro|yana qara niraq
🦶;chaki;chaki|jaytʼay saruy
	🦶🏻;chaki: chuya qara niraq;chaki|chuya qara niraq|jaytʼay saruy
	🦶🏼;chaki: tunpa chuya qara niraq;chaki|jaytʼay saruy|tunpa chuya qara niraq
	🦶🏽;chaki: tunpa qara niraq;chaki|jaytʼay saruy|tunpa qara niraq
	🦶🏾;chaki: tunpa yana qara niraq;chaki|jaytʼay saruy|tunpa yana qara niraq
	🦶🏿;chaki: yana qara niraq;chaki|jaytʼay saruy|yana qara niraq
👂;ninri;khurku|ninri
	👂🏻;ninri: chuya qara niraq;chuya qara niraq|khurku|ninri
	👂🏼;ninri: tunpa chuya qara niraq;khurku|ninri|tunpa chuya qara niraq
	👂🏽;ninri: tunpa qara niraq;khurku|ninri|tunpa qara niraq
	👂🏾;ninri: tunpa yana qara niraq;khurku|ninri|tunpa yana qara niraq
	👂🏿;ninri: yana qara niraq;khurku|ninri|yana qara niraq
🦻;ninri uyarisqa yanapayniwan;haykurinalla|ninri uyarisqa yanapayniwan|pantasqa uyariypaq
	🦻🏻;ninri uyarisqa yanapayniwan: chuya qara niraq;chuya qara niraq|haykurinalla|ninri uyarisqa yanapayniwan|pantasqa uyariypaq
	🦻🏼;ninri uyarisqa yanapayniwan: tunpa chuya qara niraq;haykurinalla|ninri uyarisqa yanapayniwan|pantasqa uyariypaq|tunpa chuya qara niraq
	🦻🏽;ninri uyarisqa yanapayniwan: tunpa qara niraq;haykurinalla|ninri uyarisqa yanapayniwan|pantasqa uyariypaq|tunpa qara niraq
	🦻🏾;ninri uyarisqa yanapayniwan: tunpa yana qara niraq;haykurinalla|ninri uyarisqa yanapayniwan|pantasqa uyariypaq|tunpa yana qara niraq
	🦻🏿;ninri uyarisqa yanapayniwan: yana qara niraq;haykurinalla|ninri uyarisqa yanapayniwan|pantasqa uyariypaq|yana qara niraq
