# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kusisqa uya;kusi|kusisqa uya|uya
	🖐🏿;maki iskay rukanakunawa mastasqa: yana qara niraq;maki|maki iskay rukanakunawa mastasqa|mastasqa|rukana|yana qara niraq
✋;huqharisqa maki;huqharisqa maki|maki
	✋🏻;huqharisqa maki: chuya qara niraq;chuya qara niraq|huqharisqa maki|maki
	✋🏼;huqharisqa maki: tunpa chuya qara niraq;huqharisqa maki|maki|tunpa chuya qara niraq
	✋🏽;huqharisqa maki: tunpa qara niraq;huqharisqa maki|maki|tunpa qara niraq
	✋🏾;huqharisqa maki: tunpa yana qara niraq;huqharisqa maki|maki|tunpa yana qara niraq
	✋🏿;huqharisqa maki: yana qara niraq;huqharisqa maki|maki|yana qara niraq
🖖;vulcano napay;maki|rukana|spock|vulcano|vulcano napay
	🖖🏻;vulcano napay: chuya qara niraq;chuya qara niraq|maki|rukana|spock|vulcano|vulcano napay
	🖖🏼;vulcano napay: tunpa chuya qara niraq;maki|rukana|spock|tunpa chuya qara niraq|vulcano|vulcano napay
	🖖🏽;vulcano napay: tunpa qara niraq;maki|rukana|spock|tunpa qara niraq|vulcano|vulcano napay
	🖖🏾;vulcano napay: tunpa yana qara niraq;maki|rukana|spock|tunpa yana qara niraq|vulcano|vulcano napay
	🖖🏿;vulcano napay: yana qara niraq;maki|rukana|spock|vulcano|vulcano napay|yana qara niraq
🫱;pañaman maki;maki|paña|pañaman
	🫱🏻;pañaman maki: chuya qara niraq;chuya qara niraq|maki|paña|pañaman
	🫱🏼;pañaman maki: tunpa chuya qara niraq;maki|paña|pañaman|tunpa chuya qara niraq
	🫱🏽;pañaman maki: tunpa qara niraq;maki|paña|pañaman|tunpa qara niraq
	🫱🏾;pañaman maki: tunpa yana qara niraq;maki|paña|pañaman|tunpa yana qara niraq
	🫱🏿;pañaman maki: yana qara niraq;maki|paña|pañaman|yana qara niraq
🫲;lluqiman maki;lluqi|lluqiman|maki
