# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kanam guy gaññi;gaññi|kanam|kanam guy gaññi
	👈🏼;ginaaw loxo buy joxoñ càmmoñ: xeesaayu der bu xeereer;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ càmmoñ|ginaawu loxo|joxoñ|loxo|xeesaayu der bu xeereer
	👈🏽;ginaaw loxo buy joxoñ càmmoñ: xeesaayu der bu yam;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ càmmoñ|ginaawu loxo|joxoñ|loxo|xeesaayu der bu yam
	👈🏾;ginaaw loxo buy joxoñ càmmoñ: xeesaayu der bu xawa ñuul;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ càmmoñ|ginaawu loxo|joxoñ|loxo|xeesaayu der bu xawa ñuul
	👈🏿;ginaaw loxo buy joxoñ càmmoñ: xeesaayu der bu ñuul;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ càmmoñ|ginaawu loxo|joxoñ|loxo|xeesaayu der bu ñuul
👉;ginaaw loxo buy joxoñ ndijoor;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ ndijoor|ginaawu loxo|joxoñ|loxo
	👉🏻;ginaaw loxo buy joxoñ ndijoor: xeesaayu der bu woyof;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ ndijoor|ginaawu loxo|joxoñ|loxo|xeesaayu der bu woyof
	👉🏼;ginaaw loxo buy joxoñ ndijoor: xeesaayu der bu xeereer;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ ndijoor|ginaawu loxo|joxoñ|loxo|xeesaayu der bu xeereer
	👉🏽;ginaaw loxo buy joxoñ ndijoor: xeesaayu der bu yam;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ ndijoor|ginaawu loxo|joxoñ|loxo|xeesaayu der bu yam
	👉🏾;ginaaw loxo buy joxoñ ndijoor: xeesaayu der bu xawa ñuul;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ ndijoor|ginaawu loxo|joxoñ|loxo|xeesaayu der bu xawa ñuul
	👉🏿;ginaaw loxo buy joxoñ ndijoor: xeesaayu der bu ñuul;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ ndijoor|ginaawu loxo|joxoñ|loxo|xeesaayu der bu ñuul
👆;ginaaw loxo buy joxoñ ci kaw;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ ci kaw|ginaawu loxo|joxoñ|kaw|loxo
	👆🏻;ginaaw loxo buy joxoñ ci kaw: xeesaayu der bu woyof;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ ci kaw|ginaawu loxo|joxoñ|kaw|loxo|xeesaayu der bu woyof
	👆🏼;ginaaw loxo buy joxoñ ci kaw: xeesaayu der bu xeereer;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ ci kaw|ginaawu loxo|joxoñ|kaw|loxo|xeesaayu der bu xeereer
	👆🏽;ginaaw loxo buy joxoñ ci kaw: xeesaayu der bu yam;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ ci kaw|ginaawu loxo|joxoñ|kaw|loxo|xeesaayu der bu yam
	👆🏾;ginaaw loxo buy joxoñ ci kaw: xeesaayu der bu xawa ñuul;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ ci kaw|ginaawu loxo|joxoñ|kaw|loxo|xeesaayu der bu xawa ñuul
	👆🏿;ginaaw loxo buy joxoñ ci kaw: xeesaayu der bu ñuul;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ ci kaw|ginaawu loxo|joxoñ|kaw|loxo|xeesaayu der bu ñuul
🖕;baaraamu digg;baaraam|baaraamu digg|loxo
	🖕🏻;baaraamu digg: xeesaayu der bu woyof;baaraam|baaraamu digg|loxo|xeesaayu der bu woyof
	🖕🏼;baaraamu digg: xeesaayu der bu xeereer;baaraam|baaraamu digg|loxo|xeesaayu der bu xeereer
	🖕🏽;baaraamu digg: xeesaayu der bu yam;baaraam|baaraamu digg|loxo|xeesaayu der bu yam
	🖕🏾;baaraamu digg: xeesaayu der bu xawa ñuul;baaraam|baaraamu digg|loxo|xeesaayu der bu xawa ñuul
	🖕🏿;baaraamu digg: xeesaayu der bu ñuul;baaraam|baaraamu digg|loxo|xeesaayu der bu ñuul
👇;ginaaw loxo buy joxoñ ci suuf;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ ci suuf|ginaawu loxo|joxoñ|loxo|suuf
	👇🏻;ginaaw loxo buy joxoñ ci suuf: xeesaayu der bu woyof;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ ci suuf|ginaawu loxo|joxoñ|loxo|suuf|xeesaayu der bu woyof
	👇🏼;ginaaw loxo buy joxoñ ci suuf: xeesaayu der bu xeereer;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ ci suuf|ginaawu loxo|joxoñ|loxo|suuf|xeesaayu der bu xeereer
	👇🏽;ginaaw loxo buy joxoñ ci suuf: xeesaayu der bu yam;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ ci suuf|ginaawu loxo|joxoñ|loxo|suuf|xeesaayu der bu yam
	👇🏾;ginaaw loxo buy joxoñ ci suuf: xeesaayu der bu xawa ñuul;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ ci suuf|ginaawu loxo|joxoñ|loxo|suuf|xeesaayu der bu xawa ñuul
	👇🏿;ginaaw loxo buy joxoñ ci suuf: xeesaayu der bu ñuul;baaraam|baaraamu joxoñ|ginaaw loxo buy joxoñ ci suuf|ginaawu loxo|joxoñ|loxo|suuf|xeesaayu der bu ñuul
☝️;baaraamu joxoñ buy joxoñ ci kaw;baaraam|baaraamu joxoñ|baaraamu joxoñ buy joxoñ ci kaw|joxoñ|kaw|loxo
	☝🏻;baaraamu joxoñ buy joxoñ ci kaw: xeesaayu der bu woyof;baaraam|baaraamu joxoñ|baaraamu joxoñ buy joxoñ ci kaw|joxoñ|kaw|loxo|xeesaayu der bu woyof
	☝🏼;baaraamu joxoñ buy joxoñ ci kaw: xeesaayu der bu xeereer;baaraam|baaraamu joxoñ|baaraamu joxoñ buy joxoñ ci kaw|joxoñ|kaw|loxo|xeesaayu der bu xeereer
	☝🏽;baaraamu joxoñ buy joxoñ ci kaw: xeesaayu der bu yam;baaraam|baaraamu joxoñ|baaraamu joxoñ buy joxoñ ci kaw|joxoñ|kaw|loxo|xeesaayu der bu yam
	☝🏾;baaraamu joxoñ buy joxoñ ci kaw: xeesaayu der bu xawa ñuul;baaraam|baaraamu joxoñ|baaraamu joxoñ buy joxoñ ci kaw|joxoñ|kaw|loxo|xeesaayu der bu xawa ñuul
	☝🏿;baaraamu joxoñ buy joxoñ ci kaw: xeesaayu der bu ñuul;baaraam|baaraamu joxoñ|baaraamu joxoñ buy joxoñ ci kaw|joxoñ|kaw|loxo|xeesaayu der bu ñuul
🫵;;
	🫵🏻;;
	🫵🏼;;
	🫵🏽;;
	🫵🏾;;
	🫵🏿;;
👍;baaraamu waaw;+1|baaraam bu dijj|baaraamu waaw|kaw|loxo
	👍🏻;baaraamu waaw: xeesaayu der bu woyof;+1|baaraam bu dijj|baaraamu waaw|kaw|loxo|xeesaayu der bu woyof
	👍🏼;baaraamu waaw: xeesaayu der bu xeereer;+1|baaraam bu dijj|baaraamu waaw|kaw|loxo|xeesaayu der bu xeereer
	👍🏽;baaraamu waaw: xeesaayu der bu yam;+1|baaraam bu dijj|baaraamu waaw|kaw|loxo|xeesaayu der bu yam
	👍🏾;baaraamu waaw: xeesaayu der bu xawa ñuul;+1|baaraam bu dijj|baaraamu waaw|kaw|loxo|xeesaayu der bu xawa ñuul
	👍🏿;baaraamu waaw: xeesaayu der bu ñuul;+1|baaraam bu dijj|baaraamu waaw|kaw|loxo|xeesaayu der bu ñuul
👎;baaraamu déet;-1|baaraam bu dijj|baaraamu déet|loxo|suuf
	👎🏻;baaraamu déet: xeesaayu der bu woyof;-1|baaraam bu dijj|baaraamu déet|loxo|suuf|xeesaayu der bu woyof
	👎🏼;baaraamu déet: xeesaayu der bu xeereer;-1|baaraam bu dijj|baaraamu déet|loxo|suuf|xeesaayu der bu xeereer
	👎🏽;baaraamu déet: xeesaayu der bu yam;-1|baaraam bu dijj|baaraamu déet|loxo|suuf|xeesaayu der bu yam
	👎🏾;baaraamu déet: xeesaayu der bu xawa ñuul;-1|baaraam bu dijj|baaraamu déet|loxo|suuf|xeesaayu der bu xawa ñuul
	👎🏿;baaraamu déet: xeesaayu der bu ñuul;-1|baaraam bu dijj|baaraamu déet|loxo|suuf|xeesaayu der bu ñuul
✊;kurfañ bu jog;dóor|kurfañ|kurfañ bu jog|loxo|ŋëb
	✊🏻;kurfañ bu jog: xeesaayu der bu woyof;dóor|kurfañ|kurfañ bu jog|loxo|ŋëb|xeesaayu der bu woyof
	✊🏼;kurfañ bu jog: xeesaayu der bu xeereer;dóor|kurfañ|kurfañ bu jog|loxo|ŋëb|xeesaayu der bu xeereer
	✊🏽;kurfañ bu jog: xeesaayu der bu yam;dóor|kurfañ|kurfañ bu jog|loxo|ŋëb|xeesaayu der bu yam
	✊🏾;kurfañ bu jog: xeesaayu der bu xawa ñuul;dóor|kurfañ|kurfañ bu jog|loxo|ŋëb|xeesaayu der bu xawa ñuul
	✊🏿;kurfañ bu jog: xeesaayu der bu ñuul;dóor|kurfañ|kurfañ bu jog|loxo|ŋëb|xeesaayu der bu ñuul
👊;kurfañ buy ñëw;dóor|kurfañ|kurfañ buy ñëw|loxo|ŋëb
	👊🏻;kurfañ buy ñëw: xeesaayu der bu woyof;dóor|kurfañ|kurfañ buy ñëw|loxo|ŋëb|xeesaayu der bu woyof
	👊🏼;kurfañ buy ñëw: xeesaayu der bu xeereer;dóor|kurfañ|kurfañ buy ñëw|loxo|ŋëb|xeesaayu der bu xeereer
	👊🏽;kurfañ buy ñëw: xeesaayu der bu yam;dóor|kurfañ|kurfañ buy ñëw|loxo|ŋëb|xeesaayu der bu yam
	👊🏾;kurfañ buy ñëw: xeesaayu der bu xawa ñuul;dóor|kurfañ|kurfañ buy ñëw|loxo|ŋëb|xeesaayu der bu xawa ñuul
	👊🏿;kurfañ buy ñëw: xeesaayu der bu ñuul;dóor|kurfañ|kurfañ buy ñëw|loxo|ŋëb|xeesaayu der bu ñuul
🤛;kurfañu càmmoñ;jëm càmmoñ|kurfañ|kurfañu càmmoñ
	🤛🏻;kurfañu càmmoñ: xeesaayu der bu woyof;jëm càmmoñ|kurfañ|kurfañu càmmoñ|xeesaayu der bu woyof
	🤛🏼;kurfañu càmmoñ: xeesaayu der bu xeereer;jëm càmmoñ|kurfañ|kurfañu càmmoñ|xeesaayu der bu xeereer
	🤛🏽;kurfañu càmmoñ: xeesaayu der bu yam;jëm càmmoñ|kurfañ|kurfañu càmmoñ|xeesaayu der bu yam
	🤛🏾;kurfañu càmmoñ: xeesaayu der bu xawa ñuul;jëm càmmoñ|kurfañ|kurfañu càmmoñ|xeesaayu der bu xawa ñuul
	🤛🏿;kurfañu càmmoñ: xeesaayu der bu ñuul;jëm càmmoñ|kurfañ|kurfañu càmmoñ|xeesaayu der bu ñuul
🤜;kurfañu ndijoor;jëm ndijoor|kurfañ|kurfañu ndijoor
	🤜🏻;kurfañu ndijoor: xeesaayu der bu woyof;jëm ndijoor|kurfañ|kurfañu ndijoor|xeesaayu der bu woyof
	🤜🏼;kurfañu ndijoor: xeesaayu der bu xeereer;jëm ndijoor|kurfañ|kurfañu ndijoor|xeesaayu der bu xeereer
	🤜🏽;kurfañu ndijoor: xeesaayu der bu yam;jëm ndijoor|kurfañ|kurfañu ndijoor|xeesaayu der bu yam
	🤜🏾;kurfañu ndijoor: xeesaayu der bu xawa ñuul;jëm ndijoor|kurfañ|kurfañu ndijoor|xeesaayu der bu xawa ñuul
	🤜🏿;kurfañu ndijoor: xeesaayu der bu ñuul;jëm ndijoor|kurfañ|kurfañu ndijoor|xeesaayu der bu ñuul
👏;loxo yuy tàccu;loxo|loxo yuy tàccu|tàccu
	👏🏻;loxo yuy tàccu: xeesaayu der bu woyof;loxo|loxo yuy tàccu|tàccu|xeesaayu der bu woyof
	👏🏼;loxo yuy tàccu: xeesaayu der bu xeereer;loxo|loxo yuy tàccu|tàccu|xeesaayu der bu xeereer
	👏🏽;loxo yuy tàccu: xeesaayu der bu yam;loxo|loxo yuy tàccu|tàccu|xeesaayu der bu yam
	👏🏾;loxo yuy tàccu: xeesaayu der bu xawa ñuul;loxo|loxo yuy tàccu|tàccu|xeesaayu der bu xawa ñuul
	👏🏿;loxo yuy tàccu: xeesaayu der bu ñuul;loxo|loxo yuy tàccu|tàccu|xeesaayu der bu ñuul
🙌;yëkkati ay loxo;buñ yëkkati|liyaar|loxo|màggal|wëey|yëkkati ay loxo
	🙌🏻;yëkkati ay loxo: xeesaayu der bu woyof;buñ yëkkati|liyaar|loxo|màggal|wëey|xeesaayu der bu woyof|yëkkati ay loxo
	🙌🏼;yëkkati ay loxo: xeesaayu der bu xeereer;buñ yëkkati|liyaar|loxo|màggal|wëey|xeesaayu der bu xeereer|yëkkati ay loxo
	🙌🏽;yëkkati ay loxo: xeesaayu der bu yam;buñ yëkkati|liyaar|loxo|màggal|wëey|xeesaayu der bu yam|yëkkati ay loxo
	🙌🏾;yëkkati ay loxo: xeesaayu der bu xawa ñuul;buñ yëkkati|liyaar|loxo|màggal|wëey|xeesaayu der bu xawa ñuul|yëkkati ay loxo
	🙌🏿;yëkkati ay loxo: xeesaayu der bu ñuul;buñ yëkkati|liyaar|loxo|màggal|wëey|xeesaayu der bu ñuul|yëkkati ay loxo
🫶;;
	🫶🏻;;
	🫶🏼;;
	🫶🏽;;
	🫶🏾;;
	🫶🏿;;
👐;loxo yu ubbeeku;loxo|loxo yu ubbeeku|ubbeeku
	👐🏻;loxo yu ubbeeku: xeesaayu der bu woyof;loxo|loxo yu ubbeeku|ubbeeku|xeesaayu der bu woyof
	👐🏼;loxo yu ubbeeku: xeesaayu der bu xeereer;loxo|loxo yu ubbeeku|ubbeeku|xeesaayu der bu xeereer
	👐🏽;loxo yu ubbeeku: xeesaayu der bu yam;loxo|loxo yu ubbeeku|ubbeeku|xeesaayu der bu yam
	👐🏾;loxo yu ubbeeku: xeesaayu der bu xawa ñuul;loxo|loxo yu ubbeeku|ubbeeku|xeesaayu der bu xawa ñuul
	👐🏿;loxo yu ubbeeku: xeesaayu der bu ñuul;loxo|loxo yu ubbeeku|ubbeeku|xeesaayu der bu ñuul
🤲;tallal loxo ñaan;ñaan|tallal loxo ñaan
	🤲🏻;tallal loxo ñaan: xeesaayu der bu woyof;ñaan|tallal loxo ñaan|xeesaayu der bu woyof
	🤲🏼;tallal loxo ñaan: xeesaayu der bu xeereer;ñaan|tallal loxo ñaan|xeesaayu der bu xeereer
	🤲🏽;tallal loxo ñaan: xeesaayu der bu yam;ñaan|tallal loxo ñaan|xeesaayu der bu yam
	🤲🏾;tallal loxo ñaan: xeesaayu der bu xawa ñuul;ñaan|tallal loxo ñaan|xeesaayu der bu xawa ñuul
	🤲🏿;tallal loxo ñaan: xeesaayu der bu ñuul;ñaan|tallal loxo ñaan|xeesaayu der bu ñuul
🤝;joxante loxo;déggoo|joxante|loxo|ndaje
	🤝🏻;joxante loxo: xeesaayu der bu woyof;déggoo|joxante|loxo|ndaje|xeesaayu der bu woyof
	🤝🏼;joxante loxo: xeesaayu der bu xeereer;déggoo|joxante|loxo|ndaje|xeesaayu der bu xeereer
	🤝🏽;joxante loxo: xeesaayu der bu yam;déggoo|joxante|loxo|ndaje|xeesaayu der bu yam
	🤝🏾;joxante loxo: xeesaayu der bu xawa ñuul;déggoo|joxante|loxo|ndaje|xeesaayu der bu xawa ñuul
	🤝🏿;joxante loxo: xeesaayu der bu ñuul;déggoo|joxante|loxo|ndaje|xeesaayu der bu ñuul
	🫱🏻‍🫲🏼;joxante loxo: xeesaayu der bu woyof, xeesaayu der bu xeereer;déggoo|joxante|loxo|ndaje|xeesaayu der bu woyof|xeesaayu der bu xeereer
	🫱🏻‍🫲🏽;joxante loxo: xeesaayu der bu woyof, xeesaayu der bu yam;déggoo|joxante|loxo|ndaje|xeesaayu der bu woyof|xeesaayu der bu yam
	🫱🏻‍🫲🏾;joxante loxo: xeesaayu der bu woyof, xeesaayu der bu xawa ñuul;déggoo|joxante|loxo|ndaje|xeesaayu der bu woyof|xeesaayu der bu xawa ñuul
	🫱🏻‍🫲🏿;joxante loxo: xeesaayu der bu woyof, xeesaayu der bu ñuul;déggoo|joxante|loxo|ndaje|xeesaayu der bu ñuul|xeesaayu der bu woyof
	🫱🏼‍🫲🏻;joxante loxo: xeesaayu der bu xeereer, xeesaayu der bu woyof;déggoo|joxante|loxo|ndaje|xeesaayu der bu woyof|xeesaayu der bu xeereer
	🫱🏼‍🫲🏽;joxante loxo: xeesaayu der bu xeereer, xeesaayu der bu yam;déggoo|joxante|loxo|ndaje|xeesaayu der bu xeereer|xeesaayu der bu yam
	🫱🏼‍🫲🏾;joxante loxo: xeesaayu der bu xeereer, xeesaayu der bu xawa ñuul;déggoo|joxante|loxo|ndaje|xeesaayu der bu xawa ñuul|xeesaayu der bu xeereer
	🫱🏼‍🫲🏿;joxante loxo: xeesaayu der bu xeereer, xeesaayu der bu ñuul;déggoo|joxante|loxo|ndaje|xeesaayu der bu ñuul|xeesaayu der bu xeereer
	🫱🏽‍🫲🏻;joxante loxo: xeesaayu der bu yam, xeesaayu der bu woyof;déggoo|joxante|loxo|ndaje|xeesaayu der bu woyof|xeesaayu der bu yam
	🫱🏽‍🫲🏼;joxante loxo: xeesaayu der bu yam, xeesaayu der bu xeereer;déggoo|joxante|loxo|ndaje|xeesaayu der bu xeereer|xeesaayu der bu yam
	🫱🏽‍🫲🏾;joxante loxo: xeesaayu der bu yam, xeesaayu der bu xawa ñuul;déggoo|joxante|loxo|ndaje|xeesaayu der bu xawa ñuul|xeesaayu der bu yam
	🫱🏽‍🫲🏿;joxante loxo: xeesaayu der bu yam, xeesaayu der bu ñuul;déggoo|joxante|loxo|ndaje|xeesaayu der bu ñuul|xeesaayu der bu yam
	🫱🏾‍🫲🏻;joxante loxo: xeesaayu der bu xawa ñuul, xeesaayu der bu woyof;déggoo|joxante|loxo|ndaje|xeesaayu der bu woyof|xeesaayu der bu xawa ñuul
	🫱🏾‍🫲🏼;joxante loxo: xeesaayu der bu xawa ñuul, xeesaayu der bu xeereer;déggoo|joxante|loxo|ndaje|xeesaayu der bu xawa ñuul|xeesaayu der bu xeereer
	🫱🏾‍🫲🏽;joxante loxo: xeesaayu der bu xawa ñuul, xeesaayu der bu yam;déggoo|joxante|loxo|ndaje|xeesaayu der bu xawa ñuul|xeesaayu der bu yam
	🫱🏾‍🫲🏿;joxante loxo: xeesaayu der bu xawa ñuul, xeesaayu der bu ñuul;déggoo|joxante|loxo|ndaje|xeesaayu der bu ñuul|xeesaayu der bu xawa ñuul
	🫱🏿‍🫲🏻;joxante loxo: xeesaayu der bu ñuul, xeesaayu der bu woyof;déggoo|joxante|loxo|ndaje|xeesaayu der bu ñuul|xeesaayu der bu woyof
	🫱🏿‍🫲🏼;joxante loxo: xeesaayu der bu ñuul, xeesaayu der bu xeereer;déggoo|joxante|loxo|ndaje|xeesaayu der bu ñuul|xeesaayu der bu xeereer
	🫱🏿‍🫲🏽;joxante loxo: xeesaayu der bu ñuul, xeesaayu der bu yam;déggoo|joxante|loxo|ndaje|xeesaayu der bu ñuul|xeesaayu der bu yam
	🫱🏿‍🫲🏾;joxante loxo: xeesaayu der bu ñuul, xeesaayu der bu xawa ñuul;déggoo|joxante|loxo|ndaje|xeesaayu der bu ñuul|xeesaayu der bu xawa ñuul
🙏;lem ay loxo;ark|buñ lem|jaamu|jërëjëf|laaj|lem ay loxo|liyaar|loxo|ngir yàlla
	🙏🏻;lem ay loxo: xeesaayu der bu woyof;ark|buñ lem|jaamu|jërëjëf|laaj|lem ay loxo|liyaar|loxo|ngir yàlla|xeesaayu der bu woyof
	🙏🏼;lem ay loxo: xeesaayu der bu xeereer;ark|buñ lem|jaamu|jërëjëf|laaj|lem ay loxo|liyaar|loxo|ngir yàlla|xeesaayu der bu xeereer
	🙏🏽;lem ay loxo: xeesaayu der bu yam;ark|buñ lem|jaamu|jërëjëf|laaj|lem ay loxo|liyaar|loxo|ngir yàlla|xeesaayu der bu yam
	🙏🏾;lem ay loxo: xeesaayu der bu xawa ñuul;ark|buñ lem|jaamu|jërëjëf|laaj|lem ay loxo|liyaar|loxo|ngir yàlla|xeesaayu der bu xawa ñuul
	🙏🏿;lem ay loxo: xeesaayu der bu ñuul;ark|buñ lem|jaamu|jërëjëf|laaj|lem ay loxo|liyaar|loxo|ngir yàlla|xeesaayu der bu ñuul
✍️;loxo buy bind;bind|loxo|loxo buy bind
	✍🏻;loxo buy bind: xeesaayu der bu woyof;bind|loxo|loxo buy bind|xeesaayu der bu woyof
	✍🏼;loxo buy bind: xeesaayu der bu xeereer;bind|loxo|loxo buy bind|xeesaayu der bu xeereer
	✍🏽;loxo buy bind: xeesaayu der bu yam;bind|loxo|loxo buy bind|xeesaayu der bu yam
	✍🏾;loxo buy bind: xeesaayu der bu xawa ñuul;bind|loxo|loxo buy bind|xeesaayu der bu xawa ñuul
	✍🏿;loxo buy bind: xeesaayu der bu ñuul;bind|loxo|loxo buy bind|xeesaayu der bu ñuul
💅;jakkal wew;faj|jakkal wew|jekkal|kosmetik|manikiir|wew
	💅🏻;jakkal wew: xeesaayu der bu woyof;faj|jakkal wew|jekkal|kosmetik|manikiir|wew|xeesaayu der bu woyof
	💅🏼;jakkal wew: xeesaayu der bu xeereer;faj|jakkal wew|jekkal|kosmetik|manikiir|wew|xeesaayu der bu xeereer
	💅🏽;jakkal wew: xeesaayu der bu yam;faj|jakkal wew|jekkal|kosmetik|manikiir|wew|xeesaayu der bu yam
	💅🏾;jakkal wew: xeesaayu der bu xawa ñuul;faj|jakkal wew|jekkal|kosmetik|manikiir|wew|xeesaayu der bu xawa ñuul
	💅🏿;jakkal wew: xeesaayu der bu ñuul;faj|jakkal wew|jekkal|kosmetik|manikiir|wew|xeesaayu der bu ñuul
🤳;selfie;nataalukaay|selfie|telefon
	🤳🏻;selfie: xeesaayu der bu woyof;nataalukaay|selfie|telefon|xeesaayu der bu woyof
	🤳🏼;selfie: xeesaayu der bu xeereer;nataalukaay|selfie|telefon|xeesaayu der bu xeereer
	🤳🏽;selfie: xeesaayu der bu yam;nataalukaay|selfie|telefon|xeesaayu der bu yam
	🤳🏾;selfie: xeesaayu der bu xawa ñuul;nataalukaay|selfie|telefon|xeesaayu der bu xawa ñuul
	🤳🏿;selfie: xeesaayu der bu ñuul;nataalukaay|selfie|telefon|xeesaayu der bu ñuul
💪;wane doole;doole|lem|reelu|sidit|wane doole
	💪🏻;wane doole: xeesaayu der bu woyof;doole|lem|reelu|sidit|wane doole|xeesaayu der bu woyof
	💪🏼;wane doole: xeesaayu der bu xeereer;doole|lem|reelu|sidit|wane doole|xeesaayu der bu xeereer
	💪🏽;wane doole: xeesaayu der bu yam;doole|lem|reelu|sidit|wane doole|xeesaayu der bu yam
	💪🏾;wane doole: xeesaayu der bu xawa ñuul;doole|lem|reelu|sidit|wane doole|xeesaayu der bu xawa ñuul
	💪🏿;wane doole: xeesaayu der bu ñuul;doole|lem|reelu|sidit|wane doole|xeesaayu der bu ñuul
🦾;;
🦿;;
🦵;;
	🦵🏻;;
	🦵🏼;;
	🦵🏽;;
	🦵🏾;;
	🦵🏿;;
🦶;;
	🦶🏻;;
	🦶🏼;;
	🦶🏽;;
	🦶🏾;;
	🦶🏿;;
👂;nopp;nopp|yaram
	👂🏻;nopp: xeesaayu der bu woyof;nopp|xeesaayu der bu woyof|yaram
	👂🏼;nopp: xeesaayu der bu xeereer;nopp|xeesaayu der bu xeereer|yaram
	👂🏽;nopp: xeesaayu der bu yam;nopp|xeesaayu der bu yam|yaram
	👂🏾;nopp: xeesaayu der bu xawa ñuul;nopp|xeesaayu der bu xawa ñuul|yaram
	👂🏿;nopp: xeesaayu der bu ñuul;nopp|xeesaayu der bu ñuul|yaram
🦻;;
	🦻🏻;;
	🦻🏼;;
	🦻🏽;;
	🦻🏾;;
	🦻🏿;;
👃;bakkan;bakkan|yaram
	👃🏻;bakkan: xeesaayu der bu woyof;bakkan|xeesaayu der bu woyof|yaram
	👃🏼;bakkan: xeesaayu der bu xeereer;bakkan|xeesaayu der bu xeereer|yaram
	👃🏽;bakkan: xeesaayu der bu yam;bakkan|xeesaayu der bu yam|yaram
	👃🏾;bakkan: xeesaayu der bu xawa ñuul;bakkan|xeesaayu der bu xawa ñuul|yaram
	👃🏿;bakkan: xeesaayu der bu ñuul;bakkan|xeesaayu der bu ñuul|yaram
🧠;yuur;muus|yuur
🫀;;
🫁;;
🦷;;
🦴;;
👀;gët;bët|gët|kanam
👁️;bët;bët|yaram
👅;làmmiñ;làmmiñ|yaram
👄;gémmiñ;gémmiñ|tuñ
🫦;;
👶;liir;liir|ndaw
	👶🏻;liir: xeesaayu der bu woyof;liir|ndaw|xeesaayu der bu woyof
	👶🏼;liir: xeesaayu der bu xeereer;liir|ndaw|xeesaayu der bu xeereer
	👶🏽;liir: xeesaayu der bu yam;liir|ndaw|xeesaayu der bu yam
	👶🏾;liir: xeesaayu der bu xawa ñuul;liir|ndaw|xeesaayu der bu xawa ñuul
	👶🏿;liir: xeesaayu der bu ñuul;liir|ndaw|xeesaayu der bu ñuul
🧒;xale;du góor du jigéen|ndaw|xale
	🧒🏻;xale: xeesaayu der bu woyof;du góor du jigéen|ndaw|xale|xeesaayu der bu woyof
	🧒🏼;xale: xeesaayu der bu xeereer;du góor du jigéen|ndaw|xale|xeesaayu der bu xeereer
	🧒🏽;xale: xeesaayu der bu yam;du góor du jigéen|ndaw|xale|xeesaayu der bu yam
	🧒🏾;xale: xeesaayu der bu xawa ñuul;du góor du jigéen|ndaw|xale|xeesaayu der bu xawa ñuul
	🧒🏿;xale: xeesaayu der bu ñuul;du góor du jigéen|ndaw|xale|xeesaayu der bu ñuul
👦;xale bu góor;ndaw|xale bu góor
	👦🏻;xale bu góor: xeesaayu der bu woyof;ndaw|xale bu góor|xeesaayu der bu woyof
	👦🏼;xale bu góor: xeesaayu der bu xeereer;ndaw|xale bu góor|xeesaayu der bu xeereer
	👦🏽;xale bu góor: xeesaayu der bu yam;ndaw|xale bu góor|xeesaayu der bu yam
	👦🏾;xale bu góor: xeesaayu der bu xawa ñuul;ndaw|xale bu góor|xeesaayu der bu xawa ñuul
	👦🏿;xale bu góor: xeesaayu der bu ñuul;ndaw|xale bu góor|xeesaayu der bu ñuul
👧;xale bu jigéen;ndaw|sojak|Wirgo|xale bu jigéen
	👧🏻;xale bu jigéen: xeesaayu der bu woyof;ndaw|sojak|Wirgo|xale bu jigéen|xeesaayu der bu woyof
	👧🏼;xale bu jigéen: xeesaayu der bu xeereer;ndaw|sojak|Wirgo|xale bu jigéen|xeesaayu der bu xeereer
	👧🏽;xale bu jigéen: xeesaayu der bu yam;ndaw|sojak|Wirgo|xale bu jigéen|xeesaayu der bu yam
	👧🏾;xale bu jigéen: xeesaayu der bu xawa ñuul;ndaw|sojak|Wirgo|xale bu jigéen|xeesaayu der bu xawa ñuul
	👧🏿;xale bu jigéen: xeesaayu der bu ñuul;ndaw|sojak|Wirgo|xale bu jigéen|xeesaayu der bu ñuul
🧑;nit;du góor du jigéen|mag
	🧑🏻;nit: xeesaayu der bu woyof;du góor du jigéen|mag|xeesaayu der bu woyof
	🧑🏼;nit: xeesaayu der bu xeereer;du góor du jigéen|mag|xeesaayu der bu xeereer
	🧑🏽;nit: xeesaayu der bu yam;du góor du jigéen|mag|xeesaayu der bu yam
