# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kanam guy gaññi;gaññi|kanam|kanam guy gaññi
💝;xol buñ laxas ribaŋ;ribbon|Walantin|xol buñ laxas ribaŋ
💖;xol bu yànj;eksite|tàkk|xol bu yànj
💗;xol buy màgg;buy màgg|eksite|mer|xol buy màgg|yëngu
💓;xol buy tëf-tëfi;dóor|xol buy tëf-tëfi|yëngu
💞;xol buñ wëndeelu;wëndeelu|xol buñ wëndeelu
💕;ñaari xol;mbëggeel|ñaari xol
💟;taaralukaayu xol;taaralukaayu xol|xol
❣️;xol esklamaasiyoŋ bu fës;esklamaasiyoŋ|màndarga|tomb|xol esklamaasiyoŋ bu fës
💔;xol bu tasaaroo;damm|dammu|xol bu tasaaroo
❤️‍🔥;xolu safara;lakk|mbëgeel|neexaay|sacre Coeur|xol|xol buy lakk|xolu safara
❤️‍🩹;xol buy defar;Baax|defar|gëna wer|jelaat|xol buy defar|yeesal
❤️;xonk xol;xol|xonk xol
🩷;Xol bu rose;bëgg|nob|rafet|rose|xol|Xol bu rose
🧡;xol bu oraas;oraas|xol bu oraas
💛;xol bu mboq;mboq|xol bu mboq
💚;xol bu wert;wert|xol bu wert
💙;xol bu baxa;baxa|xol bu baxa
🩵;xol bu bleu clair;bleu clair|cyan|sarcelle|xol|xol bleu clair|xol bu bleu clair
💜;xol bu yolet;xol bu yolet|yolet
🤎;Xol bu sokolaa;sokolaa|xol|Xol bu sokolaa
🖤;xol bu ñuul;iñaan|ñuul|soxor|xol bu ñuul
🩶;xol bu doomu-taal;arduwaas|doomu-taal|xaalis|xol|xol bu doomu-taal
🤍;Xol bu weex;weex|xol|Xol bu weex
💋;marku fóon;fóon|marku fóon|tuñ
💯;tombi teeméer;100|eskoor|fees|téemeer|tombi teeméer
💢;màndarga ku mer;dof|màndarga ku mer|mer|reelu
🫯;;
💥;mbëkkante;boom|mbëkkante|reelu
💫;miir;biddeew|miir|reelu
💦;toqu ñaq;ñàq|reelu|tasaaroo|toqu ñaq
💨;dem sa yoon;daw|dem|dem sa yoon|reelu
🕳️;pax;pax
💬;rëddu bind kàddu;bul|jalog|mànq|rëddu bind kàddu|reelu|wax
