# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ubuso obuhlekayo;hleka|ubuso|ubuso obuhlekayo
	👋🏼;ukuwangawangisa isandla: ithoni yesikhumba esikhanyayo phakathi;isandla|ithoni yesikhumba esikhanyayo phakathi|ukuwangawangisa|wangawangisa
	👋🏽;ukuwangawangisa isandla: ithoni yesikhumba esiphakathi;isandla|ithoni yesikhumba esiphakathi|ukuwangawangisa|wangawangisa
	👋🏾;ukuwangawangisa isandla: ithoni yesikhumba esiphakathi mnyama;isandla|ithoni yesikhumba esiphakathi mnyama|ukuwangawangisa|wangawangisa
	👋🏿;ukuwangawangisa isandla: ithoni yesikhumba emnyama;isandla|ithoni yesikhumba emnyama|ukuwangawangisa|wangawangisa
🤚;umva wesandla onyusiweyo;esinyusiweyo|isandla esimnyama|umva wesandla onyusiweyo
	🤚🏻;umva wesandla onyusiweyo: ithoni yesikhumba esikhanyayo;esinyusiweyo|isandla esimnyama|ithoni yesikhumba esikhanyayo|umva wesandla onyusiweyo
	🤚🏼;umva wesandla onyusiweyo: ithoni yesikhumba esikhanyayo phakathi;esinyusiweyo|isandla esimnyama|ithoni yesikhumba esikhanyayo phakathi|umva wesandla onyusiweyo
	🤚🏽;umva wesandla onyusiweyo: ithoni yesikhumba esiphakathi;esinyusiweyo|isandla esimnyama|ithoni yesikhumba esiphakathi|umva wesandla onyusiweyo
	🤚🏾;umva wesandla onyusiweyo: ithoni yesikhumba esiphakathi mnyama;esinyusiweyo|isandla esimnyama|ithoni yesikhumba esiphakathi mnyama|umva wesandla onyusiweyo
	🤚🏿;umva wesandla onyusiweyo: ithoni yesikhumba emnyama;esinyusiweyo|isandla esimnyama|ithoni yesikhumba emnyama|umva wesandla onyusiweyo
🖐️;isandla esiphakanyisiweyo esineminwe ethe saa;isandla|isandla esiphakanyisiweyo esineminwe ethe saa|saa|umnwe
	🖐🏻;isandla esiphakanyisiweyo esineminwe ethe saa: ithoni yesikhumba esikhanyayo;isandla|isandla esiphakanyisiweyo esineminwe ethe saa|ithoni yesikhumba esikhanyayo|saa|umnwe
	🖐🏼;isandla esiphakanyisiweyo esineminwe ethe saa: ithoni yesikhumba esikhanyayo phakathi;isandla|isandla esiphakanyisiweyo esineminwe ethe saa|ithoni yesikhumba esikhanyayo phakathi|saa|umnwe
