# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ubuso obuhlekayo;hleka|ubuso|ubuso obuhlekayo
	👩🏼‍❤️‍💋‍👨🏻;phuza: ibhinqa, indoda, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esikhanyayo;ibhinqa|indoda|isibini|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esikhanyayo phakathi|phuza
	👩🏼‍❤️‍💋‍👨🏼;phuza: ibhinqa, indoda, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|indoda|isibini|ithoni yesikhumba esikhanyayo phakathi|phuza
	👩🏼‍❤️‍💋‍👨🏽;phuza: ibhinqa, indoda, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi;ibhinqa|indoda|isibini|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|phuza
	👩🏼‍❤️‍💋‍👨🏾;phuza: ibhinqa, indoda, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi mnyama;ibhinqa|indoda|isibini|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|phuza
	👩🏼‍❤️‍💋‍👨🏿;phuza: ibhinqa, indoda, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba emnyama;ibhinqa|indoda|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|phuza
	👩🏽‍❤️‍💋‍👨🏻;phuza: ibhinqa, indoda, ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo;ibhinqa|indoda|isibini|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi|phuza
	👩🏽‍❤️‍💋‍👨🏼;phuza: ibhinqa, indoda, ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|indoda|isibini|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|phuza
	👩🏽‍❤️‍💋‍👨🏽;phuza: ibhinqa, indoda, ithoni yesikhumba esiphakathi;ibhinqa|indoda|isibini|ithoni yesikhumba esiphakathi|phuza
	👩🏽‍❤️‍💋‍👨🏾;phuza: ibhinqa, indoda, ithoni yesikhumba esiphakathi, ithoni yesikhumba esiphakathi mnyama;ibhinqa|indoda|isibini|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|phuza
	👩🏽‍❤️‍💋‍👨🏿;phuza: ibhinqa, indoda, ithoni yesikhumba esiphakathi, ithoni yesikhumba emnyama;ibhinqa|indoda|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|phuza
	👩🏾‍❤️‍💋‍👨🏻;phuza: ibhinqa, indoda, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo;ibhinqa|indoda|isibini|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi mnyama|phuza
	👩🏾‍❤️‍💋‍👨🏼;phuza: ibhinqa, indoda, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|indoda|isibini|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|phuza
	👩🏾‍❤️‍💋‍👨🏽;phuza: ibhinqa, indoda, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esiphakathi;ibhinqa|indoda|isibini|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|phuza
	👩🏾‍❤️‍💋‍👨🏾;phuza: ibhinqa, indoda, ithoni yesikhumba esiphakathi mnyama;ibhinqa|indoda|isibini|ithoni yesikhumba esiphakathi mnyama|phuza
	👩🏾‍❤️‍💋‍👨🏿;phuza: ibhinqa, indoda, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba emnyama;ibhinqa|indoda|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|phuza
	👩🏿‍❤️‍💋‍👨🏻;phuza: ibhinqa, indoda, ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo;ibhinqa|indoda|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo|phuza
	👩🏿‍❤️‍💋‍👨🏼;phuza: ibhinqa, indoda, ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|indoda|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|phuza
	👩🏿‍❤️‍💋‍👨🏽;phuza: ibhinqa, indoda, ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi;ibhinqa|indoda|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|phuza
	👩🏿‍❤️‍💋‍👨🏾;phuza: ibhinqa, indoda, ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi mnyama;ibhinqa|indoda|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|phuza
	👩🏿‍❤️‍💋‍👨🏿;phuza: ibhinqa, indoda, ithoni yesikhumba emnyama;ibhinqa|indoda|isibini|ithoni yesikhumba emnyama|phuza
👨‍❤️‍💋‍👨;phuza: indoda, indoda;indoda|isibini|phuza
	👨🏻‍❤️‍💋‍👨🏻;phuza: indoda, indoda, ithoni yesikhumba esikhanyayo;indoda|isibini|ithoni yesikhumba esikhanyayo|phuza
	👨🏻‍❤️‍💋‍👨🏼;phuza: indoda, indoda, ithoni yesikhumba esikhanyayo, ithoni yesikhumba esikhanyayo phakathi;indoda|isibini|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esikhanyayo phakathi|phuza
	👨🏻‍❤️‍💋‍👨🏽;phuza: indoda, indoda, ithoni yesikhumba esikhanyayo, ithoni yesikhumba esiphakathi;indoda|isibini|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi|phuza
	👨🏻‍❤️‍💋‍👨🏾;phuza: indoda, indoda, ithoni yesikhumba esikhanyayo, ithoni yesikhumba esiphakathi mnyama;indoda|isibini|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi mnyama|phuza
	👨🏻‍❤️‍💋‍👨🏿;phuza: indoda, indoda, ithoni yesikhumba esikhanyayo, ithoni yesikhumba emnyama;indoda|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo|phuza
	👨🏼‍❤️‍💋‍👨🏻;phuza: indoda, indoda, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esikhanyayo;indoda|isibini|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esikhanyayo phakathi|phuza
	👨🏼‍❤️‍💋‍👨🏼;phuza: indoda, indoda, ithoni yesikhumba esikhanyayo phakathi;indoda|isibini|ithoni yesikhumba esikhanyayo phakathi|phuza
	👨🏼‍❤️‍💋‍👨🏽;phuza: indoda, indoda, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi;indoda|isibini|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|phuza
	👨🏼‍❤️‍💋‍👨🏾;phuza: indoda, indoda, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi mnyama;indoda|isibini|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|phuza
	👨🏼‍❤️‍💋‍👨🏿;phuza: indoda, indoda, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba emnyama;indoda|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|phuza
	👨🏽‍❤️‍💋‍👨🏻;phuza: indoda, indoda, ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo;indoda|isibini|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi|phuza
	👨🏽‍❤️‍💋‍👨🏼;phuza: indoda, indoda, ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo phakathi;indoda|isibini|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|phuza
	👨🏽‍❤️‍💋‍👨🏽;phuza: indoda, indoda, ithoni yesikhumba esiphakathi;indoda|isibini|ithoni yesikhumba esiphakathi|phuza
	👨🏽‍❤️‍💋‍👨🏾;phuza: indoda, indoda, ithoni yesikhumba esiphakathi, ithoni yesikhumba esiphakathi mnyama;indoda|isibini|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|phuza
	👨🏽‍❤️‍💋‍👨🏿;phuza: indoda, indoda, ithoni yesikhumba esiphakathi, ithoni yesikhumba emnyama;indoda|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|phuza
	👨🏾‍❤️‍💋‍👨🏻;phuza: indoda, indoda, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo;indoda|isibini|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi mnyama|phuza
	👨🏾‍❤️‍💋‍👨🏼;phuza: indoda, indoda, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo phakathi;indoda|isibini|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|phuza
	👨🏾‍❤️‍💋‍👨🏽;phuza: indoda, indoda, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esiphakathi;indoda|isibini|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|phuza
	👨🏾‍❤️‍💋‍👨🏾;phuza: indoda, indoda, ithoni yesikhumba esiphakathi mnyama;indoda|isibini|ithoni yesikhumba esiphakathi mnyama|phuza
	👨🏾‍❤️‍💋‍👨🏿;phuza: indoda, indoda, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba emnyama;indoda|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|phuza
	👨🏿‍❤️‍💋‍👨🏻;phuza: indoda, indoda, ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo;indoda|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo|phuza
	👨🏿‍❤️‍💋‍👨🏼;phuza: indoda, indoda, ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo phakathi;indoda|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|phuza
	👨🏿‍❤️‍💋‍👨🏽;phuza: indoda, indoda, ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi;indoda|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|phuza
	👨🏿‍❤️‍💋‍👨🏾;phuza: indoda, indoda, ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi mnyama;indoda|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|phuza
	👨🏿‍❤️‍💋‍👨🏿;phuza: indoda, indoda, ithoni yesikhumba emnyama;indoda|isibini|ithoni yesikhumba emnyama|phuza
👩‍❤️‍💋‍👩;phuza: ibhinqa, ibhinqa;ibhinqa|isibini|phuza
	👩🏻‍❤️‍💋‍👩🏻;phuza: ibhinqa, ibhinqa, ithoni yesikhumba esikhanyayo;ibhinqa|isibini|ithoni yesikhumba esikhanyayo|phuza
	👩🏻‍❤️‍💋‍👩🏼;phuza: ibhinqa, ibhinqa, ithoni yesikhumba esikhanyayo, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|isibini|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esikhanyayo phakathi|phuza
	👩🏻‍❤️‍💋‍👩🏽;phuza: ibhinqa, ibhinqa, ithoni yesikhumba esikhanyayo, ithoni yesikhumba esiphakathi;ibhinqa|isibini|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi|phuza
	👩🏻‍❤️‍💋‍👩🏾;phuza: ibhinqa, ibhinqa, ithoni yesikhumba esikhanyayo, ithoni yesikhumba esiphakathi mnyama;ibhinqa|isibini|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi mnyama|phuza
	👩🏻‍❤️‍💋‍👩🏿;phuza: ibhinqa, ibhinqa, ithoni yesikhumba esikhanyayo, ithoni yesikhumba emnyama;ibhinqa|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo|phuza
	👩🏼‍❤️‍💋‍👩🏻;phuza: ibhinqa, ibhinqa, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esikhanyayo;ibhinqa|isibini|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esikhanyayo phakathi|phuza
	👩🏼‍❤️‍💋‍👩🏼;phuza: ibhinqa, ibhinqa, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|isibini|ithoni yesikhumba esikhanyayo phakathi|phuza
	👩🏼‍❤️‍💋‍👩🏽;phuza: ibhinqa, ibhinqa, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi;ibhinqa|isibini|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|phuza
	👩🏼‍❤️‍💋‍👩🏾;phuza: ibhinqa, ibhinqa, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi mnyama;ibhinqa|isibini|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|phuza
	👩🏼‍❤️‍💋‍👩🏿;phuza: ibhinqa, ibhinqa, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba emnyama;ibhinqa|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|phuza
	👩🏽‍❤️‍💋‍👩🏻;phuza: ibhinqa, ibhinqa, ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo;ibhinqa|isibini|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi|phuza
	👩🏽‍❤️‍💋‍👩🏼;phuza: ibhinqa, ibhinqa, ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|isibini|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|phuza
	👩🏽‍❤️‍💋‍👩🏽;phuza: ibhinqa, ibhinqa, ithoni yesikhumba esiphakathi;ibhinqa|isibini|ithoni yesikhumba esiphakathi|phuza
	👩🏽‍❤️‍💋‍👩🏾;phuza: ibhinqa, ibhinqa, ithoni yesikhumba esiphakathi, ithoni yesikhumba esiphakathi mnyama;ibhinqa|isibini|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|phuza
	👩🏽‍❤️‍💋‍👩🏿;phuza: ibhinqa, ibhinqa, ithoni yesikhumba esiphakathi, ithoni yesikhumba emnyama;ibhinqa|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|phuza
	👩🏾‍❤️‍💋‍👩🏻;phuza: ibhinqa, ibhinqa, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo;ibhinqa|isibini|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi mnyama|phuza
	👩🏾‍❤️‍💋‍👩🏼;phuza: ibhinqa, ibhinqa, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|isibini|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|phuza
	👩🏾‍❤️‍💋‍👩🏽;phuza: ibhinqa, ibhinqa, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esiphakathi;ibhinqa|isibini|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|phuza
	👩🏾‍❤️‍💋‍👩🏾;phuza: ibhinqa, ibhinqa, ithoni yesikhumba esiphakathi mnyama;ibhinqa|isibini|ithoni yesikhumba esiphakathi mnyama|phuza
	👩🏾‍❤️‍💋‍👩🏿;phuza: ibhinqa, ibhinqa, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba emnyama;ibhinqa|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|phuza
	👩🏿‍❤️‍💋‍👩🏻;phuza: ibhinqa, ibhinqa, ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo;ibhinqa|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo|phuza
	👩🏿‍❤️‍💋‍👩🏼;phuza: ibhinqa, ibhinqa, ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|phuza
	👩🏿‍❤️‍💋‍👩🏽;phuza: ibhinqa, ibhinqa, ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi;ibhinqa|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|phuza
	👩🏿‍❤️‍💋‍👩🏾;phuza: ibhinqa, ibhinqa, ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi mnyama;ibhinqa|isibini|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|phuza
	👩🏿‍❤️‍💋‍👩🏿;phuza: ibhinqa, ibhinqa, ithoni yesikhumba emnyama;ibhinqa|isibini|ithoni yesikhumba emnyama|phuza
💑;isibini esinentliziyo;isibini|isibini esinentliziyo|uthando
	💑🏻;isibini esinentliziyo: ithoni yesikhumba esikhanyayo;isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|uthando
	💑🏼;isibini esinentliziyo: ithoni yesikhumba esikhanyayo phakathi;isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo phakathi|uthando
	💑🏽;isibini esinentliziyo: ithoni yesikhumba esiphakathi;isibini|isibini esinentliziyo|ithoni yesikhumba esiphakathi|uthando
	💑🏾;isibini esinentliziyo: ithoni yesikhumba esiphakathi mnyama;isibini|isibini esinentliziyo|ithoni yesikhumba esiphakathi mnyama|uthando
	💑🏿;isibini esinentliziyo: ithoni yesikhumba emnyama;isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|uthando
	🧑🏻‍❤️‍🧑🏼;isibini esinentliziyo: umntu omdala, umntu omdala, ithoni yesikhumba esikhanyayo, ithoni yesikhumba esikhanyayo phakathi;isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esikhanyayo phakathi|umntu omdala|uthando
	🧑🏻‍❤️‍🧑🏽;isibini esinentliziyo: umntu omdala, umntu omdala, ithoni yesikhumba esikhanyayo, ithoni yesikhumba esiphakathi;isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi|umntu omdala|uthando
	🧑🏻‍❤️‍🧑🏾;isibini esinentliziyo: umntu omdala, umntu omdala, ithoni yesikhumba esikhanyayo, ithoni yesikhumba esiphakathi mnyama;isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi mnyama|umntu omdala|uthando
	🧑🏻‍❤️‍🧑🏿;isibini esinentliziyo: umntu omdala, umntu omdala, ithoni yesikhumba esikhanyayo, ithoni yesikhumba emnyama;isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo|umntu omdala|uthando
	🧑🏼‍❤️‍🧑🏻;isibini esinentliziyo: umntu omdala, umntu omdala, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esikhanyayo;isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esikhanyayo phakathi|umntu omdala|uthando
	🧑🏼‍❤️‍🧑🏽;isibini esinentliziyo: umntu omdala, umntu omdala, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi;isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|umntu omdala|uthando
	🧑🏼‍❤️‍🧑🏾;isibini esinentliziyo: umntu omdala, umntu omdala, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi mnyama;isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|umntu omdala|uthando
	🧑🏼‍❤️‍🧑🏿;isibini esinentliziyo: umntu omdala, umntu omdala, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba emnyama;isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|umntu omdala|uthando
	🧑🏽‍❤️‍🧑🏻;isibini esinentliziyo: umntu omdala, umntu omdala, ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo;isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi|umntu omdala|uthando
	🧑🏽‍❤️‍🧑🏼;isibini esinentliziyo: umntu omdala, umntu omdala, ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo phakathi;isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|umntu omdala|uthando
	🧑🏽‍❤️‍🧑🏾;isibini esinentliziyo: umntu omdala, umntu omdala, ithoni yesikhumba esiphakathi, ithoni yesikhumba esiphakathi mnyama;isibini|isibini esinentliziyo|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|umntu omdala|uthando
	🧑🏽‍❤️‍🧑🏿;isibini esinentliziyo: umntu omdala, umntu omdala, ithoni yesikhumba esiphakathi, ithoni yesikhumba emnyama;isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|umntu omdala|uthando
	🧑🏾‍❤️‍🧑🏻;isibini esinentliziyo: umntu omdala, umntu omdala, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo;isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi mnyama|umntu omdala|uthando
	🧑🏾‍❤️‍🧑🏼;isibini esinentliziyo: umntu omdala, umntu omdala, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo phakathi;isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|umntu omdala|uthando
	🧑🏾‍❤️‍🧑🏽;isibini esinentliziyo: umntu omdala, umntu omdala, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esiphakathi;isibini|isibini esinentliziyo|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|umntu omdala|uthando
	🧑🏾‍❤️‍🧑🏿;isibini esinentliziyo: umntu omdala, umntu omdala, ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba emnyama;isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|umntu omdala|uthando
	🧑🏿‍❤️‍🧑🏻;isibini esinentliziyo: umntu omdala, umntu omdala, ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo;isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo|umntu omdala|uthando
	🧑🏿‍❤️‍🧑🏼;isibini esinentliziyo: umntu omdala, umntu omdala, ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo phakathi;isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|umntu omdala|uthando
	🧑🏿‍❤️‍🧑🏽;isibini esinentliziyo: umntu omdala, umntu omdala, ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi;isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|umntu omdala|uthando
	🧑🏿‍❤️‍🧑🏾;isibini esinentliziyo: umntu omdala, umntu omdala, ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi mnyama;isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|umntu omdala|uthando
👩‍❤️‍👨;isibini esinentliziyo: ibhinqa, indoda;ibhinqa|indoda|isibini|isibini esinentliziyo|uthando
	👩🏻‍❤️‍👨🏻;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba esikhanyayo;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|uthando
	👩🏻‍❤️‍👨🏼;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba esikhanyayo, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esikhanyayo phakathi|uthando
	👩🏻‍❤️‍👨🏽;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba esikhanyayo, ithoni yesikhumba esiphakathi;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi|uthando
	👩🏻‍❤️‍👨🏾;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba esikhanyayo, ithoni yesikhumba esiphakathi mnyama;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi mnyama|uthando
	👩🏻‍❤️‍👨🏿;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba esikhanyayo, ithoni yesikhumba emnyama;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo|uthando
	👩🏼‍❤️‍👨🏻;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esikhanyayo;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esikhanyayo phakathi|uthando
	👩🏼‍❤️‍👨🏼;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo phakathi|uthando
	👩🏼‍❤️‍👨🏽;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|uthando
	👩🏼‍❤️‍👨🏾;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi mnyama;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|uthando
	👩🏼‍❤️‍👨🏿;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba emnyama;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|uthando
	👩🏽‍❤️‍👨🏻;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi|uthando
	👩🏽‍❤️‍👨🏼;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo phakathi;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|uthando
	👩🏽‍❤️‍👨🏽;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba esiphakathi;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esiphakathi|uthando
	👩🏽‍❤️‍👨🏾;isibini esinentliziyo: ibhinqa, indoda, ithoni yesikhumba esiphakathi, ithoni yesikhumba esiphakathi mnyama;ibhinqa|indoda|isibini|isibini esinentliziyo|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|uthando
