# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;dareenka wajiga;dareenka wajiga|gariir|wajiga
🦩;qudunquuto;dhaldhalaalaya|kulaylaha|qudunquuto
🦚;daa’uus;birbirqaya|daa’uus|dheddig dagiiran|shimbir
🦜;baqbaqaaq;baqbaqaaq|hadal|shimbir|tuug
🪽;wing;duulaya|duulista|khuraafaad|malaa’ig|shimbiraha|wing
🐦‍⬛;shimbir madoow;madoow|shimbir|shimbir tuke xigeen ah|shimbir weyn oo madoow|tuke
🪿;booloboolo;booloboolo|haad|honk|nacasnimo|shimbiraha
🐦‍🔥;phoenix;dib u dhalashada|naf dib ugu dhalashada jidh cusub|phoenix|qiyaali|shinbirta dabka
🐸;rah;rah|waji
🐊;yaxaas;yaxaas
🐢;qubo;diin|qubo|qubo dhal ah
🦎;qoroto;qoroto|xammaarato
🐍;mas;abeeso|dhala|mactab meecaad|mas|sangaaba
🐲;waji masduulaagi;masduulaagi|sheeko quraafi|waji
🐉;masduulaagi;masduulaagi|sheeko quraafi
🦕;sauropod-ka;dhaynasoorkii danbe|sauropod-ka
🦖;waa wax la aqoon;lama yaqaano|waa wax la aqoon
🐳;nibiriga mataga;mataggaya|nibiri|nibiriga mataga|waji
🐋;nibiri;nibiri
🐬;hoon-baro;hoon-baro|sayn dabaal
🫍;nibiriga orkaha;bad-weynta|badeedka|nibiri
🦭;shaabad;libaax badeed|shaabad
🐟;kalluun;kalluun|kalluun kolonyo|mactab meecaad
🐠;kalluunka kulaylaha;kalluun|kalluunka kulaylaha|kulaylaha
🐡;kalluunka baaqa;kalluun|kalluunka baaqa
🦈;kalluun libaax;kalluun|kalluun libaax
🐙;farammugo;farammugo
🐚;xanjaleel wareegaya;kor u wareegaya|xanjaleel|xanjaleel wareegaya
🪸;dhagax badeed;badweynta|dhagax badeed|dhagax dixeed
🪼;kaluun qolof leh;ahaa|badda|gubi|jelly|kaluun qolof leh|laf dhabarta|qaniinyo
🦀;carsaanyo;carsaanyo|kansar|mactab meecaad
🦞;argoosto;argoosto|ciddiyaha|cunno badeed|maraq dufan ee kalluun
🦐;kalluun qolof la shiilay;cunto|kalluun qolof la shiilay|qolof kalluun|qolof kalluun la shiilay|yar
🦑;xayawaan badeed;cunto|xayawaan badeed
🦪;lohod;lohod|luul|quusidda
🐌;dixiri qolof leh;dixiri qolof leh
🦋;balanbaalis;balanbaalis|cayayaan|qurux badan
🐛;kutaan;cayayaan|kutaan
🐜;quraanjo;cayayaan|quraanjo
🐝;shinni malab;cayayaan|shinni|shinni malab
🪲;faraanfar;cayayaan|faraanfar|kutaan
🐞;duqsiyada dheddiga;cayayaan|duqsiyada dheddiga|duqsiyo|kutaan dheddig|shimbir bay ah
🦗;jiiq-jiiqle;jiiq-jiiqle|jirriqaa
🪳;baranbaro;baranbaro|baranbarooyin|cayayaan
🕷️;caaro;caaro|cayayaan
🕸️;xuub caaro;xuub caaro
🦂;dib qallooc;dib qallooc|mactab meecaad|qoyska dib qallooc
🦟;kaneeco;cayayaan|cudur|duumada|fayruus|kaneeco|qandho
🪰;duqsi;cayayaan|cudur|dixri|duqsi|qudhmay
🪱;dirxi;dirxi|dirxiga dhulka|dulle|hooryaan
🦠;mikrobe;amiiba|bakteeriya|mikrobe
💐;ubaxyo;ubax|ubaxyo|ubayo
🌸;ubaxa buundada;ubax|ubax cas|ubax geed|ubaxa buundada
💮;ubax cad;ubax|ubax cad
🪷;lotus;Budhiism|daahirnimo|Fiyatnaam|Hindiya|Hinduuga|lotus|ubax
🏵️;ubaxa sharraxa;dhir|ubaxa sharraxa
🌹;ubax koob;ubax|ubax koob
🥀;ubaxa didilaaca;ubax|ubaxa didilaaca
🌺;jirrid leh;jirrid leh|Ubax
🌻;gabbaldaye;gabbaldaye|qorrax|ubax
🌼;ubax geed;ubax|ubax geed
🌷;ubax caano;ubax|ubax caano
🪻;hyacinth;bluebonnet|hyacinth|lavender|lupine|snapdragon|ubaxa
🌱;geed naqan;geed naqan|soo baxaya
🪴;dhirta guriga;aan waxtar lahayn|caaajis|dhir|dhirta guriga|guri|kobcinta|korin
🌲;geed abaareed;geed|geed abaareed
🌳;geed magool;caleen daadin|geed|magool
🌴;geed timir;geed|timir
🌵;tiin;dhir|tiin
🌾;geedka bariiska;dhag|geed bariis|geedka bariiska|haruur
🌿;geed;caleen|geed
☘️;dhir gaaban saddex caleen leh;dhir|dhir gaaban saddex caleen leh
🍀;geed afar caleenle;4|afar|caleen|geed|geed afar caleenle
🍁;caleen jiifta;caleen|dhacaysa|jiifta
🍂;caleen dhacday;caleen|caleen dhacday|dhacaysa
🍃;caleen dhex buubaysa dabaysha;buubid|caleen|caleen dhex buubaysa dabaysha|dabayl|heebaabid
🪹;buul faaruq ah;buul faaruq ah|buul samay
🪺;buul leh ukumo;buul leh ukumo|buul samayn
🍄;barkin waraabe;baaraabuq|barkin waraabe
🪾;geed caleen la’aan ah;abaar|caleen la’aan|dhintay|geed|jiilaalka|jirridda|laamo|madhasho|qaawan|qoryo

[food_drink]
🍇;canab;canab|khudaar
🍈;batiikh;batiikh|mir
🍉;qare;mir|qare
🍊;liin banbeelo;khudaar|liin|liin banbeelo|oranji
🍋;liin dhannaan;khudaar|liin bambeelmo|liin dhannaan
🍋‍🟩;lin;liin|liin dhanaan|lin|miro|trobikal
🍌;moos;khudaar|moos
🍍;caananaas;caananaas|khudaar
🥭;cambe;cambe|khudaar|kulaylaha
🍎;tufaax guduud;guduud|khudaar|tufaax
🍏;tufaax cagaar;cagaar|khudaar|tufaax
🍐;cambaruud;cambaruud|khudaar
🍑;miro guduud;khudaar|miro guduud
🍒;jeerigga;canuuni|guduud|jeerigga|khudaar
🍓;frawla;canuuni|frawla|istaroobeeri|khudaar
🫐;canabka baluuga ah;canab|canabka baluuga ah|canabka gaduudan
🥝;miraha qamboob;cunto|khudaar|miraha qamboob|qamboob
🍅;yaanyo;khudaar|khudradda|yaanyo
🫒;saytuun;cunno|saytuun
🥥;qumbe;caananaas &amp; qumbe|qumbe|timir
🥑;afokaadho;afokaadho|cunto|khudaar
🍆;dhir ukun;dhir ukun|khudrad|qajaar dibadeed
🥔;baradha;baradha|cunto|khudradda
🥕;dabocase;cunto|dabocase|khudrad
🌽;sabuul galley;dhag|galley|sabuul galley|xabbaasha
🌶️;basbaas;basbaas|kulul
🫑;basbaas dawan;basbaas|basbaas dawan|capsicum|khudradda
🥒;qajaar;cunto|khudrad|qajaar|qajaar dhanaanin
🥬;caleenta cagaaran;ansalaata|caggaar|caleen caggaar|caleenta cagaaran|kaabash
🥦;barakooli;barakooli|kaabashka diggaaga
🧄;toon;iidaan|toon
🧅;basal;basal|dhadhan u yeela
🥜;loows;cunto|khudrad|loows|loowska|mir loows
🫘;digir;badar|cuntada|digir|kilyaha
🌰;loows duban;dhir|loows duban
🫚;xidid sinjibiil;biir|xawaashka|xidid|xidid sinjibiil
🫛;Qubka digirta;digir|digirta|edamame|hadhuudh|khudradda|podska|Qubka digirta
🍄‍🟫;boqoshaa bunni ah;boqoshaa bunni ah|cuntada|dabiici ah|fangaska|khudaar
🫜;khudradda xididka ah;beerta|cuntada|dabocase|khudaar|khudaar cune|salad|xidid
🍞;rooti;gabal|rooti
🥐;qureec faransiis macaan;cunto|faransiis|qureec faransiis macaan|rooti duuban
🥖;rootiga baguette-ka;baguette-ka|cunto|faransiis|rooti|rootiga baguette-ka
🫓;rooti bafloow;rooti bafloow|rooti carbeed|rooti laatiin|rootiga labada isugu xiran
🥨;buskud ulo ah;buskud ulo ah|marmaroogsan
🥯;pagel-ka;bagel-ka|foornada rootiga|pagel-ka
🥞;canjeelo;canjeelo|canjeelooyin|cunto|keeg kulul
🧇;doolshe;bir|doolshe|go’aan darro
🧀;gabal burcad;burcad|gabal burcad|gabal burcad ah
🍖;hilibka lafta;hilib|hilibka lafta|laf
🍗;lug diggaag;diggaag|diggaagga|laf|lug|lug durbaan
🥩;gooyo hilib;booddada|gooyo hilib|jar-jar|jar-jar doofaar|jar-jar nayl
🥓;hilib doofaar;cunto|hiib|hilib doofaar
🍔;hambaagar;baagarka|hambaagar
🍟;shiilid faransiis;faransiis|shiilid faransiis|shiilidda
🍕;pizza-da;burcad|cad|Pizza-da
🌭;eey kulul;duuban|eey kulul|hilib duuban
🥪;saanbuus;rooti|saanbuus
🌮;taako;taakada meksikaanka|taako
🌯;toortiilada meksikaanka;duub ah|meksikaan|toortiila|toortiilada meksikaanka
🫔;unno maksikaan;duuban|mexican|tamale|unno maksikaan
🥙;rooti khudrad laga buuxiyay;cunto|falafeel|rooti khudrad laga buuxiyay
🧆;falafeel;diggaag-digir|falafeel|hilibka jarjaran
🥚;ukun;cunto|ukun
🍳;karinta;bir daawo|karinta|shiilidda|ukun
🥘;bir daawo gun-dhow oo cunno ah;bariis isbaanish|bir daawo|bir daawo gun-dhow oo cunno ah|cuno fuud foornaysan|gun dhow
🍲;digsi cunno ah;digsi|digsi cunno ah|fuud
🫕;digsi cunnno lagu diyaariyay;dhalaalay|dheriga|digsi cunnno lagu diyaariyay|fondue|jiis|shukulaatada|Switzerland
🥣;baaquli iyo qaaddo;baaquli iyo qaaddo|badar|qureec
🥗;anslaata cagaaran;ansalaata|anslaata cagaaran|cagaar|cunto
🍿;salool;salool
🧈;subag;caano|subag
🧂;cusbo;cusbo|ruxaha|walxaha cusbada
🥫;cunno qasacadaysan;cunno qasacadaysan|qasacad
🍱;sanduuq qado;sanduuq qado|suuq qado
🍘;qubka bariis;bariis|qubka
🍙;bariis kubbad;bariis|jabbaanka|kubbad
🍚;bariis karsan;bariis karsan
🍛;bariis khudrad hilib leh;bariis khudrad hilib leh
🍜;baaquligga uumigga;baaquli|baaquligga uumigga|baasta dheer|baastada ramen|uuminta
🍝;isbageeti;baasta|isbageeti
🍠;bataata la solay;bataata|bataata la solay|la solay|macaan
🍢;cunno hal digsi wax badan ka kooban;cunno badeed|cunno hal digsi wax badan ka kooban|keebaab|ul
🍣;cunnada jabbaanka;cunnada jabbaanka
🍤;kalluun la shiilay;kalluun|kalluun la shiilay|shiilan|xayawaan badeed qolof ah
🍥;kalluun keeg oo duuban;kalluun|kalluun keeg oo duuban|keeg
🥮;kalluunka dayaxa;dayrta|diggaaga qoyan|kalluunka dayaxa|xaflad
🍡;daango;daango|jabbaanka|macaanl|macmacaan|ul
🥟;cajiimid;cajiimid|cajiimidda iyo ul ku dhajinta
🥠;buskud macaan;buskud macaan|qof xariif ah|saadaalinta
🥡;sabduuqa lohodka lagu qaato;sabduuqa lohodka lagu qaato
🍦;jallaato jilicsan;baraf|jallaata|jallaato jilicsan|jilicsan|labeen|macaan|macmacaan
🍧;macmacaan baraf la buburiyay;baraf|la burburiyay|macaan|macmacaan|macmacaan baraf la buburiyay
🍨;jallaato;baraf|jallaato|labeen|macaan|macmacaan
🍩;keek macaan loo shiilan cajiin ahaan;burcad|keek macaan loo shiilan cajiin ahaan|macmacaan
🍪;keeg macaan;buskud macaan|keeg macaan|macaan|macmacaan
🎂;keegga maalinka dhalashada;cajiin|dabbaaldeg|keegga|keegga maalinka dhalashada|maalinka dhalashada|macaan|macmacaan
🍰;keeg yar;cajiin|gabal|keeg|keeg yar|macaan|macmacaan
🧁;koob keeg;goob rooti lagu dubo|koob keeg|macaan
🥧;doolsho;buuxinta|cajiinka|doolsho
🍫;shukulaato;gabal|macaan|macmacaanka|shukulaato
🍬;nacnac;macaan|macmacaan|nacnac
🍭;nacnac ul ballaaran;macaan|macmacaan|nacnac|nacnac ul ballaaran
🍮;labaniyad;dubista|labaniyad|macaan|macmacaan
🍯;digsi malab;digsi|macaan|malab
🍼;dhalada ilmaha;caano|cab|dhalada ilmaha|dhalo|ilma
🥛;galaas caano ah;caano|cab|galaas|galaas caano ah
☕;cabitaan kulul;bun|cab|cabbitaan|cabitaan kulul|kulul|shah|uumiyaynta
🫖;kirli;cab|jalmad|kirli|shaah
🍵;koob shah ah oon sidda lahayn;cab|cabbitaan|koob|koob shah ah oon sidda lahayn|shah
🍶;khamro jabbaan;baar|cab|cabbitaan|dhalo|khamra jabbaan|khamro jabbaan|koob
🍾;dhalo khamri ubrinaysa;baar|dhalo|gufka|khamri|ubrinaysa
🍷;galaas khamri ah;baar|cab|cabbitaan|galaas|galaas khamri ah|khamri
🍸;galaas kooktayl ah;baar|cab|galaas|galaas kooktayl ah|kooktayl
🍹;khamriga kulul;baar|khamri|khamriga kulul|kulul
🍺;koob khamri ah;baar|cab|khamri|koob|koob khamri ah
🍻;isku dhufsashada koobab khamri ah;baar|cab|isku dhufashada koobab khamri|isku dhufsashada koobab khamri ah|khamri|koob|ku dhufo
🥂;galaasyo isku dhufashada;cab|dabbaldeg|galaas|galaasyo isku dhufashada|ku dhufo
🥃;galaas dhalo;gaaban|galaas|galaas dhalo|khamri|khamri culus
🫗;ku shubaya dareere;cab|daadi|dhamee|galaas|ku shubaya dareere
🥤;koob wata istaroow;casiir|koob iyo istaroow|koob wata istaroow|soodha
🧋;shaah xumbaale;caano|luul|shaah|shaah xumbaale|xumbo
🧃;sanduuq cabitaan;sanduuq cabitaan|sanduuq casiir ah
🧉;lamaane;cab|lamaane
🧊;baraf;baraf|jabal baraf ah|qaboow
🥢;qori wax lagu cuno;qori wax lagu cuno
🍽️;saxan iyo fargeeta iyo mindi;fargeeta|karinta|mindi|saxan|saxan iyo fargeeta iyo mindi
🍴;fargeeta iyo mindi;fargeeta|fargeeta iyo mindi|karinta|mindi|qalabka mindiyaha
🥄;qaaddo;qaaddo|saxamada miiska cuntada
🔪;mindi kushiin;karinta|mindi|mindi kushiin|qalab
🫙;dhalo;dhalo|faaruq ah|kaydso|maraqa|udgoon|weel
🏺;jeeg dheer labo sidda leh;jeeg|jeeg dheer labo sidda leh|karinta|khamri

[travel_places]
🌍;adduunka muujinaya Yurub-Afrika;adduunka|adduunka muujinaya Yurub-Afrika|Afrika|dhulka|dunida|Yurub
🌎;adduunka oo muujinaya Ameerika;adduunka|adduunka muujinaya Ameerika|adduunka oo muujinaya Ameerika|Ameerika|dhulka|dunida
🌏;adduunka muujinaya Aasiya-Awstaraaliya;Aasiya|adduunka|adduunka muujinaya Aasiya-Awstaraaliya|Awstaraaliya|dhulka|dunida
🌐;adduunka oo leh dhigo;adduunka|adduunka oo leh dhigo|dhigo|dhulka|dunida
🗺️;khariiradadda dunida;dunida|khariirad|khariiradadda dunida
🗾;khariidadda Jabbaan;Jabbaan|khariidad|khariidadda Jabbaan
🧭;jiheeye;birlabeed|haggaajinta|jiheeye|maaxid
🏔️;buur baraf ah;baraf|buur|buur baraf ah|qabow
⛰️;buur;buur
🛘;dhul go’id;baraf kasoo daadashada buuraha|buur|dhagaxyo|dhoobo go’id|dhul gariir|khatar|musiibo
🌋;folkano;buur|folkano|qarax
🗻;buurta fuji;buur|buurta fuji|fuji
🏕️;xero;xero
🏖️;dallad kula xeeb qaadashada;dallad|dallad kula xeeb qaadashada|xeeb
🏜️;lamadegaan;lamadegaan
🏝️;jasiirad lamadegaan ah;jasiirad lamadegaan ah|lamadegaan
🏞️;carwo qaran;carwo|carwo qaran
🏟️;garoon;garoon
🏛️;dhismo heer sare ah;dhismo heer sare ah|heer sare
🏗️;daar dhisidda;daar dhisidda|dhismaha
🧱;bulukeeti;bulukeeti|bulukeetiyo|derbi|dhoobo|shamiito &amp; dhoob isku qasan
🪨;dhagax;culeeys|dhagax|dhagax weeyn
🪵;xaabo;alwaax|jar|orri haabo leh|xaabo
🛖;aqal hoori;aqal hoori|guri|guri-wareega|qol
🏘️;guryo;guryo
🏚️;guri burbursan;burbur|guri|guri burbursan
🏠;guri;guri
🏡;guri beer leh;beer|guri|guri beer leh
🏢;dhismo xafiis;dhismo|dhismo xafiis
🏣;xafiiska boostada ee Jabbaanka;dir|Jabbaanka|xafiiska boostada ee Jabbaanka
🏤;xafiis boosto;dir|xafiis boosto|Yurub ah
🏥;isbitaal;daawo|dhakhtar|isbitaal
🏦;bangi;bangi|dhismo
🏨;hudheel;dhismo|hudheel
🏩;hudheel Jaceyl;hudheel|jaceyl
🏪;bakhaar habboon;bakhaar|habboon
🏫;dugsi;dhismo|dugsi
🏬;waax bakhaar;bakhaar|waax
🏭;warshad;dhismo|warshad
🏯;dabaqa Jabbaanka;dabaq|dabaqa Jabbaanka|Jabbaanka
🏰;dabaq;dabaq|Yurub ah
💒;aroos;aroos|caashaq|kaniisad yar
🗼;munaaradda Tokyo;munaarad|munaaradda Tokyo|Tokyo
🗽;Taalada Xurriyadda;Taalada|xurriyadda
⛪;Kaniisad;diin|Kaniisad|mactab|masiixi
🕌;masaajid;diin|Islaam|masaajid|Muslim
🛕;macbadka hindida;hindi|macbadka|macbadka hindida
🕍;kaniisad Yuhuud;diin|kaniisad Yuhuud|Macbadka|Yuhuud|Yuhuudi
⛩️;Meel Caabudaad;diin|diinta Jabbaan|Meel Caabudaad
🕋;Kacbah;diin|Islaam|Kacbah|Muslim
⛲;tuubo biyo kor u ganta;tuubo biyo kor u ganta
⛺;teendho;teendho|xero
🌁;ciryaamo leh;ciiryaamo|ciiryaamo leh|ciryaamo leh
🌃;habbeenka xiddigaha;habbeenka xiddigaha|habeenka xiddigaha|xiddig
🏙️;muuqaal magaalo;magaalo|muuqaal magaalo
🌄;qorrax ka soo baxa buuraha;buur|qorrax|qorrax ka soo baxa buuraha|qorrax soo bax|subax
🌅;qorrax soo bax;qorrax|qorrax soo bax|subax
🌆;muuqaal magaalo ee qorrax dhaca;dhicista|fiid|magaalo|muuqaal magaalo|muuqaal magaalo ee qorrax dhaca|qorrax dhac
🌇;qorrax dhac;qorrax|qorrax dhac|qorrax dhaca
🌉;buundada habeenkii;buundada habeenkii|buundo|habeen
♨️;ilo kulul;ilo|kulul|uumigga
🎠;faraska farxad wareegga;faras|faraska farxad wareegga|farxad wareeg
🛝;Barxadda ciyaarta;Barxadda ciyaarta|beerta madadaalada|ciyaaro
🎡;shaagga gaariga markabka;carwada maddadaalada|gaariga markabka|shaagga|shaagga gaariga markabka
🎢;dusha sare ee tareeka;carwada maddadaalada|dusha sare ee tareeka
💈;tiirka tima-jaraha;tiir|tiirka tima-jaraha|timo-jare|timo-jaris
🎪;teendho rogad;rogadka|teendho|teendho rogad
🚂;dhaqdhaqaaq;dhaqdhaqaaq|jidka tareenka|matoor|tareen
🚃;gaariga jidka tareenka;baska ragaad|gaari|gaariga jidka tareenka|jidka tareenka|koronto|taraam|tareen
🚄;tareen aad u dheereeya;jidka tareenka|tareen|tareen aad u dheereeya|tareen xawaare sare|xawaare
🚅;tareen xawaare sare;jidka tareenka|rasaas|tareen|tareen xawaare sare|xawaare
🚆;tareen;jidka tareenka|tareen|tareenka
🚇;waddo hoose;waddo hoose
🚈;tareenka fudud;jidka tareenka|tareenka fudud
🚉;saldhig;jidka tareenka|saldhig|saldhigga|tareen
🚊;taraam;baska ragaad|taraam
🚝;hal jid tareen kor u qaadan;gaari|hal jid tareen kor u qaadan
🚞;jidka tareenka buurta;buur|gaari|jidka tareenka|jidka tareenka buurta
🚋;gaariga taraam;baska ragaad|gaari|gaariga taraam|taraam
🚌;bas;bas|gaari
🚍;bas soo socda;bas|bas soo socda|soo socda
🚎;baska ragaad;bas|baska ragaad|ragaad|taraam
🚐;bas yar;bas|bas yar
🚑;ambalaas;ambalaas|gaari
🚒;mashiinka dabka;dab|gaari xammuul|mashiinka dabka|matoor
🚓;gaari boolis;boolis|gaari|ilaalinta
🚔;gaari boolis soo socda;boolis|gaari|gaari boolis soo socda|soo socda
🚕;taksi;gaari|taksi
🚖;taksi soo socda;taksi|taksi soo socda
🚗;baabuur;baabuur|gaari|gawaari
🚘;gaari soo socda;gaari|gaari soo socda|gawaarida|soo socda
🚙;gaadiidka cayaaraha;gaadiidka cayaaraha|maddadaalo ah
🛻;qabaalka;gaari xamuul ah|gaariga soo qaadista|qaado|qabaalka
🚚;gaari xammuulka adeegga;gaari xammuul|gaari xammuulka adeegga|geynta
🚛;looriga xammuulka;bar|gaari xammuul|loori|looriga xammuulka
🚜;cagaf-cagaf;cagaf-cagaf|gaari
🏎️;tartan gaari;gaari|tartan gaari|tartanka
🏍️;mooto;mootada|mooto|tartanka
🛵;mooto matoor qaawan;matoor|mooto matoor qaawan|mooto qaawan
🦽;kursiga curyaanka macmalka ah;awood u yeelid|kursiga curyaanka macmalka ah
🦼;kursiga curyaanka korontada ku shaqeeya;awood u yeelid|kursiga curyaanka korontada ku shaqeeya
🛺;jiide is-wada;jiide is-wada|tuk-tuk
🚲;baaskiil;baaskiil|bushkuleeti
🛴;mooto laadid;laad|mooto|mooto laadid
🛹;alwaaxa qalfoofka;alwaax|alwaaxa qalfoofka
🛼;skaytka kaha;duub|iskeeti ciyaarista|skaytka kaha
🚏;boosteejada;bas|boosteejada|joogsiga
🛣️;waddo ballaaran;waddo ballaaran|waddo weyn
🛤️;jidka waddada tareenka;jid tareen|jidka waddada tareenka|raadka jidka tareenka
🛢️;durbaan saliid ah;durbaan|durbaan saliid ah|saliid
⛽;bamka shidaalka;bamba|bamka shidaalka|gaas|naafta|saldhig|shidaal
🛞;gaari;gaari|goobaabin|leexo|taayir
🚨;iftiinka gaariga booliska;boolis|dib-unoqoshada|gaari|iftiin|iftiinka gaariga booliska|minaarad
🚥;iftiinka taraafikada oo jiifta;iftiin|iftiinka taraafikada oo jiifta|seenyaale|taraafik
🚦;iftiin taraafika oo toosan;iftiin|iftiin taraafika oo taaggan|iftiin taraafika oo toosan|seenyaale|taraafik
🛑;calaamad joogsi;calaamad|calaamad joogsi|joogso|siddeed geesle
🚧;dhismo;caqabad|dhismo
⚓;baroosinka;baroosinka|markab|qalab
🛟;giraan sabanaysa;badqab|giraan sabanaysa|naf badbaadiyaha|naf-badbaadiyaha|sabayn|samatabbixin
⛵;doon shiraac;badda|dalxiis|doon|doon shiraac|tartan doonyaad
🛶;huuri;doon|huuri
🚤;doon dheeraysa;doon|doon dheeraysa
🛳️;rakaab markab;markab|rakaab
⛴️;rakaab qaadis;doon|rakaab|rakaab qaadis
🛥️;doon matoor;doon matoor
🚢;markab;doon|markab|rakaab
✈️;diyaarad;dayuurad|diyaarad
🛩️;diyaarad yar;dayuurad|diyaarad|diyaarad yar
🛫;bixitaanka diyaaradda;bixitaanada|bixitaanka|bixitaanka diyaaradda|dayuurad|diyaarad|is xaadirid
🛬;immaanshaha diyaaradda;dadka immaanaya|dayuurad|diyaarad|Imaanaya|immaanshaha diyaaradda|soo degidda
🪂;baarashuud;baarashuud|cir-jiir|dabeylaha|heebaabaya
💺;fadhi;fadhi|kursi
🚁;diyaarad helikobtar;diyaarad helikobtar|gaari
🚟;joojinta jidka tareenka;jidka tareenka|joojinta|joojinta jidka tareenka
🚠;waddo fiilo buureed;buur|fiilo|gondoola|waddo fiilo buureed
🚡;waddada tareenka oo hawada ah;fiilo koronto|gondoola|hawood ku jire|waddada tareenka|waddada tareenka oo hawada ah
🛰️;dayax gacmeed;dayax gacmeed|fagaaga
🚀;gantaal;fagaaga|gantaal
🛸;shey sidii digsi oo duulaya;shey sidii digsi oo duulaya
🛎️;boorsa-qaade;boorsa-qaade|gambaleel|hudheel
🧳;boorsooyin;boorsooyin|safar|xirxirid
⌛;dhalada saacad-beegtada ah oo dhamaysay;ciid|dhalada saacad-beegtada ah oo dhamaysay|goor-sheegge
⏳;dhalada saacad-beegtada ah wali ma dhamayn;ciid|dhalada saacad-beegtada ah wali ma dhamayn|dhalo saacad-beegta ah|goor-sheegge
⌚;goor-sheeg;goor-sheeg|ilaalin|saacad
⏰;saacadda qaylo-dhaanta;qaylo-dhaan|saacad|saacadda qaylo-dhaanta
⏱️;saacad-joojin;saacad|saacad-joojin
⏲️;saacadda goor-sheegtada ah;goor-sheegge|saacad|saacadda goor-sheegtada ah
🕰️;qaanadda kore ee saacadda;qaanadda kore ee saacadda|qaanadda kore saacadda|saacad weyn
🕛;toban iyo labadii iyo bar;00|12|12:00|saac|saacad|toban iyo laba|toban iyo labadii iyo bar
🕧;laba iyo tobanki iyo bar;12|12:30|bar|laba iyo tobanki iyo bar|saacad|toban iyo laba
🕐;hal saac;00|1|1:00|hal|saac|saacad
🕜;hal saac iyo bar;1|1:30|bar|hal|hal saac iyo bar|saacad
🕑;laba saac;00|2|2:00|laba saac|labo|saac|saacad
🕝;labadii iyo bar;2|2:30|bar|labadii iyo bar|labo|saacad
🕒;saddex saac;00|3|3:00|saac|saacad|saddex
🕞;saddexdii iyo bar;3|3:30|bar|saacad|saddex|saddexdii iyo bar
🕓;afar saac;00|4|4:00|afar|saac|saacad
🕟;afartii iyo bar;4|4:30|afar|afartii iyo bar|bar|saacad
🕔;shan saac;00|5|5:00|saac|saacad|shan
🕠;shantii iyo bar;5|5:30|bar|saacad|shan|shantii iyo bar
🕕;lix saac;00|6|6:00|lix|saac|saacad
🕡;lixdii iyo bar;6|6:30|bar|lix|lixdii iyo bar|saacad
🕖;toddoba saac;00|7|7:00|saac|saacad|toddoba
🕢;toddobadii iyo bar;7|7:30|bar|saacad|toddobadii|toddobadii iyo bar
🕗;siddeed saac;00|8|8:00|saacad|siddeed|siddeed saac
🕣;siddeeddi iyo bar;8|8:30|bar|saacad|siddeed|siddeeddi iyo bar
🕘;sagaal saac;00|9|9:00|saacad|sagaal saac
🕤;sagaal iyo bar;9|9:30|bar|saacad|sagaal|sagaal iyo bar
🕙;toban saac;00|10|10:00|saac|saacad|toban
🕥;tobanki iyo bar;10|10:30|bar|saacad|toban|tobanki iyo bar
🕚;kow iyo toban saac;00|11|11:00|kow iyo toban|kow iyo toban saac|saac|saacad
🕦;kow iyo toban iyo bar;11|11:30|bar|kow iyo toban|kow iyo toban iyo bar|saacad
🌑;dayaxa cusub;dayax|dayaxa cusub|madoow
🌒;qoolaabanka dayaxa oo badanaya;badidoodka|bil qoolaaban|dayax|qoolaabanka dayaxa oo badanaya
🌓;rubaca hore ee dayaxa;dayax|rubac|rubaca hore ee dayaxa
🌔;weynaanta dayaxa oo sii badanaya;badidood|dayaxa|weynaanta|weynaanta dayaxa oo sii badanaya
🌕;dayax buuxa;buuxa|dayax
🌖;gaabinta wayninka dayaxa;dayaxa|gaabinta|gaabinta wayninka dayaxa|weynaanta
🌗;rubaca dambe ee dayaxa;dayax|rubac|rubaca dambe ee dayaxa
🌘;gaabinta dayaxa qoolaaban;bil qoolaaban|dayax|gaabinta|gaabinta dayaxa qoolaaban
🌙;dayax qoolaaban;bil qoolaaban|dayax|dayax qoolaaban
🌚;waji daxeedka cusub;dayax|waji|waji daxeedka cusub
🌛;rubaca hore ee waji dayaxeedka;dayax|rubac|rubaca hore ee waji dayaxeedka|rubaca hore waji dayaxeedka|waji
🌜;waji dayaxeedda rubaca dambe;waji|waji dayaxeedda rubaca dambe
🌡️;heerkul-beegge;heerkul-beegge
☀️;qorrax;dhalaal|fallaar-ilays|qorrax|qorrax leh
🌝;waji dayaxeed buuxa;buuxa|dayax|dhalaal|waji|waji dayaxeed buuxa
🌞;qorrax wajiyeed;dhalaal|qorrax|qorrax wajiyeed|waji
🪐;meeraha gaaban;damman|meeraha gaaban|meeraha lixaad
⭐;Summadda xiddigta;Summadda xiddigta|xidig
🌟;xiddig kaahaya;dhalaalaya|ifid|kaah|quruxsan|xiddig|xiddig kaahaya
🌠;waran cireed;soo dhacaya|toogasho|waran cireed|xiddig
🌌;habarjiid;dululaati|habarjiid
☁️;daruur;cimilo|daruur
⛅;qorrax ka dambaysa daruur;daruur|qorrax|qorrax ka dambaysa daruur
⛈️;daruur leh hillaac iyo roob;daruur|daruur leh hillaac iyo roob|onkod|roob
🌤️;qorrax ka dambaysa daruur yar;daruur|qorrax|qorrax ka dambaysa daruur yar
