# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;анлӑн кулать;кулӑ|пит-куҫ|савӑнӑҫ|телей
💳;кредит картти;банк|карт
🧾;квитанци;бухгалтери|ӗнентерӳ|квитанци|фактура|чек|шут
💹;йӑн;биржа|валюта|курс|рынок|тенденци|укҫа|ӳсӗм
✉️;конверт;конверт|ҫыру|эл. пуштӑ|электронлӑ пуштӑ
📧;эл. пуштӑ;пуштӑ|ҫыру|эл. пуштӑ
📨;кӗрекен ҫыру;кӗрекен|конверт|пӗлтерӳ|почта|ҫыру|электронлӑ
📩;пӗтекен ҫыру;ӑсату|вӗҫленекен|конверт|пӗлтерӳ|пӗтекен ҫыру|стрелка|электронлӑ
📤;тухакансем;вӗҫленекен|ещӗк|почта|янӑ|янӑ ҫырусем
📥;кӗрекенсем;ещӗк|илнӗ|илнӗ ҫырусем|кӗрекенсем|почта
📦;посылка;коробка|посылка|почта турттарни
📫;ялав ҫӗкленӗ хупӑ почта ещӗкӗ;ещӗк|почта|ҫӗкленӗ|хупӑ почта ещӗкӗ|ялав
📪;ялав усӑнтарнӑ хупӑ почта ещӗкӗ;антарнӑ|ещӗк|почта|хупӑ|хупӑ почта ещӗкӗ|ялав
📬;ялав ҫӗкленӗ уҫӑ почта ещӗкӗ;ещӗк|почта|ҫӗкленӗ|ҫыру|ялав|ялав ҫӗкленӗ уҫӑ почта ещӗкӗ
📭;ялав уснӑ уҫӑ почта ещӗкӗ;антарнӑ|ещӗк|почта|ҫыру|уҫӑ|ялав|ялавне антарнӑ уҫӑ почта ещӗкӗ
📮;пуштӑ йешчӗкӗ;пуштӑ|пуштӑ йешчӗкӗ|пуштӑ кирпечӗ
🗳️;суйлав урни;бюллетень|ещӗк|сасӑлас|суйлав|суйлав ещӗкӗ|суйлав урни|урна
✏️;кӑранташ;кӑранташ
✒️;хура перо;перо|перо аври|перо вӗҫӗ|перо вӗҫлӗ|ручка|ҫыру
🖋️;пероллӑ авторучка;калем|пероллӑ авторучка
🖊️;ручка;калем|шариклӑ ручка
🖌️;кистек;кистек|рисовани
🖍️;тӗслӗ кӑранташ;тӗслӗ кӑранташ
📝;заметка;асӑрхаттару|замкетка|кӑранташ|коммуникаци|медиа
💼;портфель;дипломат|документсем|ӗҫ|офис|портфель|хутсем
📁;папка;папка|файл
📂;уҫӑ папка;документсем|папка|уҫӑ|файл|хутсем
🗂️;маркировка папкисем;картотека|карточкӑсем|маркировка папкисем|отлавлени|пайлакансем|папка|папочка|файлӑсем
📅;калентар;датӑллӑ календарь|календарь|кунсем|палӑртнӑ кун|татӑклӑ календарь|число
📆;татӑк календарь;17 число|дата|календарь|кун|листисем|татӑк-кӗсӗк
🗒️;перекетлӗ блокнот;блокнот|листисем|перекетлӗ блокнот|пружина|ҫырмалли кӗнеке
🗓️;перкелешӳллӗ календарь;блокнот|калентар|спираль
📇;оргайзер;визитка|визитница|картотека|карточкӑсем|кӑтартусем|органайзер
📈;ӳсӗм диаграмми;диаграмма|лайӑхланни|скачок|схема|ҫӳлелле|тенденци|ӳсӗм|ӳсӗм диаграмми
📉;ӳкнӗ диаграмма;аяла|диаграмма|схема|тенденци|ӳкни|япӑхланни
📊;гистограмма;гистограмма|граф|диаграмма|юпаллӑ
📋;ылмашу пухвӗрӗ;ӗҫсен списокӗ|планшет|хӗстернӗ|хут
📌;кнопка;коллаш|пуҫлӑ йӗп
📍;ҫаврака кнопка;вырнаҫни|йӗп|карттӑ|пуҫлӑ йӗп|ҫаврака кнопка
📎;хӗстеркӗч;хӗстеркӗч
🖇️;скрепкӑсем;иккӗ|канцеляри|пӗрлештермелле|скрепкӑсем|темиҫе сыпӑк|хутсем
📏;линейка;виҫи|линейка|см|тӳрӗ
📐;виҫкӗтеслӗх линейка;виҫкӗтеслӗх|виҫмелли|виҫмелли инструмент|линейка|линейка-виҫкӗтеслӗх|чертеж наборӗ
✂️;хачӑ;инструмент|каc|касни|хачӑ|хут
🗃️;картотека;карт|кирпет|файл
🗄️;картотека шкапӗ;кабинет|картотека|файл
🗑️;ҫӳп-ҫап витри;ҫӳп-ҫап витри
🔒;питӗрӗнчӗк;питӗрӗнчӗк|ҫӑра|харпӑр|хупӑ
🔓;питӗрмен;питӗрмен|ҫӑра|ҫӗмӗрӗлнӗ|уҫ|уҫӑлтар
🔏;питӗрӗнчӗк тата перо;вӗҫӗ|перо|ручкӑпалла питӗрӗнчӗк|ҫӑра|харпӑрлӑх|чернил
🔐;питӗрӗнчӗк тата уҫҫи;велосипед ҫӑри|питӗрӗнчӗк|сыхӑ|ҫӑра|ҫӑраҫҫипелле питӗрӗнчӗк|уҫҫи|хупӑ
🔑;клавиш;кӗме сӑмах|ҫӑра|ҫӑраҫҫи|тӗп ҫӑраҫҫи|уҫӑлтар
🗝️;кивӗ ҫӑраҫҫи;кивӗ|ҫӑра|ҫӑраҫҫи|тупсӑм
🔨;мӑлатук;йусав|мӑлатук|ҫурт лайӑхлатасси|хатӗр
🪓;пуртӑ;вутӑ|вутӑ касакан|йывӑҫ|касма|пуртӑ
⛏️;кирка;кирка|мӑлатук|тупу-кӑлару|хатӗр
⚒️;мӑлатукпа кирка;кирка|мӑлатук|мӑлатукпа кирка|хатӗр
🛠️;мӑлатукпа шӗрӗп уҫҫи;гайка|инструменчӗ|мӑлатук|мӑлатук тата гайка уҫҫи|ҫӑраҫҫи|уйрӑлу уҫҫи
🗡️;кинчал;кинчал|ҫӗҫӗ|хӗҫ-пӑшал
⚔️;хӗресленӗ хӗҫ;икӗ хӗҫ|крестоносец|рыцарь|сивӗ хӗҫпӑшал|ҫапӑҫу|хӗресленнӗ|хӗҫ|хӗҫ хӗреслени
💣;бомба;бомба|взрыв|вырт|хӑрушлӑх|хӑю|хура
🪃;бумеранг;абориген|австрали|бумеранг|каялла|хӗҫпӑшал|юлашкисем
🏹;ухӑпа ҫӗмрен;арбалет|ӑсан|гороскоп|зодиак|зодиак палли|лучник|стрелец|сухан|ухӑ|хӗҫпӑшал
🛡️;хулккан;хӗҫ-пӑшал|хулккан
🪚;пӑчкӑ;инструмент|йывӑҫ|йывӑҫа пӑчкӑ|касма|пӑчкӑ|платник|столяр
🔧;шӗрӗп уҫҫи;гайка|инструменчӗ|ҫӑраҫҫи|юсав
🪛;пӑркӑч;ӑсти|винт|инструмент|мастер|отвертка
🔩;шӗрӗппе болт;болт|болт тата гайка|винт|гайка|инструмент|ремонт|шуруп
⚙️;шестерне;деталь|запчаҫ|кустӑрма|шӑллӑ|шестеренка|шестерня
🗜️;хӗскӗч;компрессор|хӗскӗче|хӗстеретпӗр
⚖️;шайлашу шкали;виҫесси|зодиак паллине|суд|тереза|тӗрӗслӗх|тӳрӗлӗх
🦯;шурӑ туйа;инвалид|суккӑр|туя|утни|шурӑ
🔗;каҫӑ;каҫӑ|каҫӑсем
⛓️‍💥;татӑлнӑ сӑнчӑр;ирӗклӗх|разрыв|сӑнчӑр|ҫурӑлас|ҫурӑлнӑ сӑнчӑр
⛓️;сӑнчӑр;сӑнчӑр
🪝;ҫекӗл;кран|лекме|ҫакланни|ҫекӗл|чеелӗх|ярса тытни
🧰;инструмент ещӗкӗ;инструментсем|инструментсем пухакан|инструментсен ещӗкӗ|инструментсен комплекчӗ|коробка|мастер|механик|слесарь|хӗрлӗ ещӗк|юсав
🧲;магнит;лайӑх|магнит|магнит-такан|такан|туртӑм|хирӗҫлекен
🪜;пусма;картлашка|пусма|хӑпармалла
🪏;кӗреҫе;кӗреҫе|курка|чавмалла|шӑтӑк
⚗️;йухтаркӑч;инструмент|йухтаркӑч|хими
🧪;пробирка;ӑслӑлӑх|лаборатори|пробирка|хими|химиҫӗ|эксперимент
🧫;петри чашки;бактери|биологи|биологиҫӗ|культур|лаборатори|петри чашки
🧬;днк;биологи|генетика|генка|ДНК|молекул|пурнӑҫ|эволюци
🔬;микроскоп;ӑслӑлӑх|инструмент|лаборатори|микроскоп|эксперимент
🔭;телескоп;ӑслӑлӑх|инструмент|контакт|телескоп|урӑх планетӑри
📡;спутник антенни;антенна|ӑслӑлӑх|йут планетӑри|контакт|спутник|турилкке
💉;шприц;инъекци|медицина|препарат|прививка|сиплев|укол|шприц|юн
🩸;йун тумламӗ;донор|медицина|менструаци|тумлам|хӗрлӗ|юн|юн тумламӗ
💊;пилюля;барбитратсем|капсул|медикамент|пилюля|препарат|рецепт|таблетка|эмел|эмеллен
🩹;пластырь;лейкопластырь|медицина|пластырь|сипле|суран|ӳт
🩼;каклишке;инвалид|костыль|предмет|пулӑшу|сиенленни|тӗрек|травма|туя|хуҫӑлу
🩺;стетоскоп;медицинӑ|стетоскоп|тухтӑр|чӗре
🩻;рентген пайӑрки;врач|костя|медицина|предмет|рентген|скелет|ҫутта кӑларас|ӳкерчӗк
🚪;алӑк;алӑк|тӗп алӑк|хыҫалти алӑк|чӑлан
🛗;лифт;грузоподемник|лифт|подъемник|ятарлӑ майсем
🪞;тӗкӗр;макияж|палӑрать|сӑнар|сӑрланас|тӗкӗр
🪟;чӳрече;витӗр курӑнакан|кӗленче|рама|сӑн-сӑпат|уҫӑ сывлӑш|чӳрече
🛏️;крават;крават|оттел|ыйхӑ
🛋️;диванпа лампа;диван|диванпа лампа|лампа|оттел
🪑;кресла;кресла|лар|ларкӑч
🚽;шунтӑ;туалет|шунтӑ
🪠;поршень;вантуз|сантехник|слива|сортир|ҫӳпӗ|тасалӑх|туалет
🚿;душ;душ|шыв
🛁;ванна;ванна|ваннӑ
🪤;шӑши таппи;илӗртӳ|капкӑн|сыр|шӑши таппи
🪒;бритва;бритва|пит|ҫивӗч|ҫивӗчӗшӗ|хӑрушӑ|хырӑн
🧴;лосйон флаконӗ;бальзам|бутылка лосьон|кондиционер|крем|лосьон|нӳрӗ|флакон|чуншӑн гель|шампунь
🧷;йуплӗ йӗп;акӑлчан булавки|булавка|тирсе|тӳмеле
🧹;шӑпӑр;тасатни|тухатмӑш|шӑлни|шӑпӑр
🧺;пӗрне;кӑмпа|карҫинкка|кӗпе-йӗм карҫинкки|пикник|пухма|ҫума|ҫырла
🧻;хут рулонӗ;рулон|салфетка|туалет хучӗ|хут|хут алшӑлли
🪣;витре;витре|катка
🧼;супӑнь;ванна|душ|кӑпӑк|пӗр татӑк супӑнь|сахал|супӑнь|супӑнь кӑпӑкӗ|ҫу|хӑмпӑсем|шыва кӗни
🫧;хӑмпӑ;предмет|супӑнь|супӑнь хӑмписем|ҫу|таса|хӑмпӑсем|шыв
🪥;шӑл шчетки;ванна|гигиена|ҫӑвӑнма|таса|тасатма|шӑл|шӑл щетки|щетка
🧽;губка;ванна|губка|кӑпӑк|мунчалка|савӑт-сапа|спонж|супӑнь|ҫу|тасат
🧯;пушар сӳнтеркӗҫӗ;пушар|пушар сӳнтеркӗҫӗ|сӳнтер
🛒;магаҫин урапи;магаҫин урапи|пӗрне|туйану
🚬;ҫихарет;ҫихарет|туртни
⚰️;тупӑк;вампир|виле|вилӗм|тупӑк
🪦;масар чулӗ;вилӗ|вилӗм|вилтӑпри|масар|мемориал|рип|тупӑклӑх
⚱️;пытару урни;вилӗм|кӗл|пытару|тусан|урна|юлашкисем
🧿;насар амулечӗ;амулет|кӑвак|куҫ|назар|назар бонджук|ока|талисман
🪬;хамса;аллаппи|Амулет|Мария алли|Мириам алли|предмет|фатыма алли|хамса|хӳтӗлев
🗿;кӗлетке;аборигенсем|голова|йӗрӗх|кӗлетке|моаи|мункун утравӗ|Мункун утравӗ|пит|статуя
🪧;плаккат;демонстраци|заявлени|пикет|плакат|протест тухса кала
🪪;çын камне çирĕплетекен хут;водитель прависем|документ|идентификатор|паспорт|право|предмет|удостоверени

[symbols]
🏧;банкомат палли;банкомат|банкомат палли|пур|терминал|укҫа
🚮;ҫӳп-ҫапа урнӑна пӑрахӑр;пӑрахӑр|ҫӳп-ҫап|ҫӳп-ҫапа|ҫӳп-ҫапа урнӑна пӑрахӑр|урна
🚰;ӗҫмелли шыв;ӗҫмелли|кран|стакан|шыв
♿;&quot;инвалидсем валли&quot; палли;водитель-инвалид|инвалид|инвалид кӳми|инвалидсем валли&quot; палли|кӗме|майсем|палли
🚹;арҫын туалечӗ;арҫын|арҫын туалечӗ|кабинка|кану пӳлӗмӗ|туалет|уборнӑй
🚺;хӗрарӑм туалечӗ;кабинкӑсем|туалет|уборнӑй|хӗрарӑм туалечӗ|хӗрарӑмсем
🚻;уборнӑй;WC|ванна пӳлӗмӗ|канма уборнӑй|туалет|уборная
🚼;кипкеле пӳлӗм;ачасем|кӑкӑр|кипке|подгузник|сӗтеле улӑштар
🚾;туалет;WC|арҫын туалечӗ|общество|туалет|унитаз|хӗрарӑм туалечӗ
🛂;паспорт тӗрӗслевӗ;паспорт|пичет|пограничник|тӗрӗслев
🛃;таможня;багаж|таможня|тӗрӗслев|чикӗ
🛄;багаж илни;багаж|килни|лента|чемодан
🛅;манӑҫнӑ багаж;багаж|кабинка|манӑҫнӑ багаж|ҫӑраҫҫи|ҫухатнӑ|хупма|чемодан
⚠️;асӑрхаттару значокӗ;асӑрхануллӑ|асӑрхаттару|асӑрхаттару значокӗ|кӑшкӑру|кӑшкӑру палли|пӗлтерӳ|тимлӗ|тимлӗх|хӑрушлӑх
🚸;&quot;ачасем&quot;палли;&quot;ачасем&quot; палли|ачасем|движени|ҫул|ҫуран ҫынсем
⛔;кӗме чарнӑ;алӑк ҫук|кӗме чарнӑ|кӗмелли|кирпӗч|стоп|ҫук|тӑма чарнӑ|чарнӑ
🚫;чарнӑ;кӗме чарнӑ|чарнӑ|юрамасть
🚳;чӗркеленчӗк велосипед;велосипед|кӗме чарнӑ|чӗрсе пӑрахнӑ велосипед|юрамасть
🚭;туртма чарнӑ;туртма|чарнӑ|юрамасть
🚯;ҫӳп-ҫап ан тӑкӑр;ҫӳп-ҫапа (ҫӳп-ҫапа пӑрахмалла мар|ҫӳп-ҫапа ан тӑкӑр|юрамасть
🚱;шывсӑр шыв;ӗҫме юрамасть|ӗҫмелли шыв|сиенлӗ|хӑрушӑ|чарнӑ|чӗрсе пӑрахнӑ кран|шыв ӗҫме юрамасть
🚷;ҫул ҫӳреме чарнӑ;кӗме|ҫуран утма|хӑрушӑ|чарнӑ
📵;мобиль телефонӗсене чарнӑ;кӗме юрамасть|мобиль телефонӗ|мобиль телефонӗсене|ҫыхӑну ҫук|телефонпа усӑ курма чарнӑ|телефонсене чарнӑ|чӗрсе пӑрахнӑ телефон|шӑнкӑравсене йышӑнмаҫҫӗ|шӑнкӑравсене чарнӑ
🔞;вунсакӑр ҫултан аслӑрах ҫынсем;18 ҫул|вунсакӑр ҫултан аслӑрах ҫынсемшӗн|ҫула ҫитмен ачасене чарнӑ|чару|юрамасть
☢️;радиаци;радиаци|радиоактивлӑх|символ|хӑрушлӑх
☣️;биологи хӑрушлӑхӗ;биологи хӑрушлӑхӗ|символ|хӑрушлӑх|химилле хӑрушлӑх
⬆️;хулӑн стрелка ҫӳлелле;кӑтарту|стрелка|ҫул|ҫӳлелле|ҫурҫӗр|хулӑн
↗️;стрелка сылтӑмалла-ҫӳлелле;девиаци|направлени|стрелка|сылтӑмалла-ҫӳлелле|ҫурҫӗр-хӗвелтухӑҫ
➡️;хулӑн стрелка сылтӑмалла;стрелка|сылтӑмалла|указатель|хӗвелтухӑҫ|хулӑн
↘️;стрелка сылтӑмалла-аялалла;девиаци|кӑнтӑр-хӗвелтухӑҫнелле|стрелка|сылтӑмалла-аялалла|ҫул
⬇️;хулӑн йӗппи аялалла;аяла|кӑнтӑр|кӑтарту|стрелка|хулӑн
↙️;стрелка сулахаялла-аялалла;девиаци|кӑнтӑр-хӗвеланӑҫнелле|стрелка|сулахаялла-аялалла|ҫул
⬅️;хулӑн стрелка сулахаялла;кӑтарту|стрелка|сулахая|хӗвеланӑҫ|хулӑн
↖️;стрелка сулахаялла-ҫӳлелле;девиаци|направлени|стрелка|сулахаялла-ҫӳлелле|ҫурҫӗр-хӗвеланӑҫ|тӑваттӑмӗш девиаци
↕️;стрелка ҫӳлелле-аялалла;аялалла-аялалла|аялалла-ҫӳлелле|икӗ хутлӑ|стрелка|ҫӳлелле|ҫӳлелле те аялалла|ҫӳлелле-аялалла
↔️;стрелка сулахаялла-сылтӑмалла;икӗ енлӗ|стрелка|сулахаялла|сулахаялла тата сылтӑмалла|сулахаялла-сылтӑмалла|сылтӑмалла
↩️;стрелка сулахаялла пӑрӑнчӗ;авӑнчӑк|стрелка|стрелка пӑрӑнать|сулахаялла|ҫаврӑну
↪️;стрелка сылтӑмалла пӑрӑнчӗ;авӑнчӑк|стрелка|стрелка пӑрӑнать|сылтӑмалла|ҫаврӑну
⤴️;стрелка сылтӑмалла кукӑрӑлса ҫӳлелле;авӑнчӑк|стрелка|стрелка кукӑрӑлса ҫӳлелле|сылтӑмалла|ҫӳлелле
⤵️;стрелка аялалла пӑрӑнчӗ;авӑнчӑк|аялалла|стрелка|стрелка пӑрӑнать
🔃;сехет йӗппи;вертикаллӗ стрелоксем|вертикаллӗ хупӑ стрелоксем|сехет стрелки тӑрӑх|стрелоксем|ҫакӑнса тӑраҫҫӗ|тата хупӑнчӑк стрелоксем
🔄;сехет стрелкине хирӗҫ;горизонтальнӑй стрелоксем|сехет стрелкисене хирӗҫ|стрелоксем|ҫаврака стрелоксем|хупӑнчӑк стрелоксем
🔙;&quot;каялла&quot; стрелка;каялла|каялла &quot;стрелка&quot;|стрелка
🔚;&quot;вӗҫӗ&quot; стрелка;&quot;вӗҫӗ&quot; стрелка|вӗҫӗ|стрелка вӗҫӗ
🔛;&quot;активлӑ&quot; стрелка;активлӑ|стрелка|стрелка &quot;активлӑ&quot;
🔜;&quot;часах&quot; стрелка;&quot;часах&quot; стрелка|малалли|стрелка хӑвӑрт|сылтӑмалла|часах
🔝;&quot;ҫиеле&quot; стрелка;стрелка &quot;ҫиеле&quot;|стрелка &quot;ҫӳлелле&quot;|стрелка ҫӳлелле|ҫӳле|ҫӳлелле|топ
🛐;тӗн;вырӑн|кӗлӗ|пуҫҫапмалли вырӑн|регили|сӑваплӑ|тӗн
⚛️;атом символӗ;атеизм|атеист|атом|атом символӗ|ӗненӳ|пайӗ|турӑсӑр
🕉️;ом;аум|мантра|ом|тӗн
✡️;Давид ҫӑлтӑрӗ;гексаграмма|давид|Давид магенӗ|Давид ҫӑлтӑрӗ|еврей|ӗненӳ|иврит|Израиль|иудаизм|синагога|ҫӑлтӑр|тӗн|ултӑ кӗтеслӗ ҫӑлтӑр|шаббат
☸️;дхар урапи;будда|буддизм|вера|дхарма кустӑрми|дхармачакра|кустӑрма|символ|тӗн|философи
☯️;иь-ян;вера|инь|инь-ян|символ|тао|таоизм|тӗн|ян|янь
✝️;латин хӗресӗ;вӑрӑм хӗрес|вера|латин хӗресӗ|регили|собор|турӑ|хӗрес|христианин|христианство|чиркӳ
☦️;православи хӗресӗ;ӗненӳ|православи|православи хӗресӗ|тӗн|хӗрес|христианин|христианлӑх
☪️;ҫӑлтӑрпа ҫур уйӑх;ӗненӳ|ислам|мечет|мусульман|мусульмансем|символ|ҫӑлтӑр|ҫӑлтӑр тата ҫурма уйӑх|ҫур уйӑх|тӗн
☮️;тӑнӑҫ палли;дибераллӑ|значок|идеологи|мир|мироворец|пацифизм|пацифик|символ|тӑнӑҫ
🕎;менора;менора|ҫурта|ҫурта лартмалли|тӗн|ханука|ханукия
🔯;ултӑ кӗтеслӗ ҫӑлтӑр;Давид ҫӑлтӑрӗ|Ҫӑлтӑр|ултӑ вӗҫлӗ ҫӑлтӑр
🪯;кханда;дег фатех|ӗненӳ|кханда|сикх|сикхизм|символ|тӗн|халс
♈;Сурӑх зодиак палли;гороскоп|зодиак|Зодиак|зодиак палли|зодиакал|овен|така|такасем
♉;Пӑру зодиак палли;вӑкӑр|гороскоп|зодиак|Зодиак|зодиак палли|зодиак Палли|зодиакал|пӑру|пӑрусем
♊;Йӗкӗреш зодиак палли;гороскоп|зодиак|зодиак палли|йӗкӗреш
♋;Рак зодиак палли;гороскоп|зодиак|зодиак палли|зодиакал|рак
♌;Арӑслан зодиак палли;арӑслан|гороскоп|Зодиак|зодиак палли|Зодиак палли|зодиакал
♍;Хӗр зодиак палли;гороскоп|зодиак|зодиак Дева|зодиак палли|хӗр
♎;Тараса зодиакӗ;гороскоп|зодиак|зодиак палли|зодиак Тараса палли|тараса
♏;Скорпион зодиак палли;гороскоп|зодиак|зодиак палли|скорпион|скорпионсем
♐;Зодиак палли Стрелец;гороскоп|зодиак|зодиак палли|Зодиак Палли|зодиакаль|стрелец|стрельцов
♑;Зодиак козерог палли;гороскоп|зодиак|зодиак палли|зодиакаль|козерог|козерогов
♒;Водоль зодиак палли;водолей|водоллейсем|гороскоп|зодиак|Зодиак Водолей палли|зодиак палли
♓;Пулӑ зодиак палли;гороскоп|зодиак|зодиак палли|зодиакал|пулӑ|пулли
⛎;Ҫӗлен Йӑтса Ҫӳрекен зодиак палли;гороскоп|зодиак|зодиак Земеносец|ҫӗлен йӑтса ҫӳрекенӗ
🔀;ӑнсӑртран суйласа илни;ӑнсӑртран|ӑнсӑртран суйласа илнӗ|ӑнсӑртран тӗл пулнӑ трек|стрелоксем|хӗресленнӗ стрелоксем
🔁;тепӗр хут;горизонтальнӑй стрелоксем|сехет стрелки тӑрӑх|стрелоксем|тепӗр хут|хупӑнчӑк стрелоксем
🔂;пӗр юррӑн тепӗр хут кала;икӗ стрелка|кнопка|пӗр юрӑ|пӗр юррӑн тепӗр хут|тепӗр хут
▶️;ӳкерчӗк;виҫкӗтеслӗх|выляса яни|геометри|кнопка|малалла|перемотка|сылтӑмалла|ӳкерӳ|фигура
⏩;перемотка;васкат|икӗ виҫкӗтеслӗх|кнопка|малалла|перемотка малалла|стрелка|сылтӑмалла
⏭️;тепӗр трек;икӗ виҫкӗтеслӗх|малалла|перемотка|сылтӑмалла|тепӗр композици|тепӗр сукмак|тепӗр трек
⏯️;пауза ӳкерчӗкӗ;виҫкӗтеслӗх|икӗ йӗр|кнопка|пауза|произведени|чармалла
◀️;реверс;виҫкӗтеслӗх|геометри|каялла|кнопка|перемотка|произведени|реверс|сулахаялла|фигура
⏪;пӑрамат;икӗ виҫкӗтеслӗх|каялла|кнопка|перемотка каялла|стрелка|сулахаялла
⏮️;малтанхи трек;икӗ виҫкӗтеслӗх|каялла|малтанхи сукмак|перемотка|сулахая|унчченхи композици|унчченхи трек
🔼;виҫкӗтеслӗх шӗвӗр вӗҫлӗ ҫӳлелле;виҫӗ кӗтеслӗ кнопка шӗвӗр вӗҫӗпе ҫӳлелле|виҫкӗтеслӗх|виҫкӗтеслӗх шӗвӗр вӗҫӗпе ҫӳлелле|кнопка|пирамида|ҫӳлелле
⏫;шӗвӗр вӗҫлӗ икӗ виҫкӗтеслӗх ҫӳлелле;икӗ виҫкӗтеслӗх|икӗ виҫкӗтеслӗх шӗвӗр вӗҫӗпе ҫӳлелле|кнопка|стрелка|стрелоксем ҫӳлелле|ҫӳлелле
🔽;виҫкӗтеслӗх шӗвӗр вӗҫлӗ аялла;аялалла|виҫкӗтеслӗх|виҫкӗтеслӗх шӗвӗр вӗҫӗпе аялалла|кнопка
⏬;шӗвӗр вӗҫлӗ икӗ виҫкӗтеслӗх аяла;аялалла|икӗ виҫкӗтеслӗх|икӗ виҫкӗтеслӗх шӗвӗр вӗҫӗпе аялалла|кнопка|стрелка
⏸️;чарăну;икӗ йӗр|кнопка|пауза|стоп|чарăну кнопка|чарма
⏹️;çитет;çитет|кнопка|тăхта|чарӑн
⏺️;ҫырса илни;кнопка|ҫаврашка|ҫыр|ҫырса хур
⏏️;кӑларса ывӑтни;кнопка ывӑт
🎦;видео çырса пыни;çырса пыни|видео|видеозапи|видеокамера|дубль|камера|кино|кинокамера|ҫыру|телекурав|фильм
🔅;лутра ҫутӑ;лутра|ҫутӑ|тӗттӗм|хӗвел|шай
🔆;ҫӳллӗ ҫутӑ;ҫӳллӗ|ҫутӑ|шай|ярӑм
📶;тетел сигналӗ;антенна|сеть сигналӗ|сигнал шайӗ|ҫыхӑну|телефон
🛜;пралуксӑр тетел;wi-fi|wifi|wlan|вайфай|интернет|компьютер|пӑнчӑ|пралуксӑр сеть|роутер|сарлака йӑрӑмлӑ|сеть|смартфон
📳;вибраци режимӗ;вибраци|вибраци режимӗ|мобиль|мобильник|режим|смартфон|телефон|телефон чӗтрет
📴;сӳнтернӗ телефон;мобиль|мобильник|смартфон|смартфона сӳнтернӗ|сӳнтернӗ|ҫыхӑнусӑр|телефон|телефона сӳнтернӗ
♀️;хӗрарӑм символӗхӗрарӑм палли;венера|символ|хӗрарӑм|хӗрарӑм символӗ
♂️;арҫын палли;арҫын|арҫын символӗ|марс|символ
⚧️;трансгендер;символ|трансгендер
✖️;хутламалли палли;значок|х|хутласси|хутлу|хутлу значокӗ|хутлу палли
➕;кӗлетке палли;значок|кӗлетке|плюс|хутлану значокӗ|хутлану палли|хушас
➖;вулав палли;вулав значокӗ|вулав палли|вулани|значок|минус|туртса илни
➗;пайлану шултра палли;значок|кӑлармалла|пайламалла|пайлану|пайлану значокӗ|пайлану палли
🟰;пӗртанлӑхӑн ҫуллӑ палли;математика|пӗр тан|пӗртанлӑх|пӗртанлӑх палли|пӗртанлӑхӑн ҫуллӑ палли|символ|тан|танлашать
♾️;вӗҫсӗр-хӗрсӗрлӗх;вӗҫӗ-хӗррисӗр|вӗҫсӗрлӗх палли|яланлӑхах
‼️;икӗ кӑшкӑру палли;икӗ кӑшкӑру палли|кӑшкӑру|паллӑ|паллӑсем|пунктуаци
⁉️;кӑшкӑру-ыйту палли;кӑшкӑру палли|кӑшкӑру тата ыйту паллисем|паллӑ|пунктуаци|ыйту|ыйту палли
❓;хӗрлӗ ыйту палли;!|?|пунктуаци|хӗрлӗ|хӗрлӗ ыйту палли|ыйту|ыйту палли
❔;шурӑ ыйту палли;?|мӗн?|пунктуаци|шурӑ|шурӑ ыйту палли|ыйтма|ыйту|ыйту палли
❕;шурӑ кӑшкӑру палли;кӑшкӑру|кӑшкӑру палли|паллӑ|пунктуаци|шурӑ|шурӑ кӑшкӑру палли
❗;хӗрлӗ кӑшкӑру палли;кӑшкӑру|кӑшкӑру палли|пунктуаци|хӗрлӗ|хӗрлӗ кӑшкӑру палли
〰️;хумлӑ-хумлӑ йӗр;лини|паллӑ|пунктуаци|хум|хумлӑ
💱;валюта улӑштарни;банк|валюта|валюта улӑшӑвӗ|каса|курс|пункт|укҫа
💲;доллар ҫуллӑ палли;АПШ|валюта|доллар|доллар палли|миллион|наличка|пуянлӑх|ҫуллӑ паллӑ|ТӲЛЕВ|укҫа|шалу
⚕️;медицина символӗ;аптека|асклепий|медицина|медицина символӗ|сиплев|ҫӗлен туйи|туя|эмел
♻️;утилизаци;каяшсене тирпейлени|ҫӳп-ҫап|утилизаци
⚜️;геральд лилийӗ;бурбон лилийӗ|геральдика|геральдика лилийӗ|герб|король лилийӗ|лили|лили чечекӗ|фигура|флер-де-лис
🔱;трезубец;сейдон|сенӗк|символ|трезубец|эмблема
📛;бейдж;асӑрхаттарни|бейдж|бейджик|значок|огонь|ячӗллӗ значок
🔰;ҫӗнӗлӗх символӗ;символ|ҫӗнӗ Ҫын|ҫӗнӗ япони символӗ|ҫӗнӗрен килнӗ ҫын|Япони
⭕;хӗрлӗ ункӑ;пысӑк ункӑ|ҫаврашка|ункӑ|хӗрлӗ ҫаврашка|хӗрлӗ ункӑ
✅;шурӑ ҫӑмах;галочка|паллӑ|тӗрӗсленӗ|тунӑ|хатӗр|шурӑ
