# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ᎤᏤᏣᏍᏗ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏤᏣᏍᏗ ᎤᎧᏛ|ᎤᏰᏍᎩ
	🧙🏽‍♀️;ᎠᎨᏯ ᎠᏓᏪ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ ᎠᏓᏪ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏗᏓᏁᏎᏍᎩ|ᏗᏙᏂᏍᎩ
	🧙🏾‍♀️;ᎠᎨᏯ ᎠᏓᏪ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ ᎠᏓᏪ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏗᏓᏁᏎᏍᎩ|ᏗᏙᏂᏍᎩ
	🧙🏿‍♀️;ᎠᎨᏯ ᎠᏓᏪ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ ᎠᏓᏪ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏗᏓᏁᏎᏍᎩ|ᏗᏙᏂᏍᎩ
🧚;ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ;ᎣᏩᎾᏂ|ᏋᎩ|ᏘᏔᏂᏯ|ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ
	🧚🏻;ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎣᏩᎾᏂ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏋᎩ|ᏘᏔᏂᏯ|ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ
	🧚🏼;ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎣᏩᎾᏂ|ᏋᎩ|ᏘᏔᏂᏯ|ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ
	🧚🏽;ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎣᏩᎾᏂ|ᏋᎩ|ᏘᏔᏂᏯ|ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ
	🧚🏾;ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎣᏩᎾᏂ|ᏋᎩ|ᏘᏔᏂᏯ|ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ
	🧚🏿;ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎣᏩᎾᏂ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏋᎩ|ᏘᏔᏂᏯ|ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ
🧚‍♂️;ᎠᏍᎦᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ;ᎠᏍᎦᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ|ᎣᏆᏯᏂ|ᏋᎩ
	🧚🏻‍♂️;ᎠᏍᎦᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ|ᎣᏆᏯᏂ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏋᎩ
	🧚🏼‍♂️;ᎠᏍᎦᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏍᎦᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎣᏆᏯᏂ|ᏋᎩ
	🧚🏽‍♂️;ᎠᏍᎦᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎣᏆᏯᏂ|ᏋᎩ
	🧚🏾‍♂️;ᎠᏍᎦᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎣᏆᏯᏂ|ᏋᎩ
	🧚🏿‍♂️;ᎠᏍᎦᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ|ᎣᏆᏯᏂ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏋᎩ
🧚‍♀️;ᎠᎨᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ;ᎠᎨᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ|ᏘᏔᏂᏯ
	🧚🏻‍♀️;ᎠᎨᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏘᏔᏂᏯ
	🧚🏼‍♀️;ᎠᎨᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎨᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᏘᏔᏂᏯ
	🧚🏽‍♀️;ᎠᎨᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏘᏔᏂᏯ
	🧚🏾‍♀️;ᎠᎨᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏘᏔᏂᏯ
	🧚🏿‍♀️;ᎠᎨᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ ᏴᏫ ᎤᏍᏗ ᎦᏃᎯᎵᏙᎯ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏘᏔᏂᏯ
🧛;ᎩᎦ ᎠᏓᏁᎩᎡᎯ;ᎤᏲᎱᏒ ᏂᎨᏒᎾ|ᎩᎦ ᎠᏓᏁᎩᎡᎯ|ᎩᎦ ᎠᏗᏔᏍᎩ
	🧛🏻;ᎩᎦ ᎠᏓᏁᎩᎡᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎤᏲᎱᏒ ᏂᎨᏒᎾ|ᎩᎦ ᎠᏓᏁᎩᎡᎯ|ᎩᎦ ᎠᏗᏔᏍᎩ
	🧛🏼;ᎩᎦ ᎠᏓᏁᎩᎡᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏲᎱᏒ ᏂᎨᏒᎾ|ᎩᎦ ᎠᏓᏁᎩᎡᎯ|ᎩᎦ ᎠᏗᏔᏍᎩ
	🧛🏽;ᎩᎦ ᎠᏓᏁᎩᎡᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏲᎱᏒ ᏂᎨᏒᎾ|ᎩᎦ ᎠᏓᏁᎩᎡᎯ|ᎩᎦ ᎠᏗᏔᏍᎩ
	🧛🏾;ᎩᎦ ᎠᏓᏁᎩᎡᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏲᎱᏒ ᏂᎨᏒᎾ|ᎩᎦ ᎠᏓᏁᎩᎡᎯ|ᎩᎦ ᎠᏗᏔᏍᎩ
	🧛🏿;ᎩᎦ ᎠᏓᏁᎩᎡᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏲᎱᏒ ᏂᎨᏒᎾ|ᎩᎦ ᎠᏓᏁᎩᎡᎯ|ᎩᎦ ᎠᏗᏔᏍᎩ
🧛‍♂️;ᎠᏍᎦᏯ ᎩᎦ ᎠᏓᏁᎩᏛᎯ;ᎠᏍᎦᏯ ᎩᎦ ᎠᏓᏁᎩᏛᎯ|ᎤᏲᎱᏒ ᏂᎨᏒᎾ|ᎩᎦ ᎠᏗᏔᏍᎩ
	🧛🏻‍♂️;ᎠᏍᎦᏯ ᎩᎦ ᎠᏓᏁᎩᏛᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ ᎩᎦ ᎠᏓᏁᎩᏛᎯ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎤᏲᎱᏒ ᏂᎨᏒᎾ|ᎩᎦ ᎠᏗᏔᏍᎩ
	🧛🏼‍♂️;ᎠᏍᎦᏯ ᎩᎦ ᎠᏓᏁᎩᏛᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏍᎦᏯ ᎩᎦ ᎠᏓᏁᎩᏛᎯ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏲᎱᏒ ᏂᎨᏒᎾ|ᎩᎦ ᎠᏗᏔᏍᎩ
	🧛🏽‍♂️;ᎠᏍᎦᏯ ᎩᎦ ᎠᏓᏁᎩᏛᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ ᎩᎦ ᎠᏓᏁᎩᏛᎯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏲᎱᏒ ᏂᎨᏒᎾ|ᎩᎦ ᎠᏗᏔᏍᎩ
	🧛🏾‍♂️;ᎠᏍᎦᏯ ᎩᎦ ᎠᏓᏁᎩᏛᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ ᎩᎦ ᎠᏓᏁᎩᏛᎯ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏲᎱᏒ ᏂᎨᏒᎾ|ᎩᎦ ᎠᏗᏔᏍᎩ
	🧛🏿‍♂️;ᎠᏍᎦᏯ ᎩᎦ ᎠᏓᏁᎩᏛᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ ᎩᎦ ᎠᏓᏁᎩᏛᎯ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏲᎱᏒ ᏂᎨᏒᎾ|ᎩᎦ ᎠᏗᏔᏍᎩ
🧛‍♀️;ᎠᎨᏯ ᎩᎦ ᎠᏓᏁᎩᎡᎯ;ᎠᎨᏯ ᎩᎦ ᎠᏓᏁᎩᎡᎯ|ᎤᏲᎱᏒᎢ ᏂᎨᏒᎾ
	🧛🏻‍♀️;ᎠᎨᏯ ᎩᎦ ᎠᏓᏁᎩᎡᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ ᎩᎦ ᎠᏓᏁᎩᎡᎯ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎤᏲᎱᏒᎢ ᏂᎨᏒᎾ
	🧛🏼‍♀️;ᎠᎨᏯ ᎩᎦ ᎠᏓᏁᎩᎡᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎨᏯ ᎩᎦ ᎠᏓᏁᎩᎡᎯ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏲᎱᏒᎢ ᏂᎨᏒᎾ
	🧛🏽‍♀️;ᎠᎨᏯ ᎩᎦ ᎠᏓᏁᎩᎡᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ ᎩᎦ ᎠᏓᏁᎩᎡᎯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏲᎱᏒᎢ ᏂᎨᏒᎾ
	🧛🏾‍♀️;ᎠᎨᏯ ᎩᎦ ᎠᏓᏁᎩᎡᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ ᎩᎦ ᎠᏓᏁᎩᎡᎯ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏲᎱᏒᎢ ᏂᎨᏒᎾ
	🧛🏿‍♀️;ᎠᎨᏯ ᎩᎦ ᎠᏓᏁᎩᎡᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ ᎩᎦ ᎠᏓᏁᎩᎡᎯ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏲᎱᏒᎢ ᏂᎨᏒᎾ
🧜;ᏴᏫ ᎠᏣᏗ ᎤᎬᎭᏟ;ᎠᎨᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎠᏍᎦᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᏴᏫ ᎠᏣᏗ ᎤᎬᎭᏟ
	🧜🏻;ᏴᏫ ᎠᏣᏗ ᎤᎬᎭᏟ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎠᏍᎦᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏴᏫ ᎠᏣᏗ ᎤᎬᎭᏟ
	🧜🏼;ᏴᏫ ᎠᏣᏗ ᎤᎬᎭᏟ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎨᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎠᏍᎦᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᏴᏫ ᎠᏣᏗ ᎤᎬᎭᏟ
	🧜🏽;ᏴᏫ ᎠᏣᏗ ᎤᎬᎭᏟ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎠᏍᎦᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏴᏫ ᎠᏣᏗ ᎤᎬᎭᏟ
	🧜🏾;ᏴᏫ ᎠᏣᏗ ᎤᎬᎭᏟ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎠᏍᎦᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏴᏫ ᎠᏣᏗ ᎤᎬᎭᏟ
	🧜🏿;ᏴᏫ ᎠᏣᏗ ᎤᎬᎭᏟ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎠᏍᎦᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏴᏫ ᎠᏣᏗ ᎤᎬᎭᏟ
🧜‍♂️;ᎠᏍᎦᏯ ᎠᏣᏗ ᎤᎬᎭᏟ;ᎠᏍᎦᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎠᏓᎯᏍᏙᏗ
	🧜🏻‍♂️;ᎠᏍᎦᏯ ᎠᏣᏗ ᎤᎬᎭᏟ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎠᏓᎯᏍᏙᏗ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
	🧜🏼‍♂️;ᎠᏍᎦᏯ ᎠᏣᏗ ᎤᎬᎭᏟ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏍᎦᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎠᏓᎯᏍᏙᏗ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ
	🧜🏽‍♂️;ᎠᏍᎦᏯ ᎠᏣᏗ ᎤᎬᎭᏟ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎠᏓᎯᏍᏙᏗ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
	🧜🏾‍♂️;ᎠᏍᎦᏯ ᎠᏣᏗ ᎤᎬᎭᏟ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎠᏓᎯᏍᏙᏗ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
	🧜🏿‍♂️;ᎠᏍᎦᏯ ᎠᏣᏗ ᎤᎬᎭᏟ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎠᏓᎯᏍᏙᏗ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🧜‍♀️;ᎠᎨᏯ ᎠᏣᏗ ᎤᎬᎭᏟ;ᎠᎨᏯ ᎠᏣᏗ ᎠᎹ|ᎠᎨᏯ ᎠᏣᏗ ᎤᎬᎭᏟ
	🧜🏻‍♀️;ᎠᎨᏯ ᎠᏣᏗ ᎤᎬᎭᏟ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ ᎠᏣᏗ ᎠᎹ|ᎠᎨᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
	🧜🏼‍♀️;ᎠᎨᏯ ᎠᏣᏗ ᎤᎬᎭᏟ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎨᏯ ᎠᏣᏗ ᎠᎹ|ᎠᎨᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ
	🧜🏽‍♀️;ᎠᎨᏯ ᎠᏣᏗ ᎤᎬᎭᏟ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ ᎠᏣᏗ ᎠᎹ|ᎠᎨᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
	🧜🏾‍♀️;ᎠᎨᏯ ᎠᏣᏗ ᎤᎬᎭᏟ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ ᎠᏣᏗ ᎠᎹ|ᎠᎨᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
	🧜🏿‍♀️;ᎠᎨᏯ ᎠᏣᏗ ᎤᎬᎭᏟ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ ᎠᏣᏗ ᎠᎹ|ᎠᎨᏯ ᎠᏣᏗ ᎤᎬᎭᏟ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🧝;ᏴᏫ ᎤᏍᏆᏂᎪᏗᏳ;ᎤᏕᎵᏛ ᎬᏗ ᎠᏛᏁᎸᏗ|ᏴᏫ ᎤᏍᏆᏂᎪᏗᏳ
	🧝🏻;ᏴᏫ ᎤᏍᏆᏂᎪᏗᏳ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎤᏕᎵᏛ ᎬᏗ ᎠᏛᏁᎸᏗ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏴᏫ ᎤᏍᏆᏂᎪᏗᏳ
	🧝🏼;ᏴᏫ ᎤᏍᏆᏂᎪᏗᏳ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏕᎵᏛ ᎬᏗ ᎠᏛᏁᎸᏗ|ᏴᏫ ᎤᏍᏆᏂᎪᏗᏳ
	🧝🏽;ᏴᏫ ᎤᏍᏆᏂᎪᏗᏳ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏕᎵᏛ ᎬᏗ ᎠᏛᏁᎸᏗ|ᏴᏫ ᎤᏍᏆᏂᎪᏗᏳ
	🧝🏾;ᏴᏫ ᎤᏍᏆᏂᎪᏗᏳ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏕᎵᏛ ᎬᏗ ᎠᏛᏁᎸᏗ|ᏴᏫ ᎤᏍᏆᏂᎪᏗᏳ
	🧝🏿;ᏴᏫ ᎤᏍᏆᏂᎪᏗᏳ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏕᎵᏛ ᎬᏗ ᎠᏛᏁᎸᏗ|ᏴᏫ ᎤᏍᏆᏂᎪᏗᏳ
🧝‍♂️;ᎠᏍᎦᏯ ᏴᏫ ᎢᏳᏍᏗ;ᎠᏍᎦᏯ ᏴᏫ ᎢᏳᏍᏗ|ᎤᏕᎵᏛ ᎬᏗ ᎠᏛᏁᎸᏗ
	🧝🏻‍♂️;ᎠᏍᎦᏯ ᏴᏫ ᎢᏳᏍᏗ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ ᏴᏫ ᎢᏳᏍᏗ|ᎤᏕᎵᏛ ᎬᏗ ᎠᏛᏁᎸᏗ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
