# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ырсайган бет;бет|ырсай|ырсайган бет
	👩🏼‍❤️‍👨🏽;сүйүшкөн түгөйлөр: аял, эркек, буудай жүздүү, орточо;аял|буудай жүздүү|жүрөк|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👩🏼‍❤️‍👨🏾;сүйүшкөн түгөйлөр: аял, эркек, буудай жүздүү, кара тору;аял|буудай жүздүү|жүрөк|кара тору|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👩🏼‍❤️‍👨🏿;сүйүшкөн түгөйлөр: аял, эркек, буудай жүздүү, кара;аял|буудай жүздүү|жүрөк|кара|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👩🏽‍❤️‍👨🏻;сүйүшкөн түгөйлөр: аял, эркек, орточо, акжуумал;акжуумал|аял|жүрөк|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👩🏽‍❤️‍👨🏼;сүйүшкөн түгөйлөр: аял, эркек, орточо, буудай жүздүү;аял|буудай жүздүү|жүрөк|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👩🏽‍❤️‍👨🏽;сүйүшкөн түгөйлөр: аял, эркек, орточо;аял|жүрөк|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👩🏽‍❤️‍👨🏾;сүйүшкөн түгөйлөр: аял, эркек, орточо, кара тору;аял|жүрөк|кара тору|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👩🏽‍❤️‍👨🏿;сүйүшкөн түгөйлөр: аял, эркек, орточо, кара;аял|жүрөк|кара|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👩🏾‍❤️‍👨🏻;сүйүшкөн түгөйлөр: аял, эркек, кара тору, акжуумал;акжуумал|аял|жүрөк|кара тору|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👩🏾‍❤️‍👨🏼;сүйүшкөн түгөйлөр: аял, эркек, кара тору, буудай жүздүү;аял|буудай жүздүү|жүрөк|кара тору|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👩🏾‍❤️‍👨🏽;сүйүшкөн түгөйлөр: аял, эркек, кара тору, орточо;аял|жүрөк|кара тору|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👩🏾‍❤️‍👨🏾;сүйүшкөн түгөйлөр: аял, эркек, кара тору;аял|жүрөк|кара тору|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👩🏾‍❤️‍👨🏿;сүйүшкөн түгөйлөр: аял, эркек, кара тору, кара;аял|жүрөк|кара|кара тору|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👩🏿‍❤️‍👨🏻;сүйүшкөн түгөйлөр: аял, эркек, кара, акжуумал;акжуумал|аял|жүрөк|кара|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👩🏿‍❤️‍👨🏼;сүйүшкөн түгөйлөр: аял, эркек, кара, буудай жүздүү;аял|буудай жүздүү|жүрөк|кара|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👩🏿‍❤️‍👨🏽;сүйүшкөн түгөйлөр: аял, эркек, кара, орточо;аял|жүрөк|кара|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👩🏿‍❤️‍👨🏾;сүйүшкөн түгөйлөр: аял, эркек, кара, кара тору;аял|жүрөк|кара|кара тору|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👩🏿‍❤️‍👨🏿;сүйүшкөн түгөйлөр: аял, эркек, кара;аял|жүрөк|кара|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
👨‍❤️‍👨;сүйүшкөн түгөйлөр: эркек, эркек;жүрөк|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏻‍❤️‍👨🏻;сүйүшкөн түгөйлөр: эркек, эркек, акжуумал;акжуумал|жүрөк|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏻‍❤️‍👨🏼;сүйүшкөн түгөйлөр: эркек, эркек, акжуумал, буудай жүздүү;акжуумал|буудай жүздүү|жүрөк|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏻‍❤️‍👨🏽;сүйүшкөн түгөйлөр: эркек, эркек, акжуумал, орточо;акжуумал|жүрөк|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏻‍❤️‍👨🏾;сүйүшкөн түгөйлөр: эркек, эркек, акжуумал, кара тору;акжуумал|жүрөк|кара тору|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏻‍❤️‍👨🏿;сүйүшкөн түгөйлөр: эркек, эркек, акжуумал, кара;акжуумал|жүрөк|кара|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏼‍❤️‍👨🏻;сүйүшкөн түгөйлөр: эркек, эркек, буудай жүздүү, акжуумал;акжуумал|буудай жүздүү|жүрөк|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏼‍❤️‍👨🏼;сүйүшкөн түгөйлөр: эркек, эркек, буудай жүздүү;буудай жүздүү|жүрөк|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏼‍❤️‍👨🏽;сүйүшкөн түгөйлөр: эркек, эркек, буудай жүздүү, орточо;буудай жүздүү|жүрөк|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏼‍❤️‍👨🏾;сүйүшкөн түгөйлөр: эркек, эркек, буудай жүздүү, кара тору;буудай жүздүү|жүрөк|кара тору|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏼‍❤️‍👨🏿;сүйүшкөн түгөйлөр: эркек, эркек, буудай жүздүү, кара;буудай жүздүү|жүрөк|кара|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏽‍❤️‍👨🏻;сүйүшкөн түгөйлөр: эркек, эркек, орточо, акжуумал;акжуумал|жүрөк|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏽‍❤️‍👨🏼;сүйүшкөн түгөйлөр: эркек, эркек, орточо, буудай жүздүү;буудай жүздүү|жүрөк|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏽‍❤️‍👨🏽;сүйүшкөн түгөйлөр: эркек, эркек, орточо;жүрөк|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏽‍❤️‍👨🏾;сүйүшкөн түгөйлөр: эркек, эркек, орточо, кара тору;жүрөк|кара тору|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏽‍❤️‍👨🏿;сүйүшкөн түгөйлөр: эркек, эркек, орточо, кара;жүрөк|кара|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏾‍❤️‍👨🏻;сүйүшкөн түгөйлөр: эркек, эркек, кара тору, акжуумал;акжуумал|жүрөк|кара тору|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏾‍❤️‍👨🏼;сүйүшкөн түгөйлөр: эркек, эркек, кара тору, буудай жүздүү;буудай жүздүү|жүрөк|кара тору|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏾‍❤️‍👨🏽;сүйүшкөн түгөйлөр: эркек, эркек, кара тору, орточо;жүрөк|кара тору|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏾‍❤️‍👨🏾;сүйүшкөн түгөйлөр: эркек, эркек, кара тору;жүрөк|кара тору|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏾‍❤️‍👨🏿;сүйүшкөн түгөйлөр: эркек, эркек, кара тору, кара;жүрөк|кара|кара тору|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏿‍❤️‍👨🏻;сүйүшкөн түгөйлөр: эркек, эркек, кара, акжуумал;акжуумал|жүрөк|кара|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏿‍❤️‍👨🏼;сүйүшкөн түгөйлөр: эркек, эркек, кара, буудай жүздүү;буудай жүздүү|жүрөк|кара|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏿‍❤️‍👨🏽;сүйүшкөн түгөйлөр: эркек, эркек, кара, орточо;жүрөк|кара|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏿‍❤️‍👨🏾;сүйүшкөн түгөйлөр: эркек, эркек, кара, кара тору;жүрөк|кара|кара тору|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
	👨🏿‍❤️‍👨🏿;сүйүшкөн түгөйлөр: эркек, эркек, кара;жүрөк|кара|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр|эркек
👩‍❤️‍👩;сүйүшкөн түгөйлөр: аял, аял;аял|жүрөк|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏻‍❤️‍👩🏻;сүйүшкөн түгөйлөр: аял, аял, акжуумал;акжуумал|аял|жүрөк|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏻‍❤️‍👩🏼;сүйүшкөн түгөйлөр: аял, аял, акжуумал, буудай жүздүү;акжуумал|аял|буудай жүздүү|жүрөк|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏻‍❤️‍👩🏽;сүйүшкөн түгөйлөр: аял, аял, акжуумал, орточо;акжуумал|аял|жүрөк|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏻‍❤️‍👩🏾;сүйүшкөн түгөйлөр: аял, аял, акжуумал, кара тору;акжуумал|аял|жүрөк|кара тору|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏻‍❤️‍👩🏿;сүйүшкөн түгөйлөр: аял, аял, акжуумал, кара;акжуумал|аял|жүрөк|кара|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏼‍❤️‍👩🏻;сүйүшкөн түгөйлөр: аял, аял, буудай жүздүү, акжуумал;акжуумал|аял|буудай жүздүү|жүрөк|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏼‍❤️‍👩🏼;сүйүшкөн түгөйлөр: аял, аял, буудай жүздүү;аял|буудай жүздүү|жүрөк|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏼‍❤️‍👩🏽;сүйүшкөн түгөйлөр: аял, аял, буудай жүздүү, орточо;аял|буудай жүздүү|жүрөк|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏼‍❤️‍👩🏾;сүйүшкөн түгөйлөр: аял, аял, буудай жүздүү, кара тору;аял|буудай жүздүү|жүрөк|кара тору|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏼‍❤️‍👩🏿;сүйүшкөн түгөйлөр: аял, аял, буудай жүздүү, кара;аял|буудай жүздүү|жүрөк|кара|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏽‍❤️‍👩🏻;сүйүшкөн түгөйлөр: аял, аял, орточо, акжуумал;акжуумал|аял|жүрөк|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏽‍❤️‍👩🏼;сүйүшкөн түгөйлөр: аял, аял, орточо, буудай жүздүү;аял|буудай жүздүү|жүрөк|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏽‍❤️‍👩🏽;сүйүшкөн түгөйлөр: аял, аял, орточо;аял|жүрөк|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏽‍❤️‍👩🏾;сүйүшкөн түгөйлөр: аял, аял, орточо, кара тору;аял|жүрөк|кара тору|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏽‍❤️‍👩🏿;сүйүшкөн түгөйлөр: аял, аял, орточо, кара;аял|жүрөк|кара|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏾‍❤️‍👩🏻;сүйүшкөн түгөйлөр: аял, аял, кара тору, акжуумал;акжуумал|аял|жүрөк|кара тору|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏾‍❤️‍👩🏼;сүйүшкөн түгөйлөр: аял, аял, кара тору, буудай жүздүү;аял|буудай жүздүү|жүрөк|кара тору|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏾‍❤️‍👩🏽;сүйүшкөн түгөйлөр: аял, аял, кара тору, орточо;аял|жүрөк|кара тору|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏾‍❤️‍👩🏾;сүйүшкөн түгөйлөр: аял, аял, кара тору;аял|жүрөк|кара тору|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏾‍❤️‍👩🏿;сүйүшкөн түгөйлөр: аял, аял, кара тору, кара;аял|жүрөк|кара|кара тору|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏿‍❤️‍👩🏻;сүйүшкөн түгөйлөр: аял, аял, кара, акжуумал;акжуумал|аял|жүрөк|кара|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏿‍❤️‍👩🏼;сүйүшкөн түгөйлөр: аял, аял, кара, буудай жүздүү;аял|буудай жүздүү|жүрөк|кара|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏿‍❤️‍👩🏽;сүйүшкөн түгөйлөр: аял, аял, кара, орточо;аял|жүрөк|кара|орточо|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏿‍❤️‍👩🏾;сүйүшкөн түгөйлөр: аял, аял, кара, кара тору;аял|жүрөк|кара|кара тору|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
	👩🏿‍❤️‍👩🏿;сүйүшкөн түгөйлөр: аял, аял, кара;аял|жүрөк|кара|романтика|сүйүү|сүйүшкөн түгөйлөр|түгөйлөр
👨‍👩‍👦;үй-бүлө: эркек, аял, бала;ата|аял|бала|үй-бүлө|эне|эркек
👨‍👩‍👧;үй-бүлө: эркек, аял, кыз;ата|аял|бала|кыз|үй-бүлө|эне|эркек
👨‍👩‍👧‍👦;үй-бүлө: эркек, аял, кыз, бала;ата|аял|бала|кыз|үй-бүлө|эне|эркек
👨‍👩‍👦‍👦;үй-бүлө: эркек, аял, бала, бала;ата|аял|бала|үй-бүлө|эне|эркек
👨‍👩‍👧‍👧;үй-бүлө: эркек, аял, кыз, кыз;ата|аял|бала|кыз|үй-бүлө|эне|эркек
👨‍👨‍👦;үй-бүлө: эркек, эркек, бала;ата|бала|үй-бүлө|эне|эркек
👨‍👨‍👧;үй-бүлө: эркек, эркек, кыз;ата|бала|кыз|үй-бүлө|эне|эркек
👨‍👨‍👧‍👦;үй-бүлө: эркек, эркек, кыз, бала;ата|бала|кыз|үй-бүлө|эне|эркек
👨‍👨‍👦‍👦;үй-бүлө: эркек, эркек, бала, бала;ата|бала|үй-бүлө|эне|эркек
👨‍👨‍👧‍👧;үй-бүлө: эркек, эркек, кыз, кыз;ата|бала|кыз|үй-бүлө|эне|эркек
👩‍👩‍👦;үй-бүлө: аял, аял, бала;ата|аял|бала|үй-бүлө|эне
👩‍👩‍👧;үй-бүлө: аял, аял, кыз;ата|аял|бала|кыз|үй-бүлө|эне
👩‍👩‍👧‍👦;үй-бүлө: аял, аял, кыз, бала;ата|аял|бала|кыз|үй-бүлө|эне
👩‍👩‍👦‍👦;үй-бүлө: аял, аял, бала, бала;ата|аял|бала|үй-бүлө|эне
👩‍👩‍👧‍👧;үй-бүлө: аял, аял, кыз, кыз;ата|аял|бала|кыз|үй-бүлө|эне
👨‍👦;үй-бүлө: эркек, бала;ата|бала|үй-бүлө|эне|эркек
👨‍👦‍👦;үй-бүлө: эркек, бала, бала;ата|бала|үй-бүлө|эне|эркек
👨‍👧;үй-бүлө: эркек, кыз;ата|бала|кыз|үй-бүлө|эне|эркек
👨‍👧‍👦;үй-бүлө: эркек, кыз, бала;ата|бала|кыз|үй-бүлө|эне|эркек
👨‍👧‍👧;үй-бүлө: эркек, кыз, кыз;ата|бала|кыз|үй-бүлө|эне|эркек
👩‍👦;үй-бүлө: аял, бала;ата|аял|бала|үй-бүлө|эне
👩‍👦‍👦;үй-бүлө: аял, бала, бала;ата|аял|бала|үй-бүлө|эне
👩‍👧;үй-бүлө: аял, кыз;ата|аял|бала|кыз|үй-бүлө|эне
👩‍👧‍👦;үй-бүлө: аял, кыз, бала;ата|аял|бала|кыз|үй-бүлө|эне
👩‍👧‍👧;үй-бүлө: аял, кыз, кыз;ата|аял|бала|кыз|үй-бүлө|эне
🗣️;сүйлөп жаткан баш;баш|бет|сөлөкөт|сүйлөө|сүйлөп жаткан баш
👤;бюст сөлөкөтү;бюст|бюст сөлөкөтү|сөлөкөт
👥;бюсттар сөлөкөтү;бюст|бюсттар сөлөкөтү|сөлөкөт
🫂;кучакташкан адамдар;жакшы кал|кучак|кучакташкан адамдар|рахмат|салам
👪;үй-бүлө;ата|бала|үй-бүлө|эне
🧑‍🧑‍🧒;үй-бүлө: чоң киши, чоң киши, бала;бала|үй-бүлө: чоң киши|үй-бүлө: чоң киши, чоң киши, бала|чоң киши
🧑‍🧑‍🧒‍🧒;үй-бүлө: чоң киши, чоң киши, бала, бала;бала|үй-бүлө: чоң киши|үй-бүлө: чоң киши, чоң киши, бала, бала|чоң киши
🧑‍🧒;үй-бүлө: чоң киши, бала;бала|үй-бүлө: чоң киши|үй-бүлө: чоң киши, бала
🧑‍🧒‍🧒;үй-бүлө: чоң киши, бала, бала;бала|үй-бүлө: чоң киши|үй-бүлө: чоң киши, бала, бала
👣;буттун изи;буттун изи|дене|из|кийим
🫆;манжа изи;детектив|жекелик|из|коопсуздук|кыйытма|кылмыш|манжа изи|соттук экспертиза|сүрөт|табышмак

[animals_nature]
🐵;маймылдын башы;баш|маймыл|маймылдын башы
🐒;маймыл;маймыл
🦍;горилла;горилла|жаныбар
🦧;орангутан;маймыл|орангутан
🐶;иттин башы;баш|ит|иттин башы
🐕;ит;ит|үй жаныбары
🦮;жардамчы ит;гид|жардамчы ит|мүмкүндүк|сокур
🐕‍🦺;кызматчы ит;атайын мүмкүндүк|жардам|ит|кызмат|кызматчы ит
🐩;пудель;ит|пудель
🐺;карышкырдын башы;баш|карышкыр|карышкырдын башы
🦊;түлкү;жаныбар|тумшук|түлкү
🦝;енот;енот|куу|шамдагай
🐱;мышыктын башы;баш|мышык|мышыктын башы
🐈;мышык;мышык|үй жаныбары
🐈‍⬛;кара мышык;кара мышык
🦁;арстандын башы;арстан|арстандын башы|баш|зодиак
🐯;жолборстун башы;баш|жолборс|жолборстун башы
🐅;жолборс;жолборс
🐆;илбирс;илбирс|леопард
🐴;аттын башы;ат|аттын башы|баш
🫎;багыш;багыш|жаныбар|мүйүздөр|сүт эмүүчү
🫏;эшек;жамбашы|жаныбар|качыр|көк бет|сүт эмүүчү|такай|эшек
🐎;ат;ат|ат чабыш|күлүк ат
🦄;мүйүздүү аттын башы;баш|мүйүздүү ат|мүйүздүү аттын башы
🦓;зебра;зебра|тилке
🦌;бугу;бугу|жаныбар
🦬;бизон;бизон
🐮;уйдун башы;баш|уй|уйдун башы
🐂;өгүз;бука|букачар|зодиак|өгүз
🐃;азия буйволу;азия буйволу|буйвол|суу
🐄;уй;уй
🐷;чочконун башы;баш|чочко|чочконун башы
🐖;чочко;чочко
🐗;каман;каман|чочко
🐽;чочконун мурду;бет|мурун|чочко|чочконун мурду
🐏;кочкор;зодиак|кой|кочкор
🐑;кой;кой|ургаачы
🐐;эчки;зодиак|текечер|эчки
🐪;төө;бир өркөчтүү|өркөч|төө
🐫;эки өркөчтүү төө;бактриан|өркөч|төө|эки өркөчтүү төө
🦙;лама;альпага|викуна|гуанако|жүн|лама
🦒;жираф;жираф|темгил
🐘;пил;пил
🦣;мамонт;мамонт
🦏;керик;жаныбар|керик
🦛;бегемот;бегемот
🐭;чычкандын башы;баш|чычкан|чычкандын башы
🐁;чычкан;чычкан
🐀;келемиш;келемиш
🐹;хомяктын башы;баш|хомяк|хомяктын башы
🐰;коёндун башы;баш|коёндун башы|коёнек
🐇;коён;коён|коёнек
🐿️;бурундук;бурундук
🦫;кемчет;кемчет
🦔;кирпи;ийнелүү|кирпи
🦇;жарганат;жарганат|кан соргуч
🐻;аюунун башы;аюу|аюунун башы|баш
🐻‍❄️;полярдык аюу;полярдык аюу
🐨;коала;аюу|коала
🐼;панданын башы;баш|панда|панданын башы
🦥;жалкоо айбан;жай|жалкоо|жалкоо айбан
🦦;кундуз;балык уулоо|кундуз|ойноктоп
🦨;скунс;сасык жыт|скунс
🦘;кенгуру;Австралия|кенгуру|кенгурунун баласы|секирүү|чөнтөгү бар жаныбар
🦡;кашкулак;бал жегич барсук|кашкулак|тажатма
🐾;жырткычтын изи;жырткычтын изи|из|шыйрак
🦃;үндүк;индюк|куш|үндүк
🐔;тоок;куш|тоок
🐓;короз;короз|корооз|куш
🐣;жумурткадан чыгып жаткан жөжө;бала|жөжө|жумурткадан чыгып жаткан жөжө
🐤;жөжө;бала|жөжө
🐥;бери карап турган жөжө;бала|бери карап турган жөжө|жөжө
🐦;чымчык;куш|чымчык
🐧;пингвин;куш|пингвин
🕊️;көгүчкөн;көгүчкөн|тынчтык|учуу|чымчык
🦅;бүркүт;бүркүт|канаттуу
🦆;өрдөк;канаттуу|өрдөк
🦢;ак куу;ак куу|ак куунун балапаны|ырайы суу балапан
🦉;үкү;акылмандуулук|канаттуу|үкү
🦤;додо;додо
🪶;бир тал канат;бир тал канат
🦩;фламинго;кооз|тропикалык|фламинго
🦚;тоос;куш|мактанчаак|мурдун көтөргөн|тоос|ургаачы тоос
🦜;тоту куш;каракчы|куш|сүйлөө|тоту куш
🪽;канат;авиация|канат|канаттуу|мифология|периштедей|учуу
🐦‍⬛;кара чымчык;кара|карга|чар карга|чымчык
🪿;каз;акылсыз|каз|каздын үнү|канаттуу|куш
🐦‍🔥;феникс;зымырык куш|кайра жаралуу|реинкарнация|феникс|фэнтези
🐸;баканын башы;бака|баканын башы|баш
🐊;крокодил;крокодил
🐢;ташбака;ташбака
🦎;кескелдирик;кескелдирик|рептилия
🐍;жылан;жылан|зодиак
🐲;ажыдаардын башы;ажыдаар|ажыдаардын башы|баш|жомок
🐉;ажыдаар;ажыдаар|жомок
🦕;заврапод;брахиозавр|бронтозавр|диплодок|заврапод
🦖;тираннозавр рекс;Ти-рекс|тираннозавр рекс
🐳;суу чачып жаткан кит;бет|кит|суу чачуу|суу чачып жаткан кит
🐋;кит;кит
🐬;дельфин;дельфин|ласт
🫍;косатка;деңиздик|кит|океан
🦭;тюлень;тюлень
🐟;балык;балык|зодиак
🐠;тропикалык балык;балык|тропикалык
🐡;үйлөнмө балык;балык|үйлөнмө балык
🦈;акула;акула|балык
🐙;сегиз бут;осьминог|сегиз бут
🐚;үлүл кабыгы;кабык|үлүл|үлүл кабыгы
🪸;коралл;коралл|океан|риф
🪼;медуза;деңиз|желе|күйүү|медуза|ой|омурткасыз|чагуу
🦀;бөйөн;бөйөн|зодиак
🦞;омар;деңиз тамак-ашы|кыпчуурлар|омар|омардан жасалган шорпо
🦐;креветка;деңиз азыктары|креветка|майда|тамак
🦑;кальмар;кальмар|моллюск|тамак
🦪;устрица;бермет|суу астында сүзүү|устрица
🐌;үлүл;үлүл
🦋;көпөлөк;көпөлөк|курт-кумурска|сулуулук
🐛;курт;курт|курт-кумурска
🐜;кумурска;кумурска|курт-кумурска
🐝;бал аары;аары|бал аары|курт-кумурска
🪲;коңуз;коңуз
🐞;эл кайда көчөт;коңуз|курт-кумурска|эл кайда көчөт
🦗;кара чегиртке;кара чегиртке|чегиртке
🪳;таракан;таракан
🕷️;жөргөмүш;жөргөмүш|курт-кумурска
🕸️;жөргөмүш желеси;желе|жөргөмүш|жөргөмүш желеси
🦂;чаян;зодиак|чаян
🦟;чиркей;безгек|вирус|курт-кумурска|малярия|оору|чиркей
🪰;чымын;чымын
🪱;мите;мите
🦠;микроб;амеба|бактерия|вирус|микроб
💐;гүлдесте;гүл|гүлдесте|өсүмдүк|романтика
🌸;чие гүлү;гүл|өсүмдүк|чие|чие гүлү
💮;ак гүл;ак гүл|гүл
🪷;лотос;буддизм|Вьетнам|гүл|Индия|индуизм|лотос|тазалык
🏵️;жапайы роза;жапайы роза|өсүмдүк
🌹;роза;гүл|өсүмдүк|роза
🥀;соолуган гүл;гүл|соолуган
🌺;гибискус;гибискус|гүл|өсүмдүк
🌻;күн карама;гүл|күн|күн карама|өсүмдүк
🌼;гүлдөө;гүл|гүлдөө|өсүмдүк
🌷;жоогазын;гүл|жоогазын|өсүмдүк
🪻;гиацинт;антирринум|гиацинт|гүл|көкө шляпа|лаванда|люпин
🌱;көчөт;жаш|көчөт|өсүмдүк
🪴;идиштеги өсүмдүк;идиштеги өсүмдүк
🌲;арча;арча|дарак
🌳;жалбырактуу дарак;дарак|жалбырактуу
🌴;пальма дарагы;дарак|пальма|пальма дарагы
🌵;кактус;кактус|өсүмдүк
🌾;бир боо күрүч;бир боо күрүч|күрүч|өсүмдүк
🌿;чөп;жалбырак|чөп
☘️;беде;беде|өсүмдүк
🍀;төрт жалбырактуу беде;4|беде|жалбырак|өсүмдүк|төрт|төрт жалбырактуу беде
🍁;клён жалбырагы;жалбырак|клён|клён жалбырагы|өсүмдүк|түшкөн
🍂;түшкөн жалбырак;жалбырак|өсүмдүк|түшкөн
🍃;шамалдан дирилдеген жалбырак;дирилде|жалбырак|өсүмдүк|шамал|шамалдан дирилдеген жалбырак
🪹;бош уя;бош уя|уялоо
🪺;ичинде жумурткалары бар уя;ичинде жумурткалары бар уя|ичинде жумутркалары бар уя|уялоо
🍄;козу карын;козу карын|өсүмдүк
🪾;жалбырагы жок дарак;бак|бош|далдар|дарак|жалбырагы жок|жыгач|кыш|өлүк

[food_drink]
🍇;жүзүм;жемиш|жүзүм|шингил
🍈;коон;жемиш|коон
🍉;дарбыз;дарбыз|жемиш
🍊;мандарин;жемиш|мандарин|цитрус
🍋;лимон;жемиш|лимон|цитрус
🍋‍🟩;жашыл лимон;жашыл лимон|жемиш|тропикалык|цитрус
🍌;банан;банан|жемиш
🍍;ананас;ананас|жемиш
🥭;манго;жемиш|манго|тропика
🍎;кызыл алма;алма|жемиш|кызыл
🍏;көк алма;алма|жемиш|көк
🍐;алмурут;алмурут|жемиш
🍑;шабдалы;жемиш|шабдалы
🍒;алча;алча|жемиш|кызыл|чие
🍓;кулпунай;кулпунай|мөмө|өсүмдүк
🫐;кара моюл;кара моюл
🥝;киви;киви|мөмө-жемиш|тамак
🍅;помидор;жашылча|өсүмдүк|помидор
🫒;зайтун;зайтун
🥥;кокос;кокос|пальма
🥑;авокадо;авокадо|мөмө-жемиш|тамак
🍆;баклажан;баклажан|жашылча|өсүмдүк
🥔;картөшкө;жашылча|картөшкө|тамак
🥕;сабиз;жашылча|сабиз|тамак
