# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kanohi pakiri;kanohi|pakiri
	⛹🏿‍♀️;wahine tāwhana pōro: kiri āhua parauri;kiri āhua parauri|pōro|wahine|wahine tāwhana pōro
🏋️;tangata hiki taumaha;kaihiki|tangata hiki taumaha|taumaha
	🏋🏻;tangata hiki taumaha: kiri āhua māmā;kaihiki|kiri āhua māmā|tangata hiki taumaha|taumaha
	🏋🏼;tangata hiki taumaha: kiri āhua māmā-waenga;kaihiki|kiri āhua māmā-waenga|tangata hiki taumaha|taumaha
	🏋🏽;tangata hiki taumaha: kiri āhua waenga;kaihiki|kiri āhua waenga|tangata hiki taumaha|taumaha
	🏋🏾;tangata hiki taumaha: kiri āhua waenga-parauri;kaihiki|kiri āhua waenga-parauri|tangata hiki taumaha|taumaha
	🏋🏿;tangata hiki taumaha: kiri āhua parauri;kaihiki|kiri āhua parauri|tangata hiki taumaha|taumaha
🏋️‍♂️;tāne hiki taumaha;kaihiki taumaha|tāne|tāne hiki taumaha
	🏋🏻‍♂️;tāne hiki taumaha: kiri āhua māmā;kaihiki taumaha|kiri āhua māmā|tāne|tāne hiki taumaha
	🏋🏼‍♂️;tāne hiki taumaha: kiri āhua māmā-waenga;kaihiki taumaha|kiri āhua māmā-waenga|tāne|tāne hiki taumaha
	🏋🏽‍♂️;tāne hiki taumaha: kiri āhua waenga;kaihiki taumaha|kiri āhua waenga|tāne|tāne hiki taumaha
	🏋🏾‍♂️;tāne hiki taumaha: kiri āhua waenga-parauri;kaihiki taumaha|kiri āhua waenga-parauri|tāne|tāne hiki taumaha
	🏋🏿‍♂️;tāne hiki taumaha: kiri āhua parauri;kaihiki taumaha|kiri āhua parauri|tāne|tāne hiki taumaha
🏋️‍♀️;wahine hiki taumaha;kaihiki taumaha|wahine|wahine hiki taumaha
	🏋🏻‍♀️;wahine hiki taumaha: kiri āhua māmā;kaihiki taumaha|kiri āhua māmā|wahine|wahine hiki taumaha
	🏋🏼‍♀️;wahine hiki taumaha: kiri āhua māmā-waenga;kaihiki taumaha|kiri āhua māmā-waenga|wahine|wahine hiki taumaha
	🏋🏽‍♀️;wahine hiki taumaha: kiri āhua waenga;kaihiki taumaha|kiri āhua waenga|wahine|wahine hiki taumaha
	🏋🏾‍♀️;wahine hiki taumaha: kiri āhua waenga-parauri;kaihiki taumaha|kiri āhua waenga-parauri|wahine|wahine hiki taumaha
	🏋🏿‍♀️;wahine hiki taumaha: kiri āhua parauri;kaihiki taumaha|kiri āhua parauri|wahine|wahine hiki taumaha
🚴;tangata eke pahikara;eke pahikara|kaieke pahikara|pahikara|tangata eke pahikara
	🚴🏻;tangata eke pahikara: kiri āhua māmā;eke pahikara|kaieke pahikara|kiri āhua māmā|pahikara|tangata eke pahikara
	🚴🏼;tangata eke pahikara: kiri āhua māmā-waenga;eke pahikara|kaieke pahikara|kiri āhua māmā-waenga|pahikara|tangata eke pahikara
	🚴🏽;tangata eke pahikara: kiri āhua waenga;eke pahikara|kaieke pahikara|kiri āhua waenga|pahikara|tangata eke pahikara
	🚴🏾;tangata eke pahikara: kiri āhua waenga-parauri;eke pahikara|kaieke pahikara|kiri āhua waenga-parauri|pahikara|tangata eke pahikara
	🚴🏿;tangata eke pahikara: kiri āhua parauri;eke pahikara|kaieke pahikara|kiri āhua parauri|pahikara|tangata eke pahikara
🚴‍♂️;tāne eke pahikara;eke pahikara|kaieke pahikara|pahikara|tāne|tāne eke pahikara
	🚴🏻‍♂️;tāne eke pahikara: kiri āhua māmā;eke pahikara|kaieke pahikara|kiri āhua māmā|pahikara|tāne|tāne eke pahikara
	🚴🏼‍♂️;tāne eke pahikara: kiri āhua māmā-waenga;eke pahikara|kaieke pahikara|kiri āhua māmā-waenga|pahikara|tāne|tāne eke pahikara
	🚴🏽‍♂️;tāne eke pahikara: kiri āhua waenga;eke pahikara|kaieke pahikara|kiri āhua waenga|pahikara|tāne|tāne eke pahikara
	🚴🏾‍♂️;tāne eke pahikara: kiri āhua waenga-parauri;eke pahikara|kaieke pahikara|kiri āhua waenga-parauri|pahikara|tāne|tāne eke pahikara
	🚴🏿‍♂️;tāne eke pahikara: kiri āhua parauri;eke pahikara|kaieke pahikara|kiri āhua parauri|pahikara|tāne|tāne eke pahikara
🚴‍♀️;wahine eke pahikara;eke pahikara|kaieke pahikara|pahikara|wahine|wahine eke pahikara
	🚴🏻‍♀️;wahine eke pahikara: kiri āhua māmā;eke pahikara|kaieke pahikara|kiri āhua māmā|pahikara|wahine|wahine eke pahikara
	🚴🏼‍♀️;wahine eke pahikara: kiri āhua māmā-waenga;eke pahikara|kaieke pahikara|kiri āhua māmā-waenga|pahikara|wahine|wahine eke pahikara
	🚴🏽‍♀️;wahine eke pahikara: kiri āhua waenga;eke pahikara|kaieke pahikara|kiri āhua waenga|pahikara|wahine|wahine eke pahikara
	🚴🏾‍♀️;wahine eke pahikara: kiri āhua waenga-parauri;eke pahikara|kaieke pahikara|kiri āhua waenga-parauri|pahikara|wahine|wahine eke pahikara
	🚴🏿‍♀️;wahine eke pahikara: kiri āhua parauri;eke pahikara|kaieke pahikara|kiri āhua parauri|pahikara|wahine|wahine eke pahikara
🚵;tangata eke pahikara maunga;kaieke pahikara|maunga|pahikara|tangata eke pahikara maunga
	🚵🏻;tangata eke pahikara maunga: kiri āhua māmā;kaieke pahikara|kiri āhua māmā|maunga|pahikara|tangata eke pahikara maunga
	🚵🏼;tangata eke pahikara maunga: kiri āhua māmā-waenga;kaieke pahikara|kiri āhua māmā-waenga|maunga|pahikara|tangata eke pahikara maunga
	🚵🏽;tangata eke pahikara maunga: kiri āhua waenga;kaieke pahikara|kiri āhua waenga|maunga|pahikara|tangata eke pahikara maunga
	🚵🏾;tangata eke pahikara maunga: kiri āhua waenga-parauri;kaieke pahikara|kiri āhua waenga-parauri|maunga|pahikara|tangata eke pahikara maunga
	🚵🏿;tangata eke pahikara maunga: kiri āhua parauri;kaieke pahikara|kiri āhua parauri|maunga|pahikara|tangata eke pahikara maunga
🚵‍♂️;tāne eke pahikara maunga;kaieke pahikara|maunga|pahikara|tāne|tāne eke pahikara maunga
	🚵🏻‍♂️;tāne eke pahikara maunga: kiri āhua māmā;kaieke pahikara|kiri āhua māmā|maunga|pahikara|tāne|tāne eke pahikara maunga
	🚵🏼‍♂️;tāne eke pahikara maunga: kiri āhua māmā-waenga;kaieke pahikara|kiri āhua māmā-waenga|maunga|pahikara|tāne|tāne eke pahikara maunga
	🚵🏽‍♂️;tāne eke pahikara maunga: kiri āhua waenga;kaieke pahikara|kiri āhua waenga|maunga|pahikara|tāne|tāne eke pahikara maunga
	🚵🏾‍♂️;tāne eke pahikara maunga: kiri āhua waenga-parauri;kaieke pahikara|kiri āhua waenga-parauri|maunga|pahikara|tāne|tāne eke pahikara maunga
	🚵🏿‍♂️;tāne eke pahikara maunga: kiri āhua parauri;kaieke pahikara|kiri āhua parauri|maunga|pahikara|tāne|tāne eke pahikara maunga
🚵‍♀️;wahine eke pahikara maunga;eke pahikara|kaieke pahikara|maunga|pahikara|wahine|wahine eke pahikara maunga
	🚵🏻‍♀️;wahine eke pahikara maunga: kiri āhua māmā;eke pahikara|kaieke pahikara|kiri āhua māmā|maunga|pahikara|wahine|wahine eke pahikara maunga
	🚵🏼‍♀️;wahine eke pahikara maunga: kiri āhua māmā-waenga;eke pahikara|kaieke pahikara|kiri āhua māmā-waenga|maunga|pahikara|wahine|wahine eke pahikara maunga
	🚵🏽‍♀️;wahine eke pahikara maunga: kiri āhua waenga;eke pahikara|kaieke pahikara|kiri āhua waenga|maunga|pahikara|wahine|wahine eke pahikara maunga
	🚵🏾‍♀️;wahine eke pahikara maunga: kiri āhua waenga-parauri;eke pahikara|kaieke pahikara|kiri āhua waenga-parauri|maunga|pahikara|wahine|wahine eke pahikara maunga
	🚵🏿‍♀️;wahine eke pahikara maunga: kiri āhua parauri;eke pahikara|kaieke pahikara|kiri āhua parauri|maunga|pahikara|wahine|wahine eke pahikara maunga
🤸;tangata kātawīra;kātawīra|takaporepore|tangata kātawīra
	🤸🏻;tangata kātawīra: kiri āhua māmā;kātawīra|kiri āhua māmā|takaporepore|tangata kātawīra
	🤸🏼;tangata kātawīra: kiri āhua māmā-waenga;kātawīra|kiri āhua māmā-waenga|takaporepore|tangata kātawīra
	🤸🏽;tangata kātawīra: kiri āhua waenga;kātawīra|kiri āhua waenga|takaporepore|tangata kātawīra
	🤸🏾;tangata kātawīra: kiri āhua waenga-parauri;kātawīra|kiri āhua waenga-parauri|takaporepore|tangata kātawīra
	🤸🏿;tangata kātawīra: kiri āhua parauri;kātawīra|kiri āhua parauri|takaporepore|tangata kātawīra
🤸‍♂️;tāne kātawīra;kātawīra|takaporepore|tāne
	🤸🏻‍♂️;tāne kātawīra: kiri āhua māmā;kātawīra|kiri āhua māmā|takaporepore|tāne
	🤸🏼‍♂️;tāne kātawīra: kiri āhua māmā-waenga;kātawīra|kiri āhua māmā-waenga|takaporepore|tāne
	🤸🏽‍♂️;tāne kātawīra: kiri āhua waenga;kātawīra|kiri āhua waenga|takaporepore|tāne
	🤸🏾‍♂️;tāne kātawīra: kiri āhua waenga-parauri;kātawīra|kiri āhua waenga-parauri|takaporepore|tāne
	🤸🏿‍♂️;tāne kātawīra: kiri āhua parauri;kātawīra|kiri āhua parauri|takaporepore|tāne
🤸‍♀️;wahine kātawīra;kātawīra|takaporepore|wahine
	🤸🏻‍♀️;wahine kātawīra: kiri āhua māmā;kātawīra|kiri āhua māmā|takaporepore|wahine
	🤸🏼‍♀️;wahine kātawīra: kiri āhua māmā-waenga;kātawīra|kiri āhua māmā-waenga|takaporepore|wahine
	🤸🏽‍♀️;wahine kātawīra: kiri āhua waenga;kātawīra|kiri āhua waenga|takaporepore|wahine
	🤸🏾‍♀️;wahine kātawīra: kiri āhua waenga-parauri;kātawīra|kiri āhua waenga-parauri|takaporepore|wahine
	🤸🏿‍♀️;wahine kātawīra: kiri āhua parauri;kātawīra|kiri āhua parauri|takaporepore|wahine
🤼;tāngata mamau;kaimamau|mamau|tāngata mamau
	🤼🏻;tāngata mamau: kiri āhua māmā;kaimamau|kiri āhua māmā|mamau|tāngata mamau
	🤼🏼;tāngata mamau: kiri āhua māmā-waenga;kaimamau|kiri āhua māmā-waenga|mamau|tāngata mamau
	🤼🏽;tāngata mamau: kiri āhua waenga;kaimamau|kiri āhua waenga|mamau|tāngata mamau
	🤼🏾;tāngata mamau: kiri āhua waenga-parauri;kaimamau|kiri āhua waenga-parauri|mamau|tāngata mamau
	🤼🏿;tāngata mamau: kiri āhua parauri;kaimamau|kiri āhua parauri|mamau|tāngata mamau
🤼‍♂️;tāne mamau;mamau|tāne
	🤼🏻‍♂️;tāne mamau: kiri āhua māmā;kiri āhua māmā|mamau|tāne
	🤼🏼‍♂️;tāne mamau: kiri āhua māmā-waenga;kiri āhua māmā-waenga|mamau|tāne
	🤼🏽‍♂️;tāne mamau: kiri āhua waenga;kiri āhua waenga|mamau|tāne
	🤼🏾‍♂️;tāne mamau: kiri āhua waenga-parauri;kiri āhua waenga-parauri|mamau|tāne
	🤼🏿‍♂️;tāne mamau: kiri āhua parauri;kiri āhua parauri|mamau|tāne
🤼‍♀️;wāhine mamau;mamau|wāhine
	🤼🏻‍♀️;wāhine mamau: kiri āhua māmā;kiri āhua māmā|mamau|wāhine
	🤼🏼‍♀️;wāhine mamau: kiri āhua māmā-waenga;kiri āhua māmā-waenga|mamau|wāhine
	🤼🏽‍♀️;wāhine mamau: kiri āhua waenga;kiri āhua waenga|mamau|wāhine
	🤼🏾‍♀️;wāhine mamau: kiri āhua waenga-parauri;kiri āhua waenga-parauri|mamau|wāhine
	🤼🏿‍♀️;wāhine mamau: kiri āhua parauri;kiri āhua parauri|mamau|wāhine
	🧑🏻‍🫯‍🧑🏼;tāngata mamau: kiri āhua māmā, kiri āhua māmā-waenga;kaimamau|kiri āhua māmā|kiri āhua māmā-waenga|mamau|tāngata mamau
	🧑🏻‍🫯‍🧑🏽;tāngata mamau: kiri āhua māmā, kiri āhua waenga;kaimamau|kiri āhua māmā|kiri āhua waenga|mamau|tāngata mamau
	🧑🏻‍🫯‍🧑🏾;tāngata mamau: kiri āhua māmā, kiri āhua waenga-parauri;kaimamau|kiri āhua māmā|kiri āhua waenga-parauri|mamau|tāngata mamau
	🧑🏻‍🫯‍🧑🏿;tāngata mamau: kiri āhua māmā, kiri āhua parauri;kaimamau|kiri āhua māmā|kiri āhua parauri|mamau|tāngata mamau
	🧑🏼‍🫯‍🧑🏻;tāngata mamau: kiri āhua māmā-waenga, kiri āhua māmā;kaimamau|kiri āhua māmā|kiri āhua māmā-waenga|mamau|tāngata mamau
	🧑🏼‍🫯‍🧑🏽;tāngata mamau: kiri āhua māmā-waenga, kiri āhua waenga;kaimamau|kiri āhua māmā-waenga|kiri āhua waenga|mamau|tāngata mamau
	🧑🏼‍🫯‍🧑🏾;tāngata mamau: kiri āhua māmā-waenga, kiri āhua waenga-parauri;kaimamau|kiri āhua māmā-waenga|kiri āhua waenga-parauri|mamau|tāngata mamau
	🧑🏼‍🫯‍🧑🏿;tāngata mamau: kiri āhua māmā-waenga, kiri āhua parauri;kaimamau|kiri āhua māmā-waenga|kiri āhua parauri|mamau|tāngata mamau
	🧑🏽‍🫯‍🧑🏻;tāngata mamau: kiri āhua waenga, kiri āhua māmā;kaimamau|kiri āhua māmā|kiri āhua waenga|mamau|tāngata mamau
	🧑🏽‍🫯‍🧑🏼;tāngata mamau: kiri āhua waenga, kiri āhua māmā-waenga;kaimamau|kiri āhua māmā-waenga|kiri āhua waenga|mamau|tāngata mamau
	🧑🏽‍🫯‍🧑🏾;tāngata mamau: kiri āhua waenga, kiri āhua waenga-parauri;kaimamau|kiri āhua waenga|kiri āhua waenga-parauri|mamau|tāngata mamau
	🧑🏽‍🫯‍🧑🏿;tāngata mamau: kiri āhua waenga, kiri āhua parauri;kaimamau|kiri āhua parauri|kiri āhua waenga|mamau|tāngata mamau
	🧑🏾‍🫯‍🧑🏻;tāngata mamau: kiri āhua waenga-parauri, kiri āhua māmā;kaimamau|kiri āhua māmā|kiri āhua waenga-parauri|mamau|tāngata mamau
	🧑🏾‍🫯‍🧑🏼;tāngata mamau: kiri āhua waenga-parauri, kiri āhua māmā-waenga;kaimamau|kiri āhua māmā-waenga|kiri āhua waenga-parauri|mamau|tāngata mamau
	🧑🏾‍🫯‍🧑🏽;tāngata mamau: kiri āhua waenga-parauri, kiri āhua waenga;kaimamau|kiri āhua waenga|kiri āhua waenga-parauri|mamau|tāngata mamau
	🧑🏾‍🫯‍🧑🏿;tāngata mamau: kiri āhua waenga-parauri, kiri āhua parauri;kaimamau|kiri āhua parauri|kiri āhua waenga-parauri|mamau|tāngata mamau
	🧑🏿‍🫯‍🧑🏻;tāngata mamau: kiri āhua parauri, kiri āhua māmā;kaimamau|kiri āhua māmā|kiri āhua parauri|mamau|tāngata mamau
	🧑🏿‍🫯‍🧑🏼;tāngata mamau: kiri āhua parauri, kiri āhua māmā-waenga;kaimamau|kiri āhua māmā-waenga|kiri āhua parauri|mamau|tāngata mamau
	🧑🏿‍🫯‍🧑🏽;tāngata mamau: kiri āhua parauri, kiri āhua waenga;kaimamau|kiri āhua parauri|kiri āhua waenga|mamau|tāngata mamau
	🧑🏿‍🫯‍🧑🏾;tāngata mamau: kiri āhua parauri, kiri āhua waenga-parauri;kaimamau|kiri āhua parauri|kiri āhua waenga-parauri|mamau|tāngata mamau
	👨🏻‍🫯‍👨🏼;tāne mamau: kiri āhua māmā, kiri āhua māmā-waenga;kiri āhua māmā|kiri āhua māmā-waenga|mamau|tāne
	👨🏻‍🫯‍👨🏽;tāne mamau: kiri āhua māmā, kiri āhua waenga;kiri āhua māmā|kiri āhua waenga|mamau|tāne
	👨🏻‍🫯‍👨🏾;tāne mamau: kiri āhua māmā, kiri āhua waenga-parauri;kiri āhua māmā|kiri āhua waenga-parauri|mamau|tāne
	👨🏻‍🫯‍👨🏿;tāne mamau: kiri āhua māmā, kiri āhua parauri;kiri āhua māmā|kiri āhua parauri|mamau|tāne
	👨🏼‍🫯‍👨🏻;tāne mamau: kiri āhua māmā-waenga, kiri āhua māmā;kiri āhua māmā|kiri āhua māmā-waenga|mamau|tāne
	👨🏼‍🫯‍👨🏽;tāne mamau: kiri āhua māmā-waenga, kiri āhua waenga;kiri āhua māmā-waenga|kiri āhua waenga|mamau|tāne
	👨🏼‍🫯‍👨🏾;tāne mamau: kiri āhua māmā-waenga, kiri āhua waenga-parauri;kiri āhua māmā-waenga|kiri āhua waenga-parauri|mamau|tāne
	👨🏼‍🫯‍👨🏿;tāne mamau: kiri āhua māmā-waenga, kiri āhua parauri;kiri āhua māmā-waenga|kiri āhua parauri|mamau|tāne
	👨🏽‍🫯‍👨🏻;tāne mamau: kiri āhua waenga, kiri āhua māmā;kiri āhua māmā|kiri āhua waenga|mamau|tāne
	👨🏽‍🫯‍👨🏼;tāne mamau: kiri āhua waenga, kiri āhua māmā-waenga;kiri āhua māmā-waenga|kiri āhua waenga|mamau|tāne
	👨🏽‍🫯‍👨🏾;tāne mamau: kiri āhua waenga, kiri āhua waenga-parauri;kiri āhua waenga|kiri āhua waenga-parauri|mamau|tāne
	👨🏽‍🫯‍👨🏿;tāne mamau: kiri āhua waenga, kiri āhua parauri;kiri āhua parauri|kiri āhua waenga|mamau|tāne
	👨🏾‍🫯‍👨🏻;tāne mamau: kiri āhua waenga-parauri, kiri āhua māmā;kiri āhua māmā|kiri āhua waenga-parauri|mamau|tāne
	👨🏾‍🫯‍👨🏼;tāne mamau: kiri āhua waenga-parauri, kiri āhua māmā-waenga;kiri āhua māmā-waenga|kiri āhua waenga-parauri|mamau|tāne
	👨🏾‍🫯‍👨🏽;tāne mamau: kiri āhua waenga-parauri, kiri āhua waenga;kiri āhua waenga|kiri āhua waenga-parauri|mamau|tāne
	👨🏾‍🫯‍👨🏿;tāne mamau: kiri āhua waenga-parauri, kiri āhua parauri;kiri āhua parauri|kiri āhua waenga-parauri|mamau|tāne
	👨🏿‍🫯‍👨🏻;tāne mamau: kiri āhua parauri, kiri āhua māmā;kiri āhua māmā|kiri āhua parauri|mamau|tāne
	👨🏿‍🫯‍👨🏼;tāne mamau: kiri āhua parauri, kiri āhua māmā-waenga;kiri āhua māmā-waenga|kiri āhua parauri|mamau|tāne
	👨🏿‍🫯‍👨🏽;tāne mamau: kiri āhua parauri, kiri āhua waenga;kiri āhua parauri|kiri āhua waenga|mamau|tāne
	👨🏿‍🫯‍👨🏾;tāne mamau: kiri āhua parauri, kiri āhua waenga-parauri;kiri āhua parauri|kiri āhua waenga-parauri|mamau|tāne
	👩🏻‍🫯‍👩🏼;wāhine mamau: kiri āhua māmā, kiri āhua māmā-waenga;kiri āhua māmā|kiri āhua māmā-waenga|mamau|wāhine
	👩🏻‍🫯‍👩🏽;wāhine mamau: kiri āhua māmā, kiri āhua waenga;kiri āhua māmā|kiri āhua waenga|mamau|wāhine
	👩🏻‍🫯‍👩🏾;wāhine mamau: kiri āhua māmā, kiri āhua waenga-parauri;kiri āhua māmā|kiri āhua waenga-parauri|mamau|wāhine
	👩🏻‍🫯‍👩🏿;wāhine mamau: kiri āhua māmā, kiri āhua parauri;kiri āhua māmā|kiri āhua parauri|mamau|wāhine
	👩🏼‍🫯‍👩🏻;wāhine mamau: kiri āhua māmā-waenga, kiri āhua māmā;kiri āhua māmā|kiri āhua māmā-waenga|mamau|wāhine
	👩🏼‍🫯‍👩🏽;wāhine mamau: kiri āhua māmā-waenga, kiri āhua waenga;kiri āhua māmā-waenga|kiri āhua waenga|mamau|wāhine
	👩🏼‍🫯‍👩🏾;wāhine mamau: kiri āhua māmā-waenga, kiri āhua waenga-parauri;kiri āhua māmā-waenga|kiri āhua waenga-parauri|mamau|wāhine
	👩🏼‍🫯‍👩🏿;wāhine mamau: kiri āhua māmā-waenga, kiri āhua parauri;kiri āhua māmā-waenga|kiri āhua parauri|mamau|wāhine
	👩🏽‍🫯‍👩🏻;wāhine mamau: kiri āhua waenga, kiri āhua māmā;kiri āhua māmā|kiri āhua waenga|mamau|wāhine
	👩🏽‍🫯‍👩🏼;wāhine mamau: kiri āhua waenga, kiri āhua māmā-waenga;kiri āhua māmā-waenga|kiri āhua waenga|mamau|wāhine
	👩🏽‍🫯‍👩🏾;wāhine mamau: kiri āhua waenga, kiri āhua waenga-parauri;kiri āhua waenga|kiri āhua waenga-parauri|mamau|wāhine
	👩🏽‍🫯‍👩🏿;wāhine mamau: kiri āhua waenga, kiri āhua parauri;kiri āhua parauri|kiri āhua waenga|mamau|wāhine
	👩🏾‍🫯‍👩🏻;wāhine mamau: kiri āhua waenga-parauri, kiri āhua māmā;kiri āhua māmā|kiri āhua waenga-parauri|mamau|wāhine
	👩🏾‍🫯‍👩🏼;wāhine mamau: kiri āhua waenga-parauri, kiri āhua māmā-waenga;kiri āhua māmā-waenga|kiri āhua waenga-parauri|mamau|wāhine
	👩🏾‍🫯‍👩🏽;wāhine mamau: kiri āhua waenga-parauri, kiri āhua waenga;kiri āhua waenga|kiri āhua waenga-parauri|mamau|wāhine
	👩🏾‍🫯‍👩🏿;wāhine mamau: kiri āhua waenga-parauri, kiri āhua parauri;kiri āhua parauri|kiri āhua waenga-parauri|mamau|wāhine
	👩🏿‍🫯‍👩🏻;wāhine mamau: kiri āhua parauri, kiri āhua māmā;kiri āhua māmā|kiri āhua parauri|mamau|wāhine
	👩🏿‍🫯‍👩🏼;wāhine mamau: kiri āhua parauri, kiri āhua māmā-waenga;kiri āhua māmā-waenga|kiri āhua parauri|mamau|wāhine
	👩🏿‍🫯‍👩🏽;wāhine mamau: kiri āhua parauri, kiri āhua waenga;kiri āhua parauri|kiri āhua waenga|mamau|wāhine
	👩🏿‍🫯‍👩🏾;wāhine mamau: kiri āhua parauri, kiri āhua waenga-parauri;kiri āhua parauri|kiri āhua waenga-parauri|mamau|wāhine
🤽;tangata tākaro poro wai;poro|tangata tākaro poro wai|wai
	🤽🏻;tangata tākaro poro wai: kiri āhua māmā;kiri āhua māmā|poro|tangata tākaro poro wai|wai
	🤽🏼;tangata tākaro poro wai: kiri āhua māmā-waenga;kiri āhua māmā-waenga|poro|tangata tākaro poro wai|wai
	🤽🏽;tangata tākaro poro wai: kiri āhua waenga;kiri āhua waenga|poro|tangata tākaro poro wai|wai
	🤽🏾;tangata tākaro poro wai: kiri āhua waenga-parauri;kiri āhua waenga-parauri|poro|tangata tākaro poro wai|wai
	🤽🏿;tangata tākaro poro wai: kiri āhua parauri;kiri āhua parauri|poro|tangata tākaro poro wai|wai
🤽‍♂️;tāne tākaro poro wai;poro wai|tāne|tāne tākaro poro wai
	🤽🏻‍♂️;tāne tākaro poro wai: kiri āhua māmā;kiri āhua māmā|poro wai|tāne|tāne tākaro poro wai
	🤽🏼‍♂️;tāne tākaro poro wai: kiri āhua māmā-waenga;kiri āhua māmā-waenga|poro wai|tāne|tāne tākaro poro wai
	🤽🏽‍♂️;tāne tākaro poro wai: kiri āhua waenga;kiri āhua waenga|poro wai|tāne|tāne tākaro poro wai
	🤽🏾‍♂️;tāne tākaro poro wai: kiri āhua waenga-parauri;kiri āhua waenga-parauri|poro wai|tāne|tāne tākaro poro wai
	🤽🏿‍♂️;tāne tākaro poro wai: kiri āhua parauri;kiri āhua parauri|poro wai|tāne|tāne tākaro poro wai
🤽‍♀️;wahine tākaro poro wai;poro wai|wahine|wahine tākaro poro wai
	🤽🏻‍♀️;wahine tākaro poro wai: kiri āhua māmā;kiri āhua māmā|poro wai|wahine|wahine tākaro poro wai
