[smileys_emotion]
😀;nasmijano lice;lice|nasmijano lice|smiješak|usta|zubi
🎗️;spomen-traka;podsjetnik|slavlje|spomen|spomen-traka|traka
🎟️;ulaznice;ulaz|ulaznica|ulaznice
🎫;ulaznica;ulaz|ulaznica
🎖️;vojno odličje;slavlje|vojno odličje|vojska
🏆;trofej;nagrada|trofej
🏅;sportska medalja;medalja|sportska medalja
🥇;zlatna medalja;medalja|prva|prvi|zlatna medalja|zlato
🥈;srebrna medalja;druga|drugi|medalja|srebrna medalja|srebro
🥉;brončana medalja;bronca|brončana medalja|medalja|treća|treći
⚽;nogometna lopta;lopta|nogomet|nogometna lopta
⚾;lopta za bejzbol;lopta|lopta za bejzbol
🥎;lopta za softball;lopta|lopta za softball|rukavica
🏀;košarkaška lopta;košarkaška lopta|lopta|skok
🏐;odbojkaška lopta;igra|lopta|odbojkaška lopta
🏈;američki nogomet;američki nogomet|amerika|lopta|nogomet
🏉;ragbi;lopta|ragbi
🎾;tenis;loptica|reket|tenis
🥏;frizbi;frizbi|ultimate frizbi
🎳;kuglanje;igra|kugla|kuglanje
🏏;kriket;igra|kriket|kugla|palica
🏑;hokej na travi;hokej|hokej na travi|lopta|palica|teren|trava
🏒;palica i pak za hokej na ledu;hokej|igra|led|pak|palica|palica i pak za hokej na ledu
🥍;lacrosse;gol|lacrosse|lopta|štap
🏓;stolni tenis;igra|loptica|ping pong|reket|stol|stolni tenis|tenis
🏸;badminton;badminton|igra|loptica|reket
🥊;boksačka rukavica;boks|boksačka rukavica|rukavica|sport
🥋;uniforma za borilačke vještine;borilačke vještine|borilački sportovi|džudo|karate|taekwondo|uniforma|uniforma za borilačke vještine
🥅;gol;gol|mreža|sport
⛳;zastavica u rupi;golf|rupa|zastavica u rupi
⛸️;klizaljka;klizaljka|led
🎣;ribički štap;riba|ribički štap|štap
🤿;maska za ronjenje;maska za ronjenje|ronjenje
🎽;majica za trčanje;majica|majica za trčanje|trčanje
🎿;skije;skijanje|skije|snijeg
🛷;sanjke;sanjkanje|sanjke|snijeg
🥌;kamen za karling;igra|kamen|kamen za karling
🎯;pogodak u sredinu;cilj|igra|meta|pogodak|pogodak u sredinu|sredina|strelica
🪀;jo-jo;igračka|jo-jo
🪁;papirnati zmaj;igračka|let|papirnati zmaj
🔫;pištolj na vodu;alat|oružje|pištolj|pištolj na vodu|revolver|ručni pištolj|voda
🎱;biljarske kugle;8|biljarske kugle|igra|kugla|osam
🔮;kristalna kugla;alat|kristal|kristalna kugla|kugla|sudbina
🪄;čarobni štapić;čarobni štapić|čarobnjak|magija|vještica
🎮;videoigrica;igra|kontroler|videoigrica
🕹️;igraća palica;igra|igraća palica|videoigra
🎰;jednoruki jack;automat|igra|jednoruki jack
🎲;igraća kocka;igra|igraća kocka|kocka
🧩;slagalica;dio slagalice|komadić|slagalica|trag
🧸;medvjedić;igračka|medvjedić|plišanac|plišani medvjedić
🪅;pinjata;pinjata|slavlje|zabava
🪩;disko kugla;disko|disko kugla|ples|šljokice|zabava
🪆;babuška;babuška|lutka|matrjoška|Rusija
♠️;pik;igra|karta|pik
♥️;herc;herc|igra|karta
♦️;karo;igra|karo|karta
♣️;tref;igra|karta|tref
♟️;šahovski pješak;pijun|potrošno|šah|šahovski pješak
🃏;džoker;džoker|igra|kartanje|karte
🀄;mahjong crveni zmaj;crveno|igra|mahjong|mahjong crveni zmaj
🎴;igraće karte s cvijećem;cvijeće|igra|igraće karte s cvijećem|japan|kartanje|karte
🎭;izvedbene umjetnosti;izvedba|izvedbene umjetnosti|kazalište|maska|umjetnost
🖼️;uokvirena slika;muzej|okvir|slika|slikarstvo|umjetnost|uokvirena slika
🎨;slikarska paleta;muzej|paleta|slikarska paleta|slikarstvo|umjetnost
🧵;konac;konac|šivaća igla|šivanje|uzica
🪡;šivaća igla;igla|krojenje|šavovi|šivaća igla|šivanje|vezenje
🧶;klupko vune;klupko vune|loptica|pletivo|vuna
🪢;čvor;čvor|ispreplesti|užad|uže|zapetljano|zapetljati

[objects]
👓;naočale;naočale|odjeća|oko
🕶️;sunčane naočale;naočale|oko|sunčane naočale|tamno
🥽;zaštitne naočale;naočale za plivanje|plivanje|varenje|zaštitne naočale
🥼;laboratorijska kuta;eksperiment|laboratorijska kuta|liječnik|znanstvenik
🦺;sigurnosni prsluk;hitni slučaj|prsluk|sigurnosni prsluk|sigurnost
👔;kravata;kravata|odjeća
👕;majica kratkih rukava;majica|majica kratkih rukava|odjeća
👖;traperice;hlače|odjeća|traperice
🧣;šal;šal|vrat
🧤;rukavice;ruka|rukavice
🧥;kaput;jakna|kaput
🧦;čarape;čarape|najlonke
👗;haljina;haljina|odjeća
👘;kimono;kimono|odjeća
🥻;sari;haljina|odjeća|sari
🩱;jednodijelni kupaći kostim;jednodijelni kupaći kostim|kupaći kostim
🩲;gaćice;donje rublje|gaćice|kupaći kostim
🩳;kratke hlače;donje rublje|hlače|hlačice za kupanje|kratke hlače
👙;bikini;bikini|odjeća|plivanje
👚;ženska odjeća;odjeća|žene|ženska odjeća
🪭;sklopiva lepeza;hlađenje|lepeza|lepršanje|ples|sklopiva lepeza|sramežljivo|vruće
👛;novčanik;novčanik|odjeća|sitan novac
👜;ručna torbica;odjeća|ručna torbica|torba
👝;torbica;odjeća|torba|torbica
🛍️;vrećice za kupovinu;kupovanje|shopping|vrećica|vrećice za kupovinu
🎒;školski ruksak;škola|školski ruksak|torba
🩴;japanka;japanka|japanke|obuća za plažu|sandale|sandale za plažu|zōri
👞;muška cipela;cipela|muška cipela|muškarci|obuća
👟;tenisica;cipela|obuća|sport|tenisica
🥾;gojzerica;čizma|gojzerica|kampiranje|obuća za planinarenje|planinarenje
🥿;balerinka;balerinka|cipela s ravnim đonom|papuča
👠;cipela s visokom potpeticom;cipela|cipela s visokom potpeticom|obuća|potpetica|žene
👡;ženska sandala;cipela|obuća|sandala|žene|ženska sandala
🩰;baletne papučice;balet|baletne papučice|ples
👢;ženska čizma;cipela|čizma|obuća|žene|ženska čizma
🪮;češljić;afrički|češalj|češljić|kosa
👑;kruna;kralj|kraljica|kruna|odjeća
👒;ženski šešir;odjeća|šešir|žene|ženski šešir
🎩;cilindar;cilindar|odjeća|šešir
🎓;maturalna kapa;diploma|kapa|kićanka|matura|maturalna kapa|odjeća|slavlje
🧢;šilterica;kapa sa šiltom|šilterica
🪖;vojni šljem;ratnik|šljem|vojni|vojnik|vojska
⛑️;šljem s bijelim križem;kaciga|križ|lice|pomoć|šljem|šljem s bijelim križem
📿;brojanica;brojanica|molitva|odjeća|ogrlica|perlice|religija
💄;ruž za usne;kozmetika|ruž za usne|šminka
💍;prsten;dijamant|prsten|romantika
💎;dragulj;dijamant|dragi kamen|dragulj|romantika
🔇;isključen zvučnik;glasnoća|isključen zvučnik|isključen zvuk|utišano|zvučnik
🔈;stišan zvučnik;stišan zvučnik|tiho
🔉;srednje glasan zvučnik;srednja glasnoća|srednje glasan zvučnik
🔊;glasan zvučnik;glasan zvučnik|glasno
📢;razglas;glasno|obraćanje javnosti|razglas
📣;megafon;megafon|navijanje
📯;poštanski rog;pošta|poštanski rog|rog
🔔;zvono;zvono
🔕;prekriženo zvono;isključen zvuk|prekriženo zvono|tišina|zabranjeno|zvono
🎼;notno crtovlje;crtovlje|glazba|notno crtovlje
🎵;glazbena nota;glazba|glazbena nota|nota
🎶;glazbene note;glazba|glazbene note|nota|note
🎙️;studijski mikrofon;glazba|mikrofon|studijski mikrofon|studio
🎚️;kliznik za podešavanje;glazba|klizač|kliznik za podešavanje|razina
🎛️;kontrolni gumbi;glazba|gumbi|kontrola|kontrolni gumbi
🎤;mikrofon;karaoke|mikrofon
🎧;slušalice;slušalica|slušalice
📻;radio;radio
🎷;saksofon;glazba|instrument|saks|saksofon
🪗;harmonika;harmonika|instrument|mala harmonika|ručna harmonika
🎸;gitara;gitara|glazba|instrument
🎹;klavijatura;glazba|instrument|klavijatura|klavir
🎺;truba;glazba|instrument|truba
🎻;violina;glazba|instrument|violina
🪕;bendžo;bendžo|glazba|žičani instrument
🥁;bubanj;bubanj|glazba|palice
🪘;visoki bubanj;bubanj|konga|ritam|udarac|visoki bubanj
🪇;marakasi;glazba|instrument|marakasi|tresti|udaraljke|zvečka
🪈;flauta;blok flauta|flauta|frula|glazba|puhački instrument
📱;mobilni telefon;mobilni telefon|mobitel|telefon
📲;mobilni telefon sa strelicom;dolazni poziv|mobilni telefon|mobilni telefon sa strelicom|mobitel|strelica|telefon
☎️;telefon;telefon
📞;telefonska slušalica;slušalica|telefon|telefonska slušalica
📟;dojavljivač;dojavljivač|pager
📠;faks;faks|telefaks
🔋;baterija;baterija
🪫;baterija s niskom razinom napunjenosti;baterija s niskom razinom napunjenosti|elektronika|niska razina napunjenosti
🔌;strujni utikač;struja|strujni utikač|utikač
💻;prijenosno računalo;osobno računalo|pc|prijenosno računalo|računalo
🖥️;stolno računalo;računalo|stolno računalo
🖨️;pisač;pisač|računalo
⌨️;tipkovnica;računalo|tipkovnica
🖱️;računalni miš;miš|računalni miš|računalo
🖲️;upravljačka kuglica;računalo|upravljačka kuglica
💽;minidisk;disk|minidisk|optički|računalo
💾;disketa;disk|disketa|računalo
💿;optički disk;cd|disk|optički|računalo
📀;dvd;blu-ray|disk|dvd|optički|računalo
🧮;abakus;abakus|računanje
🎥;filmska kamera;film|filmska kamera|kamera|kino
🎞️;filmska vrpca;film|filmska vrpca|kadrovi|kino
📽️;filmski projektor;film|filmski projektor|kino|projektor|video
🎬;klapa;film|klapa
📺;televizor;televizor|tv|video
📷;fotoaparat;fotoaparat|video
📸;fotoaparat s bljeskalicom;bljeskalica|fotoaparat|fotoaparat s bljeskalicom|video
📹;videokamera;kamera|video|videokamera
📼;videokaseta;vhs|video|videokaseta|vrpca
🔍;povećalo nagnuto ulijevo;alat|povećalo|povećalo nagnuto ulijevo|staklo|traženje
🔎;povećalo nagnuto udesno;alat|povećalo|povećalo nagnuto udesno|staklo|traženje
🕯️;svijeća;svijeća|svjetlo
💡;žarulja;ideja|struja|svjetlo|žarulja
🔦;ručna svjetiljka;alat|lampa|ručna svjetiljka|struja|svjetlo
🏮;crveni lampion;bar|crveni lampion|crveni papirnati lampion|crveno|lampion|svjetlo
🪔;diya lampa;diya|lampa|ulje
📔;bilježnica s ukrasnim omotom;bilježnica|bilježnica s ukrasnim omotom|knjiga|omot|ukras
📕;zatvorena knjiga;knjiga|zatvorena knjiga|zatvoreno
📖;otvorena knjiga;knjiga|otvorena knjiga|otvoreno
📗;zelena knjiga;knjiga|zelena knjiga|zeleno
📘;plava knjiga;knjiga|plava knjiga|plavo
📙;narančasta knjiga;knjiga|narančasta knjiga|narančasto
📚;knjige;knjiga|knjige
📓;bilježnica;bilježnica
📒;računovodstvena knjiga;bilježnica|računovodstvena knjiga
📃;savinuta stranica;dokument|savinuta stranica|savinuto|stranica
📜;svitak;papir|svitak
📄;stranica okrenuta prema gore;dokument|stranica|stranica okrenuta prema gore
📰;novine;novine|papir|vijesti
🗞️;zarolane novine;novine|papir|presavinuto|vijesti|zarolane novine
📑;kartice knjižnih oznaka;jezičak|kartice knjižnih oznaka|knjižna oznaka|marker|oznaka
🔖;knjižna oznaka;knjižna oznaka|oznaka
🏷️;oznaka;oznaka
💰;vreća s novcem;dolar|novac|vreća|vreća s novcem
🪙;kovanica;blago|kovanica|metal|novac|srebro|zlato
💴;novčanica sa znakom jena;banka|jen|novac|novčanica|novčanica sa znakom jena|valuta
💵;novčanica sa znakom dolara;banka|dolar|novac|novčanica|novčanica sa znakom dolara|valuta
💶;novčanica sa znakom eura;banka|euro|novac|novčanica|novčanica sa znakom eura|valuta
💷;novčanica sa znakom funte;banka|funta|novac|novčanica|novčanica sa znakom funte|valuta
💸;novac s krilima;krila|letjeti|novac|novac s krilima|novčanica
💳;kreditna kartica;kartica|kredit|kreditna kartica|novac
🧾;račun;dokaz|dokaz o kupnji|račun|računovodstvo
💹;grafikon rastućeg trenda sa znakom jena;grafikon|grafikon rastućeg trenda sa znakom jena|jen|novac|rast|trend|valuta
✉️;omotnica;e-pošta|omotnica|pismo
📧;e-pošta;e-pošta|pismo|pošta
📨;omotnica dolazne pošte;dolazno|e-pošta|omotnica|omotnica dolazne pošte|pismo|primanje
📩;omotnica sa strelicom;e-pošta|odlazno|omotnica sa strelicom|slanje|strelica
📤;ladica odlazne pošte;ladica|ladica izlazne pošte|ladica odlazne pošte|odlazna pošta|pismo|pošta|slanje
📥;ladica dolazne pošte;dolazna pošta|ladica|ladica dolazne pošte|pismo|pošta|primanje
📦;paket;kutija|paket|pošiljka
📫;zatvoreni sandučić s podignutom zastavicom;pošta|sandučić|zatvoreni poštanski sandučić s podignutom zastavicom|zatvoreni sandučić s podignutom zastavicom|zatvoreno
📪;zatvoreni sandučić sa spuštenom zastavicom;pošta|sandučić|spušteno|zatvoreni poštanski sandučić sa spuštenom zastavicom|zatvoreni sandučić sa spuštenom zastavicom|zatvoreno
📬;otvoreni sandučić s podignutom zastavicom;otvoreni poštanski sandučić s podignutom zastavicom|otvoreni sandučić s podignutom zastavicom|otvoreno|pošta|sandučić
📭;otvoreni sandučić sa spuštenom zastavicom;otvoreni poštanski sandučić sa spuštenom zastavicom|otvoreni sandučić sa spuštenom zastavicom|otvoreno|pošta|sandučić|spušteno
📮;poštanski sandučić;pošta|poštanski sandučić|sandučić
🗳️;glasačka kutija s glasačkim listićem;glasačka kutija s glasačkim listićem|glasanje|kutija
✏️;olovka;olovka
✒️;crno pero;crno pero|pero|tinta
🖋️;nalivpero;nalivpero|pero
🖊️;penkala;penkala
🖌️;kist;kist|slikanje
🖍️;bojica;bojica
📝;bilješka;bilješka|olovka
💼;aktovka;aktovka
📁;mapa;mapa
📂;otvorena mapa;mapa|otvorena mapa|otvoreno
🗂️;razdjelnici;indeks|pregradni karton|razdjelnici
📅;kalendar;datum|kalendar
📆;kalendar na trganje;kalendar|kalendar na trganje
🗒️;spiralni notes;bilješka|blok|spirala|spiralni notes
🗓️;spiralni kalendar;blok|kalendar|spirala|spiralni kalendar
📇;kartoteka;indeks|kartice|kartoteka|rolodex
📈;grafikon uzlaznog trenda;grafikon|grafikon uzlaznog trenda|rast|uzlazni trend
📉;grafikon silaznog trenda;grafikon|grafikon silaznog trenda|pad|silazni trend
📊;trakasti grafikon;grafikon|traka|trakasti grafikon
📋;držač spisa;držač spisa
📌;pribadača;pribadača
📍;zaobljena pribadača;čavlić|pribadača|zaobljena pribadača
📎;spajalica;spajalica
🖇️;spojene spajalice;spajalica|spojene spajalice|veza
📏;ravnalo;ravnalo|ravno
📐;trokut;ravnalo|trokut
✂️;škare;alat|škare
🗃️;kartotečna kutija;datoteka|kartica|kartotečna kutija|kutija
🗄️;kartotečni ladičar;datoteka|kartotečni ladičar|ladičar
🗑️;koš za smeće;koš za smeće
🔒;zaključano;zaključano|zatvoreno
🔓;otključano;lokot|otključano|otvoreno
🔏;zatvoreni lokot s nalivperom;lokot|pero|privatnost|tinta|zatvoreni lokot s nalivperom
🔐;zatvoreni lokot s ključem;ključ|lokot|sigurno|zatvoreni lokot s ključem|zatvoreno
🔑;ključ;ključ|lokot|zaporka
🗝️;starinski ključ;brava|ključ|starina|starinski ključ|znak
🔨;čekić;alat|čekić
🪓;sjekira;alat|drvo|sjeći|sjekira
⛏️;pijuk;alat|pijuk|rudarstvo
⚒️;čekić i pijuk;alat|čekić|čekić i pijuk|pijuk
🛠️;čekić i francuski ključ;alat|čekić|čekić i francuski ključ|francuski ključ
🗡️;bodež;bodež|nož|oružje
⚔️;prekriženi mačevi;mačevi|oružje|prekriženi mačevi|prekriženo
💣;bomba;bomba|eksplozija|karikatura|uskoro
🪃;bumerang;Australija|bumerang|posljedica|vraćanje
🏹;luk i strijela;alat|luk|luk i strijela|oružje|strijela|strijelac|zodijak
🛡️;štit;oružje|štit
🪚;ručna pila;alat|drvo|pila|ručna pila|stolar
🔧;francuski ključ;alat|francuski ključ
🪛;odvijač;alat|odvijač|vijak
🔩;vijak i matica;alat|matica|vijak|vijak i matica
⚙️;zupčanik;alat|zupčanik
🗜️;škrip;alat|škrip|stezač
⚖️;vaga;alat|pravda|uteg|vaga|zodijak
🦯;bijeli štap;bijeli štap|pomagalo|sljepoća
🔗;karika;karika|veza
⛓️‍💥;slomljeni lanac;lanac|lomljenje|okov|sloboda|slomiti|slomljeni lanac
⛓️;lanci;lanac|lanci
🪝;udica;kuka|prodajno mjesto|udica|uhvatiti|uloviti|zakrivljeno
🧰;kutija za alat;alat|kutija|kutija za alat|mehaničar
🧲;magnet;magnet|magnetizam|potkova|privlačenje
🪜;ljestve;ljestve|penjanje|prečka|stuba
⚗️;retorta;alat|kemija|retorta
🧪;epruveta;eksperiment|epruveta|kemičar|kemija|laboratorij|znanost
🧫;petrijeva zdjelica;bakterije|biolog|biologija|kultura|laboratorij|petrijeva zdjelica
🧬;dnk;biologija|dnk|evolucija|genetika|geni|život
🔬;mikroskop;alat|mikroskop
🔭;teleskop;alat|teleskop
📡;satelitska antena;antena|satelit|satelitska antena|tanjur
💉;šprica;bolest|igla|injekcija|medicina|šprica
🩸;kap krvi;doniranje krvi|kap krvi|medicina|menstruacija
💊;pilula;bolest|doktor|medicina|pilula
🩹;flaster;flaster|samoljepivi flaster
🩼;štaka;invaliditet|ozljeda|pomagalo za kretanje|štaka|štap
🩺;stetoskop;liječnik|medicina|srce|stetoskop
🩻;rendgenska snimka;kosti|kostur|liječnik|medicina|rendgenska snimka
🚪;vrata;vrata
🛗;dizalo;dizalo|dizanje|lift|pristupačnost
🪞;zrcalo;odraz|ogledalo|zrcalo
🪟;prozor;okvir|otvaranje|pogled|prozirno|prozor|svjež zrak
🛏️;krevet;hotel|krevet|spavanje
🛋️;kauč i svjetiljka;hotel|kauč|kauč i svjetiljka|svjetiljka
🪑;stolica;sjediti|sjesti|stolica
🚽;WC školjka;kupaonica|toalet|WC školjka
🪠;odčepljivač;odčepljivač|odčepljivanje|vakuum|vodoinstalater|WC
🚿;tuš;tuš|voda
🛁;kada;kada|kupanje
🪤;mišolovka;klopka|mamac|mišolovka|uhvatiti|zamka
🪒;britva;brijanje|britva|oštro
🧴;bočica losiona;bočica losiona|krema za sunčanje|losion|losion za tijelo|šampon
🧷;sigurnica;pelena|punk rock|sigurnica|ziherica
🧹;metla;čišćenje|metenje|metla|vještica
🧺;košara;domaćinstvo|košara|piknik|rublje
🧻;rola papira;papirnati ručnici|rola papira|toaletni papir
🪣;kanta;bačva|kabao|kanta|vjedro
🧼;sapun;kupanje|pjena|pranje|sapun|sapunica
🫧;mjehurići;čisto|mjehurić|mjehurići|pod vodom|sapun
🪥;četkica za zube;četkanje|četkica za zube|čisto|dentalna|higijena|kupaonica|zubi
🧽;spužva;čišćenje|porozno|pranje|spužva|upijanje
🧯;vatrogasni aparat;gašenje vatre|požar|vatrogasni aparat
🛒;kolica za kupnju;kolica|kolica za kupnju|kupnja|kupovanje
🚬;cigareta;cigareta|pušenje
⚰️;lijes;lijes|smrt
🪦;nadgrobni spomenik;grob|groblje|nadgrobni spomenik
⚱️;urna;pogreb|smrt|urna
🧿;nazar perlica;nazar|perlica|plavo oko|talisman|tursko oko|zlo oko
🪬;hamsa;amajlija|Fatima|hamsa|Marija|Mirjam|ruka|zaštita
🗿;moai;kipovi|lice|moai|rapa nui
🪧;transparent;demonstracije|prosvjed|protest|transparent|znak
🪪;osobna iskaznica;dozvola|osobna|osobna iskaznica|sigurnost|vjerodajnice

[symbols]
🏧;znak za bankomat;bankomat|znak za bankomat
🚮;znak za koš za smeće;koš za smeće|otpad|smeće|znak za koš za smeće
🚰;pitka voda;piće|pitka|voda
♿;invalidska kolica;invalidska kolica|pristup
🚹;muški toalet;muški|toalet|zahod
🚺;ženski toalet;toalet|zahod|ženski
🚻;toalet;toalet|zahod
🚼;simbol bebe;beba|presvlačenje|simbol bebe
🚾;nužnik;nužnik|toalet|wc|zahod
🛂;kontrola putovnica;kontrola|putovnica
🛃;carina;carina
🛄;preuzimanje prtljage;preuzimanje|preuzimanje prtljage|prtljaga
🛅;odlaganje prtljage;odlaganje|odlaganje prtljage|ormarići|prtljaga
⚠️;upozorenje;upozorenje
🚸;pješački prijelaz za djecu;dijete|pješački prijelaz za djecu|pješak|prijelaz|promet
⛔;zabrana ulaza;ne|promet|ulaz|zabrana ulaza|zabranjeno
🚫;zabranjeno;ne|nema|ulaz|zabranjeno
🚳;zabranjeno za bicikle;bicikl|ne|promet|vozilo|zabranjeno|zabranjeno za bicikle
🚭;zabranjeno pušenje;ne|nema|pušenje|zabranjeno
🚯;zabranjeno bacanje otpadaka;ne|nema|otpaci|zabranjeno|zabranjeno bacanje otpadaka
🚱;voda nije za piće;ne|nije pitko|voda|voda nije za piće|zabranjeno
🚷;zabranjeno za pješake;ne|pješak|promet|zabranjeno|zabranjeno za pješake
📵;zabranjena uporaba mobilnih telefona;mobitel|ne|telefon|zabranjena uporaba mobilnih telefona|zabranjena upotreba mobilnih telefona|zabranjeno
🔞;zabranjeno za mlađe od osamnaest;18|dobno ograničenje|maloljetnici|ne|osamnaest|zabranjeno|zabranjeno za mlađe od osamnaest
☢️;radioaktivnost;radioaktivno|radioaktivnost
☣️;biološka opasnost;biološka opasnost|biološki opasno
⬆️;strelica prema gore;sjever|smjer|strelica|strelica prema gore
↗️;strelica prema gore-desno;sjeveroistok|smjer|strelica|strelica prema gore-desno
➡️;strelica prema desno;istok|smjer|strelica|strelica prema desno
↘️;strelica prema dolje-desno;jugoistok|smjer|strelica|strelica prema dolje-desno
⬇️;strelica prema dolje;jug|smjer|strelica|strelica prema dolje
↙️;strelica prema dolje-lijevo;jugozapad|smjer|strelica|strelica prema dolje-lijevo
⬅️;strelica prema lijevo;smjer|strelica|strelica prema lijevo|zapad
↖️;strelica prema gore-lijevo;sjeverozapad|smjer|strelica|strelica prema gore-lijevo
↕️;strelica gore-dolje;strelica|strelica gore-dolje
↔️;strelica lijevo-desno;strelica|strelica lijevo-desno
↩️;desna strelica koja se zakrivljuje ulijevo;desna strelica koja se zakrivljuje ulijevo|strelica
↪️;lijeva strelica koja se zakrivljuje udesno;lijeva strelica koja se zakrivljuje udesno|strelica
⤴️;desna strelica koja se zakrivljuje prema gore;desna strelica koja se zakrivljuje prema gore|strelica
⤵️;desna strelica koja se zakrivljuje prema dolje;desna strelica koja se zakrivljuje prema dolje|strelica
🔃;okomite strelice u smjeru kazaljki na satu;okomite strelice u smjeru kazaljki na satu|ponovno učitavanje|smjer kazaljki na satu|strelica
🔄;tipka sa strelicama ulijevo;strelica|suprotno od kazaljki na satu|tipka sa strelicama ulijevo
🔙;strelica s natpisom &quot;back&quot;;natrag|strelica|strelica s natpisom &quot;back&quot;
🔚;strelica s natpisom &quot;end&quot;;kraj|strelica|strelica s natpisom &quot;end&quot;
🔛;strelica s natpisom &quot;on!&quot;;oznaka|strelica|strelica s natpisom &quot;on!&quot;|uključeno
🔜;strelica s natpisom &quot;soon&quot;;strelica|strelica s natpisom &quot;soon&quot;|uskoro
🔝;strelica s natpisom &quot;top&quot;;gore|strelica|strelica s natpisom &quot;top&quot;|vrh
🛐;mjesto za bogoslužje;bogoslužje|mjesto za bogoslužje|religija
⚛️;simbol atoma;ateizam|atom|simbol atoma
🕉️;om;hinduizam|om|religija
✡️;davidova zvijezda;David|davidova zvijezda|religija|židovstvo|zvijezda
☸️;kotač dharme;budizam|dharma|kotač|kotač dharme|religija
☯️;jin i jang;jang|jin|jin i jang|religija|taoizam
✝️;latinski križ;križ|kršćanstvo|latinski križ|religija
☦️;pravoslavni križ;križ|kršćanstvo|pravoslavni križ|religija
☪️;zvijezda i polumjesec;islam|religija|zvijezda i polumjesec
☮️;simbol mira;mir|simbol mira
🕎;menora;menora|religija|svijećnjak
🔯;šesterokraka zvijezda s točkom;šesterokraka zvijezda s točkom|sreća|zvijezda
🪯;khanda;khanda|religija|Sikhi
♈;astrološki znak ovna;astrološki znak ovna|ovan|zodijak
♉;astrološki znak bika;astrološki znak bika|bik|zodijak
♊;astrološki znak blizanaca;astrološki znak blizanaca|blizanci|zodijak
♋;astrološki znak raka;astrološki znak raka|rak|zodijak
♌;astrološki znak lava;astrološki znak lava|lav|zodijak
♍;astrološki znak djevice;astrološki znak djevice|djevica|zodijak
♎;astrološki znak vage;astrološki znak vage|vaga|zodijak
♏;astrološki znak škorpiona;astrološki znak škorpiona|škorpion|zodijak
♐;astrološki znak strijelca;astrološki znak strijelca|strijelac|zodijak
♑;astrološki znak jarca;astrološki znak jarca|jarac|zodijak
♒;astrološki znak vodenjaka;astrološki znak vodenjaka|vodenjak|zodijak
♓;astrološki znak riba;astrološki znak riba|ribe|zodijak
⛎;astrološki znak zmijonosca;astrološki znak zmijonosca|zmija|zmijonosac|zodijak
🔀;tipka za nasumičnu reprodukciju pjesama;prekriženo|strelica|tipka za nasumičnu reprodukciju pjesama
🔁;tipka za ponavljanje;ponavljanje|strelica|tipka za ponavljanje|u smjeru kazaljki na satu
🔂;tipka za ponavljanje jedne pjesme;jedanput|strelica|tipka za ponavljanje jedne pjesme|u smjeru kazaljki na satu
▶️;tipka za reprodukciju;desno|reprodukcija|strelica|tipka za reprodukciju|trokut
⏩;tipka za pretraživanje unaprijed;dvostruko brzo|premotavanje|strelica|tipka za pretraživanje unaprijed|unaprijed
⏭️;tipka za sljedeću pjesmu;sljedeća pjesma|sljedeći prizor|strelica|tipka za sljedeću pjesmu|trokut
⏯️;tipka za reprodukciju ili pauzu;desno|pauza|reprodukcija|strelica|tipka za reprodukciju ili pauzu|trokut
◀️;tipka za pretraživanje unatrag;lijevo|strelica|tipka za pretraživanje unatrag|trokut|vraćanje
⏪;tipka za brzo pretraživanje unatrag;dvostruko brzo|premotavanje|strelica|tipka za brzo pretraživanje unatrag|unatrag
⏮️;tipka za posljednju pjesmu;prethodna pjesma|prethodni prizor|strelica|tipka za posljednju pjesmu|trokut
🔼;tipka prema gore;gore|strelica|tipka|tipka prema gore
⏫;tipka za brzo kretanje prema gore;dvostruko brzo|gore|strelica|tipka za brzo kretanje prema gore
🔽;tipka prema dolje;dolje|strelica|tipka|tipka prema dolje
⏬;tipka za brzo kretanje prema dolje;dolje|dvostruko brzo|strelica|tipka za brzo kretanje prema dolje
⏸️;tipka za pauzu;dvostruko|okomito|pauziranje|tipka za pauzu|trake
⏹️;tipka za zaustavljanje;kvadrat|stop|tipka za zaustavljanje|zaustavljanje
⏺️;tipka za snimanje;krug|snimanje|tipka za snimanje
⏏️;tipka za izbacivanje;izbacivanje|tipka za izbacivanje
🎦;kino;film|kamera|kino
🔅;tipka za smanjivanje svjetline;slabo|svjetlina|tamno|tipka za smanjivanje svjetline
🔆;tipka za povećanje svjetline;svijetlo|svjetlina|tipka za povećanje svjetline
📶;trakice jačine signala;mobitel|prijem|signal|snaga signala|telefon|trakice jačine signala
🛜;bežična mreža;bežična mreža|internet|mreža|računalo
📳;način vibracije;mobitel|način rada|način vibracije|telefon|vibracija
📴;isključen mobilni telefon;isključen mobilni telefon|isključeno|mobilni telefon|mobitel|telefon
♀️;ženski simbol;ženski simbol
♂️;muški simbol;muški simbol
⚧️;simbol transrodnosti;simbol transrodnosti|transrodnost
✖️;množenje;×|množenje|operator|otkaži|pomnoži|x
➕;plus;+|matematika|plus|znak
➖;minus;-|matematika|minus|znak
➗;znak dijeljenja;÷|dijeliti|dijeljenje|matematika|znak|znak dijeljenja
🟰;podebljani znak jednakosti;jednako|matematika|podebljani znak jednakosti
♾️;beskonačnost;beskonačnost|beskrajno|univerzalno|zauvijek
‼️;dvostruki uskličnik;dvostruki uskličnik|interpunkcija|uskličnik|znak
⁉️;uskličnik-upitnik;interpunkcija|pitanje|upitnik|uskličnik|uskličnik-upitnik|znak
