[smileys_emotion]
😀;دند پیسدی شکل;داند پیسنا|دند پیسدی شکل|دی شکل
❣️;دل دی زور دا پُکار;چیخ و پکار|دل دی زور دا پُکار|رموز اوقاف|نشان لانا
💔;ٹوٹیا ہوئیا دل;توڑنا|ٹوٹیا ہوئیا|ٹوٹیا ہوئیا دل
❤️‍🔥;;
❤️‍🩹;;
❤️;لال دل;دل|لال دل
🩷;;
🧡;نارنگی دل;مالٹا|نارنگی دل
💛;پیلا دل;پیلا|پیلا دل
💚;سبز دل;سبز دل|ہرا
💙;نیلا دل;نیلا|نیلا دل
🩵;;
💜;جامنی دل;جامنی|جامنی دل
🤎;;
🖤;کالا دل;بھیڑ|شرارتی|کالا|کالا دل
🩶;;
🤍;;
💋;چومی دا نشان;بُل|چومنا|چومی دا نشان
💯;سو نکات;100|پورا|سکور|سو|سو نکات
💢;غصے دی علامت;پاگل|رُسنا|غصے دی علامت|مُضحِکہ خیز
💥;ٹکرونا;ٹکرونا|غصّے آلا|مُضحِکہ خیز
💫;بدحواس;بدحواس|تارہ|مُضحِکہ خیز
💦;پسینے دا نیکا جیہا قطرہ;پسینے دا نیکا جیہا قطرہ|چِھیٹے اُڑونا|مُڑکا|مُضحِکہ خیز
💨;خوش باش وکھرے ہو رہے;بھجدا|خوش باش وکھرے ہو رہے|مارنا|مُضحِکہ خیز
🕳️;موری;موری
💬;تقریری بھکانہ;پکانہ|تقریر|تقریری بھکانہ|حباب|مُضحِکہ خیز|مکالمہ
👁️‍🗨️;تقریری حباب وچ اکھ;اکھ|تقریر دا حباب|تقریری حباب وچ اکھ|گواہ
🗨️;تقریر دا کھبا حباب;تقریر|تقریر دا کھبا حباب|مکالمہ
🗯️;غصے دا سجّا حباب;پاگل|پکانہ|حباب|رُسنا|غصے دا سجّا حباب
💭;خیالی بھکانہ;پکانہ|حباب|خیال|خیالی بھکانہ|مُضحِکہ خیز
💤;zzz;zzz|سونا|مُضحِکہ خیز

[people_body]
👋;ہتھ ہلاندیاں;لہر|لہراندا|ہتھ|ہتھ ہلاندیاں
	👋🏻;ہتھ ہلاندیاں: ہلکی رنگت آلی جلد;لہر|لہراندا|ہتھ|ہتھ ہلاندیاں|ہتھ ہلاندیاں: ہلکی رنگت آلی جلد|ہلکی رنگت آلی جلد
