# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;mukhang nakangiti;malaking ngiti|mukha|mukhang nakangisi|mukhang nakangiti|nakangiti|ngiti
🖤;itim na puso;itim|itim na puso|masama|puso|sama
🩶;grey na puso;gray|grey na puso|puso|silver
🤍;puting puso;puso|puti|puting puso
💋;marka ng halik;halik|labi|marka ng halik
💯;sandaang puntos;100|buo|iskor|marka|puntos|sandaan|sandaang puntos
💢;simbolo ng galit;galit|inis|simbolo ng galit
💥;banggaan;banggaan|boom|kislap|komiks
💫;nahihilo;bituin|hilo|komiks|nahihilo|ulo|umpog
💦;mga patak ng pawis;komiks|laway|mga patak ng pawis|pawis|tumatalsik
💨;nagmamadali;bilis|humaharurot|komiks|nagmamadali|tumatakbo
🕳️;butas;butas|manhole
💬;speech balloon;balloon|dialog|komiks|speech balloon|usapan
👁️‍🗨️;mata sa speech bubble;mata|mata sa speech bubble|saksi|speech bubble
🗨️;kaliwang speech bubble;balloon|dialog|kaliwang speech bubble|komiks|usapan
🗯️;kanang anger bubble;balloon|dialog|galit|kanang anger bubble|komiks|usapan
💭;thought balloon;balloon|bubble|komiks|nag-iisip|thought balloon
💤;zzz;inaantok|komiks|natutulog|tulog|zzz

[people_body]
👋;kumakaway na kamay;bumabati|kamay|kumakaway|kumakaway na kamay
	👋🏻;kumakaway na kamay: light na kulay ng balat;bumabati|kamay|kumakaway|kumakaway na kamay|kumakaway na kamay: light na kulay ng balat|light na kulay ng balat
	👋🏼;kumakaway na kamay: katamtamang light na kulay ng balat;bumabati|kamay|katamtamang light na kulay ng balat|kumakaway|kumakaway na kamay|kumakaway na kamay: katamtamang light na kulay ng balat
	👋🏽;kumakaway na kamay: katamtamang kulay ng balat;bumabati|kamay|katamtamang kulay ng balat|kumakaway|kumakaway na kamay|kumakaway na kamay: katamtamang kulay ng balat
	👋🏾;kumakaway na kamay: katamtamang dark na kulay ng balat;bumabati|kamay|katamtamang dark na kulay ng balat|kumakaway|kumakaway na kamay|kumakaway na kamay: katamtamang dark na kulay ng balat
	👋🏿;kumakaway na kamay: dark na kulay ng balat;bumabati|dark na kulay ng balat|kamay|kumakaway|kumakaway na kamay|kumakaway na kamay: dark na kulay ng balat
🤚;nakataas na baliktad na kamay;baliktad|nakataas|nakataas na baliktad na kamay
	🤚🏻;nakataas na baliktad na kamay: light na kulay ng balat;baliktad|light na kulay ng balat|nakataas|nakataas na baliktad na kamay|nakataas na baliktad na kamay: light na kulay ng balat
	🤚🏼;nakataas na baliktad na kamay: katamtamang light na kulay ng balat;baliktad|katamtamang light na kulay ng balat|nakataas|nakataas na baliktad na kamay|nakataas na baliktad na kamay: katamtamang light na kulay ng balat
	🤚🏽;nakataas na baliktad na kamay: katamtamang kulay ng balat;baliktad|katamtamang kulay ng balat|nakataas|nakataas na baliktad na kamay|nakataas na baliktad na kamay: katamtamang kulay ng balat
	🤚🏾;nakataas na baliktad na kamay: katamtamang dark na kulay ng balat;baliktad|katamtamang dark na kulay ng balat|nakataas|nakataas na baliktad na kamay|nakataas na baliktad na kamay: katamtamang dark na kulay ng balat
	🤚🏿;nakataas na baliktad na kamay: dark na kulay ng balat;baliktad|dark na kulay ng balat|nakataas|nakataas na baliktad na kamay|nakataas na baliktad na kamay: dark na kulay ng balat
🖐️;nakataas na nakabukas na kamay;daliri|kamay|nakabukas na kamay|nakataas na nakabukas na kamay|palad|tumigil
	🖐🏻;nakataas na nakabukas na kamay: light na kulay ng balat;daliri|kamay|light na kulay ng balat|nakabukas na kamay|nakataas na nakabukas na kamay|nakataas na nakabukas na kamay: light na kulay ng balat|palad|tumigil
	🖐🏼;nakataas na nakabukas na kamay: katamtamang light na kulay ng balat;daliri|kamay|katamtamang light na kulay ng balat|nakabukas na kamay|nakataas na nakabukas na kamay|nakataas na nakabukas na kamay: katamtamang light na kulay ng balat|palad|tumigil
	🖐🏽;nakataas na nakabukas na kamay: katamtamang kulay ng balat;daliri|kamay|katamtamang kulay ng balat|nakabukas na kamay|nakataas na nakabukas na kamay|nakataas na nakabukas na kamay: katamtamang kulay ng balat|palad|tumigil
	🖐🏾;nakataas na nakabukas na kamay: katamtamang dark na kulay ng balat;daliri|kamay|katamtamang dark na kulay ng balat|nakabukas na kamay|nakataas na nakabukas na kamay|nakataas na nakabukas na kamay: katamtamang dark na kulay ng balat|palad|tumigil
	🖐🏿;nakataas na nakabukas na kamay: dark na kulay ng balat;daliri|dark na kulay ng balat|kamay|nakabukas na kamay|nakataas na nakabukas na kamay|nakataas na nakabukas na kamay: dark na kulay ng balat|palad|tumigil
✋;nakataas na kamay;kamay|nakataas na kamay|palad
	✋🏻;nakataas na kamay: light na kulay ng balat;kamay|light na kulay ng balat|nakataas na kamay|nakataas na kamay: light na kulay ng balat|palad
	✋🏼;nakataas na kamay: katamtamang light na kulay ng balat;kamay|katamtamang light na kulay ng balat|nakataas na kamay|nakataas na kamay: katamtamang light na kulay ng balat|palad
	✋🏽;nakataas na kamay: katamtamang kulay ng balat;kamay|katamtamang kulay ng balat|nakataas na kamay|nakataas na kamay: katamtamang kulay ng balat|palad
	✋🏾;nakataas na kamay: katamtamang dark na kulay ng balat;kamay|katamtamang dark na kulay ng balat|nakataas na kamay|nakataas na kamay: katamtamang dark na kulay ng balat|palad
	✋🏿;nakataas na kamay: dark na kulay ng balat;dark na kulay ng balat|kamay|nakataas na kamay|nakataas na kamay: dark na kulay ng balat|palad
🖖;vulcan salute;daliri|kamay|spock|star trek|vulcan salute
	🖖🏻;vulcan salute: light na kulay ng balat;daliri|kamay|light na kulay ng balat|spock|star trek|vulcan salute|vulcan salute: light na kulay ng balat
	🖖🏼;vulcan salute: katamtamang light na kulay ng balat;daliri|kamay|katamtamang light na kulay ng balat|spock|star trek|vulcan salute|vulcan salute: katamtamang light na kulay ng balat
	🖖🏽;vulcan salute: katamtamang kulay ng balat;daliri|kamay|katamtamang kulay ng balat|spock|star trek|vulcan salute|vulcan salute: katamtamang kulay ng balat
	🖖🏾;vulcan salute: katamtamang dark na kulay ng balat;daliri|kamay|katamtamang dark na kulay ng balat|spock|star trek|vulcan salute|vulcan salute: katamtamang dark na kulay ng balat
	🖖🏿;vulcan salute: dark na kulay ng balat;daliri|dark na kulay ng balat|kamay|spock|star trek|vulcan salute|vulcan salute: dark na kulay ng balat
🫱;pakanang kamay;pakanang kamay
	🫱🏻;pakanang kamay: light na kulay ng balat;light na kulay ng balat|pakanang kamay|pakanang kamay: light na kulay ng balat
	🫱🏼;pakanang kamay: katamtamang light na kulay ng balat;katamtamang light na kulay ng balat|pakanang kamay|pakanang kamay: katamtamang light na kulay ng balat
	🫱🏽;pakanang kamay: katamtamang kulay ng balat;katamtamang kulay ng balat|pakanang kamay|pakanang kamay: katamtamang kulay ng balat
	🫱🏾;pakanang kamay: katamtamang dark na kulay ng balat;katamtamang dark na kulay ng balat|pakanang kamay|pakanang kamay: katamtamang dark na kulay ng balat
	🫱🏿;pakanang kamay: dark na kulay ng balat;dark na kulay ng balat|pakanang kamay|pakanang kamay: dark na kulay ng balat
🫲;pakaliwang kamay;pakaliwang kamay
	🫲🏻;pakaliwang kamay: light na kulay ng balat;light na kulay ng balat|pakaliwang kamay|pakaliwang kamay: light na kulay ng balat
	🫲🏼;pakaliwang kamay: katamtamang light na kulay ng balat;katamtamang light na kulay ng balat|pakaliwang kamay|pakaliwang kamay: katamtamang light na kulay ng balat
	🫲🏽;pakaliwang kamay: katamtamang kulay ng balat;katamtamang kulay ng balat|pakaliwang kamay|pakaliwang kamay: katamtamang kulay ng balat
	🫲🏾;pakaliwang kamay: katamtamang dark na kulay ng balat;katamtamang dark na kulay ng balat|pakaliwang kamay|pakaliwang kamay: katamtamang dark na kulay ng balat
	🫲🏿;pakaliwang kamay: dark na kulay ng balat;dark na kulay ng balat|pakaliwang kamay|pakaliwang kamay: dark na kulay ng balat
🫳;nakataob na palad;nakataob na palad
	🫳🏻;nakataob na palad: light na kulay ng balat;light na kulay ng balat|nakataob na palad|nakataob na palad: light na kulay ng balat
	🫳🏼;nakataob na palad: katamtamang light na kulay ng balat;katamtamang light na kulay ng balat|nakataob na palad|nakataob na palad: katamtamang light na kulay ng balat
	🫳🏽;nakataob na palad: katamtamang kulay ng balat;katamtamang kulay ng balat|nakataob na palad|nakataob na palad: katamtamang kulay ng balat
	🫳🏾;nakataob na palad: katamtamang dark na kulay ng balat;katamtamang dark na kulay ng balat|nakataob na palad|nakataob na palad: katamtamang dark na kulay ng balat
	🫳🏿;nakataob na palad: dark na kulay ng balat;dark na kulay ng balat|nakataob na palad|nakataob na palad: dark na kulay ng balat
🫴;nakasalong palad;nakasalong palad
	🫴🏻;nakasalong palad: light na kulay ng balat;light na kulay ng balat|nakasalong palad|nakasalong palad: light na kulay ng balat
	🫴🏼;nakasalong palad: katamtamang light na kulay ng balat;katamtamang light na kulay ng balat|nakasalong palad|nakasalong palad: katamtamang light na kulay ng balat
	🫴🏽;nakasalong palad: katamtamang kulay ng balat;katamtamang kulay ng balat|nakasalong palad|nakasalong palad: katamtamang kulay ng balat
	🫴🏾;nakasalong palad: katamtamang dark na kulay ng balat;katamtamang dark na kulay ng balat|nakasalong palad|nakasalong palad: katamtamang dark na kulay ng balat
	🫴🏿;nakasalong palad: dark na kulay ng balat;dark na kulay ng balat|nakasalong palad|nakasalong palad: dark na kulay ng balat
🫷;pakaliwang tumutulak na kamay;hintay|nakaaper|pakaliwa|pakaliwang tumutulak na kamay|tigil|tumatanggi|tumutulak
	🫷🏻;pakaliwang tumutulak na kamay: light na kulay ng balat;hintay|light na kulay ng balat|nakaaper|pakaliwa|pakaliwang tumutulak na kamay|pakaliwang tumutulak na kamay: light na kulay ng balat|tigil|tumatanggi|tumutulak
	🫷🏼;pakaliwang tumutulak na kamay: katamtamang light na kulay ng balat;hintay|katamtamang light na kulay ng balat|nakaaper|pakaliwa|pakaliwang tumutulak na kamay|pakaliwang tumutulak na kamay: katamtamang light na kulay ng balat|tigil|tumatanggi|tumutulak
	🫷🏽;pakaliwang tumutulak na kamay: katamtamang kulay ng balat;hintay|katamtamang kulay ng balat|nakaaper|pakaliwa|pakaliwang tumutulak na kamay|pakaliwang tumutulak na kamay: katamtamang kulay ng balat|tigil|tumatanggi|tumutulak
	🫷🏾;pakaliwang tumutulak na kamay: katamtamang dark na kulay ng balat;hintay|katamtamang dark na kulay ng balat|nakaaper|pakaliwa|pakaliwang tumutulak na kamay|pakaliwang tumutulak na kamay: katamtamang dark na kulay ng balat|tigil|tumatanggi|tumutulak
	🫷🏿;pakaliwang tumutulak na kamay: dark na kulay ng balat;dark na kulay ng balat|hintay|nakaaper|pakaliwa|pakaliwang tumutulak na kamay|pakaliwang tumutulak na kamay: dark na kulay ng balat|tigil|tumatanggi|tumutulak
🫸;pakanang tumutulak na kamay;hintay|nakaaper|pakanan|pakanang tumutulak na kamay|tanggi|tigil|tulak
	🫸🏻;pakanang tumutulak na kamay: light na kulay ng balat;hintay|light na kulay ng balat|nakaaper|pakanan|pakanang tumutulak na kamay|pakanang tumutulak na kamay: light na kulay ng balat|tanggi|tigil|tulak
	🫸🏼;pakanang tumutulak na kamay: katamtamang light na kulay ng balat;hintay|katamtamang light na kulay ng balat|nakaaper|pakanan|pakanang tumutulak na kamay|pakanang tumutulak na kamay: katamtamang light na kulay ng balat|tanggi|tigil|tulak
	🫸🏽;pakanang tumutulak na kamay: katamtamang kulay ng balat;hintay|katamtamang kulay ng balat|nakaaper|pakanan|pakanang tumutulak na kamay|pakanang tumutulak na kamay: katamtamang kulay ng balat|tanggi|tigil|tulak
	🫸🏾;pakanang tumutulak na kamay: katamtamang dark na kulay ng balat;hintay|katamtamang dark na kulay ng balat|nakaaper|pakanan|pakanang tumutulak na kamay|pakanang tumutulak na kamay: katamtamang dark na kulay ng balat|tanggi|tigil|tulak
	🫸🏿;pakanang tumutulak na kamay: dark na kulay ng balat;dark na kulay ng balat|hintay|nakaaper|pakanan|pakanang tumutulak na kamay|pakanang tumutulak na kamay: dark na kulay ng balat|tanggi|tigil|tulak
👌;kamay na nagpapahiwatig ng ok;kamay|kamay na nagpapahiwatig ng ok|ok|pera
	👌🏻;kamay na nagpapahiwatig ng ok: light na kulay ng balat;kamay|kamay na nagpapahiwatig ng ok|kamay na nagpapahiwatig ng ok: light na kulay ng balat|light na kulay ng balat|ok|pera
	👌🏼;kamay na nagpapahiwatig ng ok: katamtamang light na kulay ng balat;kamay|kamay na nagpapahiwatig ng ok|kamay na nagpapahiwatig ng ok: katamtamang light na kulay ng balat|katamtamang light na kulay ng balat|ok|pera
	👌🏽;kamay na nagpapahiwatig ng ok: katamtamang kulay ng balat;kamay|kamay na nagpapahiwatig ng ok|kamay na nagpapahiwatig ng ok: katamtamang kulay ng balat|katamtamang kulay ng balat|ok|pera
	👌🏾;kamay na nagpapahiwatig ng ok: katamtamang dark na kulay ng balat;kamay|kamay na nagpapahiwatig ng ok|kamay na nagpapahiwatig ng ok: katamtamang dark na kulay ng balat|katamtamang dark na kulay ng balat|ok|pera
	👌🏿;kamay na nagpapahiwatig ng ok: dark na kulay ng balat;dark na kulay ng balat|kamay|kamay na nagpapahiwatig ng ok|kamay na nagpapahiwatig ng ok: dark na kulay ng balat|ok|pera
🤌;pakurot na daliri;daliri|hand gesture|pakurot|pakurot na daliri
	🤌🏻;pakurot na daliri: light na kulay ng balat;daliri|hand gesture|light na kulay ng balat|pakurot|pakurot na daliri|pakurot na daliri: light na kulay ng balat
	🤌🏼;pakurot na daliri: katamtamang light na kulay ng balat;daliri|hand gesture|katamtamang light na kulay ng balat|pakurot|pakurot na daliri|pakurot na daliri: katamtamang light na kulay ng balat
	🤌🏽;pakurot na daliri: katamtamang kulay ng balat;daliri|hand gesture|katamtamang kulay ng balat|pakurot|pakurot na daliri|pakurot na daliri: katamtamang kulay ng balat
	🤌🏾;pakurot na daliri: katamtamang dark na kulay ng balat;daliri|hand gesture|katamtamang dark na kulay ng balat|pakurot|pakurot na daliri|pakurot na daliri: katamtamang dark na kulay ng balat
	🤌🏿;pakurot na daliri: dark na kulay ng balat;daliri|dark na kulay ng balat|hand gesture|pakurot|pakurot na daliri|pakurot na daliri: dark na kulay ng balat
🤏;kamay na kumukurot;kamay na kumukurot|maliit na halaga
