[smileys_emotion]
😀;cara sonriendo;cara|cara sonriendo|contento|divertido|sonrisa
	👆🏾;mano con dedo índice hacia arriba: tono de piel oscuro medio;apuntar|dedo|dorso de mano con dedo índice hacia arriba|índice|mano|mano con dedo índice hacia arriba|mano con dedo índice hacia arriba: tono de piel oscuro medio|señalar|tono de piel oscuro medio
	👆🏿;mano con dedo índice hacia arriba: tono de piel oscuro;apuntar|dedo|dorso de mano con dedo índice hacia arriba|índice|mano|mano con dedo índice hacia arriba|mano con dedo índice hacia arriba: tono de piel oscuro|señalar|tono de piel oscuro
🖕;mano con el dedo medio levantado;dedo|insulto|mano|mano con el dedo medio levantado|medio
	🖕🏻;mano con el dedo medio levantado: tono de piel claro;dedo|insulto|mano|mano con el dedo medio levantado|mano con el dedo medio levantado: tono de piel claro|medio|tono de piel claro
	🖕🏼;mano con el dedo medio levantado: tono de piel claro medio;dedo|insulto|mano|mano con el dedo medio levantado|mano con el dedo medio levantado: tono de piel claro medio|medio|tono de piel claro medio
	🖕🏽;mano con el dedo medio levantado: tono de piel medio;dedo|insulto|mano|mano con el dedo medio levantado|mano con el dedo medio levantado: tono de piel medio|medio|tono de piel medio
	🖕🏾;mano con el dedo medio levantado: tono de piel oscuro medio;dedo|insulto|mano|mano con el dedo medio levantado|mano con el dedo medio levantado: tono de piel oscuro medio|medio|tono de piel oscuro medio
	🖕🏿;mano con el dedo medio levantado: tono de piel oscuro;dedo|insulto|mano|mano con el dedo medio levantado|mano con el dedo medio levantado: tono de piel oscuro|medio|tono de piel oscuro
👇;mano con dedo índice hacia abajo;abajo|apuntar|dorso de mano con dedo índice hacia abajo|índice|mano|mano con dedo índice hacia abajo|señalar
	👇🏻;mano con dedo índice hacia abajo: tono de piel claro;abajo|apuntar|dorso de mano con dedo índice hacia abajo|índice|mano|mano con dedo índice hacia abajo|mano con dedo índice hacia abajo: tono de piel claro|señalar|tono de piel claro
	👇🏼;mano con dedo índice hacia abajo: tono de piel claro medio;abajo|apuntar|dorso de mano con dedo índice hacia abajo|índice|mano|mano con dedo índice hacia abajo|mano con dedo índice hacia abajo: tono de piel claro medio|señalar|tono de piel claro medio
	👇🏽;mano con dedo índice hacia abajo: tono de piel medio;abajo|apuntar|dorso de mano con dedo índice hacia abajo|índice|mano|mano con dedo índice hacia abajo|mano con dedo índice hacia abajo: tono de piel medio|señalar|tono de piel medio
	👇🏾;mano con dedo índice hacia abajo: tono de piel oscuro medio;abajo|apuntar|dorso de mano con dedo índice hacia abajo|índice|mano|mano con dedo índice hacia abajo|mano con dedo índice hacia abajo: tono de piel oscuro medio|señalar|tono de piel oscuro medio
	👇🏿;mano con dedo índice hacia abajo: tono de piel oscuro;abajo|apuntar|dorso de mano con dedo índice hacia abajo|índice|mano|mano con dedo índice hacia abajo|mano con dedo índice hacia abajo: tono de piel oscuro|señalar|tono de piel oscuro
☝️;↑↑↑;apuntar|arriba|dedo índice hacia arriba|índice|señalar
	☝🏻;;apuntar|arriba|dedo índice hacia arriba|dedo índice hacia arriba: tono de piel claro|índice|señalar|tono de piel claro
	☝🏼;;apuntar|arriba|dedo índice hacia arriba|dedo índice hacia arriba: tono de piel claro medio|índice|señalar|tono de piel claro medio
	☝🏽;;apuntar|arriba|dedo índice hacia arriba|dedo índice hacia arriba: tono de piel medio|índice|señalar|tono de piel medio
	☝🏾;;apuntar|arriba|dedo índice hacia arriba|dedo índice hacia arriba: tono de piel oscuro medio|índice|señalar|tono de piel oscuro medio
	☝🏿;;apuntar|arriba|dedo índice hacia arriba|dedo índice hacia arriba: tono de piel oscuro|índice|señalar|tono de piel oscuro
🫵;↑↑↑;↑↑↑
	🫵🏻;;
	🫵🏼;;
	🫵🏽;;
	🫵🏾;;
	🫵🏿;;
👍;↑↑↑;+1|de acuerdo|OK|pulgar|pulgar hacia arriba|señal de OK
	👍🏻;;+1|de acuerdo|OK|pulgar|pulgar hacia arriba|señal de OK|tono de piel claro
	👍🏼;;+1|de acuerdo|OK|pulgar|pulgar hacia arriba|señal de OK|tono de piel claro medio
	👍🏽;;+1|de acuerdo|OK|pulgar|pulgar hacia arriba|señal de OK|tono de piel medio
	👍🏾;;+1|de acuerdo|OK|pulgar|pulgar hacia arriba|señal de OK|tono de piel oscuro medio
	👍🏿;;+1|de acuerdo|OK|pulgar|pulgar hacia arriba|señal de OK|tono de piel oscuro
👎;↑↑↑;-1|abajo|desacuerdo|mano|pulgar|pulgar hacia abajo
	👎🏻;;-1|abajo|desacuerdo|mano|pulgar|pulgar hacia abajo|tono de piel claro
	👎🏼;;-1|abajo|desacuerdo|mano|pulgar|pulgar hacia abajo|tono de piel claro medio
	👎🏽;;-1|abajo|desacuerdo|mano|pulgar|pulgar hacia abajo|tono de piel medio
	👎🏾;;-1|abajo|desacuerdo|mano|pulgar|pulgar hacia abajo|tono de piel oscuro medio
	👎🏿;;-1|abajo|desacuerdo|mano|pulgar|pulgar hacia abajo|tono de piel oscuro
✊;puño en alto;cerrada|mano|piedra|puño|puño en alto|puño levantado
	✊🏻;puño en alto: tono de piel claro;cerrada|mano|piedra|puño|puño en alto|puño en alto: tono de piel claro|puño levantado|tono de piel claro
	✊🏼;puño en alto: tono de piel claro medio;cerrada|mano|piedra|puño|puño en alto|puño en alto: tono de piel claro medio|puño levantado|tono de piel claro medio
	✊🏽;puño en alto: tono de piel medio;cerrada|mano|piedra|puño|puño en alto|puño en alto: tono de piel medio|puño levantado|tono de piel medio
