[smileys_emotion]
😀;cara sonriendo;cara|cara sonriendo|contento|divertido|sonrisa
	👨🏻‍❤️‍💋‍👨🏼;beso: hombre, hombre, tono de piel claro, tono de piel claro medio;beso|beso: hombre, hombre, tono de piel claro, tono de piel claro medio|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel claro medio
	👨🏻‍❤️‍💋‍👨🏽;beso: hombre, hombre, tono de piel claro, tono de piel medio;beso|beso: hombre, hombre, tono de piel claro, tono de piel medio|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel medio
	👨🏻‍❤️‍💋‍👨🏾;beso: hombre, hombre, tono de piel claro, tono de piel oscuro medio;beso|beso: hombre, hombre, tono de piel claro, tono de piel oscuro medio|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel oscuro medio
	👨🏻‍❤️‍💋‍👨🏿;beso: hombre, hombre, tono de piel claro, tono de piel oscuro;beso|beso: hombre, hombre, tono de piel claro, tono de piel oscuro|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel oscuro
	👨🏼‍❤️‍💋‍👨🏻;beso: hombre, hombre, tono de piel claro medio, tono de piel claro;beso|beso: hombre, hombre, tono de piel claro medio, tono de piel claro|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel claro medio
	👨🏼‍❤️‍💋‍👨🏼;beso: hombre, hombre, tono de piel claro medio;beso|beso: hombre, hombre, tono de piel claro medio|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio
	👨🏼‍❤️‍💋‍👨🏽;beso: hombre, hombre, tono de piel claro medio, tono de piel medio;beso|beso: hombre, hombre, tono de piel claro medio, tono de piel medio|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio|tono de piel medio
	👨🏼‍❤️‍💋‍👨🏾;beso: hombre, hombre, tono de piel claro medio, tono de piel oscuro medio;beso|beso: hombre, hombre, tono de piel claro medio, tono de piel oscuro medio|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio|tono de piel oscuro medio
	👨🏼‍❤️‍💋‍👨🏿;beso: hombre, hombre, tono de piel claro medio, tono de piel oscuro;beso|beso: hombre, hombre, tono de piel claro medio, tono de piel oscuro|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio|tono de piel oscuro
	👨🏽‍❤️‍💋‍👨🏻;beso: hombre, hombre, tono de piel medio, tono de piel claro;beso|beso: hombre, hombre, tono de piel medio, tono de piel claro|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel medio
	👨🏽‍❤️‍💋‍👨🏼;beso: hombre, hombre, tono de piel medio, tono de piel claro medio;beso|beso: hombre, hombre, tono de piel medio, tono de piel claro medio|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio|tono de piel medio
	👨🏽‍❤️‍💋‍👨🏽;beso: hombre, hombre, tono de piel medio;beso|beso: hombre, hombre, tono de piel medio|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel medio
	👨🏽‍❤️‍💋‍👨🏾;beso: hombre, hombre, tono de piel medio, tono de piel oscuro medio;beso|beso: hombre, hombre, tono de piel medio, tono de piel oscuro medio|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel medio|tono de piel oscuro medio
	👨🏽‍❤️‍💋‍👨🏿;beso: hombre, hombre, tono de piel medio, tono de piel oscuro;beso|beso: hombre, hombre, tono de piel medio, tono de piel oscuro|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel medio|tono de piel oscuro
	👨🏾‍❤️‍💋‍👨🏻;beso: hombre, hombre, tono de piel oscuro medio, tono de piel claro;beso|beso: hombre, hombre, tono de piel oscuro medio, tono de piel claro|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel oscuro medio
	👨🏾‍❤️‍💋‍👨🏼;beso: hombre, hombre, tono de piel oscuro medio, tono de piel claro medio;beso|beso: hombre, hombre, tono de piel oscuro medio, tono de piel claro medio|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio|tono de piel oscuro medio
	👨🏾‍❤️‍💋‍👨🏽;beso: hombre, hombre, tono de piel oscuro medio, tono de piel medio;beso|beso: hombre, hombre, tono de piel oscuro medio, tono de piel medio|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel medio|tono de piel oscuro medio
	👨🏾‍❤️‍💋‍👨🏾;beso: hombre, hombre, tono de piel oscuro medio;beso|beso: hombre, hombre, tono de piel oscuro medio|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel oscuro medio
	👨🏾‍❤️‍💋‍👨🏿;beso: hombre, hombre, tono de piel oscuro medio, tono de piel oscuro;beso|beso: hombre, hombre, tono de piel oscuro medio, tono de piel oscuro|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel oscuro|tono de piel oscuro medio
	👨🏿‍❤️‍💋‍👨🏻;beso: hombre, hombre, tono de piel oscuro, tono de piel claro;beso|beso: hombre, hombre, tono de piel oscuro, tono de piel claro|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel oscuro
	👨🏿‍❤️‍💋‍👨🏼;beso: hombre, hombre, tono de piel oscuro, tono de piel claro medio;beso|beso: hombre, hombre, tono de piel oscuro, tono de piel claro medio|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio|tono de piel oscuro
	👨🏿‍❤️‍💋‍👨🏽;beso: hombre, hombre, tono de piel oscuro, tono de piel medio;beso|beso: hombre, hombre, tono de piel oscuro, tono de piel medio|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel medio|tono de piel oscuro
	👨🏿‍❤️‍💋‍👨🏾;beso: hombre, hombre, tono de piel oscuro, tono de piel oscuro medio;beso|beso: hombre, hombre, tono de piel oscuro, tono de piel oscuro medio|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel oscuro|tono de piel oscuro medio
	👨🏿‍❤️‍💋‍👨🏿;beso: hombre, hombre, tono de piel oscuro;beso|beso: hombre, hombre, tono de piel oscuro|hombre|pareja|pareja besándose|personas|romance|romántico|tono de piel oscuro
👩‍❤️‍💋‍👩;beso: mujer y mujer;beso|beso: mujer y mujer|mujer|pareja|pareja besándose|personas|romance|romántico
	👩🏻‍❤️‍💋‍👩🏻;beso: mujer, mujer, tono de piel claro;beso|beso: mujer, mujer, tono de piel claro|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro
	👩🏻‍❤️‍💋‍👩🏼;beso: mujer, mujer, tono de piel claro, tono de piel claro medio;beso|beso: mujer, mujer, tono de piel claro, tono de piel claro medio|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel claro medio
	👩🏻‍❤️‍💋‍👩🏽;beso: mujer, mujer, tono de piel claro, tono de piel medio;beso|beso: mujer, mujer, tono de piel claro, tono de piel medio|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel medio
	👩🏻‍❤️‍💋‍👩🏾;beso: mujer, mujer, tono de piel claro, tono de piel oscuro medio;beso|beso: mujer, mujer, tono de piel claro, tono de piel oscuro medio|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel oscuro medio
	👩🏻‍❤️‍💋‍👩🏿;beso: mujer, mujer, tono de piel claro, tono de piel oscuro;beso|beso: mujer, mujer, tono de piel claro, tono de piel oscuro|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel oscuro
	👩🏼‍❤️‍💋‍👩🏻;beso: mujer, mujer, tono de piel claro medio, tono de piel claro;beso|beso: mujer, mujer, tono de piel claro medio, tono de piel claro|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel claro medio
	👩🏼‍❤️‍💋‍👩🏼;beso: mujer, mujer, tono de piel claro medio;beso|beso: mujer, mujer, tono de piel claro medio|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio
	👩🏼‍❤️‍💋‍👩🏽;beso: mujer, mujer, tono de piel claro medio, tono de piel medio;beso|beso: mujer, mujer, tono de piel claro medio, tono de piel medio|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio|tono de piel medio
	👩🏼‍❤️‍💋‍👩🏾;beso: mujer, mujer, tono de piel claro medio, tono de piel oscuro medio;beso|beso: mujer, mujer, tono de piel claro medio, tono de piel oscuro medio|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio|tono de piel oscuro medio
	👩🏼‍❤️‍💋‍👩🏿;beso: mujer, mujer, tono de piel claro medio, tono de piel oscuro;beso|beso: mujer, mujer, tono de piel claro medio, tono de piel oscuro|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio|tono de piel oscuro
	👩🏽‍❤️‍💋‍👩🏻;beso: mujer, mujer, tono de piel medio, tono de piel claro;beso|beso: mujer, mujer, tono de piel medio, tono de piel claro|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel medio
	👩🏽‍❤️‍💋‍👩🏼;beso: mujer, mujer, tono de piel medio, tono de piel claro medio;beso|beso: mujer, mujer, tono de piel medio, tono de piel claro medio|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio|tono de piel medio
	👩🏽‍❤️‍💋‍👩🏽;beso: mujer, mujer, tono de piel medio;beso|beso: mujer, mujer, tono de piel medio|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel medio
	👩🏽‍❤️‍💋‍👩🏾;beso: mujer, mujer, tono de piel medio, tono de piel oscuro medio;beso|beso: mujer, mujer, tono de piel medio, tono de piel oscuro medio|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel medio|tono de piel oscuro medio
	👩🏽‍❤️‍💋‍👩🏿;beso: mujer, mujer, tono de piel medio, tono de piel oscuro;beso|beso: mujer, mujer, tono de piel medio, tono de piel oscuro|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel medio|tono de piel oscuro
	👩🏾‍❤️‍💋‍👩🏻;beso: mujer, mujer, tono de piel oscuro medio, tono de piel claro;beso|beso: mujer, mujer, tono de piel oscuro medio, tono de piel claro|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel oscuro medio
	👩🏾‍❤️‍💋‍👩🏼;beso: mujer, mujer, tono de piel oscuro medio, tono de piel claro medio;beso|beso: mujer, mujer, tono de piel oscuro medio, tono de piel claro medio|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio|tono de piel oscuro medio
	👩🏾‍❤️‍💋‍👩🏽;beso: mujer, mujer, tono de piel oscuro medio, tono de piel medio;beso|beso: mujer, mujer, tono de piel oscuro medio, tono de piel medio|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel medio|tono de piel oscuro medio
	👩🏾‍❤️‍💋‍👩🏾;beso: mujer, mujer, tono de piel oscuro medio;beso|beso: mujer, mujer, tono de piel oscuro medio|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel oscuro medio
	👩🏾‍❤️‍💋‍👩🏿;beso: mujer, mujer, tono de piel oscuro medio, tono de piel oscuro;beso|beso: mujer, mujer, tono de piel oscuro medio, tono de piel oscuro|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel oscuro|tono de piel oscuro medio
	👩🏿‍❤️‍💋‍👩🏻;beso: mujer, mujer, tono de piel oscuro, tono de piel claro;beso|beso: mujer, mujer, tono de piel oscuro, tono de piel claro|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro|tono de piel oscuro
	👩🏿‍❤️‍💋‍👩🏼;beso: mujer, mujer, tono de piel oscuro, tono de piel claro medio;beso|beso: mujer, mujer, tono de piel oscuro, tono de piel claro medio|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel claro medio|tono de piel oscuro
	👩🏿‍❤️‍💋‍👩🏽;beso: mujer, mujer, tono de piel oscuro, tono de piel medio;beso|beso: mujer, mujer, tono de piel oscuro, tono de piel medio|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel medio|tono de piel oscuro
	👩🏿‍❤️‍💋‍👩🏾;beso: mujer, mujer, tono de piel oscuro, tono de piel oscuro medio;beso|beso: mujer, mujer, tono de piel oscuro, tono de piel oscuro medio|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel oscuro|tono de piel oscuro medio
	👩🏿‍❤️‍💋‍👩🏿;beso: mujer, mujer, tono de piel oscuro;beso|beso: mujer, mujer, tono de piel oscuro|mujer|pareja|pareja besándose|personas|romance|romántico|tono de piel oscuro
💑;hombre y mujer enamorados;hombre y mujer enamorados
	💑🏻;hombre y mujer enamorados: tono de piel claro;hombre y mujer enamorados|hombre y mujer enamorados: tono de piel claro|tono de piel claro
	💑🏼;hombre y mujer enamorados: tono de piel claro medio;hombre y mujer enamorados|hombre y mujer enamorados: tono de piel claro medio|tono de piel claro medio
	💑🏽;hombre y mujer enamorados: tono de piel medio;hombre y mujer enamorados|hombre y mujer enamorados: tono de piel medio|tono de piel medio
	💑🏾;hombre y mujer enamorados: tono de piel oscuro medio;hombre y mujer enamorados|hombre y mujer enamorados: tono de piel oscuro medio|tono de piel oscuro medio
	💑🏿;hombre y mujer enamorados: tono de piel oscuro;hombre y mujer enamorados|hombre y mujer enamorados: tono de piel oscuro|tono de piel oscuro
	🧑🏻‍❤️‍🧑🏼;hombre y mujer enamorados: persona, persona, tono de piel claro, tono de piel claro medio;hombre y mujer enamorados|hombre y mujer enamorados: persona, persona, tono de piel claro, tono de piel claro medio|persona|tono de piel claro|tono de piel claro medio
	🧑🏻‍❤️‍🧑🏽;hombre y mujer enamorados: persona, persona, tono de piel claro, tono de piel medio;hombre y mujer enamorados|hombre y mujer enamorados: persona, persona, tono de piel claro, tono de piel medio|persona|tono de piel claro|tono de piel medio
	🧑🏻‍❤️‍🧑🏾;hombre y mujer enamorados: persona, persona, tono de piel claro, tono de piel oscuro medio;hombre y mujer enamorados|hombre y mujer enamorados: persona, persona, tono de piel claro, tono de piel oscuro medio|persona|tono de piel claro|tono de piel oscuro medio
	🧑🏻‍❤️‍🧑🏿;hombre y mujer enamorados: persona, persona, tono de piel claro, tono de piel oscuro;hombre y mujer enamorados|hombre y mujer enamorados: persona, persona, tono de piel claro, tono de piel oscuro|persona|tono de piel claro|tono de piel oscuro
	🧑🏼‍❤️‍🧑🏻;hombre y mujer enamorados: persona, persona, tono de piel claro medio, tono de piel claro;hombre y mujer enamorados|hombre y mujer enamorados: persona, persona, tono de piel claro medio, tono de piel claro|persona|tono de piel claro|tono de piel claro medio
	🧑🏼‍❤️‍🧑🏽;hombre y mujer enamorados: persona, persona, tono de piel claro medio, tono de piel medio;hombre y mujer enamorados|hombre y mujer enamorados: persona, persona, tono de piel claro medio, tono de piel medio|persona|tono de piel claro medio|tono de piel medio
	🧑🏼‍❤️‍🧑🏾;hombre y mujer enamorados: persona, persona, tono de piel claro medio, tono de piel oscuro medio;hombre y mujer enamorados|hombre y mujer enamorados: persona, persona, tono de piel claro medio, tono de piel oscuro medio|persona|tono de piel claro medio|tono de piel oscuro medio
	🧑🏼‍❤️‍🧑🏿;hombre y mujer enamorados: persona, persona, tono de piel claro medio, tono de piel oscuro;hombre y mujer enamorados|hombre y mujer enamorados: persona, persona, tono de piel claro medio, tono de piel oscuro|persona|tono de piel claro medio|tono de piel oscuro
	🧑🏽‍❤️‍🧑🏻;hombre y mujer enamorados: persona, persona, tono de piel medio, tono de piel claro;hombre y mujer enamorados|hombre y mujer enamorados: persona, persona, tono de piel medio, tono de piel claro|persona|tono de piel claro|tono de piel medio
	🧑🏽‍❤️‍🧑🏼;hombre y mujer enamorados: persona, persona, tono de piel medio, tono de piel claro medio;hombre y mujer enamorados|hombre y mujer enamorados: persona, persona, tono de piel medio, tono de piel claro medio|persona|tono de piel claro medio|tono de piel medio
	🧑🏽‍❤️‍🧑🏾;hombre y mujer enamorados: persona, persona, tono de piel medio, tono de piel oscuro medio;hombre y mujer enamorados|hombre y mujer enamorados: persona, persona, tono de piel medio, tono de piel oscuro medio|persona|tono de piel medio|tono de piel oscuro medio
	🧑🏽‍❤️‍🧑🏿;hombre y mujer enamorados: persona, persona, tono de piel medio, tono de piel oscuro;hombre y mujer enamorados|hombre y mujer enamorados: persona, persona, tono de piel medio, tono de piel oscuro|persona|tono de piel medio|tono de piel oscuro
	🧑🏾‍❤️‍🧑🏻;hombre y mujer enamorados: persona, persona, tono de piel oscuro medio, tono de piel claro;hombre y mujer enamorados|hombre y mujer enamorados: persona, persona, tono de piel oscuro medio, tono de piel claro|persona|tono de piel claro|tono de piel oscuro medio
