# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;uso unaokenua;kenua|uso|uso unaokenua
	🧑🏿‍❤️‍💋‍🧑🏼;busu: mtu mzima, mtu mzima, ngozi nyeusi na ngozi nyeupe kiasi;busu|busu: mtu mzima, mtu mzima, ngozi nyeusi na ngozi nyeupe kiasi|mapenzi|mtu mzima|mume na mke|ngozi nyeupe kiasi|ngozi nyeusi
	🧑🏿‍❤️‍💋‍🧑🏽;busu: mtu mzima, mtu mzima, ngozi nyeusi na ngozi ya kahawia;busu|busu: mtu mzima, mtu mzima, ngozi nyeusi na ngozi ya kahawia|mapenzi|mtu mzima|mume na mke|ngozi nyeusi|ngozi ya kahawia
	🧑🏿‍❤️‍💋‍🧑🏾;busu: mtu mzima, mtu mzima, ngozi nyeusi na ngozi nyeusi kiasi;busu|busu: mtu mzima, mtu mzima, ngozi nyeusi na ngozi nyeusi kiasi|mapenzi|mtu mzima|mume na mke|ngozi nyeusi|ngozi nyeusi kiasi
👩‍❤️‍💋‍👨;busu: mwanamke na mwanamume;busu|busu: mwanamke na mwanamume|mapenzi|mume na mke|mwanamke|mwanamume
	👩🏻‍❤️‍💋‍👨🏻;busu: mwanamke, mwanamume na ngozi nyeupe;busu|busu: mwanamke, mwanamume na ngozi nyeupe|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeupe
	👩🏻‍❤️‍💋‍👨🏼;busu: mwanamke, mwanamume, ngozi nyeupe na ngozi nyeupe kiasi;busu|busu: mwanamke, mwanamume, ngozi nyeupe na ngozi nyeupe kiasi|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeupe|ngozi nyeupe kiasi
	👩🏻‍❤️‍💋‍👨🏽;busu: mwanamke, mwanamume, ngozi nyeupe na ngozi ya kahawia;busu|busu: mwanamke, mwanamume, ngozi nyeupe na ngozi ya kahawia|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeupe|ngozi ya kahawia
	👩🏻‍❤️‍💋‍👨🏾;busu: mwanamke, mwanamume, ngozi nyeupe na ngozi nyeusi kiasi;busu|busu: mwanamke, mwanamume, ngozi nyeupe na ngozi nyeusi kiasi|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeupe|ngozi nyeusi kiasi
	👩🏻‍❤️‍💋‍👨🏿;busu: mwanamke, mwanamume, ngozi nyeupe na ngozi nyeusi;busu|busu: mwanamke, mwanamume, ngozi nyeupe na ngozi nyeusi|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeupe|ngozi nyeusi
	👩🏼‍❤️‍💋‍👨🏻;busu: mwanamke, mwanamume, ngozi nyeupe kiasi na ngozi nyeupe;busu|busu: mwanamke, mwanamume, ngozi nyeupe kiasi na ngozi nyeupe|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeupe|ngozi nyeupe kiasi
	👩🏼‍❤️‍💋‍👨🏼;busu: mwanamke, mwanamume na ngozi nyeupe kiasi;busu|busu: mwanamke, mwanamume na ngozi nyeupe kiasi|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeupe kiasi
	👩🏼‍❤️‍💋‍👨🏽;busu: mwanamke, mwanamume, ngozi nyeupe kiasi na ngozi ya kahawia;busu|busu: mwanamke, mwanamume, ngozi nyeupe kiasi na ngozi ya kahawia|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeupe kiasi|ngozi ya kahawia
	👩🏼‍❤️‍💋‍👨🏾;busu: mwanamke, mwanamume, ngozi nyeupe kiasi na ngozi nyeusi kiasi;busu|busu: mwanamke, mwanamume, ngozi nyeupe kiasi na ngozi nyeusi kiasi|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeupe kiasi|ngozi nyeusi kiasi
	👩🏼‍❤️‍💋‍👨🏿;busu: mwanamke, mwanamume, ngozi nyeupe kiasi na ngozi nyeusi;busu|busu: mwanamke, mwanamume, ngozi nyeupe kiasi na ngozi nyeusi|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeupe kiasi|ngozi nyeusi
	👩🏽‍❤️‍💋‍👨🏻;busu: mwanamke, mwanamume, ngozi ya kahawia na ngozi nyeupe;busu|busu: mwanamke, mwanamume, ngozi ya kahawia na ngozi nyeupe|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeupe|ngozi ya kahawia
	👩🏽‍❤️‍💋‍👨🏼;busu: mwanamke, mwanamume, ngozi ya kahawia na ngozi nyeupe kiasi;busu|busu: mwanamke, mwanamume, ngozi ya kahawia na ngozi nyeupe kiasi|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeupe kiasi|ngozi ya kahawia
	👩🏽‍❤️‍💋‍👨🏽;busu: mwanamke, mwanamume na ngozi ya kahawia;busu|busu: mwanamke, mwanamume na ngozi ya kahawia|mapenzi|mume na mke|mwanamke|mwanamume|ngozi ya kahawia
	👩🏽‍❤️‍💋‍👨🏾;busu: mwanamke, mwanamume, ngozi ya kahawia na ngozi nyeusi kiasi;busu|busu: mwanamke, mwanamume, ngozi ya kahawia na ngozi nyeusi kiasi|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeusi kiasi|ngozi ya kahawia
	👩🏽‍❤️‍💋‍👨🏿;busu: mwanamke, mwanamume, ngozi ya kahawia na ngozi nyeusi;busu|busu: mwanamke, mwanamume, ngozi ya kahawia na ngozi nyeusi|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeusi|ngozi ya kahawia
	👩🏾‍❤️‍💋‍👨🏻;busu: mwanamke, mwanamume, ngozi nyeusi kiasi na ngozi nyeupe;busu|busu: mwanamke, mwanamume, ngozi nyeusi kiasi na ngozi nyeupe|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeupe|ngozi nyeusi kiasi
	👩🏾‍❤️‍💋‍👨🏼;busu: mwanamke, mwanamume, ngozi nyeusi kiasi na ngozi nyeupe kiasi;busu|busu: mwanamke, mwanamume, ngozi nyeusi kiasi na ngozi nyeupe kiasi|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeupe kiasi|ngozi nyeusi kiasi
	👩🏾‍❤️‍💋‍👨🏽;busu: mwanamke, mwanamume, ngozi nyeusi kiasi na ngozi ya kahawia;busu|busu: mwanamke, mwanamume, ngozi nyeusi kiasi na ngozi ya kahawia|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeusi kiasi|ngozi ya kahawia
	👩🏾‍❤️‍💋‍👨🏾;busu: mwanamke, mwanamume na ngozi nyeusi kiasi;busu|busu: mwanamke, mwanamume na ngozi nyeusi kiasi|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeusi kiasi
	👩🏾‍❤️‍💋‍👨🏿;busu: mwanamke, mwanamume, ngozi nyeusi kiasi na ngozi nyeusi;busu|busu: mwanamke, mwanamume, ngozi nyeusi kiasi na ngozi nyeusi|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeusi|ngozi nyeusi kiasi
	👩🏿‍❤️‍💋‍👨🏻;busu: mwanamke, mwanamume, ngozi nyeusi na ngozi nyeupe;busu|busu: mwanamke, mwanamume, ngozi nyeusi na ngozi nyeupe|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeupe|ngozi nyeusi
	👩🏿‍❤️‍💋‍👨🏼;busu: mwanamke, mwanamume, ngozi nyeusi na ngozi nyeupe kiasi;busu|busu: mwanamke, mwanamume, ngozi nyeusi na ngozi nyeupe kiasi|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeupe kiasi|ngozi nyeusi
	👩🏿‍❤️‍💋‍👨🏽;busu: mwanamke, mwanamume, ngozi nyeusi na ngozi ya kahawia;busu|busu: mwanamke, mwanamume, ngozi nyeusi na ngozi ya kahawia|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeusi|ngozi ya kahawia
	👩🏿‍❤️‍💋‍👨🏾;busu: mwanamke, mwanamume, ngozi nyeusi na ngozi nyeusi kiasi;busu|busu: mwanamke, mwanamume, ngozi nyeusi na ngozi nyeusi kiasi|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeusi|ngozi nyeusi kiasi
	👩🏿‍❤️‍💋‍👨🏿;busu: mwanamke, mwanamume na ngozi nyeusi;busu|busu: mwanamke, mwanamume na ngozi nyeusi|mapenzi|mume na mke|mwanamke|mwanamume|ngozi nyeusi
👨‍❤️‍💋‍👨;busu: mwanamume na mwanamume;busu|busu: mwanamume na mwanamume|mapenzi|mume na mke|mwanamume
	👨🏻‍❤️‍💋‍👨🏻;busu: mwanamume, mwanamume na ngozi nyeupe;busu|busu: mwanamume, mwanamume na ngozi nyeupe|mapenzi|mume na mke|mwanamume|ngozi nyeupe
	👨🏻‍❤️‍💋‍👨🏼;busu: mwanamume, mwanamume, ngozi nyeupe na ngozi nyeupe kiasi;busu|busu: mwanamume, mwanamume, ngozi nyeupe na ngozi nyeupe kiasi|mapenzi|mume na mke|mwanamume|ngozi nyeupe|ngozi nyeupe kiasi
	👨🏻‍❤️‍💋‍👨🏽;busu: mwanamume, mwanamume, ngozi nyeupe na ngozi ya kahawia;busu|busu: mwanamume, mwanamume, ngozi nyeupe na ngozi ya kahawia|mapenzi|mume na mke|mwanamume|ngozi nyeupe|ngozi ya kahawia
	👨🏻‍❤️‍💋‍👨🏾;busu: mwanamume, mwanamume, ngozi nyeupe na ngozi nyeusi kiasi;busu|busu: mwanamume, mwanamume, ngozi nyeupe na ngozi nyeusi kiasi|mapenzi|mume na mke|mwanamume|ngozi nyeupe|ngozi nyeusi kiasi
	👨🏻‍❤️‍💋‍👨🏿;busu: mwanamume, mwanamume, ngozi nyeupe na ngozi nyeusi;busu|busu: mwanamume, mwanamume, ngozi nyeupe na ngozi nyeusi|mapenzi|mume na mke|mwanamume|ngozi nyeupe|ngozi nyeusi
	👨🏼‍❤️‍💋‍👨🏻;busu: mwanamume, mwanamume, ngozi nyeupe kiasi na ngozi nyeupe;busu|busu: mwanamume, mwanamume, ngozi nyeupe kiasi na ngozi nyeupe|mapenzi|mume na mke|mwanamume|ngozi nyeupe|ngozi nyeupe kiasi
	👨🏼‍❤️‍💋‍👨🏼;busu: mwanamume, mwanamume na ngozi nyeupe kiasi;busu|busu: mwanamume, mwanamume na ngozi nyeupe kiasi|mapenzi|mume na mke|mwanamume|ngozi nyeupe kiasi
	👨🏼‍❤️‍💋‍👨🏽;busu: mwanamume, mwanamume, ngozi nyeupe kiasi na ngozi ya kahawia;busu|busu: mwanamume, mwanamume, ngozi nyeupe kiasi na ngozi ya kahawia|mapenzi|mume na mke|mwanamume|ngozi nyeupe kiasi|ngozi ya kahawia
	👨🏼‍❤️‍💋‍👨🏾;busu: mwanamume, mwanamume, ngozi nyeupe kiasi na ngozi nyeusi kiasi;busu|busu: mwanamume, mwanamume, ngozi nyeupe kiasi na ngozi nyeusi kiasi|mapenzi|mume na mke|mwanamume|ngozi nyeupe kiasi|ngozi nyeusi kiasi
	👨🏼‍❤️‍💋‍👨🏿;busu: mwanamume, mwanamume, ngozi nyeupe kiasi na ngozi nyeusi;busu|busu: mwanamume, mwanamume, ngozi nyeupe kiasi na ngozi nyeusi|mapenzi|mume na mke|mwanamume|ngozi nyeupe kiasi|ngozi nyeusi
	👨🏽‍❤️‍💋‍👨🏻;busu: mwanamume, mwanamume, ngozi ya kahawia na ngozi nyeupe;busu|busu: mwanamume, mwanamume, ngozi ya kahawia na ngozi nyeupe|mapenzi|mume na mke|mwanamume|ngozi nyeupe|ngozi ya kahawia
	👨🏽‍❤️‍💋‍👨🏼;busu: mwanamume, mwanamume, ngozi ya kahawia na ngozi nyeupe kiasi;busu|busu: mwanamume, mwanamume, ngozi ya kahawia na ngozi nyeupe kiasi|mapenzi|mume na mke|mwanamume|ngozi nyeupe kiasi|ngozi ya kahawia
	👨🏽‍❤️‍💋‍👨🏽;busu: mwanamume, mwanamume na ngozi ya kahawia;busu|busu: mwanamume, mwanamume na ngozi ya kahawia|mapenzi|mume na mke|mwanamume|ngozi ya kahawia
	👨🏽‍❤️‍💋‍👨🏾;busu: mwanamume, mwanamume, ngozi ya kahawia na ngozi nyeusi kiasi;busu|busu: mwanamume, mwanamume, ngozi ya kahawia na ngozi nyeusi kiasi|mapenzi|mume na mke|mwanamume|ngozi nyeusi kiasi|ngozi ya kahawia
	👨🏽‍❤️‍💋‍👨🏿;busu: mwanamume, mwanamume, ngozi ya kahawia na ngozi nyeusi;busu|busu: mwanamume, mwanamume, ngozi ya kahawia na ngozi nyeusi|mapenzi|mume na mke|mwanamume|ngozi nyeusi|ngozi ya kahawia
	👨🏾‍❤️‍💋‍👨🏻;busu: mwanamume, mwanamume, ngozi nyeusi kiasi na ngozi nyeupe;busu|busu: mwanamume, mwanamume, ngozi nyeusi kiasi na ngozi nyeupe|mapenzi|mume na mke|mwanamume|ngozi nyeupe|ngozi nyeusi kiasi
	👨🏾‍❤️‍💋‍👨🏼;busu: mwanamume, mwanamume, ngozi nyeusi kiasi na ngozi nyeupe kiasi;busu|busu: mwanamume, mwanamume, ngozi nyeusi kiasi na ngozi nyeupe kiasi|mapenzi|mume na mke|mwanamume|ngozi nyeupe kiasi|ngozi nyeusi kiasi
	👨🏾‍❤️‍💋‍👨🏽;busu: mwanamume, mwanamume, ngozi nyeusi kiasi na ngozi ya kahawia;busu|busu: mwanamume, mwanamume, ngozi nyeusi kiasi na ngozi ya kahawia|mapenzi|mume na mke|mwanamume|ngozi nyeusi kiasi|ngozi ya kahawia
	👨🏾‍❤️‍💋‍👨🏾;busu: mwanamume, mwanamume na ngozi nyeusi kiasi;busu|busu: mwanamume, mwanamume na ngozi nyeusi kiasi|mapenzi|mume na mke|mwanamume|ngozi nyeusi kiasi
	👨🏾‍❤️‍💋‍👨🏿;busu: mwanamume, mwanamume, ngozi nyeusi kiasi na ngozi nyeusi;busu|busu: mwanamume, mwanamume, ngozi nyeusi kiasi na ngozi nyeusi|mapenzi|mume na mke|mwanamume|ngozi nyeusi|ngozi nyeusi kiasi
	👨🏿‍❤️‍💋‍👨🏻;busu: mwanamume, mwanamume, ngozi nyeusi na ngozi nyeupe;busu|busu: mwanamume, mwanamume, ngozi nyeusi na ngozi nyeupe|mapenzi|mume na mke|mwanamume|ngozi nyeupe|ngozi nyeusi
	👨🏿‍❤️‍💋‍👨🏼;busu: mwanamume, mwanamume, ngozi nyeusi na ngozi nyeupe kiasi;busu|busu: mwanamume, mwanamume, ngozi nyeusi na ngozi nyeupe kiasi|mapenzi|mume na mke|mwanamume|ngozi nyeupe kiasi|ngozi nyeusi
	👨🏿‍❤️‍💋‍👨🏽;busu: mwanamume, mwanamume, ngozi nyeusi na ngozi ya kahawia;busu|busu: mwanamume, mwanamume, ngozi nyeusi na ngozi ya kahawia|mapenzi|mume na mke|mwanamume|ngozi nyeusi|ngozi ya kahawia
	👨🏿‍❤️‍💋‍👨🏾;busu: mwanamume, mwanamume, ngozi nyeusi na ngozi nyeusi kiasi;busu|busu: mwanamume, mwanamume, ngozi nyeusi na ngozi nyeusi kiasi|mapenzi|mume na mke|mwanamume|ngozi nyeusi|ngozi nyeusi kiasi
	👨🏿‍❤️‍💋‍👨🏿;busu: mwanamume, mwanamume na ngozi nyeusi;busu|busu: mwanamume, mwanamume na ngozi nyeusi|mapenzi|mume na mke|mwanamume|ngozi nyeusi
👩‍❤️‍💋‍👩;busu: mwanamke na mwanamke;busu|busu: mwanamke na mwanamke|mapenzi|mume na mke|mwanamke
	👩🏻‍❤️‍💋‍👩🏻;busu: mwanamke, mwanamke na ngozi nyeupe;busu|busu: mwanamke, mwanamke na ngozi nyeupe|mapenzi|mume na mke|mwanamke|ngozi nyeupe
	👩🏻‍❤️‍💋‍👩🏼;busu: mwanamke, mwanamke, ngozi nyeupe na ngozi nyeupe kiasi;busu|busu: mwanamke, mwanamke, ngozi nyeupe na ngozi nyeupe kiasi|mapenzi|mume na mke|mwanamke|ngozi nyeupe|ngozi nyeupe kiasi
	👩🏻‍❤️‍💋‍👩🏽;busu: mwanamke, mwanamke, ngozi nyeupe na ngozi ya kahawia;busu|busu: mwanamke, mwanamke, ngozi nyeupe na ngozi ya kahawia|mapenzi|mume na mke|mwanamke|ngozi nyeupe|ngozi ya kahawia
	👩🏻‍❤️‍💋‍👩🏾;busu: mwanamke, mwanamke, ngozi nyeupe na ngozi nyeusi kiasi;busu|busu: mwanamke, mwanamke, ngozi nyeupe na ngozi nyeusi kiasi|mapenzi|mume na mke|mwanamke|ngozi nyeupe|ngozi nyeusi kiasi
	👩🏻‍❤️‍💋‍👩🏿;busu: mwanamke, mwanamke, ngozi nyeupe na ngozi nyeusi;busu|busu: mwanamke, mwanamke, ngozi nyeupe na ngozi nyeusi|mapenzi|mume na mke|mwanamke|ngozi nyeupe|ngozi nyeusi
	👩🏼‍❤️‍💋‍👩🏻;busu: mwanamke, mwanamke, ngozi nyeupe kiasi na ngozi nyeupe;busu|busu: mwanamke, mwanamke, ngozi nyeupe kiasi na ngozi nyeupe|mapenzi|mume na mke|mwanamke|ngozi nyeupe|ngozi nyeupe kiasi
	👩🏼‍❤️‍💋‍👩🏼;busu: mwanamke, mwanamke na ngozi nyeupe kiasi;busu|busu: mwanamke, mwanamke na ngozi nyeupe kiasi|mapenzi|mume na mke|mwanamke|ngozi nyeupe kiasi
	👩🏼‍❤️‍💋‍👩🏽;busu: mwanamke, mwanamke, ngozi nyeupe kiasi na ngozi ya kahawia;busu|busu: mwanamke, mwanamke, ngozi nyeupe kiasi na ngozi ya kahawia|mapenzi|mume na mke|mwanamke|ngozi nyeupe kiasi|ngozi ya kahawia
	👩🏼‍❤️‍💋‍👩🏾;busu: mwanamke, mwanamke, ngozi nyeupe kiasi na ngozi nyeusi kiasi;busu|busu: mwanamke, mwanamke, ngozi nyeupe kiasi na ngozi nyeusi kiasi|mapenzi|mume na mke|mwanamke|ngozi nyeupe kiasi|ngozi nyeusi kiasi
	👩🏼‍❤️‍💋‍👩🏿;busu: mwanamke, mwanamke, ngozi nyeupe kiasi na ngozi nyeusi;busu|busu: mwanamke, mwanamke, ngozi nyeupe kiasi na ngozi nyeusi|mapenzi|mume na mke|mwanamke|ngozi nyeupe kiasi|ngozi nyeusi
	👩🏽‍❤️‍💋‍👩🏻;busu: mwanamke, mwanamke, ngozi ya kahawia na ngozi nyeupe;busu|busu: mwanamke, mwanamke, ngozi ya kahawia na ngozi nyeupe|mapenzi|mume na mke|mwanamke|ngozi nyeupe|ngozi ya kahawia
	👩🏽‍❤️‍💋‍👩🏼;busu: mwanamke, mwanamke, ngozi ya kahawia na ngozi nyeupe kiasi;busu|busu: mwanamke, mwanamke, ngozi ya kahawia na ngozi nyeupe kiasi|mapenzi|mume na mke|mwanamke|ngozi nyeupe kiasi|ngozi ya kahawia
	👩🏽‍❤️‍💋‍👩🏽;busu: mwanamke, mwanamke na ngozi ya kahawia;busu|busu: mwanamke, mwanamke na ngozi ya kahawia|mapenzi|mume na mke|mwanamke|ngozi ya kahawia
	👩🏽‍❤️‍💋‍👩🏾;busu: mwanamke, mwanamke, ngozi ya kahawia na ngozi nyeusi kiasi;busu|busu: mwanamke, mwanamke, ngozi ya kahawia na ngozi nyeusi kiasi|mapenzi|mume na mke|mwanamke|ngozi nyeusi kiasi|ngozi ya kahawia
	👩🏽‍❤️‍💋‍👩🏿;busu: mwanamke, mwanamke, ngozi ya kahawia na ngozi nyeusi;busu|busu: mwanamke, mwanamke, ngozi ya kahawia na ngozi nyeusi|mapenzi|mume na mke|mwanamke|ngozi nyeusi|ngozi ya kahawia
	👩🏾‍❤️‍💋‍👩🏻;busu: mwanamke, mwanamke, ngozi nyeusi kiasi na ngozi nyeupe;busu|busu: mwanamke, mwanamke, ngozi nyeusi kiasi na ngozi nyeupe|mapenzi|mume na mke|mwanamke|ngozi nyeupe|ngozi nyeusi kiasi
	👩🏾‍❤️‍💋‍👩🏼;busu: mwanamke, mwanamke, ngozi nyeusi kiasi na ngozi nyeupe kiasi;busu|busu: mwanamke, mwanamke, ngozi nyeusi kiasi na ngozi nyeupe kiasi|mapenzi|mume na mke|mwanamke|ngozi nyeupe kiasi|ngozi nyeusi kiasi
	👩🏾‍❤️‍💋‍👩🏽;busu: mwanamke, mwanamke, ngozi nyeusi kiasi na ngozi ya kahawia;busu|busu: mwanamke, mwanamke, ngozi nyeusi kiasi na ngozi ya kahawia|mapenzi|mume na mke|mwanamke|ngozi nyeusi kiasi|ngozi ya kahawia
	👩🏾‍❤️‍💋‍👩🏾;busu: mwanamke, mwanamke na ngozi nyeusi kiasi;busu|busu: mwanamke, mwanamke na ngozi nyeusi kiasi|mapenzi|mume na mke|mwanamke|ngozi nyeusi kiasi
	👩🏾‍❤️‍💋‍👩🏿;busu: mwanamke, mwanamke, ngozi nyeusi kiasi na ngozi nyeusi;busu|busu: mwanamke, mwanamke, ngozi nyeusi kiasi na ngozi nyeusi|mapenzi|mume na mke|mwanamke|ngozi nyeusi|ngozi nyeusi kiasi
	👩🏿‍❤️‍💋‍👩🏻;busu: mwanamke, mwanamke, ngozi nyeusi na ngozi nyeupe;busu|busu: mwanamke, mwanamke, ngozi nyeusi na ngozi nyeupe|mapenzi|mume na mke|mwanamke|ngozi nyeupe|ngozi nyeusi
	👩🏿‍❤️‍💋‍👩🏼;busu: mwanamke, mwanamke, ngozi nyeusi na ngozi nyeupe kiasi;busu|busu: mwanamke, mwanamke, ngozi nyeusi na ngozi nyeupe kiasi|mapenzi|mume na mke|mwanamke|ngozi nyeupe kiasi|ngozi nyeusi
	👩🏿‍❤️‍💋‍👩🏽;busu: mwanamke, mwanamke, ngozi nyeusi na ngozi ya kahawia;busu|busu: mwanamke, mwanamke, ngozi nyeusi na ngozi ya kahawia|mapenzi|mume na mke|mwanamke|ngozi nyeusi|ngozi ya kahawia
	👩🏿‍❤️‍💋‍👩🏾;busu: mwanamke, mwanamke, ngozi nyeusi na ngozi nyeusi kiasi;busu|busu: mwanamke, mwanamke, ngozi nyeusi na ngozi nyeusi kiasi|mapenzi|mume na mke|mwanamke|ngozi nyeusi|ngozi nyeusi kiasi
	👩🏿‍❤️‍💋‍👩🏿;busu: mwanamke, mwanamke na ngozi nyeusi;busu|busu: mwanamke, mwanamke na ngozi nyeusi|mapenzi|mume na mke|mwanamke|ngozi nyeusi
💑;mume na mke na ishara ya moyo;mapenzi|moyo|mume na mke|mume na mke na ishara ya moyo|upendo
	💑🏻;mume na mke na ishara ya moyo: ngozi nyeupe;mapenzi|moyo|mume na mke|mume na mke na ishara ya moyo|mume na mke na ishara ya moyo: ngozi nyeupe|ngozi nyeupe|upendo
	💑🏼;mume na mke na ishara ya moyo: ngozi nyeupe kiasi;mapenzi|moyo|mume na mke|mume na mke na ishara ya moyo|mume na mke na ishara ya moyo: ngozi nyeupe kiasi|ngozi nyeupe kiasi|upendo
	💑🏽;mume na mke na ishara ya moyo: ngozi ya kahawia;mapenzi|moyo|mume na mke|mume na mke na ishara ya moyo|mume na mke na ishara ya moyo: ngozi ya kahawia|ngozi ya kahawia|upendo
	💑🏾;mume na mke na ishara ya moyo: ngozi nyeusi kiasi;mapenzi|moyo|mume na mke|mume na mke na ishara ya moyo|mume na mke na ishara ya moyo: ngozi nyeusi kiasi|ngozi nyeusi kiasi|upendo
	💑🏿;mume na mke na ishara ya moyo: ngozi nyeusi;mapenzi|moyo|mume na mke|mume na mke na ishara ya moyo|mume na mke na ishara ya moyo: ngozi nyeusi|ngozi nyeusi|upendo
	🧑🏻‍❤️‍🧑🏼;mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi nyeupe na ngozi nyeupe kiasi;mapenzi|moyo|mtu mzima|mume na mke|mume na mke na ishara ya moyo|mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi nyeupe na ngozi nyeupe kiasi|ngozi nyeupe|ngozi nyeupe kiasi|upendo
	🧑🏻‍❤️‍🧑🏽;mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi nyeupe na ngozi ya kahawia;mapenzi|moyo|mtu mzima|mume na mke|mume na mke na ishara ya moyo|mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi nyeupe na ngozi ya kahawia|ngozi nyeupe|ngozi ya kahawia|upendo
	🧑🏻‍❤️‍🧑🏾;mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi nyeupe na ngozi nyeusi kiasi;mapenzi|moyo|mtu mzima|mume na mke|mume na mke na ishara ya moyo|mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi nyeupe na ngozi nyeusi kiasi|ngozi nyeupe|ngozi nyeusi kiasi|upendo
	🧑🏻‍❤️‍🧑🏿;mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi nyeupe na ngozi nyeusi;mapenzi|moyo|mtu mzima|mume na mke|mume na mke na ishara ya moyo|mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi nyeupe na ngozi nyeusi|ngozi nyeupe|ngozi nyeusi|upendo
	🧑🏼‍❤️‍🧑🏻;mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi nyeupe kiasi na ngozi nyeupe;mapenzi|moyo|mtu mzima|mume na mke|mume na mke na ishara ya moyo|mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi nyeupe kiasi na ngozi nyeupe|ngozi nyeupe|ngozi nyeupe kiasi|upendo
	🧑🏼‍❤️‍🧑🏽;mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi nyeupe kiasi na ngozi ya kahawia;mapenzi|moyo|mtu mzima|mume na mke|mume na mke na ishara ya moyo|mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi nyeupe kiasi na ngozi ya kahawia|ngozi nyeupe kiasi|ngozi ya kahawia|upendo
	🧑🏼‍❤️‍🧑🏾;mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi nyeupe kiasi na ngozi nyeusi kiasi;mapenzi|moyo|mtu mzima|mume na mke|mume na mke na ishara ya moyo|mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi nyeupe kiasi na ngozi nyeusi kiasi|ngozi nyeupe kiasi|ngozi nyeusi kiasi|upendo
	🧑🏼‍❤️‍🧑🏿;mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi nyeupe kiasi na ngozi nyeusi;mapenzi|moyo|mtu mzima|mume na mke|mume na mke na ishara ya moyo|mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi nyeupe kiasi na ngozi nyeusi|ngozi nyeupe kiasi|ngozi nyeusi|upendo
	🧑🏽‍❤️‍🧑🏻;mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi ya kahawia na ngozi nyeupe;mapenzi|moyo|mtu mzima|mume na mke|mume na mke na ishara ya moyo|mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi ya kahawia na ngozi nyeupe|ngozi nyeupe|ngozi ya kahawia|upendo
	🧑🏽‍❤️‍🧑🏼;mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi ya kahawia na ngozi nyeupe kiasi;mapenzi|moyo|mtu mzima|mume na mke|mume na mke na ishara ya moyo|mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi ya kahawia na ngozi nyeupe kiasi|ngozi nyeupe kiasi|ngozi ya kahawia|upendo
	🧑🏽‍❤️‍🧑🏾;mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi ya kahawia na ngozi nyeusi kiasi;mapenzi|moyo|mtu mzima|mume na mke|mume na mke na ishara ya moyo|mume na mke na ishara ya moyo: mtu mzima, mtu mzima, ngozi ya kahawia na ngozi nyeusi kiasi|ngozi nyeusi kiasi|ngozi ya kahawia|upendo
