[smileys_emotion]
😀;Ojú tó rɛ́rìn;fɛyín|ojú|Ojú tó rɛ́rìn
🪹;ibi ìyéeyin òfìfo;ibi ìyéeyin òfìfo|ibi iyeyin ofo|yiye
🪺;ibi ìyéeyin pɛ̀lú ɛyin;ibi ìyéeyin pɛ̀lú ɛyin|yíyé
🍄;Olu;Olu|olú pupa

[food_drink]
🍇;Girapu;Èso|èso àjàrà|Girapu
🍈;Ɛ̀gúsí;Èso|Ɛ̀gúsí
🍉;Eso Bara;Èso|Eso Bara
🍊;Tanjarini;Èso|ôsán|Tanjarini
🍋;Orombo-wɛwɛ Chiffon;èso|Orombo-wɛwɛ Chiffon|ɔsàn
🍋‍🟩;ɔsàn wɛ́wɛ́;agbègbè mímóoru|àwɔn èso ɔsàn|èso|ɔsàn wɛ́wɛ́
🍌;Ɔ̀gɛ̀dɛ̀;Èso|Ɔ̀gɛ̀dɛ̀
🍍;Ɔpɛ-oyinbo;Èso|Ɔpɛ-oyinbo
🥭;mángò;eka ojo rírɔ̀|èso|mángò
🍎;Apu Pupa;apù|Apu Pupa|èso|pupa
🍏;Apu Alawɔ Ewe;apù|Apu Alawɔ Ewe|àwɔ̀ ewé|èso
🍐;Píà;Èso|Píà
🍑;Píísì;Èso|Píísì
🍒;Shɛɛri;aláwɔ̀ ewé|apù|èso|Shɛɛri
🍓;Eso dundun;bɛ́rì|èso|Eso dundun
🫐;bɛ́rì búlù;àwɔ́n bɛ́rì búlù|bɛ́rì|bilìbɛ́rì|búlù
🥝;Eso Kiwi;èso|Eso Kiwi|kíwì|ónjɛ
🍅;Timati;èso|ɛ̀fɔ́|Timati
🫒;Olifi;Olifi|oúnjɛ́
🥥;àgbɔn;àgbɔn|ɔ̀pɛ|pina colada
🥑;Afokado;Afokado|afokádò|èso|ónjɛ
🍆;Igba;èso|Igba|ìgbá
🥔;Ànàmɔ́;Ànàmɔ́|ɛ̀fɔ́|ónjɛ
🥕;Kárɔ̀tì;ɛ̀fɔ́|kárɔ́tì|Kárɔ̀tì|ónjɛ
🌽;Agbado;Agbado|àgbàdo|àgbàdo yínyín|etí|ɔ̀nà ìrújú
🌶️;ata gbígbónɔ̀;ata|gbígbónɔ̀
🫑;tàtàsé;ata|efo|tatase|tàtàsé
🥒;Kùkúmbà;ɛ̀fɔ́|Kùkúmbà|ónjɛ|píkù
🥬;ɛ̀fɔ́;efo|ɛ̀fɔ́|kabɛ́ɛ̀jì|tete
🥦;ewé ɛlɛ́fɔ̀ɔ́;ewé ɛlɛ́fɔ̀ɔ́|kabeji ìbílɛ̀
🧄;gálíìkì;fifi awo sí|gálíìkì|galilki
🧅;àlùbɔ́sà;alùbosà|àlùbɔ́sà|fifi awo si
🥜;Ɛpa;ɛ̀fɔ́|Ɛpa|ɛ̀pà|kóró inú èso|ónjɛ
🫘;ɛ̀wà;edo|efo|ewa|ɛ̀wà|ounje
🌰;Kóró inú èso búránù;Kóró inú èso búránù|õgbìn
🫚;jínjà;ata|jínjà|oti
🫛;eap;ea|eap|efo|ewa
🍄‍🟫;olú aláwɔ̀ pupa rɛ́súrɛ́sú;ewébɛ̀|ìshɛ̀dá|olú aláwɔ̀ pupa rɛ́súrɛ́sú|olú híhù|oúnjɛ
🍞;Búrɛ́dì;Búrɛ́dì|búrɛ́dì gígé
🥐;Kurosanti;búrɛ́dì|faransé|kírísɛ́ntì|Kurosanti|ónjɛ
🥖;Burɛdi Baguette;búrɛ́dì|Burɛdi Baguette|búrɛ́dì gbɔɔrɔ|faransé|ónjɛ
🫓;búrɛ́ɛ̀dì pɛlɛpɛ;buredi pelebe|búrɛ́ɛ̀dì pɛlɛpɛ|pita
🥨;pretzel;lɔ́pɔ̀|pretzel
🥯;bágɛ́lì;bageli|bágɛ́lì|ibi ipese buredi|ounje aaro
🥞;Atike Ikunju;Atike Ikunju|búrɛ́dì pɛlɛbɛ|crepe|ónjɛ
🧇;wáfù;aimo nnkan|ounje arro|wafu|wáfù
🧀;Waara Wedge;Waara Wedge|wàrà
🍖;Ɛran Ara Egungun;eegun|ɛran|Ɛran Ara Egungun
🍗;Ɛsɛ Adiyɛ;adìye|eegun|ɛsɛ̀|Ɛsɛ Adiyɛ|ilé àdìyé
🥩;ìgé ɛran;ìgé ɛran|ijɛ àgùntàn|ijɛ ɛlɛ́dɛ̀|ìjɛun|steak
🥓;Ɛran Ɛlɛdɛ;ɛran|Ɛran Ɛlɛdɛ|ɛran ɛlɛ́dɛ̀|ónjɛ
🍔;Hamburger;bɔ́gà|Hamburger
🍟;Ounjɛ Ipanu Didun;didin|french|Ounjɛ Ipanu Didun
🍕;Písà;gígé|Písà|wàrà
🌭;Hot Dog;àlɔ́pɔ̀ ɛrán|àlɔ́pɔ̀ ɛran àti ɛran ɛlɛ́dɛ̀|èran ɛlɛ́dɛ̀ papɔ̀ pɛ̀lú ɛran|Hot Dog
🥪;búrɛ́dì alákànpɔ̀;Búrɛ́dì|búrɛ́dì alákànpɔ̀
🌮;Taco;ónjɛ mɛ́síkò|Taco
🌯;Burito;Burito|ónjɛ mɛ́síkò|wépò
🫔;tamalé;kopɔ̀|tamalé|ti mesiko
🥙;Burɛdi Afunpɔ Pɛlɛbɛ;Burɛdi Afunpɔ Pɛlɛbɛ|búrɛdì àfúnpɔ̀ pɛlɛbɛ|falafe|gyro|kebab|ónjɛ|stuufe
🧆;faláfɛ́l]i;ewa|faláfɛ́l]i
🥚;Ɛyin;Ɛyin|ónjɛ
🍳;Dídáná;Dídáná|dídín|ɛyin|páànù
🥘;Paanu Ijɛun kekere;kásɛrɔ̀|ónjɛ|Paanu Ijɛun kekere|páànù shálò|pàɛ́là|shálò
🍲;Ikoko Ounjɛ;ìkòkò|Ikoko Ounjɛ|ɔbɛ̀
🫕;fóndù;fóndù|pɔ́ɔ̀tù|wara
🥣;abɔ́ pɛ̀lú shíbí;abɔ́ pɛ̀lú shíbí|àgbàdo|congee|ónjɛ àrɔ̀
🥗;Saladi Elewe;eléwé|ónjɛ|sàláádì|Saladi Elewe
🍿;Gúgúrú;Gúgúrú
🧈;bɔ́tà;bɔ́tà|mílíkì
🧂;iyɔ̀;ero ounje|iyo|iyɔ̀
🥫;ónjɛ inú agolo;agolo|ónjɛ inú agolo
🍱;Apoti Bento;Apoti|Bento
🍘;Biskit Irɛsi;bisikí|Biskit Irɛsi|ìrɛ̀sì
🍙;Irɛsi Roboto;bɔ̀ɔ́lú|ìrɛsì|Irɛsi Roboto|japanese
🍚;Irɛsi Sise;Irɛsi|Sise
🍛;irɛsi kɔri;irɛsi|kɔri
🍜;Abɔ ibɔhun;abɔ́|Abɔ ibɔhun|núdù|oru|rámɛ̀n
🍝;Spagɛti;pásítà|Spagɛti
🍠;Anamɔ dindin;ànàmɔ́|Anamɔ dindin|dídùn|yíyan
🍢;Oden;igi|keháb|Oden|ónjɛ omi|síkíwà
🍣;Sushi;Sushi
🍤;Ede Dindin;dídín|Ede Dindin|ɛdɛ|shírímpù|tɛ́mpúrà
🍥;Eja dindin Pɛlu Swirl;àkàrà òyìnbó|Eja dindin Pɛlu Swirl|ónjɛ oní fíláwà|swirl
🥮;àkàrà òsùpá;akara osupa|àkàrà òsùpá|ayeye|igba ogbele
🍡;Dango;àdídùn|Dango|igi|japanese|ónjé dídùn|skewer
🥟;ìgbɛ́;empanada|gyōza|ìgbɛ́|jiaozi|pierogi|potsticker
🥠;kúkì fortune;asɔtɛ́lɛ̀|kúkì fortune
🥡;àpótí àgbéjáde;àpótí àgbéjáde|péèlìa ɔ́yɛ́stà
🦀;Alákàn;Alákàn|àmi oshù ìbí|Cancer
🦞;akàn;akàn|alakan|ounje omi
🦐;Ede;Ede|edé|ɛja inú ìkarahun|kékeré|ónjɛ
🦑;Sikidi;mólúsì|ónjɛ|Sikidi|síkídì
🦪;alákàn ńlá;alákàn ńlá|bibe somi|pálì
🍦;Wara Didi Rirɔ;àdídùn|fɛ́lɛ́|kírímù|ónjɛ dídùn|Wara Didi Rirɔ|yìnyín|yìnyín dídùn
🍧;Yinyin Gige;àdídùn|fá|ónjɛ dídùn|yìnyín|Yinyin Gige
🍨;Wara Didi;àdídùn|kírímù|ónjɛ dídùn|Wara Didi|yìnyín
🍩;Dónɔ́ɔ̀tì;àdídùn|Dónɔ́ɔ̀tì|dónɔtì|ónjɛ dídùn
🍪;Kuki;àdídùn|Kuki|ónjɛ dídùn
🎂;Àkàrà òyìnbó ɔjɔ́ìbí;àdídùn|àkàrà òyìnbó|Àkàrà òyìnbó ɔjɔ́ìbí|ayɛyɛ|ónjɛ dídùn|ónjɛ oní fíláwà|ɔjɔ́ìbí
🍰;Akara kekere;àdídùn|Akara kekere|àkàrà òyìnbó|gígé|ónjɛ dídùn|ónjɛ oní fíláwà
🧁;akara oyinbo;akara oyinbo|ile ipese buredi
🥧;róbótó;àkàrà|kíkún|róbótó
🍫;Shokoleti Didi;àdídùn|ilé otí|ónjɛ dídùn|shokolétì|Shokoleti Didi
🍬;Kandi;àdídùn|Kandi|ónjɛ dídùn
🍭;Suuti Onigi;àdídùn|káńdì|ónjɛ dídùn|Suuti Onigi
🍮;Kɔ́sítàdì;àdídùn|Kɔ́sítàdì|ónjɛ dídùn|púdínì
🍯;Koko Oyin;àdídùn|ìkòkò|Koko Oyin|oyin
🍼;Igo Ikoko;ìgò|Igo Ikoko|ìkókó|mílíkì|ohun mímu
🥛;Ife Wara;gílásì|Ife Wara|mílíkì|mu
☕;Tii Gbigbona;gbígóná|kɔfí|mímu|ohun mímu oní kòkó|tíì|Tii Gbigbona|yíyɔ oru
🫖;pɔ́ɔ̀tù tíì;mu|pootu|pɔ́ɔ̀tù tíì|tíì
🍵;Ife Tii laini Ɔwɔ;ife|Ife Tii laini Ɔwɔ|mímu|o ohun mímu oní kòkó|tíì
🍶;Sake;ife|ìgò|ilé ɔtí|ohun mímu|ohun mímu oní kòkó|Sake
🍾;Igo Olori Yiyɔ;ìdérí ɔtí|ìgò|Igo Olori Yiyɔ|ilé ɔtí|ìshí ɔtí|ohun mímu
🍷;Gilasi Waini;gílásì|Gilasi Waini|ilé ɔtí|ohun mímu|ohun mímu oní kòkó|wáìnì
🍸;Gilasi Ounjɛ Amulumala;Gilasi Ounjɛ Amulumala|ilé ɔtí|ónjɛ àmúlùmálà
🍹;Ohun Mimu Akoko Oorun;ilé ɔtí|ohun mímu|Ohun Mimu Akoko Oorun|ɔlɔ́pɛ
🍺;Imuti;ilé ɔtí|Imuti|ìmutí|ohun mímu|ɔtí
🍻;Imuti Dídún;dídún|ilé ɔtí|ímu|ìmutí|Imuti Dídún|ɔtí
🥂;Gilasi Didun;ayɛyɛ|dún|gílásì|Gilasi Didun|ohun mímu
🥃;Gilasi Tɔnbila;gílásì|Gilasi Tɔnbila|ɔtí|ɔtí líle|shɔ́ɔ̀tí|tɔ́mbílà
🫗;nǹkan olómi dídà;dà|dída nnkan olómi|gilaasì|mu|nǹkan olómi dídà|ofo
🥤;ife pɛ̀lú sírɔ̀;ɛlɛ́rìndòdò|ife pɛ̀lú sírɔ̀|sódà
🧋;tíì bɔ́bù;tíì|tíì bɔ́bù|wara
🧃;ibi oúnjɛ́;dun|ibi|ibi oúnjɛ́|júùsì
🧉;ɛgbɛ́;egbé|ɛgbɛ́|mu
🧊;dídì;di|dídì|kúùbù dídí|tutu
🥢;ìlàrí;áshì|ìlàrí
🍽️;fɔ́ɔ̀kì àti ɔ̀bɛ pɛ̀lú àwo;àwo|fɔ́ɔ̀kì|fɔ́ɔ̀kì àti ɔ̀bɛ pɛ̀lú àwo|ónjɛ sísè|ɔ̀bɛ
🍴;Fɔki Ati Ɔbɛ;Fɔki Ati Ɔbɛ|fɔ́ɔ̀kì|ónjɛ sísè|ɔ̀bɛ
🥄;Shíbí;ǹkan ilé ìdáná|Shíbí
🔪;ɔbɛ iyara-idana;àsè|hocho|irinshɛ́|irinshɛ́ ìjagun|ò̩bɛ|ɔbɛ iyara-idana
🫙;ife nla;eroja ounje|ibi idáná|ife nla|sofo
🏺;Amphora;àmi oshù ìbí|Amphora|Aquarius|dídáná|ife omi|irinshɛ́|irinshɛ́ ìjagun|ohun mímu

[travel_places]
🌍;Gulobu To N Shafihan Uropu-Afirika;áfíríkà|àgbáyé|ayé|gílóbù|Gulobu To N Shafihan Uropu-Afirika|írópù
🌎;Gulobu To N Shafihan Amɛrika;àgbáyé|àwɔn amɛ́ríkà|ayé|gúlóbù|Gulobu To N Shafihan Amɛrika
🌏;Gulobu To N Shafihan Ashia-Ɔsiteria;àgbáyé|áshíà|ayé|gúlóbù|Gulobu To N Shafihan Ashia-Ɔsiteria|ɔsiteria
🌐;Gulobu Pɛlu Mɛridiani;àgbáyé|ayé|gúlóbù|Gulobu Pɛlu Mɛridiani|mɛ̀rídíánì
🗺️;máàpù àgbáyé;àgbáyé|máàpù
🗾;Maapu Ti Japanu;jàpánù|máàpù|Maapu Ti Japanu
🧭;atɔ́nà;atɔ́nà|lílɛ̀mɔ́|sísɔfún
🏔️;òkè yìnyín;òkè|òtútù|yìnyín
⛰️;òkè;òkè
🌋;Ifɛ-ilɛ;ìfɛ̀ ilɛ̀|Ifɛ-ilɛ|òkè
🗻;Oke Fuji;fújì|òkè|Oke Fuji
🏕️;pípàgɔ́;pípàgɔ́
🏖️;ɔ̀sà pɛ̀lú agbòrùn;agbòrùn|ɔ̀sà|ɔ̀sà pɛ̀lú agbòrùn
🏜️;ashálɛ̀;ashálɛ̀
🏝️;erékùshù ashálɛ̀;ashálɛ̀|erékùshù
🏞️;páàkì orílɛ̀;páàkì|páàkì orílɛ̀
🏟️;pápá ìsheré;pápá ìsheré
🏛️;ilé tó kílásíkà;ilé tó kílásíkà|kílásíkà
🏗️;ishɛ́ ɔnà ilé;Ishɛ́ ɔnà|ishɛ́ ɔnà ilé
🧱;bíríkì;àwɔn bíríkì|bíríkì|ògiri|yɛ̀pɛ̀
🪨;àpáta;àpáta|le|òkúta|wúwo
🪵;igi;igi|lúnbà|tínbà
🛖;abà;abà|ilé|ilé onípo
🏘️;àwɔn ilé;àwɔn ilé
🏚️;ilé àìdára;àìdára|ilé
🏠;Ilé;ara ilé|Ilé
🏡;Ile Pelu Ɔgba;ilé|Ile Pelu Ɔgba|ɔgbà
🏢;Ile Ibi-ishɛ;ilé|Ile Ibi-ishɛ
🏣;Ile-ishɛ Ifiweranshɛ Japani;ìfiránshɛ́|Ile-ishɛ Ifiweranshɛ Japani|Japani
🏤;Àpótí ÌfìwéRánshɛ́;Àpótí ÌfìwéRánshɛ́|ìrópù
🏥;Ile-iwosan;dókítà|Ile-iwosan|òògùn
🏦;Ile-ifowopamɔsi;ilé|Ile-ifowopamɔsi
🏨;Ilé ìtura;ilé|Ilé ìtura
🏩;Ilé ìtura Ifɛ;ilé ìtura|Ilé ìtura Ifɛ
🏪;Ibi Itura;Ibi|Itura
🏫;Ilé ìwé;ilé|Ilé ìwé
🏬;ɛka itaja;ɛka|itaja
🏭;Ilé-ishɛ́;ilé|Ilé-ishɛ́
🏯;Ile Nla Japanisi;ilé ńlá|Ile Nla Japanisi|japanese
🏰;Ile Nla;Ile Nla|íròpù
💒;Ìgbéyàwó;ìfɛ̀|Ìgbéyàwó|ilé ìjɔsìn
🗼;Ile Ishɔ Tokiyo;ile ishɔ|Ile Ishɔ Tokiyo|Tokiyo
🗽;Ere Ominira;ère|Ere Ominira|òmìnira
⛪;Shɔɔshi;àgbélèbú|ɛlɛ́sìn ìgbàgbó̩|ɛ̀sìn|Shɔɔshi
🕌;Mɔ́sháláshí;ɛ̀sìn|Ìmàle|Mɔ́sháláshí|Mùsùlùmí
🛕;ilé ìjɔ́sìn Hindu;hindù|ibi ijɔ́sìn|ilé ìjɔ́sìn Hindu
🕍;Sínágɔ́gù;Eɛlɛ́sìn júù|ɛ̀sìn|júù|Sínágɔ́gù|tɛ́pílì
⛩️;ilé òrìshà shíntò;ɛ̀sìn|ilé òrìshà|ilé òrìshà shíntò|shíntò
🕋;Kaaba;ɛ̀sìn|Ìmàle|Kaaba|Mùsùlùmí
⛲;Orísun omi;Orísun omi
⛺;Àgɔ́;Àgɔ́|pípàgɔ́
🌁;Ojuju;kùrukùru|Ojuju
🌃;Ashalɛ Pɛlu Awɔn Irawɔ;alɛ́|Ashalɛ Pɛlu Awɔn Irawɔ|ìràwɔ̀
🏙️;fífɛ̀ìlú;fífɛ̀ìlú|ìlú
🌄;Lila Oorun Lori Awɔn Oke;àárɔ̀|ìla òrùn|Lila Oorun Lori Awɔn Oke|òkè|òrù
🌅;Ìlà oòrùn;àárɔ̀|Ìlà oòrùn|òrùn
🌆;Iwo Ilu Ni Ashalɛ;àshàlɛ́|ìlú|Iwo Ilu Ni Ashalɛ|ìwɔ òrùn|oníbùú|òrùn
🌇;Ìwɔ̀ oòrùn;àshálé|Ìwɔ̀ oòrùn|òrún
🌉;Afara Ni Ashalɛ;afárá|Afara Ni Ashalɛ|alɛ́
♨️;omi àtilɛ̀wá;gbígbóná|omi àtilɛ̀wá|oru
🎠;Ɛshin Aladun;aládùn|ɛshin|Ɛshin Aladun
🛝;ibi eré;ibi eré|páàkì eré|sheré
🎡;Kɛ̀kɛ́ Ferris;ferris|Kɛ̀kɛ́ Ferris|páàkì ìgbafɛ́|róboto
🎢;Kɛkɛ Olobiri;Kɛkɛ Olobiri|olóbírí|páàkì ìgbafɛ́|yíyí
💈;Opo Onigbajamɔ;agerun|gérun|òpó|Opo Onigbajamɔ
🎪;Aba Ere-idaraya;Aba|Ere-idaraya
🚂;Yiyi;ɛ̀rɔ|ojú irin|òru|ɔks ojú irin|Yiyi
🚃;Ɔkɔ Oju-irin;bɔ́ɔ̀sì gígùn|ìná|ojú irin|ɔkɔ̀|ɔkɔ̀ ojú irin|Ɔkɔ Oju-irin|ɔ̀nà ɔkɔ̀ ojú irin
🚄;Ɔkɔ oju-irin Alare;aré|ojú irin|ɔkɔ̀ ojú irin|ɔkɔ̀ ojú irin abɛ́ ilɛ̀|Ɔkɔ oju-irin Alare
🚅;Ɔkɔ oju-irin Alare Pɛlu Imu Ɔta;aré|ojú irin|ɔkɔ̀ ojú irin|ɔkɔ̀ ojú irin abɛ́ ilɛ̀|Ɔkɔ oju-irin Alare Pɛlu Imu Ɔta|ɔta
🚆;Shèdánilɛ́kɔ̀ɔ́;ɔkɔ Oju-irin|Shèdánilɛ́kɔ̀ɔ́
🚇;Àjà ilɛ̀;Àjà ilɛ̀|ɔ̀nà ɔkɔ̀ ojú irin
🚈;Ɔkɔ oju-irin kekere;ɔkɔ Oju-irin|Ɔkɔ oju-irin kekere
🚉;Ibudo;Ibudo|ojú-irin|ɔkɔ ojú-irin
🚊;Tiramu;Ɔkɔ Akero Oniwiwɔ|Tiramu
🚝;Oju irin kan;nshe ɔkɔ́|Oju irin kan
🚞;Reluwe Oloke;òké|ɔkɔ̀|ɔkɔ ojú-irin|Reluwe Oloke
🚋;Ɔkɔ Tiramu;ɔkɔ̀|ɔkɔ̀ akérò oníwíwɔ́|ɔkɔ̀ ojú irin gígùn|Ɔkɔ Tiramu
🚌;Ɔkɔ Akero;nshe ɔkɔ́|Ɔkɔ Akero
🚍;Ɔkɔ Akero Ti Nbɔ;ɔkɔ̀ akérò|Ɔkɔ Akero Ti Nbɔ|tí ń bɔ̀
🚎;Ɔkɔ Akero Oniwiwɔ;ɔkɔ̀ akérò|Ɔkɔ Akero Oniwiwɔ|ɔkɔ̀ akérò oníwíwɔ́|ɔkɔ̀ ojú irin gígùn
🚐;Ɔkɔ Akero Kekere;Ɔkɔ Akero|Ɔkɔ Akero Kekere
🚑;Ɔkɔ Alaisan;nshe ɔkɔ́|Ɔkɔ Alaisan
🚒;Ɛnjini Onina;Ɛnjini Onina|ɛ̀rɔ|iná|ɔkɔ̀ akkrù ńlá
🚓;Ɔkɔ Ɔlɔpa;olùshɔ́|ɔkɔ̀|Ɔkɔ Ɔlɔpa|ɔlɔ́pàá
🚔;Ɔkɔ Ɔlɔpa Ti Nbɔ;ɔkɔ́|Ɔkɔ Ɔlɔpa Ti Nbɔ|ɔlɔ́pàá|tí ń bɔ̀
🚕;Taasi;nshe ɔkɔ́|Taasi
🚖;Taasi Ti Nbɔ;Taasi|Taasi Ti Nbɔ|Ti Nbɔ
🚗;Ɔko;Ɔko|ɔkɔ́
🚘;Ɔkɔ Ti Nbɔ;ɔkɔ̀|Ɔkɔ Ti Nbɔ|tí ń bɔ̀
🚙;Ɔkɔ Agbafɛ Daradara;ìgbafɛ́|òks agbafɛ́ tó dára|Ɔkɔ Agbafɛ Daradara
🛻;ɔkɔ̀ ńlá fún gbígbé nǹkan;gbé|gbígbé nǹkan|ɔkɔ̀ ńlá|ɔkɔ̀ ńlá fún gbígbé nǹkan
🚚;Ɔkɔ Akɛru;ifijishɛ|Ɔkɔ Akɛru
🚛;Ɔkɔ Nla Akɛru;díɛ̀|ɔkɔ̀ akérò ńlá|ɔkɔ̀ akɛ́rù|Ɔkɔ Nla Akɛru
🚜;Katakata;Katakata|nshe ɔkɔ́
🏎️;ɔkɔ̀ ìdíje eré;ìdíje eré|ɔkɔ̀|ɔkɔ̀ ìdíje eré
🏍️;alùpùpù;alùpùpù|ìdíje eré
🛵;alupupu onimɔto;alupupu|onimɔto
🦽;aga ìgbérìn ɔlɔ́wɔ́;aga ìgbérìn ɔlɔ́wɔ́|aye irin
🦼;àga ìgbérìn oníná;àga ìgbérìn oníná|ní ɔ̀nà fún gbígbà
🛺;ɛ̀rɔ ríìkì;ɛ̀rɔ ríìkì|túùkì
🚲;Kɛ̀kɛ́;Kɛ̀kɛ́
🛴;alupupu kekere;Alupùpù ɛlɛ́sɛ̀ méjì|alupupu kekere|gbá
🛹;bɔ́ɔ̀dù ti síkéètì;bɔ́ɔ̀dù|bɔ́ɔ̀dù ti síkéètì
🛼;síkéètì ti ó s;are;are|saré|síkéètì|síkéètì ti ó s|síkéètì ti ó s;are
🚏;Ibudokɔ;dúró|Ibudokɔ|ibùdókɔ̀|ɔkɔ̀ akérò
🛣️;ojú ɔ̀nà ɔkɔ̀;ojú ɔ̀nà ɔkɔ̀|ɔ́nà|pópó
🛤️;ɔ̀nà ojú-irin;ojú-irin|ɔkɔ ojú-irin|ɔ̀nà ojú-irin
🛢️;àgbá epo;àgbá|epo
⛽;pɔ̀mpù epo;afa epo|epo|gáàsì|ibùdó epo|pɔ̀mpù epo
🛞;keke;keke|sakù|táyà|yí
🚨;Ina Ɔkɔ Ɔlɔpa;ɛran ɛlɛ́dɛ̀|iná|Ina Ɔkɔ Ɔlɔpa|ɔkɔ̀|ɔlɔ́pàá|yípo
🚥;Ina Adariko Onidubu;adarí|adaríkɔ̀|iná|Ina Adariko Onidubu
🚦;Ina Adariko Olopo;adarí|adaríkɔ̀|iná|Ina Adariko Olopo
🛑;Aami Idaduro;Aami Idaduro|àmì|dúró|Onígun mɛ́jɔ
🚧;Ishɛ́ ɔnà;ìdènà|Ishɛ́ ɔnà
⚓;Ìdákòró;Ìdákòró|irinshɛ́|ɔkɔ̀ ojú omi ńlá
🛟;ríngì;àbò|gbayɔ|ríngì|wɛ̀
⛵;Ɔkɔ kekere;ibi ìgbafɛ́|okun|Ɔkɔ kekere|ɔkɔ̀ ojú omi|ɔkɔ̀ ojú omi ibi ìgbafɛ́
🛶;obele;obele|Òbèlé|ɔkɔ̀ ojú omi
🚤;Ɔkɔ omi alare;ɔkɔ̀ ojú omi|Ɔkɔ omi alare
🛳️;ɔkɔ̀ ojú omi ńlá èrò;èrò|ɔkɔ̀ ojú omi ńlá|ɔkɔ̀ ojú omi ńlá èrò
⛴️;ferí;èrò|ferí|ɔkɔ̀ ojú omi
🛥️;ɔkɔ̀ ojú omi tó ń lo ɛ̀rɔ;ɔkɔ̀ ojú omi|ɔkɔ̀ ojú omi tó ń lo ɛ̀rɔ
🚢;Ɔkɔ̀ ojú omi ńlá;èrò|ɔkɔ̀ ojú omi|Ɔkɔ̀ ojú omi ńlá
✈️;bàlú òfurufú;bàlú òfurufú|ɔkɔ̀ òfurufú
🛩️;bàlú òfurufú kékeré;bàlú òfurufú|bàlú òfurufú kékeré|ɔkɔ̀ òfurufú
🛫;Ibi Idagbere Baalu;bàlú òfurufú|Ibi Idagbere Baalu|ìjáde|ɔkɔ̀ òfurufú|shàyɛ̀wò wɔlé
🛬;Ibi Ikaabɔ Baalu;àwɔn ìwɔlé|bàlú òfurufú|bíbalɛ̀|Ibi Ikaabɔ Baalu|ìwɔlé|ɔkɔ̀ òfurufú|wíwɔlé
🪂;páráshútì;fo lóké|párás|páráshútì|utì
💺;Ìjòkó;àga|Ìjòkó
🚁;Ɛlikɔputa;Ɛlikɔputa|nshe ɔkɔ́
🚟;Ɔkɔ oju irin Oloke;olókè|Ɔkɔ oju irin|Ɔkɔ oju irin Oloke
🚠;Ɔkɔ oniwaya Ori-oke;gòndólà|òkè|Ɔkɔ oniwaya Ori-oke|wáyà
🚡;Tramway Eriali;éríklì|gòndólà|ɔkɔ̀|ɔ̀nà ɔkɔ̀ ojú irin|Tramway Eriali|wáyà
🛰️;alátagbà;ààyè|alátagbà
🚀;Rɔ́kɛ̀tì;ààyè|Rɔ́kɛ̀tì
🛸;àwɔ kékeré tí ń fò;àwɔ kékeré tí ń fò|UFO
🛎️;agogo alágbágbɛ́rùn ilé ìtura;agogo|agogo alágbágbɛ́rùn ilé ìtura|alágbágbɛ́rùn ilé ìtura|ilé ìtura
🧳;ɛrù;ɛrù|kíkó ɛrù|rín ìrínájò
⌛;Gilasiakoko;adíwɔ̀n àkókò|Gilasiakoko|iyɛ̀pɛ̀
⏳;Gilasiakoko Pɛlu Iyɛpɛ Ti N fɛ;adíwɔ̀n àkókò|gílásì àkókò|Gilasiakoko Pɛlu Iyɛpɛ Ti N fɛ|ìyɛ̀pɛ̀
⌚;Ago;Ago
⏰;Ago Itaniji;Ago|Itaniji
⏱️;ago aláfɔwɔ́yí;ago|ago aláfɔwɔ́yí
⏲️;ago adíwɔ̀n àkókò;adíwɔ̀n àkókò|ago|ago adíwɔ̀n àkókò
🕰️;ago àgbélɛ̀;ago|ago àgbélɛ̀
🕛;Ago Mejila;00|12|12:00|ago|Ago Mejila|lù gérégé|méjìlá
🕧;Ago Mejila Aabɔ;12|12:30|30|ago|Ago Mejila Aabɔ|méjìlá|ɔgbɔ̀n
🕐;Ago Kan an;00|1|1:00|ago|Ago Kan an|ìkan|lù gérégé
🕜;Ago kan an aabɔ;1|1:30|30|ago|Ago kan an aabɔ|ìkan|ɔgbɔ̀n
🕑;Ago Meji;00|2|2:00|ago|Ago Meji|lù gérégé|méjì
🕝;Ago Meji Aaabɔ;2|2:30|ago|Ago Meji Aaabɔ|méjì|ɔgbɔ̀n
🕒;Ago Mɛta;00|3|3:00|ago|Ago Mɛta|lù gérégé|mɛ́tàa
🕞;Ago Mɛta Aabɔ;3|3:30|ago|Ago Mɛta Aabɔ|mɛ́tàa|ɔgbɔ̀n
🕓;Ago Mɛrin;00|4|4:00|ago|Ago Mɛrin|lù gérégé|mɛ́rìn
🕟;Ago Merin Aabɔ;30|4|4:30|ago|Ago Merin Aabɔ|mɛ́rìn|ɔgbɔ̀n
🕔;Ago Marun un;00|4|4:00|ago|Ago Marun un|lù gérégé|márùn
🕠;Ago Marun un Aabɔ;30|4|4:30|ago|Ago Marun un Aabɔ|márùn|ɔgbɔ̀n
🕕;Ago Mɛfa;00|6|6:00|ago|Ago Mɛfa|lù gérégé|mɛ́fàa
🕡;Ago Mɛfa Aabɔ;30|6|6:30|ago|Ago Mɛfa Aabɔ|mɛ́fàa|ɔgbɔ̀n
🕖;Ago Meje;00|7|7:00|ago|Ago Meje|lù gérégé|méje
