[smileys_emotion]
😀;cara feliz;cara|cara feliz|contento|divertido|sonrisa
	🖐🏽;;abierta|dedos|mano|mano abierta: tono de piel medio|palma|tono de piel medio|yo
	🖐🏾;;abierta|dedos|mano|mano abierta: tono de piel oscuro medio|palma|tono de piel oscuro medio|yo
	🖐🏿;;abierta|dedos|mano|mano abierta: tono de piel oscuro|palma|tono de piel oscuro|yo
✋;↑↑↑;abierta|mano|mano levantada|palma|papel
	✋🏻;;abierta|mano|mano levantada|mano levantada: tono de piel claro|palma|papel|tono de piel claro
	✋🏼;;abierta|mano|mano levantada|mano levantada: tono de piel claro medio|palma|papel|tono de piel claro medio
	✋🏽;;abierta|mano|mano levantada|mano levantada: tono de piel medio|palma|papel|tono de piel medio
	✋🏾;;abierta|mano|mano levantada|mano levantada: tono de piel oscuro medio|palma|papel|tono de piel oscuro medio
	✋🏿;;abierta|mano|mano levantada|mano levantada: tono de piel oscuro|palma|papel|tono de piel oscuro
🖖;↑↑↑;dedos|mano|saludo|spock|star|trek|vulcano
	🖖🏻;;dedos|mano|saludo|spock|star|tono de piel claro|trek|vulcano
	🖖🏼;;dedos|mano|saludo|spock|star|tono de piel claro medio|trek|vulcano
	🖖🏽;;dedos|mano|saludo|spock|star|tono de piel medio|trek|vulcano
	🖖🏾;;dedos|mano|saludo|spock|star|tono de piel oscuro medio|trek|vulcano
	🖖🏿;;dedos|mano|saludo|spock|star|tono de piel oscuro|trek|vulcano
🫱;↑↑↑;↑↑↑
	🫱🏻;;
	🫱🏼;;
	🫱🏽;;
	🫱🏾;;
	🫱🏿;;
🫲;↑↑↑;↑↑↑
	🫲🏻;;
	🫲🏼;;
	🫲🏽;;
	🫲🏾;;
	🫲🏿;;
🫳;↑↑↑;↑↑↑
	🫳🏻;;
	🫳🏼;;
	🫳🏽;;
	🫳🏾;;
	🫳🏿;;
🫴;↑↑↑;↑↑↑
	🫴🏻;;
	🫴🏼;;
	🫴🏽;;
	🫴🏾;;
	🫴🏿;;
🫷;↑↑↑;↑↑↑
	🫷🏻;;
	🫷🏼;;
	🫷🏽;;
	🫷🏾;;
	🫷🏿;;
🫸;↑↑↑;↑↑↑
	🫸🏻;;
	🫸🏼;;
	🫸🏽;;
	🫸🏾;;
	🫸🏿;;
👌;señal de OK;gesto|mano|ok|señal de OK
	👌🏻;señal de OK: tono de piel claro;gesto|mano|ok|señal de OK|señal de OK: tono de piel claro|tono de piel claro
	👌🏼;señal de OK: tono de piel claro medio;gesto|mano|ok|señal de OK|señal de OK: tono de piel claro medio|tono de piel claro medio
	👌🏽;señal de OK: tono de piel medio;gesto|mano|ok|señal de OK|señal de OK: tono de piel medio|tono de piel medio
	👌🏾;señal de OK: tono de piel oscuro medio;gesto|mano|ok|señal de OK|señal de OK: tono de piel oscuro medio|tono de piel oscuro medio
	👌🏿;señal de OK: tono de piel oscuro;gesto|mano|ok|señal de OK|señal de OK: tono de piel oscuro|tono de piel oscuro
🤌;↑↑↑;↑↑↑
	🤌🏻;;
	🤌🏼;;
	🤌🏽;;
	🤌🏾;;
	🤌🏿;;
🤏;↑↑↑;↑↑↑
	🤏🏻;;
	🤏🏼;;
	🤏🏽;;
	🤏🏾;;
	🤏🏿;;
✌️;gesto de victoria;dedos|gesto de victoria|mano|tijera|V|victoria
	✌🏻;gesto de victoria: tono de piel claro;dedos|gesto de victoria|gesto de victoria: tono de piel claro|mano|tijera|tono de piel claro|V|victoria
	✌🏼;gesto de victoria: tono de piel claro medio;dedos|gesto de victoria|gesto de victoria: tono de piel claro medio|mano|tijera|tono de piel claro medio|V|victoria
	✌🏽;gesto de victoria: tono de piel medio;dedos|gesto de victoria|gesto de victoria: tono de piel medio|mano|tijera|tono de piel medio|V|victoria
	✌🏾;gesto de victoria: tono de piel oscuro medio;dedos|gesto de victoria|gesto de victoria: tono de piel oscuro medio|mano|tijera|tono de piel oscuro medio|V|victoria
	✌🏿;gesto de victoria: tono de piel oscuro;dedos|gesto de victoria|gesto de victoria: tono de piel oscuro|mano|tijera|tono de piel oscuro|V|victoria
🤞;↑↑↑;↑↑↑
	🤞🏻;;
	🤞🏼;;
	🤞🏽;;
	🤞🏾;;
	🤞🏿;;
🫰;↑↑↑;↑↑↑
	🫰🏻;;
	🫰🏼;;
	🫰🏽;;
	🫰🏾;;
	🫰🏿;;
🤟;↑↑↑;↑↑↑
	🤟🏻;;
	🤟🏼;;
	🤟🏽;;
	🤟🏾;;
	🤟🏿;;
🤘;gesto de cuernos;cuernos|dedos|gesto de cuernos|mano|rock|roll
	🤘🏻;gesto de cuernos: tono de piel claro;cuernos|dedos|gesto de cuernos|gesto de cuernos: tono de piel claro|mano|rock|roll|tono de piel claro
	🤘🏼;gesto de cuernos: tono de piel claro medio;cuernos|dedos|gesto de cuernos|gesto de cuernos: tono de piel claro medio|mano|rock|roll|tono de piel claro medio
	🤘🏽;gesto de cuernos: tono de piel medio;cuernos|dedos|gesto de cuernos|gesto de cuernos: tono de piel medio|mano|rock|roll|tono de piel medio
	🤘🏾;gesto de cuernos: tono de piel oscuro medio;cuernos|dedos|gesto de cuernos|gesto de cuernos: tono de piel oscuro medio|mano|rock|roll|tono de piel oscuro medio
	🤘🏿;gesto de cuernos: tono de piel oscuro;cuernos|dedos|gesto de cuernos|gesto de cuernos: tono de piel oscuro|mano|rock|roll|tono de piel oscuro
🤙;gesto de llamada;gesto|gesto de llamada|llamada|mano
	🤙🏻;gesto de llamada: tono de piel claro;gesto|gesto de llamada|gesto de llamada: tono de piel claro|llamada|mano|tono de piel claro
	🤙🏼;gesto de llamada: tono de piel claro medio;gesto|gesto de llamada|gesto de llamada: tono de piel claro medio|llamada|mano|tono de piel claro medio
	🤙🏽;gesto de llamada: tono de piel medio;gesto|gesto de llamada|gesto de llamada: tono de piel medio|llamada|mano|tono de piel medio
	🤙🏾;gesto de llamada: tono de piel oscuro medio;gesto|gesto de llamada|gesto de llamada: tono de piel oscuro medio|llamada|mano|tono de piel oscuro medio
	🤙🏿;gesto de llamada: tono de piel oscuro;gesto|gesto de llamada|gesto de llamada: tono de piel oscuro|llamada|mano|tono de piel oscuro
👈;↑↑↑;↑↑↑
	👈🏻;;
	👈🏼;;
	👈🏽;;
	👈🏾;;
