[smileys_emotion]
😀;cara feliz;cara|cara feliz|contento|divertido|sonrisa
⛴️;transbordador;bote|ferry|transbordador|trasbordador|vehículo
🛥️;↑↑↑;barco a motor|bote|motor|vehículo
🚢;↑↑↑;barco|crucero|vehículo
✈️;↑↑↑;aire|avión|vehículo|viajar|viaje|volar
🛩️;↑↑↑;aire|avión|avioneta|vehículo|viajar|viaje
🛫;↑↑↑;avión|avión despegando|check-in|despegar|despegue|partida|salida
🛬;↑↑↑;arribo|aterrizaje|aterrizar|avión|avión aterrizando
🪂;↑↑↑;↑↑↑
💺;↑↑↑;asiento|asiento de transporte|silla
🚁;↑↑↑;↑↑↑
🚟;tren colgante;suspensión|tren|tren colgante|vehículo
🚠;teleférico;montaña|teleférico|tren|vehículo
🚡;tranvía aéreo;aéreo|colgante|montaña|tranvía|tren
🛰️;↑↑↑;espacio|satélite
🚀;↑↑↑;cohete|espacio
🛸;platillo volador;ovni|platillo volador|platillo volante
🛎️;campanilla de hotel;campana|campanilla de hotel|hotel
🧳;↑↑↑;↑↑↑
⌛;↑↑↑;arena|reloj|reloj de arena sin tiempo
⏳;↑↑↑;arena|reloj|reloj de arena con tiempo|reloj de arena funcionando|temporizador
⌚;↑↑↑;↑↑↑
⏰;↑↑↑;alarma|despertador|reloj|reloj de alarma
⏱️;↑↑↑;cronómetro|reloj|segundos|tiempo
⏲️;↑↑↑;reloj|segundos|temporizador|tiempo
🕰️;reloj de repisa;decoración|reloj|reloj de repisa|repisa
🕛;↑↑↑;12|12 en punto|doce|punto|reloj
🕧;↑↑↑;12|doce|doce y media|media|reloj
🕐;↑↑↑;1|1 en punto|reloj|una
🕜;↑↑↑;1|media|reloj|una|una y media
🕑;↑↑↑;2|2 en punto|dos|reloj
🕝;↑↑↑;2|dos|dos y media|media|reloj
🕒;↑↑↑;3|3 en punto|reloj|tres
🕞;↑↑↑;3|media|reloj|tres|tres y media
🕓;↑↑↑;4|4 en punto|cuatro|reloj
🕟;↑↑↑;4|cuatro|cuatro y media|media|reloj
🕔;↑↑↑;5|5 en punto|cinco|reloj
🕠;↑↑↑;5|cinco|cinco y media|media|reloj
🕕;↑↑↑;6|6 en punto|reloj|seis
🕡;↑↑↑;6|media|reloj|seis|seis y media
🕖;↑↑↑;7|7 en punto|reloj|siete
🕢;↑↑↑;7|media|reloj|siete|siete y media
🕗;↑↑↑;8|8 en punto|ocho|reloj
🕣;↑↑↑;8|media|ocho|ocho y media|reloj
🕘;↑↑↑;9|9 en punto|nueve|reloj
🕤;↑↑↑;9|media|nueve|nueve y media|reloj
🕙;↑↑↑;10|10 en punto|diez|reloj
🕥;↑↑↑;10|diez|diez y media|media|reloj
🕚;↑↑↑;11|11 en punto|once|reloj
🕦;↑↑↑;11|media|once|once y media|reloj
🌑;↑↑↑;clima|espacio|luna|negra|nueva
🌒;luna nueva visible;clima|creciente|espacio|luna|nueva|visible
🌓;↑↑↑;clima|creciente|cuarto|espacio|luna|luna en cuarto creciente
🌔;↑↑↑;clima|creciente|espacio|gibosa|luna
🌕;↑↑↑;clima|espacio|llena|luna
🌖;↑↑↑;clima|espacio|gibosa|luna|menguante
🌗;↑↑↑;clima|cuarto|espacio|luna|luna en cuarto menguante|menguante
🌘;luna creciente menguante;clima|creciente|luna|menguante
🌙;media luna;clima|creciente|cuarto|espacio|luna|media luna
🌚;↑↑↑;cara|luna|luna nueva con cara|nueva
🌛;↑↑↑;cara|creciente|cuarto|luna|luna de cuarto creciente con cara
🌜;↑↑↑;cara|cuarto|luna|luna de cuarto menguante con cara|menguante
🌡️;↑↑↑;clima|temperatura|termómetro
☀️;↑↑↑;calor|estrella|rayos|sol
🌝;↑↑↑;↑↑↑
🌞;↑↑↑;↑↑↑
🪐;↑↑↑;↑↑↑
⭐;estrella blanca;blanca|estrella
🌟;↑↑↑;brillante|estrella
🌠;↑↑↑;espacio|estrella|fugaz
🌌;↑↑↑;cielo|estrellas|galaxia|láctea|vía
☁️;↑↑↑;nube|nublado|tiempo
⛅;parcialmente nublado;nubes|nublado|parcialmente nublado|sol|soleado|tiempo
⛈️;tormenta;lluvia|nube|tiempo|tormenta|trueno
🌤️;soleado con nubes;clima|nube|sol|soleado con nubes
🌥️;nublado;clima|nube|nublado
🌦️;soleado con lluvia;clima|lluvia|nube|sol|soleado con lluvia
🌧️;lluvia;clima|lluvia|nube
🌨️;nieve;clima|nieve|nube
🌩️;nubes y relámpagos;clima|nubes|nubes y relámpagos|relámpagos
🌪️;↑↑↑;clima|nube|tornado|viento
🌫️;neblina;clima|neblina|nieve
🌬️;↑↑↑;cara|cara de viento|clima|soplar|viento
🌀;↑↑↑;ciclón|clima|huracán|tifón|tornado
🌈;↑↑↑;arcoíris|clima
🌂;paraguas;clima|lluvia|lluvioso|paraguas
☂️;paraguas abierto;accesorio|clima|lluvia|paraguas|paraguas abierto
☔;paraguas con gotas;accesorio|gotas|lluvia|paraguas|paraguas con gotas
⛱️;↑↑↑;arena|playa|sol|sombrilla|sombrilla en la arena
⚡;↑↑↑;alto voltaje|electricidad|peligro|tensión|voltaje
❄️;↑↑↑;clima|copo de nieve|frío|nieve
☃️;muñeco de nieve nevado;clima|frío|invierno|muñeco|muñeco de nieve nevado|nieve
⛄;↑↑↑;clima|frío|invierno|muñeco|muñeco de nieve|nieve
☄️;↑↑↑;espacio|estrella|meteorito
🔥;↑↑↑;↑↑↑
💧;↑↑↑;clima|cómic|frío|gota|sudar
🌊;ola;mar|océano|ola

[activities]
🎃;calabaza;calabaza|Halloween|linterna
🎄;↑↑↑;árbol|árbol de Navidad|celebración|navidad
🎆;↑↑↑;artificiales|celebración|festejo|fiesta|fuegos
🎇;↑↑↑;artificiales|bengala|celebración|festejo|fiesta|fuegos
🧨;↑↑↑;↑↑↑
✨;↑↑↑;brillo|chispas|estrella|estrellas
🎈;↑↑↑;celebración|fiesta|globo
🎉;lanzador de serpentina;celebración|fiesta|lanzador de serpentina|serpentina
🎊;confeti;celebración|confeti|festejo|piñata
🎋;↑↑↑;árbol de tanabata|estrellas|festividad|fiesta|japonesa|papel
🎍;adorno para pinos;adorno para pinos|año|japonés|nuevo|pino
🎎;↑↑↑;festival|festividad|Japón|muñeca|muñecas japonesas
🎏;banderín con forma de carpa;bandera|banderín|banderín con forma de carpa|celebración|festejo|japonés
🎐;↑↑↑;campanilla|campanilla de viento|viento
🎑;ceremonia japonesa;celebración|ceremonia|ceremonia japonesa|luna|Otsukimi
🧧;↑↑↑;↑↑↑
🎀;moño;celebración|cinta|festejo|moño|regalo
🎁;↑↑↑;celebración|moño|presente|regalo
🎗️;cinta conmemorativa;cinta|cinta conmemorativa|conmemoración
🎟️;↑↑↑;entradas|evento
🎫;boleto;boleto|entrada|entretenimiento
🎖️;↑↑↑;↑↑↑
🏆;↑↑↑;copa|premio|trofeo
🏅;↑↑↑;deportes|medalla deportiva|triunfo
🥇;medalla de primer lugar;medalla|medalla de primer lugar|oro|primero
🥈;medalla de segundo lugar;medalla|medalla de segundo lugar|plata|segundo
🥉;medalla de tercer lugar;bronce|medalla|medalla de tercer lugar|tercero
⚽;pelota de fútbol;fútbol|pelota|pelota de fútbol
⚾;pelota de béisbol;béisbol|pelota|pelota de béisbol
🥎;↑↑↑;↑↑↑
🏀;pelota de básquet;básquet|básquetbol|cesto|deporte|pelota|pelota de básquet
🏐;vóleibol;deporte|pelota|vóleibol
🏈;pelota de fútbol americano;americano|deporte|fútbol|pelota|pelota de fútbol americano
🏉;pelota de rugby;deporte|pelota|pelota de rugby|rugby
🎾;↑↑↑;deporte|pelota|pelota de tenis|raqueta|tenis
🥏;↑↑↑;↑↑↑
🎳;↑↑↑;bola|boliche|bolos|bowling|juego
🏏;cricket;cricket|criquet|deporte|pelota
🏑;↑↑↑;césped|deporte|hockey|hockey sobre hierba|palo|pelota
🏒;↑↑↑;deporte|hielo|hockey|hockey sobre hielo|palo
🥍;↑↑↑;↑↑↑
🏓;↑↑↑;deporte|mesa|paleta|pelota|ping|pong|tenis de mesa
🏸;↑↑↑;bádminton|deporte|raqueta
🥊;↑↑↑;↑↑↑
🥋;↑↑↑;artes marciales|deporte|judo|karate|taekwondo|uniforme|uniforme de artes marciales
🥅;↑↑↑;arco|deporte|portería|red
⛳;↑↑↑;↑↑↑
⛸️;patinaje sobre hielo;deporte|hielo|patinaje|patinaje sobre hielo
🎣;↑↑↑;caña|caña de pescar|libre|pesca|pescado|pescar|tiempo
🤿;↑↑↑;↑↑↑
🎽;camiseta para correr;camiseta|camiseta para correr|correr|deporte|mangas|musculosa|sin
🎿;↑↑↑;deporte|esquiar|esquís|nieve
🛷;↑↑↑;↑↑↑
🥌;↑↑↑;↑↑↑
🎯;dardo en el centro;centro|dardo|dardo en el centro|diana|juego|objetivo
🪀;↑↑↑;↑↑↑
🪁;↑↑↑;↑↑↑
🔫;↑↑↑;↑↑↑
🎱;bola ocho;8|billar|bola|ocho|pool
🔮;↑↑↑;adivinar|bola|bola de cristal|cristal|fantasía|futuro
🪄;↑↑↑;↑↑↑
🎮;video juegos;control|joystick|juego|mando|video|video juegos|videojuego
🕹️;↑↑↑;control|joystick|juego|mando|video|videojuego
🎰;tragamonedas;apostar|apuestas|casino|juego|máquina|tragamonedas
🎲;↑↑↑;↑↑↑
🧩;pieza de rompecabezas;conectar|pieza|pieza de rompecabezas|pista|puzle|rompecabezas
🧸;↑↑↑;↑↑↑
🪅;↑↑↑;↑↑↑
🪩;↑↑↑;↑↑↑
🪆;↑↑↑;babushka|mamushka|matrioshka|matrioska|muñeca rusa|rusia
♠️;picas;cartas|juegos|naipes|palos|picas
♥️;corazones;cartas|corazones|juegos|naipes|palos
♦️;diamantes;cartas|diamantes|juegos|naipes|palos
♣️;tréboles;cartas|juegos|naipes|palos|tréboles
♟️;↑↑↑;↑↑↑
🃏;carta comodín;carta|comodín|naipes
🀄;↑↑↑;dragón|dragón rojo de mahjong|mahjong|mosaico|rojo
🎴;carta;carta|flor|Hanafuda|japonés|juego
🎭;↑↑↑;actuación|artes|máscaras|máscaras de teatro|teatro
🖼️;↑↑↑;arte|cuadro enmarcado|marco|museo|pintura
🎨;paleta de pinturas;arte|artista|paleta|paleta de pinturas|pintor|pintura
🧵;↑↑↑;↑↑↑
🪡;↑↑↑;↑↑↑
🧶;↑↑↑;↑↑↑
🪢;↑↑↑;↑↑↑

[objects]
👓;lentes;gafas|lentes|ropa|vestimenta
🕶️;anteojos de sol;anteojos|anteojos de sol|gafas|oscuros|ropa|sol|vestimenta
🥽;↑↑↑;↑↑↑
🥼;↑↑↑;↑↑↑
🦺;↑↑↑;↑↑↑
👔;↑↑↑;camisa|corbata|ropa|vestimenta
👕;↑↑↑;camiseta|remera|ropa|vestimenta
👖;jeans;jeans|pantalones|ropa|vaquero|vestimenta
🧣;↑↑↑;↑↑↑
🧤;↑↑↑;↑↑↑
🧥;↑↑↑;↑↑↑
🧦;↑↑↑;↑↑↑
👗;↑↑↑;ropa|vestido|vestimenta
👘;↑↑↑;japonés|kimono|ropa|vestido|vestimenta
🥻;↑↑↑;↑↑↑
🩱;↑↑↑;↑↑↑
🩲;↑↑↑;↑↑↑
🩳;↑↑↑;↑↑↑
👙;↑↑↑;baño|bikini|nadar|pileta|piscina|ropa|traje|vestimenta
👚;↑↑↑;blusa|mujer|ropa|ropa de mujer|vestimenta
🪭;↑↑↑;↑↑↑
👛;↑↑↑;cartera|dinero|monedas|monedero|ropa|vestimenta
👜;↑↑↑;bolsa|bolso|cartera|cartera de mano|mujer|ropa|vestimenta
👝;↑↑↑;bolso|bolso de mano|cartera|ropa|sobre|vestimenta
🛍️;↑↑↑;bolsa|bolsas de compras|compras
🎒;mochila;escuela|estudiar|maletín|mochila
🩴;↑↑↑;chancla|chancleta|chinela|sandalia
👞;↑↑↑;hombre|ropa|vestimenta|zapato|zapato de hombre
👟;zapato deportivo;deporte|ropa deportiva|vestimenta|zapato deportivo
🥾;↑↑↑;↑↑↑
🥿;↑↑↑;↑↑↑
👠;zapato de taco alto;mujer|tacón|zapato|zapato de taco alto|zapato de tacón
👡;↑↑↑;mujer|ropa|sandalia|sandalia de mujer|vestimenta
🩰;↑↑↑;↑↑↑
👢;↑↑↑;bota|bota de mujer|mujer|ropa|vestimenta
🪮;↑↑↑;↑↑↑
👑;↑↑↑;corona|reina|rey|ropa|vestimenta
👒;↑↑↑;mujer|ropa|sombrero|sombrero de mujer|vestimenta
🎩;galera;caballero|copa|galera|hombre|sombrero
🎓;gorro de graduación;birrete|celebración|gorro de graduación|graduación|graduado
🧢;↑↑↑;↑↑↑
🪖;↑↑↑;↑↑↑
⛑️;casco con cruz blanca;ayuda|casco|casco con cruz blanca|casco de rescatista
📿;↑↑↑;collar|cuentas|oración|rosario
💄;lápiz labial;cosméticos|labial|lápiz labial|maquillaje
💍;↑↑↑;anillo|compromiso|romance
💎;↑↑↑;diamante|joya|piedra preciosa
🔇;↑↑↑;↑↑↑
🔈;↑↑↑;↑↑↑
🔉;↑↑↑;↑↑↑
🔊;↑↑↑;↑↑↑
📢;↑↑↑;altavoces|altavoz|altavoz de mano|estadio|parlante
📣;↑↑↑;altavoz|megáfono|parlante
📯;corneta de correo;clarín|corneta|corneta de correo|correo|instrumento
🔔;↑↑↑;↑↑↑
🔕;↑↑↑;↑↑↑
🎼;↑↑↑;clave|clave de sol|música|partitura|pentagrama|sol
🎵;↑↑↑;corchea|música|nota|nota musical
🎶;↑↑↑;corchea|música|nota|notas musicales
🎙️;micrófono de grabación;estudio|grabación|micrófono|micrófono de grabación|voz
🎚️;control deslizante;control deslizante|deslizar|música|nivel
🎛️;perillas;control|diales|música|perillas|potenciómetros|ruedas|ruedas de control
🎤;↑↑↑;entretenimiento|karaoke|micrófono|música
🎧;auriculares;auriculares|entretenimiento|música
📻;↑↑↑;↑↑↑
🎷;↑↑↑;↑↑↑
🪗;↑↑↑;acordeón|bandoneón|concertina|instrumento musical|música
🎸;↑↑↑;↑↑↑
🎹;↑↑↑;↑↑↑
🎺;↑↑↑;↑↑↑
🎻;↑↑↑;↑↑↑
🪕;↑↑↑;↑↑↑
🥁;↑↑↑;música|palitos|tambor
🪘;↑↑↑;↑↑↑
🪇;↑↑↑;↑↑↑
🪈;↑↑↑;↑↑↑
📱;↑↑↑;↑↑↑
📲;teléfono móvil con una flecha;celular|flecha|hacer llamada|móvil|teléfono|teléfono móvil con una flecha
☎️;teléfono de línea;cables|línea|teléfono|teléfono de línea
📞;teléfono;comunicación|teléfono|tubo
📟;buscapersonas;buscapersonas|comunicación
📠;↑↑↑;↑↑↑
🔋;↑↑↑;↑↑↑
🪫;↑↑↑;↑↑↑
🔌;↑↑↑;electricidad|enchufe|enchufe eléctrico
💻;laptop;computadora|laptop|netbook|notebook|personal
🖥️;computadora de escritorio;computadora|computadora de escritorio|escritorio
🖨️;↑↑↑;accesorio|computadora|impresora
⌨️;↑↑↑;accesorio|computadora|teclado
🖱️;mouse;accesorio|computadora|mouse
🖲️;rueda de desplazamiento;accesorio|computadora|rueda de desplazamiento
💽;minidisco;computadora|disco|minidisc|minidisco
💾;↑↑↑;disco|diskette|disquete|floppy
💿;↑↑↑;Blu-ray|CD|disco|DVD|óptico
📀;DVD;disco|DVD
🧮;↑↑↑;↑↑↑
🎥;filmadora;cámara|cine|entretenimiento|filmadora|película
🎞️;cuadros de película;cine|cuadros de película|película
📽️;↑↑↑;cine|películas|proyector|proyector de cine|video
🎬;↑↑↑;↑↑↑
📺;televisor;televisión|televisor|TV|video
📷;cámara fotográfica;cámara|cámara fotográfica|fotos
📸;↑↑↑;↑↑↑
📹;↑↑↑;cámara|video|videocámara
📼;cinta de video;cinta|cinta de video|video
🔍;lupa hacia la izquierda;aumento|buscar|instrumento|lupa|lupa hacia la izquierda
🔎;lupa hacia la derecha;aumento|buscar|instrumento|lupa|lupa hacia la derecha
🕯️;↑↑↑;cera|fuego|luz|vela
💡;lámpara;cómic|idea|lámpara|lamparita
🔦;↑↑↑;↑↑↑
🏮;farol de papel japonés;farol|farol de papel japonés|izakaya|linterna|papel|restaurante|roja
🪔;↑↑↑;↑↑↑
📔;↑↑↑;cuaderno|cuaderno con tapa decorativa|decorado|tapa
📕;↑↑↑;↑↑↑
📖;↑↑↑;↑↑↑
📗;↑↑↑;↑↑↑
📘;↑↑↑;↑↑↑
📙;libro anaranjado;libro|libro anaranjado|naranja
📚;↑↑↑;libro|libros|pila
📓;↑↑↑;cuaderno|negro
📒;↑↑↑;contabilidad|libro|libro de contabilidad
📃;documento doblado;doblada|documento doblado|página
📜;↑↑↑;↑↑↑
📄;documento;documento|frente|hoja|página
📰;↑↑↑;diario|noticias|periódico
🗞️;↑↑↑;diario|noticias|periódico|periódico enrollado
📑;pestañas de marcador;marcador|pestañas|pestañas de marcador
🔖;↑↑↑;↑↑↑
🏷️;↑↑↑;↑↑↑
💰;↑↑↑;bolsa|bolsa de dinero|dinero|dólares
🪙;↑↑↑;↑↑↑
💴;↑↑↑;billete|billete de yen|dinero|yen
💵;↑↑↑;billete|billete de dólar|dinero|dólar
💶;↑↑↑;billete|billete de euro|dinero|euro
💷;↑↑↑;billete|billete de libra|dinero|libra
💸;↑↑↑;alas|billete con alas|billetes|dinero|dólares
💳;↑↑↑;↑↑↑
🧾;↑↑↑;↑↑↑
💹;mercado en alza;dinero|gráfico|mercado|mercado en alza|tendencia|yen
✉️;↑↑↑;↑↑↑
📧;↑↑↑;comunicación|correo|electrónico|sobre
📨;mensaje entrante;carta|comunicación|correo|electrónico|mensaje|mensaje entrante|recibido|sobre
📩;mensaje saliente;carta|comunicación|correo electrónico|enviado|mensaje|mensaje saliente|sobre
📤;↑↑↑;bandeja|bandeja de salida|comunicación|correo|enviados|salida|saliente
📥;↑↑↑;bandeja|bandeja de entrada|comunicación|correo|entrada|entrante|recibidos
📦;↑↑↑;↑↑↑
📫;buzón cerrado bandera levantada;bandera|buzón|buzón cerrado bandera levantada|correo
📪;buzón cerrado bandera baja;bandera|buzón|buzón cerrado bandera baja|correo
📬;buzón abierto bandera levantada;bandera|buzón|buzón abierto bandera levantada|correo
📭;buzón abierto bandera baja;bandera|buzón|buzón abierto bandera baja|correo
📮;↑↑↑;↑↑↑
🗳️;↑↑↑;elecciones|urna|urna con papeleta|votación
✏️;↑↑↑;escolar|escribir|lápiz|útil
✒️;lapicera de pluma;lapicera|lapicera de pluma|pluma|tinta
🖋️;pluma fuente;lapicera|pluma|pluma fuente|tinta
🖊️;lapicera;bolígrafo|escribir|lapicera
🖌️;↑↑↑;↑↑↑
🖍️;crayón;crayón|dibujar|pintar
📝;nota;comunicación|memo|nota|recordatorio
💼;↑↑↑;↑↑↑
📁;↑↑↑;↑↑↑
📂;↑↑↑;↑↑↑
🗂️;separadores para tarjetas;archivos|índice|separadores para tarjetas
📅;↑↑↑;calendario|cita|fecha|reunión
📆;calendario con hojas;calendario|calendario con hojas|hojas
🗒️;bloc de notas con espiral;anotador|bloc de notas con espiral|escribir|notas
🗓️;calendario con espiral;calendario|calendario con espiral|fechas
📇;↑↑↑;índice|organizador de fichas|Rolodex
📈;tendencia ascendente;alza|ascendente|aumentar|gráfico|mejor|mejorar|tabla|tendencia ascendente
📉;tendencia descendente;alza|descendente|disminuir|empeorar|gráfico|peor|reducir|tabla|tendencia descendente
📊;↑↑↑;↑↑↑
📋;↑↑↑;carpeta|portapapeles|sujetapapeles
📌;↑↑↑;chinche|chincheta|tachuela
📍;↑↑↑;chinche|chincheta|chincheta redonda|tachuela
📎;clip para hojas;clip|clip para hojas|hojas|papel
🖇️;↑↑↑;clips|unidos
📏;regla recta;regla|regla recta
📐;↑↑↑;escuadra|regla|triangular
✂️;↑↑↑;↑↑↑
🗃️;organizador de tarjetas;archivos|caja|organizador de tarjetas
🗄️;↑↑↑;↑↑↑
🗑️;cesto;basura|cesto|papeles
🔒;↑↑↑;candado|cerrado
🔓;↑↑↑;abierto|candado
🔏;candado y lapicera;candado|candado y lapicera|lapicera|pluma
🔐;↑↑↑;candado|candado cerrado y llave|cerrado|llave
🔑;↑↑↑;↑↑↑
🗝️;↑↑↑;↑↑↑
🔨;↑↑↑;↑↑↑
🪓;↑↑↑;↑↑↑
⛏️;↑↑↑;herramienta|minería|pico
⚒️;↑↑↑;herramientas|martillo|martillo y pico|pico
🛠️;↑↑↑;herramienta|inglesa|llave|martillo|martillo y llave inglesa
🗡️;daga;armas|cuchillo|daga
⚔️;↑↑↑;armas|espadas|espadas cruzadas
💣;↑↑↑;↑↑↑
🪃;↑↑↑;↑↑↑
🏹;↑↑↑;↑↑↑
🛡️;↑↑↑;escudo|protección
🪚;↑↑↑;↑↑↑
🔧;↑↑↑;↑↑↑
🪛;↑↑↑;↑↑↑
🔩;perno con tuerca;herramienta|perno|perno con tuerca|tuerca
⚙️;↑↑↑;↑↑↑
🗜️;↑↑↑;↑↑↑
⚖️;↑↑↑;↑↑↑
🦯;↑↑↑;↑↑↑
🔗;eslabones de cadena;cadena|enlace|eslabones|eslabones de cadena|vínculo
⛓️‍💥;↑↑↑;cadena rota|esposas|libertad|romper|rotura
⛓️;↑↑↑;↑↑↑
🪝;↑↑↑;↑↑↑
🧰;↑↑↑;↑↑↑
🧲;↑↑↑;↑↑↑
🪜;↑↑↑;↑↑↑
⚗️;↑↑↑;alambique|destilar|herramienta|química
🧪;↑↑↑;↑↑↑
🧫;↑↑↑;↑↑↑
🧬;↑↑↑;↑↑↑
🔬;↑↑↑;↑↑↑
🔭;↑↑↑;↑↑↑
📡;antena satelital;antena|antena de satélite|antena satelital|comunicación|satélite
💉;jeringa;aguja|inyección|jeringa|medicina|médico
🩸;↑↑↑;↑↑↑
💊;↑↑↑;medicamento|medicina|médico|pastilla|píldora
🩹;↑↑↑;↑↑↑
🩼;↑↑↑;↑↑↑
🩺;↑↑↑;↑↑↑
🩻;↑↑↑;↑↑↑
🚪;↑↑↑;↑↑↑
🛗;↑↑↑;↑↑↑
🪞;↑↑↑;↑↑↑
🪟;↑↑↑;↑↑↑
🛏️;↑↑↑;↑↑↑
🛋️;↑↑↑;↑↑↑
🪑;↑↑↑;↑↑↑
🚽;↑↑↑;↑↑↑
🪠;↑↑↑;↑↑↑
🚿;↑↑↑;↑↑↑
🛁;↑↑↑;↑↑↑
🪤;↑↑↑;↑↑↑
🪒;↑↑↑;↑↑↑
🧴;↑↑↑;↑↑↑
🧷;↑↑↑;↑↑↑
🧹;↑↑↑;↑↑↑
🧺;↑↑↑;↑↑↑
🧻;↑↑↑;↑↑↑
🪣;↑↑↑;↑↑↑
🧼;↑↑↑;↑↑↑
🫧;↑↑↑;↑↑↑
🪥;↑↑↑;↑↑↑
🧽;↑↑↑;↑↑↑
🧯;↑↑↑;↑↑↑
🛒;carrito de compras;carriito|carrito de compras|carro|compras|supermercado|tienda
🚬;↑↑↑;cigarrillo|fumar|permitido
⚰️;↑↑↑;↑↑↑
🪦;↑↑↑;↑↑↑
⚱️;↑↑↑;funeral|muerte|urna|urna funeraria
🧿;↑↑↑;↑↑↑
🪬;↑↑↑;↑↑↑
🗿;estatua de la isla de Pascua;estatua|estatua de la isla de Pascua|isla|Moái|Pascua
🪧;↑↑↑;↑↑↑
🪪;identificación;↑↑↑

[symbols]
🏧;cajero automático;atm|banco|cajero|cajero automático|señal de cajero automático
🚮;cartel cesto de basura;basura|cartel cesto de basura|papelera|señal|señal de usar papelera|tirar la basura en la papelera
🚰;↑↑↑;↑↑↑
♿;acceso para silla de ruedas;acceso|acceso para silla de ruedas|señal|silla de ruedas
🚹;símbolo de hombre;aseo de caballeros|aseo para hombres|baño|señal|señal con un hombre|servicio|símbolo de hombre
🚺;símbolo de mujer;aseo de señoras|baño|señal|señal con una mujer|señal de aseo para mujeres|servicio|símbolo de mujer
🚻;señal de baño;baño|público|señal|señal de baño|servicios
🚼;↑↑↑;bebé|bordo|cambiador|señal|señal de bebé
🚾;servicios;baño|señal|servicios
🛂;inspección de pasaportes;control|control de pasaportes|inspección de pasaportes|pasaportes
🛃;↑↑↑;↑↑↑
🛄;reclamo de equipaje;equipaje|reclamo|reclamo de equipaje|señal
🛅;depósito de equipaje;depósito|depósito de equipaje|equipaje|locker|señal
⚠️;↑↑↑;↑↑↑
🚸;cruce de niños;cruce de niños|niños|señal
⛔;prohibido entrar;entrar|no|pasar|prohibido|señal
🚫;señal de prohibición;entrar|no|pasar|prohibido|señal|señal de prohibición
🚳;no se permiten bicicletas;bicicletas|no se permiten bicicletas|prohibido|señal|vehículo
🚭;↑↑↑;↑↑↑
🚯;↑↑↑;↑↑↑
🚱;↑↑↑;↑↑↑
🚷;↑↑↑;↑↑↑
📵;no se permiten celulares;móvil|no hacer llamadas|no se permiten celulares|prohibido|prohibido el uso de móviles|teléfono
🔞;prohibido para menores de 18;prohibido|prohibido para menores de 18|prohibido para menores de 18 años|prohibido para menos de 18 años
☢️;↑↑↑;↑↑↑
☣️;peligro biológico;biológico|peligro|señal
⬆️;↑↑↑;↑↑↑
↗️;↑↑↑;↑↑↑
➡️;↑↑↑;↑↑↑
↘️;↑↑↑;↑↑↑
⬇️;↑↑↑;↑↑↑
↙️;↑↑↑;↑↑↑
⬅️;↑↑↑;↑↑↑
↖️;↑↑↑;↑↑↑
↕️;↑↑↑;↑↑↑
↔️;↑↑↑;↑↑↑
↩️;↑↑↑;↑↑↑
↪️;↑↑↑;↑↑↑
⤴️;↑↑↑;↑↑↑
⤵️;↑↑↑;↑↑↑
🔃;↑↑↑;↑↑↑
🔄;flechas horizontales en sentido horario;flechas|flechas horizontales en sentido horario|flechas horizontales sentido horario|horario|señal de recarga
🔙;↑↑↑;↑↑↑
🔚;↑↑↑;↑↑↑
🔛;↑↑↑;↑↑↑
🔜;↑↑↑;↑↑↑
🔝;↑↑↑;↑↑↑
🛐;↑↑↑;lugar|lugar de culto|lugar de oración|oración|religión
⚛️;↑↑↑;ateo|átomo|símbolo atómico|símbolo de átomo
🕉️;↑↑↑;↑↑↑
✡️;↑↑↑;↑↑↑
☸️;dharma;↑↑↑
☯️;↑↑↑;↑↑↑
✝️;↑↑↑;↑↑↑
☦️;↑↑↑;cristianismo|cruz|ortodoxa|religión
☪️;estrella y creciente;estrella|estrella y creciente|islam|luna|media luna y estrella|religión
☮️;↑↑↑;↑↑↑
🕎;↑↑↑;candelabro|judaísmo|judío|menorá|religión
🔯;↑↑↑;↑↑↑
🪯;↑↑↑;↑↑↑
♈;↑↑↑;Aries|carnero|zodíaco
♉;↑↑↑;buey|Tauro|toro|zodíaco
♊;↑↑↑;Géminis|mellizos|zodíaco
♋;↑↑↑;Cáncer|cangrejo|zodíaco
♌;↑↑↑;Leo|león|zodíaco
♍;↑↑↑;virgen|Virgo|zodíaco
♎;↑↑↑;balanza|justicia|Libra|zodíaco
♏;↑↑↑;Escorpio|escorpión|zodíaco
♐;↑↑↑;arquero|Sagitario|zodíaco
♑;↑↑↑;cabra|Capricornio|zodíaco
♒;↑↑↑;Acuario|agua|zodíaco
♓;↑↑↑;pez|Piscis|zodíaco
⛎;↑↑↑;Ofiuco|serpiente|zodíaco
🔀;↑↑↑;↑↑↑
🔁;↑↑↑;flechas|música|repetir|todo
🔂;↑↑↑;flechas|música|repetir|repetir una vez|uno
▶️;↑↑↑;↑↑↑
⏩;↑↑↑;adelantar|avance|botón|música|rápido
⏭️;avanzar a la pista siguiente;adelantar|avanzar|avanzar a la pista siguiente|botón|música|siguiente
⏯️;pausar o reproducir;botón|música|pausa|pausar o reproducir|triángulo
◀️;retroceder;botón|música|retroceder
⏪;↑↑↑;botón|música|rápido|retroceso
⏮️;última pista;anterior|botón|música|última pista
🔼;↑↑↑;↑↑↑
⏫;↑↑↑;↑↑↑
🔽;botón hacia abajo;abajo|bajar|botón|botón hacia abajo|flecha
