# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;হাস্য মুখী;মুখ|হাস্য মুখী|হাঁহি
⏸️;বিৰতি বুটাম;উলম্ব|দণ্ড|দ্বৈত|বিৰতি|বিৰতি বুটাম
⏹️;ৰখোৱা বুটাম;বৰ্গ|ৰখোৱা|ৰখোৱা বুটাম
⏺️;বাণীবদ্ধ বুটাম;চক্ৰ|বাণীবদ্ধ|বাণীবদ্ধ বুটাম
⏏️;বাহিৰ বুটাম;বাহিৰ|বাহিৰ বুটাম
🎦;চিনেমা;কেমেৰা|চলচ্চিত্ৰ|চিনেমা|ফিল্ম
🔅;অনুজ্জ্বল বুটাম;অনুজ্জ্বল|অনুজ্জ্বল বুটাম|উজ্জ্বলতা|কম
🔆;উজ্জ্বল বুটাম;উজ্জ্বল|উজ্জ্বল বুটাম|উজ্জ্বলতা
📶;এণ্টেনা দণ্ড;এণ্টেনা|চেল|টেলিফোন|দণ্ড|ফোন|বেতাঁৰ সংকেত|মোবাইল
🛜;ৱায়াৰলেছ;ইণ্টাৰনেট|কম্পিউটাৰ|নেটৱৰ্ক|ৱায়াৰলেছ
📳;কম্পন মোড;কম্পন|চেল|টেলিফোন|ফোন|মোড|মোবাইল
📴;মোবাইল ফোন বন্ধ;চেল|টেলিফোন|ফোন|বন্ধ|মোবাইল
♀️;মহিলা চিহ্ন;মহিলা|মহিলা চিহ্ন
♂️;পুৰুষ চিহ্ন;পুৰুষ|পুৰুষ চিহ্ন
⚧️;ট্ৰাণ্সজেণ্ডাৰ চিহ্ন;ট্ৰাণ্সজেণ্ডাৰ|ট্ৰাণ্সজেণ্ডাৰ চিহ্ন
✖️;পূৰণ;×|x|চিন|পূৰণ|পূৰণ কৰা|বাতিল
➕;যোগ;+|অংক|চিন|যোগ
➖;বিয়োগ;-|−|অংক|চিন|বিয়োগ
➗;হৰণ;÷|অংক|চিন|হৰণ
🟰;ডাঠ সমান চিহ্ন;গণিত|ডাঠ সমান চিহ্ন|সমতা
♾️;সীমাহীন;অসীমিত|চিৰদিন|বিশ্বজনীন|সীমাহীন
‼️;দ্বৈত ভাৱবোধক চিহ্ন;!|!!|দ্বৈত ভাৱবোধক চিহ্ন|বেংবেং|যতি-চিহ্ন
⁉️;ভাৱবোধক প্ৰশ্নবোধক চিহ্ন;!|!?|?|চিহ্ন|প্ৰশ্ন|ভাৱবোধক|ভাৱবোধক আৰু প্ৰশ্নবোধক|ভাৱবোধক প্ৰশ্নবোধক চিহ্ন|যতি-চিহ্ন
❓;ৰঙা ৰঙৰ প্ৰশ্নবোধক চিহ্ন;?|চিন|প্ৰশ্ন|যতি-চিহ্ন|ৰঙা ৰঙৰ প্ৰশ্নবোধক চিহ্ন
❔;বগা ৰঙৰ প্ৰশ্নবোধক চিন;?|চিন|প্ৰশ্ন|প্ৰান্তৰেখাযুক্ত|বগা ৰঙৰ প্ৰশ্নবোধক চিন|যতি-চিহ্ন
❕;বগা ৰঙৰ ভাৱবোধক চিহ্ন;!|চিহ্ন|প্ৰান্তৰেখাযুক্ত|বগা ৰঙৰ প্ৰশ্নবোধক চিহ্ন|বগা ৰঙৰ ভাৱবোধক চিহ্ন|ভাৱবোধক|যতি-চিহ্ন
❗;ৰঙা ৰঙৰ ভাৱবোধক চিহ্ন;!|চিহ্ন|ভাৱবোধক|যতি-চিহ্ন|ৰঙা ৰঙৰ ভাৱবোধক চিহ্ন
〰️;ঢৌ খেলোৱা ডেছ;ডেছ|ঢৌ খেলোৱা|ঢৌ খেলোৱা ডেছ|যতি-চিহ্ন
💱;মুদ্ৰা বিনিময়;ধন|বিনিময়|বেংক|মুদ্ৰা
💲;ডাঠ হৰফৰ ডলাৰ চিহ্ন;ডলাৰ|ডাঠ হৰফৰ ডলাৰ চিহ্ন|ধন|মুদ্ৰা
⚕️;চিকিৎসা-সম্বন্ধীয় চিহ্ন;কৰ্মচাৰীবৰ্গ|চিকিৎসা-সম্বন্ধীয় চিহ্ন|ডাক্তৰী|দৰৱ
♻️;পুনৰাৱৰ্তন চিহ্ন;পুনৰাৱৰ্তন|পুনৰাৱৰ্তন চিহ্ন
⚜️;ফ্ল-দ্য-লি;ফ্ল-দ্য-লি
🔱;ত্ৰিশূল প্ৰতীক;জাহাজ|ত্ৰিশূল|প্ৰতীক|লংগৰ|সঁজুলি
📛;নাম বেজ;নাম|বেজ
🔰;শিকাৰুৰ বাবে জাপানী চিহ্ন;জাপানী|ধৰণ|পাত|শিকাৰু|শিকাৰুৰ বাবে জাপানী চিহ্ন
⭕;ফোঁপোলা ৰঙা চক্ৰ;o|চক্ৰ|ডাঙৰ|ফোঁপোলা ৰঙা চক্ৰ|ৰঙা
✅;শুদ্ধ চিনৰ বুটাম;✓|চিন|বুটাম|শুদ্ধ চিন|শুদ্ধ চিনৰ বুটাম
☑️;শুদ্ধ চিন থকা চেক বক্স;✓|বক্স|শুদ্ধ চিন|শুদ্ধ চিন থকা চেক বক্স
✔️;শুদ্ধ চিন;✓|চিন|শুদ্ধ চিন
❌;অশুদ্ধ চিন;×|x|অশুদ্ধ চিন|কটা-কটি চিন|চিন|পূৰণ|পূৰণ কৰা
❎;অশুদ্ধ চিনৰ বুটাম;×|x|অশুদ্ধ চিনৰ বুটাম|চিন|বৰ্গ
➰;কেঁকোৰা পাক;কেঁকোৰা|পাক
➿;দ্বৈত কেঁকোৰা পাক;কেঁকোৰা|দ্বৈত|পাক
〽️;গায়কে গাবলগীয়া গীতৰ কলি সলনিৰ চিন;গায়কে গাবলগীয়া গীতৰ কলি সলনিৰ চিন|চিন|সংগীতৰ কলি
✳️;অষ্ট-অৰ দণ্ডবিশিষ্ট তৰা চিন;*|অষ্ট-অৰ দণ্ডবিশিষ্ট তৰা চিন|তৰা চিন
✴️;অষ্টাগ্ৰবিশিষ্ট তৰা চিন;*|অষ্টাগ্ৰবিশিষ্ট তৰা চিন|তৰা
❇️;তিৰবিৰণি;*|তিৰবিৰণি
©️;স্বত্বাধিকাৰ চিহ্ন;c|স্বত্বাধিকাৰ|স্বত্বাধিকাৰ চিহ্ন
®️;পঞ্জীভুক্ত;r|পঞ্জীভুক্ত
™️;পণ্যচিহ্ন;চিহ্ন|ট্ৰেডমাৰ্ক|পণ্যচিহ্ন
#️⃣;কীকেপ: #;কীকেপ|কীকেপ: #
*️⃣;কীকেপ: *;কীকেপ|কীকেপ: *
0️⃣;কীকেপ: 0;কীকেপ|কীকেপ: 0
1️⃣;কীকেপ: 1;কীকেপ|কীকেপ: 1
2️⃣;কীকেপ: 2;কীকেপ|কীকেপ: 2
3️⃣;কীকেপ: 3;কীকেপ|কীকেপ: 3
4️⃣;কীকেপ: 4;কীকেপ|কীকেপ: 4
5️⃣;কীকেপ: 5;কীকেপ|কীকেপ: 5
6️⃣;কীকেপ: 6;কীকেপ|কীকেপ: 6
7️⃣;কীকেপ: 7;কীকেপ|কীকেপ: 7
8️⃣;কীকেপ: 8;কীকেপ|কীকেপ: 8
9️⃣;কীকেপ: 9;কীকেপ|কীকেপ: 9
🔟;কীকেপ: 10;কীকেপ|কীকেপ: 10
🔠;লেটিন বৰফলাৰ আখৰ দিয়ক;ABCD|আখৰ|ইনপুট|বৰফলা|লেটিন|লেটিন বৰফলাৰ আখৰ দিয়ক
🔡;লেটিন সৰুফলাৰ আখৰ দিয়ক;abcd|দিয়ক|বৰ্ণ|লেটিন|লেটিন সৰুফলাৰ আখৰ দিয়ক|সৰুফলা
🔢;সংখ্যা দিয়ক;1234|দিয়ক|সংখ্যা
🔣;চিহ্ন দিয়ক;〒♪&amp;%|চিহ্ন দিয়ক|দিয়ক
🔤;লেটিন বৰ্ণ দিয়ক;abc|দিয়ক|বৰ্ণ|বৰ্ণমালা|লেটিন
🅰️;A বুটাম (ৰক্ত-বৰ্গ);a|A বুটাম (ৰক্ত-বৰ্গ)|ৰক্ত-বৰ্গ
🆎;AB বুটাম (ৰক্ত-বৰ্গ);AB|AB বুটাম (ৰক্ত-বৰ্গ)|ৰক্ত-বৰ্গ
🅱️;B বুটাম (ৰক্ত-বৰ্গ);B|B বুটাম (ৰক্ত-বৰ্গ)|Bb|ৰক্ত-বৰ্গ
🆑;CL বুটাম;cl|CL বুটাম
🆒;COOL বুটাম;COOL বুটাম|ঠাণ্ডা
🆓;FREE বুটাম;FREE বুটাম|বিনামূলীয়া
ℹ️;তথ্য;i|তথ্য
🆔;ID বুটাম;id|ID বুটাম|পৰিচয়
Ⓜ️;বৃত্তাবৃত M;m|বৃত্ত|বৃত্তাবৃত M
🆕;NEW বুটাম;NEW বুটাম|নতুন
🆖;NG বুটাম;NG বুটাম|এনজি
🅾️;O বুটাম (ৰক্ত-বৰ্গ);o|O বুটাম (ৰক্ত-বৰ্গ)|ৰক্ত-বৰ্গ
🆗;OK বুটাম;OK বুটাম|ঠিক আছে
🅿️;P বুটাম;P বুটাম|পাৰ্কিং
🆘;SOS বুটাম;SOS বুটাম|সহায়|সহায় বিচাৰি জৰুৰী আহ্বান
🆙;UP! বুটাম;UP! বুটাম|ওপৰলৈ|চিন
🆚;VS বুটাম;VS বুটাম|বনাম
🈁;জাপানী “ইয়াত” বুটাম;“ইয়াত”|কাটাকানা|জাপানী|জাপানী “ইয়াত” বুটাম|ココ
🈂️;জাপানী “সেৱা মাচুল” বুটাম;“সেৱা মাচুল”|কাটাকানা|জাপানী|জাপানী “সেৱা মাচুল” বুটাম|サ
🈷️;জাপানী “মাহেকীয়া পৰিমাণ” বুটাম;“মাহেকীয়া পৰিমাণ”|আইডিয়’গ্ৰাফ্|জাপানী|জাপানী “মাহেকীয়া পৰিমাণ” বুটাম|月
🈶;জাপানী “বিনামূলীয়া নহয়” বুটাম;“বিনামূলীয়া নহয়”|আইডিয়’গ্ৰাফ্|জাপানী|জাপানী “বিনামূলীয়া নহয়” বুটাম|有
🈯;জাপানী “সংৰক্ষিত” বুটাম;“সংৰক্ষিত”|আইডিয়’গ্ৰাফ্|জাপানী|জাপানী “সংৰক্ষিত” বুটাম|指
🉐;জাপানী “দৰ-দাম” বুটাম;“দৰ-দাম”|আইডিয়’গ্ৰাফ্|জাপানী|জাপানী “দৰ-দাম” বুটাম|得
🈹;জাপানী “ৰেহাই” বুটাম;“ৰেহাই”|আইডিয়’গ্ৰাফ্|জাপানী|জাপানী “ৰেহাই” বুটাম|割
🈚;জাপানী “বিনামূলীয়া” বুটাম;“বিনামূলীয়া”|আইডিয়’গ্ৰাফ্|জাপানী|জাপানী “বিনামূলীয়া” বুটাম|無
🈲;জাপানী “নিষিদ্ধ” বুটাম;“নিষিদ্ধ”|আইডিয়’গ্ৰাফ্|জাপানী|জাপানী “নিষিদ্ধ” বুটাম|禁
🉑;জাপানী “গ্ৰহণযোগ্য” বুটাম;“গ্ৰহণযোগ্য”|আইডিয়’গ্ৰাফ্|জাপানী|জাপানী “গ্ৰহণযোগ্য” বুটাম|可
🈸;জাপানী “এপ্লিকেশ্বন” বুটাম;“আবেদন”|আইডিয়’গ্ৰাফ্|জাপানী|জাপানী “এপ্লিকেশ্বন” বুটাম|申
🈴;জাপানী “অনুমোদিত” বুটাম;“অনুমোদিত”|আইডিয়’গ্ৰাফ্|জাপানী|জাপানী “অনুমোদিত” বুটাম|合
🈳;জাপানী “খালী” বুটাম;“খালী”|আইডিয়’গ্ৰাফ্|জাপানী|জাপানী “খালী” বুটাম|空
㊗️;জাপানী “অভিনন্দন” বুটাম;“অভিনন্দন”|আইডিয়’গ্ৰাফ্|জাপানী|জাপানী “অভিনন্দন” বুটাম|祝
㊙️;জাপানী “গোপন” বুটাম;“গোপন”|আইডিয়’গ্ৰাফ্|জাপানী|জাপানী “গোপন” বুটাম|秘
🈺;জাপানী “বেপাৰৰ বাবে খোলা” বুটাম;“বেপাৰৰ বাবে খোলা”|আইডিয়’গ্ৰাফ্|জাপানী|জাপানী “বেপাৰৰ বাবে খোলা” বুটাম|営
🈵;জাপানী “খালী নাই” বুটাম;“খালী নাই”|আইডিয়’গ্ৰাফ্|জাপানী|জাপানী “খালী নাই” বুটাম|満
🔴;ৰঙা বৃত্ত;জ্যামিতিক|বৃত্ত|ৰঙা
🟠;কমলাৰঙী বৃত্ত;কমলা|কমলাৰঙী বৃত্ত|বৃত্ত
🟡;হালধীয়া বৃত্ত;বৃত্ত|হালধীয়া
🟢;সেউজীয়া বৃত্ত;বৃত্ত|সেউজীয়া
🔵;নীলা বৃত্ত;জ্যামিতিক|নীলা|বৃত্ত
🟣;বেঙুনীয়া বৃত্ত;বৃত্ত|বেঙুনীয়া
🟤;মূগা বৃত্ত;বৃত্ত|মূগা
⚫;ক’লা বৃত্ত;ক’লা বৃত্ত|জ্যামিতিক|বৃত্ত
⚪;বগা বৃত্ত;জ্যামিতিক|বগা বৃত্ত|বৃত্ত
🟥;ৰঙা বৰ্গ;বৰ্গ|ৰঙা
🟧;কমলাৰঙী বৰ্গ;কমলা ৰং|কমলাৰঙী বৰ্গ|বৰ্গ
🟨;হালধীয়া বৰ্গ;বৰ্গ|হালধীয়া
🟩;সেউজীয়া বৰ্গ;বৰ্গ|সেউজীয়া
🟦;নীলা বৰ্গ;নীলা|বৰ্গ
🟪;বেঙুনীয়া বৰ্গ;বৰ্গ|বেঙুনীয়া
🟫;মূগা বৰ্গ;বৰ্গ|মূগা
⬛;ক’লা ডাঙৰ বৰ্গ;ক’লা ডাঙৰ বৰ্গ|জ্যামিতিক|বৰ্গ
⬜;বগা ডাঙৰ বৰ্গ;জ্যামিতিক|বগা ডাঙৰ বৰ্গ|বৰ্গ
◼️;ক’লা মধ্যমীয়া বৰ্গ;ক’লা মধ্যমীয়া বৰ্গ|জ্যামিতিক|বৰ্গ
◻️;বগা মধ্যমীয়া বৰ্গ;জ্যামিতিক|বগা মধ্যমীয়া বৰ্গ|বৰ্গ
◾;ক’লা মধ্যমীয়া-সৰু বৰ্গ;ক’লা মধ্যমীয়া-সৰু বৰ্গ|জ্যামিতিক|বৰ্গ
◽;বগা মধ্যমীয়া-সৰু বৰ্গ;জ্যামিতিক|বগা মধ্যমীয়া-সৰু বৰ্গ|বৰ্গ
▪️;ক’লা সৰু বৰ্গ;ক’লা সৰু বৰ্গ|জ্যামিতিক|বৰ্গ
▫️;বগা সৰু বৰ্গ;জ্যামিতিক|বগা সৰু বৰ্গ|বৰ্গ
🔶;ডাঙৰ কমলাৰঙী হীৰা;কমলাৰঙী|জ্যামিতিক|ডাঙৰ কমলাৰঙী হীৰা|হীৰা
🔷;ডাঙৰ নীলা হীৰা;জ্যামিতিক|ডাঙৰ নীলা হীৰা|নীলা|হীৰা
🔸;সৰু কমলাৰঙী হীৰা;কমলা|জ্যামিতিক|সৰু কমলাৰঙী হীৰা|হীৰা
🔹;সৰু নীলা হীৰা;জ্যামিতিক|নীলা|সৰু নীলা হীৰা|হীৰা
🔺;ঊৰ্ধ্বমুখী ৰঙা ত্ৰিভুজ;ঊৰ্ধ্বমুখী ৰঙা ত্ৰিভুজ|জ্যামিতিক|ৰঙা
🔻;অধোমুখী ৰঙা ত্ৰিভুজ;অধোমুখী ৰঙা ত্ৰিভুজ|জ্যামিতিক|তললৈ|ৰঙা
💠;বিন্দুসহ হীৰা;কমিক|জ্যামিতিক|বিন্দুসহ হীৰা|ভিতৰত|হীৰা
🔘;ৰেডিঅ’ বুটাম;জ্যামিতিক|বুটাম|ৰেডিঅ’
🔳;বগা বৰ্গ বুটাম;জ্যামিতিক|বগা বৰ্গ বুটাম|বৰ্গ|বুটাম|ৰেখাসূচিত
🔲;ক’লা বৰ্গ বুটাম;ক’লা বৰ্গ বুটাম|জ্যামিতিক|বৰ্গ|বুটাম

[flags]
🏁;ক’লা-বগা পতাকা;ক’লা-বগা|ক’লা-বগা পতাকা|ৰেচিং
🚩;ত্ৰিভুজাকাৰ পতাকা;খুঁটি|ত্ৰিভুজাকাৰ পতাকা
🎌;কটা-কটিকৈ ৰখা দুখন পতাকা;উদযাপন|কটা-কটি|কটা-কটিকৈ ৰখা|কটা-কটিকৈ ৰখা দুখন পতাকা|জাপানী
🏴;ক’লা পতাকা;ক’লা পতাকা|ঢৌখেলা
🏳️;বগা পতাকা;ঢৌখেলা|বগা পতাকা
🏳️‍🌈;ৰামধেনু পতাকা;ৰামধেনু|ৰামধেনু পতাকা
🏳️‍⚧️;কিন্নৰৰ পতাকা;কিন্নৰ|কিন্নৰৰ পতাকা|গোলপীয়া|পতাকা|পাতল নীলা|বগা
🏴‍☠️;জলদস্যুৰ পতাকা;গুপ্তধনৰ ভঁৰাল|জ’লী ৰ’জাৰ|জলদস্যু|জলদস্যুৰ পতাকা|লুটপাট
🇦🇨;পতাকা: এচেনচিয়ন দ্বীপ;পতাকা|পতাকা: এচেনচিয়ন দ্বীপ
🇦🇩;পতাকা: আন্দোৰা;পতাকা|পতাকা: আন্দোৰা
🇦🇪;পতাকা: সংযুক্ত আৰব আমিৰাত;পতাকা|পতাকা: সংযুক্ত আৰব আমিৰাত
🇦🇫;পতাকা: আফগানিস্তান;পতাকা|পতাকা: আফগানিস্তান
🇦🇬;পতাকা: এণ্টিগুৱা আৰু বাৰ্বুডা;পতাকা|পতাকা: এণ্টিগুৱা আৰু বাৰ্বুডা
🇦🇮;পতাকা: এনগুইলা;পতাকা|পতাকা: এনগুইলা
🇦🇱;পতাকা: আলবেনিয়া;পতাকা|পতাকা: আলবেনিয়া
🇦🇲;পতাকা: আৰ্মেনিয়া;পতাকা|পতাকা: আৰ্মেনিয়া
🇦🇴;পতাকা: এংগোলা;পতাকা|পতাকা: এংগোলা
🇦🇶;পতাকা: এণ্টাৰ্কটিকা;পতাকা|পতাকা: এণ্টাৰ্কটিকা
🇦🇷;পতাকা: আৰ্জেণ্টিনা;পতাকা|পতাকা: আৰ্জেণ্টিনা
🇦🇸;পতাকা: আমেৰিকান চামোৱা;পতাকা|পতাকা: আমেৰিকান চামোৱা
🇦🇹;পতাকা: অষ্ট্ৰিয়া;পতাকা|পতাকা: অষ্ট্ৰিয়া
🇦🇺;পতাকা: অষ্ট্ৰেলিয়া;পতাকা|পতাকা: অষ্ট্ৰেলিয়া
🇦🇼;পতাকা: আৰুবা;পতাকা|পতাকা: আৰুবা
🇦🇽;পতাকা: আলণ্ড দ্বীপপুঞ্জ;পতাকা|পতাকা: আলণ্ড দ্বীপপুঞ্জ
🇦🇿;পতাকা: আজাৰবেইজান;পতাকা|পতাকা: আজাৰবেইজান
🇧🇦;পতাকা: ব’ছনিয়া আৰু হাৰ্জেগ’ভিনা;পতাকা|পতাকা: ব’ছনিয়া আৰু হাৰ্জেগ’ভিনা
🇧🇧;পতাকা: বাৰ্বাডোচ;পতাকা|পতাকা: বাৰ্বাডোচ
🇧🇩;পতাকা: বাংলাদেশ;পতাকা|পতাকা: বাংলাদেশ
🇧🇪;পতাকা: বেলজিয়াম;পতাকা|পতাকা: বেলজিয়াম
🇧🇫;পতাকা: বুৰকিনা ফাচো;পতাকা|পতাকা: বুৰকিনা ফাচো
🇧🇬;পতাকা: বুলগেৰিয়া;পতাকা|পতাকা: বুলগেৰিয়া
🇧🇭;পতাকা: বাহৰেইন;পতাকা|পতাকা: বাহৰেইন
🇧🇮;পতাকা: বুৰুণ্ডি;পতাকা|পতাকা: বুৰুণ্ডি
🇧🇯;পতাকা: বেনিন;পতাকা|পতাকা: বেনিন
🇧🇱;পতাকা: ছেইণ্ট বাৰ্থলেমে;পতাকা|পতাকা: ছেইণ্ট বাৰ্থলেমে
🇧🇲;পতাকা: বাৰ্মুডা;পতাকা|পতাকা: বাৰ্মুডা
🇧🇳;পতাকা: ব্ৰুনেই;পতাকা|পতাকা: ব্ৰুনেই
🇧🇴;পতাকা: বলিভিয়া;পতাকা|পতাকা: বলিভিয়া
🇧🇶;পতাকা: কেৰিবিয়ান নেদাৰলেণ্ডছ;পতাকা|পতাকা: কেৰিবিয়ান নেদাৰলেণ্ডছ
🇧🇷;পতাকা: ব্ৰাজিল;পতাকা|পতাকা: ব্ৰাজিল
🇧🇸;পতাকা: বাহামাছ;পতাকা|পতাকা: বাহামাছ
🇧🇹;পতাকা: ভুটান;পতাকা|পতাকা: ভুটান
🇧🇻;পতাকা: বুভে দ্বীপ;পতাকা|পতাকা: বুভে দ্বীপ
🇧🇼;পতাকা: ব’টচোৱানা;পতাকা|পতাকা: ব’টচোৱানা
🇧🇾;পতাকা: বেলাৰুছ;পতাকা|পতাকা: বেলাৰুছ
🇧🇿;পতাকা: বেলিজ;পতাকা|পতাকা: বেলিজ
🇨🇦;পতাকা: কানাডা;পতাকা|পতাকা: কানাডা
🇨🇨;পতাকা: কোকোচ (কীলিং) দ্বীপপুঞ্জ;পতাকা|পতাকা: কোকোচ (কীলিং) দ্বীপপুঞ্জ
🇨🇩;পতাকা: কঙ্গো - কিনচাছা;পতাকা|পতাকা: কঙ্গো - কিনচাছা
🇨🇫;পতাকা: মধ্য আফ্রিকান প্রজাতন্ত্র;পতাকা|পতাকা: মধ্য আফ্রিকান প্রজাতন্ত্র
🇨🇬;পতাকা: কঙ্গো - ব্রাজাভিল;পতাকা|পতাকা: কঙ্গো - ব্রাজাভিল
🇨🇭;পতাকা: চুইজাৰলেণ্ড;পতাকা|পতাকা: চুইজাৰলেণ্ড
🇨🇮;পতাকা: কোটে ডি আইভৰ;পতাকা|পতাকা: কোটে ডি আইভৰ
🇨🇰;পতাকা: কুক দ্বীপপুঞ্জ;পতাকা|পতাকা: কুক দ্বীপপুঞ্জ
🇨🇱;পতাকা: চিলি;পতাকা|পতাকা: চিলি
🇨🇲;পতাকা: কেমেৰুণ;পতাকা|পতাকা: কেমেৰুণ
🇨🇳;পতাকা: চীন;পতাকা|পতাকা: চীন
🇨🇴;পতাকা: কলম্বিয়া;পতাকা|পতাকা: কলম্বিয়া
🇨🇵;পতাকা: ক্লিপাৰটোন দ্বীপ;পতাকা|পতাকা: ক্লিপাৰটোন দ্বীপ
🇨🇷;পতাকা: কোষ্টা ৰিকা;পতাকা|পতাকা: কোষ্টা ৰিকা
🇨🇺;পতাকা: কিউবা;পতাকা|পতাকা: কিউবা
🇨🇻;পতাকা: কেপ ভার্দে;পতাকা|পতাকা: কেপ ভার্দে
🇨🇼;পতাকা: কুৰাকাও;পতাকা|পতাকা: কুৰাকাও
🇨🇽;পতাকা: খ্ৰীষ্টমাছ দ্বীপ;পতাকা|পতাকা: খ্ৰীষ্টমাছ দ্বীপ
🇨🇾;পতাকা: চাইপ্ৰাছ;পতাকা|পতাকা: চাইপ্ৰাছ
🇨🇿;পতাকা: চিজেচিয়া;পতাকা|পতাকা: চিজেচিয়া
🇩🇪;পতাকা: জাৰ্মানী;পতাকা|পতাকা: জাৰ্মানী
🇩🇬;পতাকা: ডিয়েগো গাৰ্চিয়া;পতাকা|পতাকা: ডিয়েগো গাৰ্চিয়া
🇩🇯;পতাকা: জিবুটি;পতাকা|পতাকা: জিবুটি
🇩🇰;পতাকা: ডেনমাৰ্ক;পতাকা|পতাকা: ডেনমাৰ্ক
🇩🇲;পতাকা: ড’মিনিকা;পতাকা|পতাকা: ড’মিনিকা
🇩🇴;পতাকা: ড’মিনিকান ৰিপাব্লিক;পতাকা|পতাকা: ড’মিনিকান ৰিপাব্লিক
🇩🇿;পতাকা: আলজেৰিয়া;পতাকা|পতাকা: আলজেৰিয়া
🇪🇦;পতাকা: চেউটা আৰু মেলিলা;পতাকা|পতাকা: চেউটা আৰু মেলিলা
🇪🇨;পতাকা: ইকুৱেডৰ;পতাকা|পতাকা: ইকুৱেডৰ
🇪🇪;পতাকা: ইষ্টোনিয়া;পতাকা|পতাকা: ইষ্টোনিয়া
🇪🇬;পতাকা: ইজিপ্ত;পতাকা|পতাকা: ইজিপ্ত
🇪🇭;পতাকা: পশ্চিমীয় ছাহাৰা;পতাকা|পতাকা: পশ্চিমীয় ছাহাৰা
🇪🇷;পতাকা: এৰিত্ৰিয়া;পতাকা|পতাকা: এৰিত্ৰিয়া
🇪🇸;পতাকা: স্পেইন;পতাকা|পতাকা: স্পেইন
🇪🇹;পতাকা: ইথিঅ’পিয়া;পতাকা|পতাকা: ইথিঅ’পিয়া
🇪🇺;পতাকা: ইউৰোপীয় সংঘ;পতাকা|পতাকা: ইউৰোপীয় সংঘ
🇫🇮;পতাকা: ফিনলেণ্ড;পতাকা|পতাকা: ফিনলেণ্ড
🇫🇯;পতাকা: ফিজি;পতাকা|পতাকা: ফিজি
🇫🇰;পতাকা: ফকলেণ্ড দ্বীপপুঞ্জ;পতাকা|পতাকা: ফকলেণ্ড দ্বীপপুঞ্জ
🇫🇲;পতাকা: মাইক্ৰোনেচিয়া;পতাকা|পতাকা: মাইক্ৰোনেচিয়া
🇫🇴;পতাকা: ফাৰো দ্বীপপুঞ্জ;পতাকা|পতাকা: ফাৰো দ্বীপপুঞ্জ
🇫🇷;পতাকা: ফ্ৰান্স;পতাকা|পতাকা: ফ্ৰান্স
🇬🇦;পতাকা: গেবন;পতাকা|পতাকা: গেবন
🇬🇧;পতাকা: সংযুক্ত ৰাজ্য;পতাকা|পতাকা: সংযুক্ত ৰাজ্য
🇬🇩;পতাকা: গ্ৰেনাডা;পতাকা|পতাকা: গ্ৰেনাডা
🇬🇪;পতাকা: জৰ্জিয়া;পতাকা|পতাকা: জৰ্জিয়া
🇬🇫;পতাকা: ফ্ৰান্স গয়ানা;পতাকা|পতাকা: ফ্ৰান্স গয়ানা
🇬🇬;পতাকা: গোৰেনচি;পতাকা|পতাকা: গোৰেনচি
🇬🇭;পতাকা: ঘানা;পতাকা|পতাকা: ঘানা
🇬🇮;পতাকা: জিব্ৰাল্টৰ;পতাকা|পতাকা: জিব্ৰাল্টৰ
🇬🇱;পতাকা: গ্ৰীণলেণ্ড;পতাকা|পতাকা: গ্ৰীণলেণ্ড
🇬🇲;পতাকা: গাম্বিয়া;পতাকা|পতাকা: গাম্বিয়া
🇬🇳;পতাকা: গিনি;পতাকা|পতাকা: গিনি
🇬🇵;পতাকা: গুৱাডেলুপ;পতাকা|পতাকা: গুৱাডেলুপ
🇬🇶;পতাকা: ইকুৱেটৰিয়েল গিনি;পতাকা|পতাকা: ইকুৱেটৰিয়েল গিনি
🇬🇷;পতাকা: গ্ৰীচ;পতাকা|পতাকা: গ্ৰীচ
🇬🇸;পতাকা: দক্ষিণ জৰ্জিয়া আৰু দক্ষিণ চেণ্ডৱিচ দ্বীপপুঞ্জ;পতাকা|পতাকা: দক্ষিণ জৰ্জিয়া আৰু দক্ষিণ চেণ্ডৱিচ দ্বীপপুঞ্জ
🇬🇹;পতাকা: গুৱাটেমালা;পতাকা|পতাকা: গুৱাটেমালা
🇬🇺;পতাকা: গুৱাম;পতাকা|পতাকা: গুৱাম
🇬🇼;পতাকা: গিনি-বিছাও;পতাকা|পতাকা: গিনি-বিছাও
🇬🇾;পতাকা: গায়ানা;পতাকা|পতাকা: গায়ানা
🇭🇰;পতাকা: হং কং এছ. এ. আৰ. চীন;পতাকা|পতাকা: হং কং এছ. এ. আৰ. চীন
🇭🇲;পতাকা: হাৰ্ড দ্বীপ আৰু মেকডোনাল্ড দ্বীপপুঞ্জ;পতাকা|পতাকা: হাৰ্ড দ্বীপ আৰু মেকডোনাল্ড দ্বীপপুঞ্জ
🇭🇳;পতাকা: হন্দুৰাছ;পতাকা|পতাকা: হন্দুৰাছ
🇭🇷;পতাকা: ক্ৰোৱেছিয়া;পতাকা|পতাকা: ক্ৰোৱেছিয়া
🇭🇹;পতাকা: হাইটি;পতাকা|পতাকা: হাইটি
🇭🇺;পতাকা: হাংগেৰী;পতাকা|পতাকা: হাংগেৰী
🇮🇨;পতাকা: কেনেৰী দ্বীপপুঞ্জ;পতাকা|পতাকা: কেনেৰী দ্বীপপুঞ্জ
