# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;হাস্য মুখী;মুখ|হাস্য মুখী|হাঁহি
🤤;জিভাৰ পানী পৰি থকা মুখ;জিভাৰ পানী পৰি থকা|জিভাৰ পানী পৰি থকা মুখ|মুখ
😴;নিদ্ৰামগ্ন মুখ;zzz|নিদ্ৰা|নিদ্ৰামগ্ন মুখ|মুখ
😷;চিকিৎসা মুখা পৰিহিত মুখ;অসুস্থ|ঔষধ|চিকিৎসক|চিকিৎসা মুখা পৰিহিত মুখ|ঠাণ্ডা|মুখ|মুখা
🤒;থাৰ্মোমিটাৰ লগাই থোৱা মুখ;অসুস্থ|থাৰ্মোমিটাৰ|থাৰ্মোমিটাৰ লগাই থোৱা মুখ|থাৰ্মোমিটাৰৰ সৈতে চেহেৰা|মুখ
🤕;মুৰত বেণ্ডেজৰ সৈতে চেহেৰা;আঘাত|ক্ষতি|বেণ্ডেজ|মুখ|মুৰত বেণ্ডেজৰ সৈতে চেহেৰা
🤢;ঘৃণিত মুখ;ঘৃণা|ঘৃণিত মুখ|বমি|মুখ
🤮;বমি কৰা মুখ;অসুস্থ|বমি|বমি কৰা মুখ
🤧;হাঁচিওৱা মুখ;মুখ|স্বাস্থ্য|হাঁচি|হাঁচিওৱা মুখ
🥵;অত্যন্ত গৰমত জিভা মেলি পেলোৱা চেহেৰা;অত্যন্ত গৰমত জিভা মেলি পেলোৱা চেহেৰা|গৰম|ঘৰ্মাক্ত|চৰ্দি-গৰম|জ্বৰাক্ৰান্ত|ৰঙা পৰা মুখ
🥶;ঠাণ্ডাত কঁপনি উঠা চেহেৰা;ঠাণ্ডা|ঠাণ্ডাত কঁপনি উঠা চেহেৰা|তুষাৰকণা|নীলা পৰা মুখ|বৰফৰ সমান ঠাণ্ডা পৰা|হিমিভৱন
🥴;বিহ্বল মুখ;তৰঙ্গায়িত মুখ|প্ৰমত্ত|বিষম চকু|বিহ্বল|বিহ্বল মুখ|মত্ত
😵;মুৰ ঘুৰোৱা চেহেৰা;মুখ|মুৰ ঘুৰোৱা|মুৰ ঘুৰোৱা চেহেৰা
😵‍💫;ঘূৰি থকা চকু থকা মুখ;ঘূৰি থকা|ঘূৰি থকা চকু থকা মুখ|থাম|মূৰ ঘূৰোৱা|সমস্যা|হিপ্নোটাইজ
🤯;বিস্ফোৰিত মুৰ;বিস্ফোৰিত মুৰ|বিস্মিত
🤠;গৰখীয়া টুপী পৰিহিত চেহেৰা;গৰখীয়া|গৰখীয়া টুপী পৰিহিত চেহেৰা|টুপী|মুখ
🥳;পাৰ্টী উদযাপন কৰা চেহেৰা;উদযাপন|টুপী|পাৰ্টী|পাৰ্টী উদযাপন কৰা চেহেৰা|পেঁপা
🥸;ছদ্মবেশী মুখ;গুপ্ত|ছদ্মবেশ|ছদ্মবেশী মুখ|ছশমা|নাক|মুখ
