# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;barre egiten ari den aurpegia;aurpegi|barre egiten ari den aurpegia|irribarre
	🫲🏻;ezkerrera begira dagoen eskua: 1–2. mota;1–2. mota|eskua|ezkerra|ezkerrera begira dagoen eskua|ezkerrera begira dagoen eskua: 1–2. mota|ezkerrerantz
	🫲🏼;ezkerrera begira dagoen eskua: 3. mota;3. mota|eskua|ezkerra|ezkerrera begira dagoen eskua|ezkerrera begira dagoen eskua: 3. mota|ezkerrerantz
	🫲🏽;ezkerrera begira dagoen eskua: bitarteko azal-tonua;bitarteko azal-tonua|eskua|ezkerra|ezkerrera begira dagoen eskua|ezkerrera begira dagoen eskua: bitarteko azal-tonua|ezkerrerantz
	🫲🏾;ezkerrera begira dagoen eskua: 5. mota;5. mota|eskua|ezkerra|ezkerrera begira dagoen eskua|ezkerrera begira dagoen eskua: 5. mota|ezkerrerantz
	🫲🏿;ezkerrera begira dagoen eskua: 6. mota;6. mota|eskua|ezkerra|ezkerrera begira dagoen eskua|ezkerrera begira dagoen eskua: 6. mota|ezkerrerantz
🫳;esku-ahurra beherantz duen eskua;baztertu|erori|esku-ahurra beherantz duen eskua|ospa
	🫳🏻;esku-ahurra beherantz duen eskua: 1–2. mota;1–2. mota|baztertu|erori|esku-ahurra beherantz duen eskua|esku-ahurra beherantz duen eskua: 1–2. mota|ospa
	🫳🏼;esku-ahurra beherantz duen eskua: 3. mota;3. mota|baztertu|erori|esku-ahurra beherantz duen eskua|esku-ahurra beherantz duen eskua: 3. mota|ospa
	🫳🏽;esku-ahurra beherantz duen eskua: bitarteko azal-tonua;baztertu|bitarteko azal-tonua|erori|esku-ahurra beherantz duen eskua|esku-ahurra beherantz duen eskua: bitarteko azal-tonua|ospa
	🫳🏾;esku-ahurra beherantz duen eskua: 5. mota;5. mota|baztertu|erori|esku-ahurra beherantz duen eskua|esku-ahurra beherantz duen eskua: 5. mota|ospa
	🫳🏿;esku-ahurra beherantz duen eskua: 6. mota;6. mota|baztertu|erori|esku-ahurra beherantz duen eskua|esku-ahurra beherantz duen eskua: 6. mota|ospa
🫴;esku-ahura gora begira duen eskua;eskaini|esku-ahura gora begira duen eskua|etorri|etorri keinua|harrapatu
	🫴🏻;esku-ahura gora begira duen eskua: 1–2. mota;1–2. mota|eskaini|esku-ahura gora begira duen eskua|esku-ahura gora begira duen eskua: 1–2. mota|etorri|etorri keinua|harrapatu
	🫴🏼;esku-ahura gora begira duen eskua: 3. mota;3. mota|eskaini|esku-ahura gora begira duen eskua|esku-ahura gora begira duen eskua: 3. mota|etorri|etorri keinua|harrapatu
	🫴🏽;esku-ahura gora begira duen eskua: bitarteko azal-tonua;bitarteko azal-tonua|eskaini|esku-ahura gora begira duen eskua|esku-ahura gora begira duen eskua: bitarteko azal-tonua|etorri|etorri keinua|harrapatu
	🫴🏾;esku-ahura gora begira duen eskua: 5. mota;5. mota|eskaini|esku-ahura gora begira duen eskua|esku-ahura gora begira duen eskua: 5. mota|etorri|etorri keinua|harrapatu
	🫴🏿;esku-ahura gora begira duen eskua: 6. mota;6. mota|eskaini|esku-ahura gora begira duen eskua|esku-ahura gora begira duen eskua: 6. mota|etorri|etorri keinua|harrapatu
🫷;ezkerrerantz bultza egiten ari den eskua;bostekoa|bultza|ezkerrerantz|ezkerrerantz bultza egiten ari den eskua|gelditu|itxaron|sakatu|uko
	🫷🏻;ezkerrerantz bultza egiten ari den eskua: 1–2. mota;1–2. mota|bostekoa|bultza|ezkerrerantz|ezkerrerantz bultza egiten ari den eskua|ezkerrerantz bultza egiten ari den eskua: 1–2. mota|gelditu|itxaron|sakatu|uko
	🫷🏼;ezkerrerantz bultza egiten ari den eskua: 3. mota;3. mota|bostekoa|bultza|ezkerrerantz|ezkerrerantz bultza egiten ari den eskua|ezkerrerantz bultza egiten ari den eskua: 3. mota|gelditu|itxaron|sakatu|uko
	🫷🏽;ezkerrerantz bultza egiten ari den eskua: bitarteko azal-tonua;bitarteko azal-tonua|bostekoa|bultza|ezkerrerantz|ezkerrerantz bultza egiten ari den eskua|ezkerrerantz bultza egiten ari den eskua: bitarteko azal-tonua|gelditu|itxaron|sakatu|uko
	🫷🏾;ezkerrerantz bultza egiten ari den eskua: 5. mota;5. mota|bostekoa|bultza|ezkerrerantz|ezkerrerantz bultza egiten ari den eskua|ezkerrerantz bultza egiten ari den eskua: 5. mota|gelditu|itxaron|sakatu|uko
