[smileys_emotion]
😀;isura imwenyura;inseko|isura|isura imwenyura
	🖖🏼;indamukanyo ya vulcan: ibara ry’uruhu rwera gahoro;gutandukanya intoki enye|ibara ry’uruhu rwera gahoro|ikiganza|ikigirwamana cy’umuriro|indamukanyo ya vulcan|indamukanyo ya vulcan: ibara ry’uruhu rwera gahoro|urutoki
	🖖🏽;indamukanyo ya vulcan: ibara ry’uruhu rw’inzobe;gutandukanya intoki enye|ibara ry’uruhu rw’inzobe|ikiganza|ikigirwamana cy’umuriro|indamukanyo ya vulcan|indamukanyo ya vulcan: ibara ry’uruhu rw’inzobe|urutoki
	🖖🏾;indamukanyo ya vulcan: ibara ry’uruhu rw’inzobe yirabura;gutandukanya intoki enye|ibara ry’uruhu rw’inzobe yirabura|ikiganza|ikigirwamana cy’umuriro|indamukanyo ya vulcan|indamukanyo ya vulcan: ibara ry’uruhu rw’inzobe yirabura|urutoki
	🖖🏿;indamukanyo ya vulcan: ibara ry’uruhu rwirabura;gutandukanya intoki enye|ibara ry’uruhu rwirabura|ikiganza|ikigirwamana cy’umuriro|indamukanyo ya vulcan|indamukanyo ya vulcan: ibara ry’uruhu rwirabura|urutoki
🫱;;
	🫱🏻;;
	🫱🏼;;
	🫱🏽;;
	🫱🏾;;
	🫱🏿;;
🫲;;
	🫲🏻;;
	🫲🏼;;
	🫲🏽;;
	🫲🏾;;
	🫲🏿;;
🫳;;
	🫳🏻;;
	🫳🏼;;
	🫳🏽;;
	🫳🏾;;
	🫳🏿;;
🫴;;
	🫴🏻;;
	🫴🏼;;
	🫴🏽;;
	🫴🏾;;
	🫴🏿;;
🫷;;
	🫷🏻;;
	🫷🏼;;
	🫷🏽;;
	🫷🏾;;
	🫷🏿;;
🫸;;
	🫸🏻;;
	🫸🏼;;
	🫸🏽;;
	🫸🏾;;
	🫸🏿;;
👌;ikiganza cyemeza;ikiganza|ikiganza cyemeza|Yego
	👌🏻;ikiganza cyemeza: ibara ry’uruhu rwera;ibara ry’uruhu rwera|ikiganza|ikiganza cyemeza|ikiganza cyemeza: ibara ry’uruhu rwera|Yego
	👌🏼;ikiganza cyemeza: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|ikiganza|ikiganza cyemeza|ikiganza cyemeza: ibara ry’uruhu rwera gahoro|Yego
	👌🏽;ikiganza cyemeza: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|ikiganza|ikiganza cyemeza|ikiganza cyemeza: ibara ry’uruhu rw’inzobe|Yego
	👌🏾;ikiganza cyemeza: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|ikiganza|ikiganza cyemeza|ikiganza cyemeza: ibara ry’uruhu rw’inzobe yirabura|Yego
	👌🏿;ikiganza cyemeza: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|ikiganza|ikiganza cyemeza|ikiganza cyemeza: ibara ry’uruhu rwirabura|Yego
🤌;;
	🤌🏻;;
	🤌🏼;;
	🤌🏽;;
	🤌🏾;;
	🤌🏿;;
🤏;;
	🤏🏻;;
	🤏🏼;;
	🤏🏽;;
	🤏🏾;;
	🤏🏿;;
✌️;Ikiganza cy’intsinzi;ikiganza|Ikiganza cy’intsinzi|intsinzi|v
	✌🏻;Ikiganza cy’intsinzi: ibara ry’uruhu rwera;ibara ry’uruhu rwera|ikiganza|Ikiganza cy’intsinzi|Ikiganza cy’intsinzi: ibara ry’uruhu rwera|intsinzi|v
