[smileys_emotion]
😀;笑臉;微笑|笑臉|臉
🫁;肺;吸氣|呼吸|呼氣|器官|肺
🦷;牙齒;牙醫|牙齒
🦴;骨頭;骨頭
👀;雙眼;眼|臉|雙眼
👁️;眼;眼|身體
👅;痢;痢|身體
👄;嘴;咀唇|嘴
🫦;咬唇;咬唇|唔舒服|恐懼|擔心|焦慮|緊張|調情
👶;嬰兒;嬰兒|年青
	👶🏻;嬰兒: 淺膚色;嬰兒|嬰兒: 淺膚色|年青|淺膚色
	👶🏼;嬰兒: 中淺膚色;中淺膚色|嬰兒|嬰兒: 中淺膚色|年青
	👶🏽;嬰兒: 中膚色;中膚色|嬰兒|嬰兒: 中膚色|年青
	👶🏾;嬰兒: 中深膚色;中深膚色|嬰兒|嬰兒: 中深膚色|年青
	👶🏿;嬰兒: 深膚色;嬰兒|嬰兒: 深膚色|年青|深膚色
🧒;小童;中性|小童|年青
	🧒🏻;小童: 淺膚色;中性|小童|小童: 淺膚色|年青|淺膚色
	🧒🏼;小童: 中淺膚色;中性|中淺膚色|小童|小童: 中淺膚色|年青
	🧒🏽;小童: 中膚色;中性|中膚色|小童|小童: 中膚色|年青
	🧒🏾;小童: 中深膚色;中性|中深膚色|小童|小童: 中深膚色|年青
	🧒🏿;小童: 深膚色;中性|小童|小童: 深膚色|年青|深膚色
👦;男仔;年青|男仔
	👦🏻;男仔: 淺膚色;年青|淺膚色|男仔|男仔: 淺膚色
	👦🏼;男仔: 中淺膚色;中淺膚色|年青|男仔|男仔: 中淺膚色
	👦🏽;男仔: 中膚色;中膚色|年青|男仔|男仔: 中膚色
	👦🏾;男仔: 中深膚色;中深膚色|年青|男仔|男仔: 中深膚色
	👦🏿;男仔: 深膚色;年青|深膚色|男仔|男仔: 深膚色
👧;女仔;女仔|年青|星座|處女
	👧🏻;女仔: 淺膚色;女仔|女仔: 淺膚色|年青|星座|淺膚色|處女
	👧🏼;女仔: 中淺膚色;中淺膚色|女仔|女仔: 中淺膚色|年青|星座|處女
	👧🏽;女仔: 中膚色;中膚色|女仔|女仔: 中膚色|年青|星座|處女
	👧🏾;女仔: 中深膚色;中深膚色|女仔|女仔: 中深膚色|年青|星座|處女
	👧🏿;女仔: 深膚色;女仔|女仔: 深膚色|年青|星座|深膚色|處女
🧑;成人;中性|成人
	🧑🏻;成人: 淺膚色;中性|成人|成人: 淺膚色|淺膚色
	🧑🏼;成人: 中淺膚色;中性|中淺膚色|成人|成人: 中淺膚色
	🧑🏽;成人: 中膚色;中性|中膚色|成人|成人: 中膚色
	🧑🏾;成人: 中深膚色;中性|中深膚色|成人|成人: 中深膚色
	🧑🏿;成人: 深膚色;中性|成人|成人: 深膚色|深膚色
👱;金色頭髮嘅人;金色頭髮|金色頭髮嘅人
	👱🏻;金色頭髮嘅人: 淺膚色;淺膚色|金色頭髮|金色頭髮嘅人|金色頭髮嘅人: 淺膚色
	👱🏼;金色頭髮嘅人: 中淺膚色;中淺膚色|金色頭髮|金色頭髮嘅人|金色頭髮嘅人: 中淺膚色
	👱🏽;金色頭髮嘅人: 中膚色;中膚色|金色頭髮|金色頭髮嘅人|金色頭髮嘅人: 中膚色
	👱🏾;金色頭髮嘅人: 中深膚色;中深膚色|金色頭髮|金色頭髮嘅人|金色頭髮嘅人: 中深膚色
	👱🏿;金色頭髮嘅人: 深膚色;深膚色|金色頭髮|金色頭髮嘅人|金色頭髮嘅人: 深膚色
👨;男人;男人
	👨🏻;男人: 淺膚色;淺膚色|男人|男人: 淺膚色
	👨🏼;男人: 中淺膚色;中淺膚色|男人|男人: 中淺膚色
	👨🏽;男人: 中膚色;中膚色|男人|男人: 中膚色
	👨🏾;男人: 中深膚色;中深膚色|男人|男人: 中深膚色
	👨🏿;男人: 深膚色;深膚色|男人|男人: 深膚色
🧔;留鬚嘅人;留鬚嘅人|鬚
	🧔🏻;留鬚嘅人: 淺膚色;淺膚色|留鬚嘅人|留鬚嘅人: 淺膚色|鬚
	🧔🏼;留鬚嘅人: 中淺膚色;中淺膚色|留鬚嘅人|留鬚嘅人: 中淺膚色|鬚
	🧔🏽;留鬚嘅人: 中膚色;中膚色|留鬚嘅人|留鬚嘅人: 中膚色|鬚
	🧔🏾;留鬚嘅人: 中深膚色;中深膚色|留鬚嘅人|留鬚嘅人: 中深膚色|鬚
	🧔🏿;留鬚嘅人: 深膚色;深膚色|留鬚嘅人|留鬚嘅人: 深膚色|鬚
🧔‍♂️;男人：鬍鬚;男人|男人：鬍鬚|鬍鬚
	🧔🏻‍♂️;男人：鬍鬚: 淺膚色;淺膚色|男人|男人：鬍鬚|男人：鬍鬚: 淺膚色|鬍鬚
	🧔🏼‍♂️;男人：鬍鬚: 中淺膚色;中淺膚色|男人|男人：鬍鬚|男人：鬍鬚: 中淺膚色|鬍鬚
	🧔🏽‍♂️;男人：鬍鬚: 中膚色;中膚色|男人|男人：鬍鬚|男人：鬍鬚: 中膚色|鬍鬚
	🧔🏾‍♂️;男人：鬍鬚: 中深膚色;中深膚色|男人|男人：鬍鬚|男人：鬍鬚: 中深膚色|鬍鬚
