[smileys_emotion]
😀;笑臉;微笑|笑臉|臉
🦓;斑馬;斑馬|條紋
🦌;鹿;鹿
🦬;野牛;一群|水牛|野牛
🐮;牛臉;牛|牛臉|臉
🐂;公牛;公牛|星座|金牛座
🐃;水牛;水|水牛
🐄;牛;牛
🐷;豬臉;臉|豬|豬臉
🐖;豬;豬|雌性豬
🐗;豬公;豬|豬公
🐽;豬鼻;臉|豬|豬鼻|鼻
🐏;公羊;公|公羊|星座|白羊座|綿羊
🐑;雌性綿羊;綿羊|雌性|雌性綿羊
🐐;山羊;山羊|山羊座|星座
🐪;駱駝;獨峰駝|駝峰|駱駝
🐫;雙峰駱駝;雙峰駱駝|駝峰|駱駝
🦙;大羊駝;原駝|大羊駝|羊毛|羊駝|駱馬
🦒;長頸鹿;斑點|長頸鹿
🐘;大象;大象
🦣;長毛象;大|絕種|羊毛|長毛象|長牙
🦏;犀牛;犀牛
🦛;河馬;河馬
🐭;老鼠臉;老鼠|老鼠臉|臉
🐁;老鼠;老鼠
🐀;鼠;鼠
🐹;倉鼠臉;倉鼠|倉鼠臉|寵物|臉
🐰;兔臉;兔|兔臉|寵物|白兔|臉
🐇;兔;兔|寵物
🐿️;花栗鼠;花栗鼠
🦫;水狸;水壩|水狸
🦔;刺猬;刺|刺猬
🦇;蝙蝠;吸血鬼|蝙蝠
🐻;熊臉;熊|熊臉|臉
🐻‍❄️;北極熊;冰川|北極熊|熊|白色
🐨;樹熊;樹熊|熊
🐼;熊貓臉;熊貓|熊貓臉|臉
🦥;樹獺;慢|懶|樹獺
🦦;獺;獺|調皮|釣魚
🦨;臭鼬;臭鼬
🦘;袋鼠;有袋動物|澳洲|袋鼠|跳
🦡;獾;獾|糾纏|蜂蜜獾
🐾;掌印;印|掌|掌印|腳
🦃;火雞;火雞|雀
🐔;雞;雀|雞
🐓;公雞;公雞|雀
🐣;孵出小雞;嬰兒|孵出小雞|孵化|小雞|雀
🐤;雞仔;嬰兒|小雞|雀|雞仔
🐥;正面雞仔;嬰兒|小雞|正面雞仔|雀
🐦;雀仔;雀仔
🐧;企鵝;企鵝|雀仔
🕊️;鴿;和平|雀|飛|鴿
🦅;鷹;雀|鷹
🦆;鴨;雀|鴨
🦢;天鵝;天鵝|小天鵝|醜小鴨|雀
🦉;貓頭鷹;智慧|貓頭鷹|雀
🦤;嘟嘟鳥;嘟嘟鳥|大|毛里求斯|絕種
🪶;羽毛;光|羽毛|航班
🦩;紅鶴;熱帶|紅鶴|靚
🦚;孔雀;孔雀|開屏|雀|驕傲
🦜;啄木鳥;啄木鳥|海盜|講野|雀
🪽;翼;天使|神秘|翼|航空|雀|飛行
🐦‍⬛;黑雀;烏鴉|雀仔|黑色|黑雀
🪿;鵝;家禽|絲質|雀|鵝|鵝鳴
🐦‍🔥;鳳凰;奇幻|火鳥|轉世|重生|鳳凰
🐸;青蛙臉;臉|青蛙|青蛙臉
🐊;鱷魚;鱷魚
🐢;海龜;水龜|海龜|陸龜
🦎;蜥蜴;爬行動物|蜥蜴
🐍;蛇;巨蛇|持有人|星座|蛇|蛇夫座
🐲;龍臉;神話|龍|龍臉|龍頭
🐉;龍;童話|龍
🦕;蜥腳類動物;粱龍|腕龍|蜥腳類動物|雷龍
🦖;暴龍;暴龍
🐳;噴緊水嘅鯨魚;嘖水|噴緊水嘅鯨魚|臉|鯨魚
🐋;鯨魚;鯨魚
🐬;海豚;海豚|鰭
🦭;海豹;海獅|海豹
🐟;魚;星座|雙魚座|魚
🐠;熱帶魚;熱帶|熱帶魚|魚
🐡;雞泡魚;雞泡魚|魚
🦈;鯊魚;魚|鯊魚
🐙;章魚;章魚
🐚;螺;殼|螺|螺旋形
🪸;珊瑚;海洋|珊瑚|礁
🪼;水母;刺|哎喲|啫喱|水母|海洋|無脊椎動物|燒傷
🐌;蝸牛;蝸牛
🦋;蝴蝶;昆蟲|蝴蝶|靚
🐛;毛蟲;昆蟲|毛蟲|蟲
🐜;螞蟻;昆蟲|螞蟻
🐝;蜜蜂;昆蟲|蜜蜂
🪲;甲殼蟲;昆蟲|甲殼蟲|甲蟲
🐞;甲蟲;昆蟲|甲蟲
🦗;草蜢;草蜢
🪳;曱甴;昆蟲|曱甴
🕷️;蜘蛛;昆蟲|蜘蛛
🕸️;蜘蛛網;網|蜘蛛|蜘蛛網
🦂;蠍子;天蠍座|星座|蠍子
🦟;蚊;昆蟲|病|病毒|瘧疾|發燒|蚊
🪰;烏蠅;烏蠅|疾病|腐爛|蛆
🪱;蟲;寄生蟲|環蟲|蚯蚓|蟲
🦠;微生物;微生物|病毒|細菌|阿米巴
💐;花束;花|花束
🌸;櫻花;櫻花|花|開花
💮;白花;白花|花
🪷;蓮花;佛教|印度|印度教|純潔|花|蓮花|越南
🏵️;花環;植物|花環
🌹;玫瑰;玫瑰|花
🥀;凋謝嘅花;凋謝|凋謝嘅花|花
🌺;槿;槿|花
🌻;太陽花;太陽|太陽花|花
🌼;開花;花|開花
🌷;鬱金香;花|鬱金香
🪻;風信子;矢車菊|羽扇豆|花|薰衣草|金魚草|風信子
🌱;幼苗;幼小|幼苗
🪴;盆栽;培育|屋|悶|成長|植物|無用|盆栽
🌲;常青樹;常青樹|樹
🌳;落葉樹;樹|每年落葉|脫落|落葉樹
🌴;棕櫚樹;棕櫚|棕櫚樹|樹
🌵;仙人掌;仙人掌|植物
🌾;禾束;禾束|穀物|穗|米
🌿;香草;葉|香草
☘️;三葉草;三葉草|植物
🍀;四葉草;4|四|四葉草|草|葉
🍁;楓葉;楓樹|楓葉|落葉|葉
🍂;落葉;落葉|葉
🍃;風中嘅飄葉;吹|葉|風|風中嘅飄葉|飄動
🪹;空嘅雀巢;空嘅雀巢|雀巢
🪺;有蛋嘅雀巢;有蛋嘅雀巢|雀巢
🍄;蘑菇;毒菌|蘑菇

[food_drink]
🍇;提子;提子|生果
🍈;蜜瓜;生果|蜜瓜
🍉;西瓜;生果|西瓜
🍊;柑桔;柑桔|橙|生果
🍋;檸檬;柑橘|檸檬|生果
🍋‍🟩;青檸;柑橘、水果、熱帶|青檸
🍌;香蕉;生果|香蕉
🍍;菠蘿;生果|菠蘿
🥭;芒果;水果|熱帶|芒果
🍎;紅蘋果;生果|紅色|紅蘋果|蘋果
🍏;青蘋果;生果|蘋果|青色|青蘋果
🍐;梨;梨|生果
🍑;桃;桃|生果
🍒;車厘子;生果|車厘子
🍓;士多啤梨;士多啤梨|生果|莓
🫐;藍莓;莓|藍色|藍莓
🥝;奇異果;奇異果|生果|食物
🍅;番茄;生果|番茄|蔬菜
🫒;橄欖;橄欖|食物
🥥;椰子;果汁酒|棕櫚|椰子
🥑;牛油果;牛油果|生果|食物
🍆;茄子;茄子|蔬菜
🥔;薯仔;蔬菜|薯仔|食物
🥕;紅蘿蔔;紅蘿蔔|蔬菜|食物
🌽;粟米;玉米|粟米
🌶️;辣椒;辣|辣椒
🫑;燈籠椒;燈籠椒|胡椒粉|蔬菜|辣椒
🥒;青瓜;泡菜|蔬菜|青瓜|食物
🥬;菜;捲心菜|生菜|白菜|羽衣甘藍|菜
🥦;西蘭花;西蘭花|野生白菜
🧄;蒜頭;蒜頭|調味
🧅;洋蔥;洋蔥|調味
🥜;花生;果仁|花生|蔬菜|食物
🫘;豆;腎|豆|豆類|食物
🌰;栗子;栗子|植物
🫚;姜根;啤酒|姜根|根|香料
🫛;豌豆莢;毛豆|蔬菜|豆|豆莢|豆類|豌豆|豌豆莢
🍄‍🟫;啡色蘑菇;啡色蘑菇|食物、真菌、自然、蔬菜
🍞;麵包;麵包
🥐;牛角包;法國|牛角包|牛角卷|食物|麵包
🥖;法式麵包;法國|法式|法式麵包|食物|麵包
🫓;印度薄餅;印度薄餅|烤餅|粟米餅|薄餅|餡餅
🥨;蝴蝶酥;扭紋|蝴蝶酥
🥯;比高包;早餐|比高包|烘焙|醬
🥞;班戟;熱香餅|班戟|薄班戟|食物
🧇;窩夫;早餐|窩夫|軟|鐵
🧀;芝士;芝士
🍖;肉連⻣;肉|肉連⻣|骨
🍗;雞肶;家禽|雞|雞肶|骨
🥩;肉塊;扒|牛扒|羊扒|肉塊|豬扒
🥓;煙肉;煙肉|肉|食物
🍔;漢堡包;漢堡包
🍟;薯條;法國|薯條
🍕;薄餅;片|芝士|薄餅
🌭;熱狗;法蘭克福|熱狗|香腸
🥪;三文治;三文治|麵包
🌮;墨西哥餡餅;墨西哥|墨西哥餡餅
🌯;捲餅;捲餅|墨西哥
🫔;墨西哥粽;手卷|墨西哥|墨西哥粽
🥙;餡餅;三文治|沙律三文治|烤肉串|食物|餡餅|麵包
🧆;中東蔬菜球;中東蔬菜球|肉丸|鷹嘴豆
🥚;蛋;蛋|食物
🍳;煮食;平底鑊|煮食|煎|蛋
🥘;一盤食物;一盤食物|平底鑊|淺|砂鍋|肉菜飯|食物
🍲;一碗食物;一碗食物|燉|鍋
🫕;芝士火鍋;朱古力|煲|瑞士|芝士|芝士火鍋|融
🥣;碗同匙羮;早餐|燕麥|碗同匙羮|粥
🥗;蔬菜沙律;沙律|蔬菜|蔬菜沙律|食物
🍿;爆谷;爆谷
🧈;牛油;乳製品|牛油
🧂;鹽;調味料|鹽|鹽樽
🥫;罐頭食物;罐頭|罐頭食物
🍱;便當;便當|盒
🍘;米餅;米|米餅|餅
🍙;飯團;團|日本|飯|飯團
🍚;飯;煮熟|飯
🍛;咖哩飯;咖哩|咖哩飯|飯
🍜;有蒸氣嘅碗;拉麵|有蒸氣嘅碗|蒸氣|碗|麵
🍝;意大利粉;意大利粉|意大利麵條
🍠;燴番薯;燴|燴番薯|番薯|薯仔
🍢;串燒;串燒|棒|海鮮|烤肉串
🍣;壽司;壽司
🍤;炸蝦;大蝦|天婦羅|炸|炸蝦|蝦
🍥;鳴門卷;漩渦|糕點|餅|魚|鳴門卷
🥮;月餅;月餅|秋天|節日
🍡;丸子;串|丸子|日本|棒|甜|甜品
🥟;餃子;日式餃子|波蘭餃子|餃子|餡餅
🥠;幸運曲奇;幸運曲奇|預言
🥡;外賣盒;外賣盒|蠔桶
🦀;蟹;巨蟹座|星座|蟹
🦞;龍蝦;海鮮|濃湯|爪|龍蝦
🦐;蝦;小|甲殼類動物|蝦|食物
🦑;魷魚;軟體動物|食物|魷魚
🦪;生蠔;潛水|珍珠|生蠔
🍦;軟雪糕;冰|忌廉|甜|甜品|軟|軟雪糕|雪糕
🍧;刨冰;冰|刨|刨冰|甜|甜品
🍨;雪糕;冰|忌廉|甜|甜品|雪糕
🍩;冬甩;冬甩|甜|甜品
🍪;曲奇;曲奇|甜|甜品
🎂;生日蛋糕;慶祝|甜|甜品|生日蛋糕|糕點|蛋糕
🍰;件裝蛋糕;件裝蛋糕|片裝|甜|甜品|糕點|蛋糕
🧁;紙杯蛋糕;烘焙|甜品|紙杯蛋糕
🥧;批;批|糕點|餡料
🍫;朱古力條;朱古力|朱古力條|條|甜|甜品
🍬;糖果;甜|甜品|糖果
🍭;波板糖;波板糖|甜|甜品|糖果
🍮;布甸;布甸|甜|甜品
🍯;蜜糖罐;甜|罐|蜜糖|蜜糖罐
🍼;嬰兒奶樽;奶|嬰兒|嬰兒奶樽|樽|飲品
🥛;一杯奶;一杯奶|奶|杯|飲品
☕;熱飲;咖啡|蒸氣|熱|熱飲|茶|飲|飲品
🫖;茶壺;壺|茶|茶壺|飲
🍵;無柄嘅茶杯;杯|無柄嘅茶杯|茶|茶杯|飲|飲品
🍶;清酒;杯|樽|清酒|酒吧|飲品|飲酒
🍾;開酒塞嘅酒樽;樽|酒吧|酒塞|開酒塞|開酒塞嘅酒樽|飲酒
🍷;紅酒杯;杯|紅酒杯|酒|酒吧|飲品|飲酒
🍸;雞尾酒杯;玻璃杯|酒吧|雞尾酒|雞尾酒杯|飲酒
🍹;夏日飲品;夏日|夏日飲品|酒吧|飲品
🍺;啤酒杯;啤酒|啤酒杯|酒吧|飲酒
🍻;踫啤酒杯;啤酒|啤酒杯|踫啤酒杯|踫杯|酒吧|飲酒
🥂;踫杯;慶祝|玻璃杯|踫杯|飲酒
🥃;烈酒㷴;分量|威士忌|烈酒|烈酒㷴|玻璃|酒
🫗;倒飲品;倒飲品|濺|玻璃|空|飲
🥤;飲管杯;果汁|梳打|飲管杯
🧋;珍珠奶茶;泡|牛奶|珍珠|珍珠奶茶|茶
🧃;紙包飲品;果汁|甜|盒|紙包飲品|飲品|飲筒
🧉;瑪黛茶;瑪黛茶|飲品
🧊;冰塊;冰|冰塊
🥢;筷子;hashi|筷子
🍽️;叉、刀同碟;刀|叉|叉、刀同碟|煮食|碟
🍴;叉同刀;刀|叉|叉同刀|煮食
🥄;匙羮;匙羮|餐具
🔪;廚房刀;hocho|刀|工具|廚房刀|武器|煮食
🫙;樽;儲存|儲存器|樽|空|調味料|醬
🏺;雙耳瓶;星座|樽|水瓶座|雙耳瓶|飲

[travel_places]
🌍;顯示歐洲 - 非洲嘅地球儀;世界|地球|地球儀|歐洲|非洲|顯示歐洲 - 非洲嘅地球儀
🌎;顯示美洲嘅地球儀;世界|地球|地球儀|美洲|顯示美洲嘅地球儀
🌏;顯示亞洲 - 澳洲嘅地球儀;世界|亞洲|地球|地球儀|澳洲|顯示亞洲 - 澳洲嘅地球儀
🌐;有子午線嘅地球儀;世界|地球|地球儀|子午線|有子午線嘅地球儀
🗺️;世界地圖;世界|世界地圖|地圖
🗾;日本地圖;地圖|日本|日本地圖
🧭;指南針;導航|指南針|方位|磁力
🏔️;雪山;寒冷的|山|雪|雪山
⛰️;山;山
🌋;火山;山|火山|爆發
🗻;富士山;富士|富士山|山
🏕️;露營;露營
🏖️;海灘同遮;海灘|海灘同遮|遮
🏜️;沙漠;沙漠
🏝️;荒島;島|沙漠|荒島
🏞️;國家公園;公園|國家公園
🏟️;體育場;體育場
🏛️;古典建築;古典|古典建築
🏗️;建築物建造;建築物建造|建造
🧱;磚;水泥|牆|砂漿|磚
🪨;石頭;堅硬|巨石|石頭|重
🪵;木頭;木材|木頭
🛖;小屋;圓屋|小屋|屋|蒙古包
🏘️;屋;屋
🏚️;荒廢嘅房屋;房屋|荒廢|荒廢嘅房屋
🏠;房屋;家|房屋
🏡;獨立屋連花園;家|房屋|獨立屋連花園|花園
🏢;辦公大樓;大廈|辦公大樓
🏣;日式郵局;日式|日式郵局|郵政
🏤;郵局;歐洲|郵局|郵政
🏥;醫院;藥|醫生|醫院
🏦;銀行;大廈|銀行
🏨;酒店;大廈|酒店
🏩;愛情酒店;愛|愛情酒店|酒店
🏪;便利店;便利店|商店|方便
🏫;學校;大廈|學校
🏬;百貨公司;商店|百貨公司|部門
🏭;工廠;大廈|工廠
🏯;日式城堡;城堡|日式|日式城堡
🏰;城堡;城堡|歐陸式
💒;婚禮;婚禮|小教堂|浪漫
🗼;東京鐵塔;塔|東京|東京鐵塔
🗽;自由神像;自由|自由神像|雕像
⛪;教堂;十字架|基督徒|宗教|教堂
🕌;清真寺;伊斯蘭教徒|宗教|清真寺|穆斯林
🛕;印度寺;印度寺|寺廟
🕍;猶太教堂;宗教|寺廟|猶太教|猶太教堂|猶太教徒
⛩️;神教神社;宗教|神教|神教神社|神社
🕋;天房;伊斯蘭教徒|天房|宗教|穆斯林
⛲;噴水池;噴水池
⛺;帳篷;帳篷|露營
🌁;有霧;大霧|有霧
🌃;星夜;夜晚|星夜|星星
🏙️;城市景色;城市|城市景色
🌄;山上日出;太陽|山|山上日出|日出|早上
🌅;日出;太陽|日出|早上
🌆;黃昏時嘅城市景觀;傍晚|城市|太陽|日落|景觀|黃昏|黃昏時嘅城市景觀
🌇;日落;太陽|日落|黃昏
🌉;晚上嘅大橋;大橋|晚上|晚上嘅大橋
♨️;溫泉;泉|溫泉|熱|熱騰騰
🎠;旋轉木馬;旋轉|旋轉木馬|馬
🛝;滑梯;滑梯|玩|遊樂場
🎡;摩天輪;摩天輪|輪|遊樂場
🎢;過山車;滾筒|貨船|遊樂場|過山車
💈;髪型屋招牌;招牌|理髮|髪型屋|髪型屋招牌
🎪;馬戲團帳篷;帳篷|馬戲團|馬戲團帳篷
🚂;蒸汽火車;火車|蒸汽|蒸汽火車|發動機|鐵路
🚃;鐵路車;有軌電車|火車|車|鐵路|鐵路車|電|電車
🚄;高速火車;新幹線|火車|速度|鐵路|高速火車
🚅;子彈火車;子彈|子彈火車|新幹線|火車|速度|鐵路
🚆;火車;火車|鐵路
🚇;地鐵;地鐵
🚈;輕鐵;輕鐵|鐵路
🚉;車站;火車|車站|鐵路
🚊;電車;有軌電車|電車
🚝;單軌;單軌|車輛
🚞;山上鐵路;山|山上鐵路|汽車|鐵路
🚋;有軌電車;有軌電車|汽車|電車
🚌;巴士;巴士|車輛
🚍;快到站嘅巴士;巴士|快到站嘅巴士|黎緊
🚎;有軌巴士;巴士|有軌巴士|有軌電車|電車
🚐;小巴;小巴|巴士
🚑;救護車;救護車|車輛
🚒;消防車;卡車|消防車|火|發動機
🚓;警車;汽車|警察|警車|巡邏
🚔;快到嘅警車;快到|快到嘅警車|汽車|警察
🚕;的士;的士|車輛
🚖;快到嘅的士;快到|快到嘅的士|的士
🚗;汽車;汽車
🚘;快到嘅汽車;快到|快到嘅汽車|汽車
🚙;運動型多功能車;娛樂|運動型多功能車|體育用品
🛻;農夫車;收集|貨車|農夫車
🚚;送貨車;卡車|送貨|送貨車
🚛;拖頭車;半|卡車|拖頭車
🚜;拖拉機;拖拉機|車輛
🏎️;賽車;賽車|車
🏍️;電單車;賽跑|電單車
🛵;電動滑板車;滑板車|發動機|電動滑板車
🦽;手動輪椅;手動輪椅|無障礙
🦼;電動輪椅;無障礙|電動輪椅
🛺;自動人力車;篤篤|自動人力車
🚲;單車;單車
🛴;滑板車;滑板車|踢
🛹;滑板;板|滑板
🛼;滾軸溜冰鞋;溜冰鞋|滾軸|滾軸溜冰鞋
🚏;巴士站;停|巴士|巴士站
🛣️;公路;公路|路|高速公路
🛤️;鐵路軌道;火車|鐵路|鐵路軌道
🛢️;油桶;桶|油|油桶
⛽;燃油泵;氣體|燃油|燃油泵|泵|車站
🛞;轆;圈|車胎|轆|轉
🚨;警車燈;旋轉|汽車|燈|警察|警示燈|警車燈
🚥;水平交通燈;交通|信號|水平交通燈|燈
🚦;垂直交通燈;交通|信號|垂直交通燈|燈
🛑;停止標誌;停止|停止標誌|八角形|標誌
🚧;建造;建造|障礙物
⚓;錨;工具|船|錨
🛟;水泡;安全|救人|救生員|水泡|浮
⛵;帆船;帆船|度假村|海|艇|遊艇
🛶;獨木舟;獨木舟|艇
🚤;快艇;快艇|艇
🛳️;客船;乘客|客船|船
⛴️;渡船;乘客|渡船|艇
🛥️;機動船;機動船|艇
🚢;船;乘客|船|艇
✈️;飛機;飛機
🛩️;小型飛機;小型飛機|飛機
🛫;飛機起飛;出發|辦理登機手續|離境|飛機|飛機起飛
🛬;飛機到達;到達|抵達|降落|飛機|飛機到達
🪂;降落傘;滑翔傘|跳傘|降落傘
💺;座位;座位|櫈
🚁;直升機;直升機|車輛
🚟;高架鐵路;懸架|鐵路|高架鐵路
🚠;登山纜車;山|登山纜車|纜|纜車
🚡;架空電車;架空電車|汽車|空中|纜|纜車|電車
🛰️;衛星;太空|衛星
🚀;火箭;太空|火箭
🛸;飛碟;不明飛行物體|飛碟
🛎️;服務員鐘;服務員|服務員鐘|酒店|鐘
🧳;行李;旅行|行李
⌛;沙漏完成;沙|沙漏完成|計時器
⏳;沙漏未完成;沙|沙漏|沙漏未完成|計時器
⌚;手錶;手錶|時鐘
⏰;鬧鐘;時鐘|警報|鬧鐘
⏱️;秒表;時鐘|秒表
⏲️;計時器時鐘;時鐘|計時器|計時器時鐘
🕰️;壁爐時鐘;壁爐時鐘|時鐘
🕛;十二點;00|12|12:00|十二|十二點|時鐘|點
🕧;十二點半;12|12:30|30|三十|十二|十二點半|時鐘
🕐;一點;00|1|1:00|一|一點|時鐘|點
🕜;一點半;1|1:30|30|一|一點半|三十|時鐘
🕑;兩點;00|2|2:00|二|兩點|時鐘|點
🕝;兩點半;2|2:30|30|三十|二|兩點半|時鐘
🕒;三點;00|3|3:00|三|三點|時鐘|點
🕞;三點半;3|3:30|30|三|三十|三點半|時鐘
🕓;四點;00|4|4:00|四|四點|時鐘|點
🕟;四點半;30|4|4:30|三十|四|四點半|時鐘
🕔;五點;00|5|5:00|五|五點|時鐘|點
🕠;五點半;30|5|5:30|三十|五|五點半|時鐘
🕕;六點;00|6|6:00|六|六點|時鐘|點
🕡;六點半;30|6|6:30|三十|六|六點半|時鐘
🕖;七點;00|7|7:00|七|七點|時鐘|點
🕢;七點半;30|7|7:30|七|七點半|三十|時鐘
🕗;八點;00|8|8:00|八|八點|時鐘|點
🕣;八點半;30|8|8:30|三十|八|八點半|時鐘
🕘;九點;00|9|9:00|九|九點|時鐘|點
🕤;九點半;30|9|9:30|三十|九|九點半|時鐘
🕙;十點;00|10|10:00|十|十點|時鐘|點
🕥;十點半;10|10:30|30|三十|十|十點半|時鐘
🕚;十一點;00|11|11:00|三十|十|十一點|時鐘
🕦;十一點半;11|11:30|30|三十|十一|十一點半|時鐘
🌑;新月;新月|月亮|黑暗
🌒;娥眉月;娥眉月|弦月|月|盈
🌓;上弦月;上弦月|四分之一|月
🌔;盈凸月;月|盈|盈凸月|突起
🌕;滿月;月|滿|滿月
🌖;虧凸月;月|突起|虧|虧凸月
🌗;下弦月;下弦月|四分之一|月
🌘;殘月;弦月|月|殘月|虧
🌙;弦月;弦月|月
🌚;新月面;新月面|月|面
🌛;上弦月面;上弦月面|四分之一|月|臉
🌜;下弦月面;下弦月面|四分之一|月|臉
🌡️;溫度計;天氣|溫度計
☀️;太陽;光亮|太陽|射線|晴朗
🌝;滿月面;光亮|月|滿|滿月面|臉
🌞;太陽表面;光亮|太陽|太陽表面|臉
🪐;環狀星球;土星|環狀星球|陰沉
⭐;白色中等星星;星星|白色中等星星
🌟;發光嘅星星;星星|發光|發光嘅星星|閃|閃耀|閃閃發光
🌠;流星;墜落|射擊|星星|流星
🌌;銀河;太空|銀河
☁️;雲;天氣|雲
⛅;雲後太陽;太陽|雲|雲後太陽
⛈️;閃電雲同雨雲;閃電雲同雨雲|雨|雲|雷電
🌤️;小雲後嘅太陽;太陽|小雲後嘅太陽|雲
🌥️;大雲後嘅太陽;大雲後嘅太陽|太陽|雲
🌦️;雨雲後嘅太陽;太陽|雨|雨雲後嘅太陽|雲
🌧️;雨雲;雨|雨雲|雲
🌨️;雪雲;寒冷|雪|雪雲|雲
🌩️;閃電雲;閃電|閃電雲|雲
🌪️;閃電;旋風|閃電|雲
🌫️;霧;雲|霧
🌬️;風臉;吹|臉|雲|風|風臉
🌀;龍捲風;暈|颱風|龍捲風
🌈;彩虹;彩虹|落雨
🌂;閂咗嘅遮;服裝|遮|閂咗嘅遮|雨
☂️;遮;服裝|遮|雨
☔;雨中嘅遮;服裝|水點|遮|雨|雨中嘅遮
⛱️;地上嘅遮;地上嘅遮|太陽|遮|雨
⚡;高壓;危險|摧毀|閃電|電|電力|電壓|高壓
❄️;雪花;寒冷|雪|雪花
☃️;雪人;寒冷|雪|雪人
⛄;冇雪嘅雪人;冇雪嘅雪人|寒冷|雪|雪人
☄️;彗星;太空|彗星
🔥;火;工具|火|火焰
💧;小水滴;寒冷|小水滴|彗星|水點|汗
🌊;海浪;水|波浪|海洋|海浪

[activities]
🎃;南瓜燈籠;南瓜|南瓜燈籠|慶祝|燈籠|萬聖節
🎄;聖誕樹;慶祝|樹|聖誕樹|聖誕節
🎆;煙花;慶祝|煙花
🎇;火花;慶祝|火花|煙花
🧨;炮丈;炮丈|炸藥|煙花|爆炸
✨;閃;星|閃
🎈;汽球;慶祝|汽球
🎉;派對槍;慶祝|槍|派對|派對槍
🎊;紙屑球;慶祝|球|紙屑|紙屑球
🎋;丹參樹;丹參樹|慶祝|日本|樹|橫額
🎍;松樹裝飾;慶祝|日本|松樹|松樹裝飾|竹
🎎;日本娃娃;娃娃|慶祝|日本|日本娃娃|節日
🎏;鯉魚旗;慶祝|旗|鯉魚|鯉魚旗
🎐;風鈴;慶祝|鈴|鐘|風|風鈴
🎑;賞月;儀式|慶祝|月亮|賞月
🧧;利是封;利是|利是封|好運|禮物|紅包|錢
🎀;蝴蝶結;慶祝|蝴蝶結
🎁;禮物;包裝|慶祝|盒|禮物|送禮
🎗️;紀念絲帶;慶祝|紀念|紀念絲帶|絲帶
🎟️;入場券;入場|入場券|券
🎫;門券;入場|門券
🎖️;軍事奬牌;奬牌|慶祝|軍事|軍事奬牌
🏆;獎杯;獎|獎杯
🏅;體育獎牌;獎牌|體育獎牌
🥇;金牌;獎牌|第一|金|金牌
🥈;銀牌;奬牌|第二|銀|銀牌
🥉;銅牌;奬牌|第三|銅|銅牌
⚽;足球;球|足球
⚾;棒球;棒球|球
🥎;壘球;低手|壘球|手套|波
🏀;籃球;球|籃圈|籃球
🏐;排球;排球|比賽|球
🏈;美式足球;球|美式|美式足球|足球
🏉;欖球;欖球|球|足球
🎾;網球;球|網球|網球拍
🥏;飛緊嘅碟;終極|飛緊嘅碟
🎳;保齡球;保齡球|比賽|球
🏏;板球;板球|比賽|球|球棒
🏑;曲棍球;曲棍球|比賽|球|球場|球棒
🏒;冰球;冰|冰球|曲棍球|比賽|球棒
🥍;袋棍球;棍|波|目標|袋棍球
🏓;乒乓球;乒乓|乒乓球|比賽|球|球拍
🏸;羽毛球;比賽|球拍|羽毛球
🥊;拳套;手套|拳套|拳擊
🥋;武術制服;制服|柔道|武術|武術制服|空手道|跆拳道
🥅;龍門;目標|龍門
⛳;洞上插旗;洞|洞上插旗|高爾夫
⛸️;溜冰;冰|溜冰
🎣;釣魚竿;竿|釣魚竿|魚
🤿;潛水鏡;浮潛|潛水|潛水鏡
🎽;賽跑衫;肩帶|衫|賽跑|賽跑衫|運動場
🎿;滑雪;滑雪|雪
🛷;雪橇;雪橇
🥌;捲曲嘅石頭;捲曲嘅石頭|石|遊戲
🎯;箭靶;中心|目標|箭靶|靶心|飛鏢
🪀;搖搖;搖|搖搖|玩具
🪁;風箏;風箏|飛|高飛
🔫;手槍;工具|左輪手槍|手槍|槍|武器
🎱;8 號桌球;8|8 號桌球|八|桌球|球|遊戲
🔮;水晶球;工具|幸運|幻想|水晶|水晶球|球|童話
🪄;魔法棒;女巫|巫師|魔法棒|魔術
🎮;電視遊戲;控制器|遊戲|電視遊戲
🕹️;遊戲桿;遊戲|遊戲桿|電視遊戲
🎰;老虎機;投幣口|老虎機|遊戲
🎲;遊戲骰子;遊戲|遊戲骰子|骰子
🧩;砌圖;塊|砌圖|線索|聯鎖
🧸;熊仔;公仔|毛絨|熊仔|玩具
🪅;皮納塔;慶祝|派對|皮納塔
🪩;鏡波;派對|的士高|跳舞|鏡波|閃光
🪆;俄羅斯木公仔;俄羅斯|俄羅斯木公仔|公仔|組裝
♠️;葵扇;紙牌|葵扇|遊戲
♥️;紅心;紅心|紙牌|遊戲
♦️;階磚;紙牌|遊戲|階磚
♣️;梅花;梅花|紙牌|遊戲
♟️;國際象棋棋子;國際象棋|國際象棋棋子|消閒
🃏;小丑;小丑|百撘卡|紙牌|遊戲
🀄;紅中麻雀;紅中麻雀|紅色|遊戲|麻雀
🎴;花紙牌;日本|玩|紙牌|花|花紙牌|遊戲
🎭;表演藝術;劇場|藝術|表演|表演藝術|面具
🖼️;框畫;博物館|圖片|框架|框畫|繪畫|藝術
🎨;調色板;博物館|繪畫|藝術|調色板
🧵;繩;卷|線|縫紉|繩|針
🪡;縫紉針;刺繡|縫紉針|縫線|縫補|縫針|裁剪|針
🧶;冷球;冷球|球|針織|鉤針
🪢;結;扭|結|繩|繩球|領呔

[objects]
👓;眼鏡;服裝|眼|眼鏡
