[smileys_emotion]
😀;grijnzend gezicht;gezicht|grijns|grijnzend gezicht
	🫷🏻;hand die naar links duwt: lichte huidskleur;duwen|hand die naar links duwt|hand die naar links duwt: lichte huidskleur|high five|lichte huidskleur|naar links|stoppen|wachten|weigeren
	🫷🏼;hand die naar links duwt: lichtgetinte huidskleur;duwen|hand die naar links duwt|hand die naar links duwt: lichtgetinte huidskleur|high five|lichtgetinte huidskleur|naar links|stoppen|wachten|weigeren
	🫷🏽;hand die naar links duwt: getinte huidskleur;duwen|getinte huidskleur|hand die naar links duwt|hand die naar links duwt: getinte huidskleur|high five|naar links|stoppen|wachten|weigeren
	🫷🏾;hand die naar links duwt: donkergetinte huidskleur;donkergetinte huidskleur|duwen|hand die naar links duwt|hand die naar links duwt: donkergetinte huidskleur|high five|naar links|stoppen|wachten|weigeren
	🫷🏿;hand die naar links duwt: donkere huidskleur;donkere huidskleur|duwen|hand die naar links duwt|hand die naar links duwt: donkere huidskleur|high five|naar links|stoppen|wachten|weigeren
🫸;hand die naar rechts duwt;duwen|hand die naar rechts duwt|high five|naar rechts|stoppen|wachten|weigeren
	🫸🏻;hand die naar rechts duwt: lichte huidskleur;duwen|hand die naar rechts duwt|hand die naar rechts duwt: lichte huidskleur|high five|lichte huidskleur|naar rechts|stoppen|wachten|weigeren
	🫸🏼;hand die naar rechts duwt: lichtgetinte huidskleur;duwen|hand die naar rechts duwt|hand die naar rechts duwt: lichtgetinte huidskleur|high five|lichtgetinte huidskleur|naar rechts|stoppen|wachten|weigeren
	🫸🏽;hand die naar rechts duwt: getinte huidskleur;duwen|getinte huidskleur|hand die naar rechts duwt|hand die naar rechts duwt: getinte huidskleur|high five|naar rechts|stoppen|wachten|weigeren
	🫸🏾;hand die naar rechts duwt: donkergetinte huidskleur;donkergetinte huidskleur|duwen|hand die naar rechts duwt|hand die naar rechts duwt: donkergetinte huidskleur|high five|naar rechts|stoppen|wachten|weigeren
	🫸🏿;hand die naar rechts duwt: donkere huidskleur;donkere huidskleur|duwen|hand die naar rechts duwt|hand die naar rechts duwt: donkere huidskleur|high five|naar rechts|stoppen|wachten|weigeren
👌;OK-handgebaar;hand|OK|OK-handgebaar
	👌🏻;OK-handgebaar: lichte huidskleur;hand|lichte huidskleur|OK|OK-handgebaar|OK-handgebaar: lichte huidskleur
	👌🏼;OK-handgebaar: lichtgetinte huidskleur;hand|lichtgetinte huidskleur|OK|OK-handgebaar|OK-handgebaar: lichtgetinte huidskleur
	👌🏽;OK-handgebaar: getinte huidskleur;getinte huidskleur|hand|OK|OK-handgebaar|OK-handgebaar: getinte huidskleur
	👌🏾;OK-handgebaar: donkergetinte huidskleur;donkergetinte huidskleur|hand|OK|OK-handgebaar|OK-handgebaar: donkergetinte huidskleur
