[smileys_emotion]
😀;grijnzend gezicht;gezicht|grijns|grijnzend gezicht
🪂;parachute;hanggliden|parachute|parasailen|skydiven
💺;stoel;stoel
🚁;helikopter;helikopter|voertuig
🚟;zweeftrein;spoor|zweeftrein|zwevend
🚠;bergkabelbaan;berg|bergkabelbaan|gondel|kabel
🚡;kabelbaan;baan|gondel|kabel|kabelbaan|transportbaan
🛰️;satelliet;ruimte|satelliet
🚀;raket;raket|ruimte
🛸;vliegende schotel;ufo|vliegende schotel
🛎️;piccolobel;balie|bel|hotel|piccolobel
🧳;bagage;bagage|inpakken|reizen
⌛;zandloper;timer|zand|zandloper
⏳;zandloper met stromend zand;timer|zand|zandloper|zandloper met stromend zand
⌚;horloge;horloge|klok
⏰;wekker;alarm|klok|wekker
⏱️;stopwatch;klok|stopwatch
⏲️;keukenwekker;keukenwekker|klok|timer
🕰️;klok;klok
🕛;twaalf uur;00|12|12:00|klok|twaalf|uur
🕧;half één;12|12:30|30|dertig|half één|twaalf
🕐;één uur;00|1|1:00|één|klok|uur
🕜;half twee;1|1:30|dertig|één|half twee|klok
🕑;twee uur;00|2|2:00|klok|twee|uur
🕝;half drie;2|2:30|dertig|half drie|klok|twee
🕒;drie uur;00|3|3:00|drie|klok|uur
🕞;half vier;3|3:30|dertig|drie|half vier|klok
🕓;vier uur;00|4|4:00|klok|uur|vier
🕟;half vijf;4|4:30|dertig|half vijf|klok|vier
🕔;vijf uur;00|5|5:00|klok|uur|vijf
🕠;half zes;5|5:30|dertig|half zes|klok|vijf
🕕;zes uur;00|6|6:00|klok|uur|zes
🕡;half zeven;6|6:30|dertig|half zeven|klok|zes
🕖;zeven uur;00|7|7:00|klok|uur|zeven
🕢;half acht;7|7:30|dertig|half acht|klok|zeven
🕗;acht uur;00|8|8:00|acht|klok|uur
🕣;half negen;8|8:30|acht|dertig|half negen|klok
🕘;negen uur;00|9|9:00|klok|negen|uur
🕤;half tien;9|9:30|dertig|half tien|klok|negen
🕙;tien uur;00|10|10:00|klok|tien|uur
🕥;half elf;10|10:30|dertig|half elf|klok|tien
🕚;elf uur;00|11|11:00|elf|klok|uur
🕦;half twaalf;11|11:30|dertig|elf|half twaalf|klok
🌑;nieuwe maan;donker|maan|nieuwe maan
🌒;jonge maansikkel;jonge maansikkel|maan|sikkel|wassend
🌓;maan in eerste kwartier;kwartier|maan|maan in eerste kwartier
🌔;wassende maan;bolvormig|maan|wassend|wassende maan
🌕;volle maan;maan|vol|volle maan
🌖;afnemende maan;afnemend|afnemende maan|bolvormig|maan
🌗;maan in laatste kwartier;kwartier|maan|maan in laatste kwartier
🌘;asgrauwe maan;afnemend|asgrauwe maan|maan|sikkel
🌙;maansikkel;maan|maansikkel|sikkel
🌚;nieuwe maan met gezicht;gezicht|maan|nieuwe maan met gezicht
🌛;maan met gezicht in eerste kwartier;gezicht|kwartier|maan|maan met gezicht in eerste kwartier
🌜;maan met gezicht in laatste kwartier;gezicht|kwartier|maan|maan met gezicht in laatste kwartier
🌡️;thermometer;thermometer|weer
☀️;zon;helder|stralen|zon|zonnig
🌝;volle maan met gezicht;gezicht|helder|maan|vol|volle maan met gezicht
🌞;zon met gezicht;gezicht|helder|zon|zon met gezicht
🪐;planeet met ringen;planeet met ringen|Saturnus|zwaarmoedig
⭐;witte middelgrote ster;ster|witte middelgrote ster
🌟;stralende ster;fonkelend|schitterend|schittering|ster|stralen|stralende ster
🌠;vallende ster;ster|vallen|vallend|vallende ster
🌌;melkweg;melkweg|ruimte
☁️;wolk;weer|wolk
⛅;zon achter wolk;wolk|zon|zon achter wolk
⛈️;wolk met bliksem en regen;onweer|regen|wolk|wolk met bliksem en regen
🌤️;zon achter kleine wolk;wolk|zon|zon achter kleine wolk
🌥️;zon achter grote wolk;wolk|zon|zon achter grote wolk
🌦️;zon achter regenwolk;regen|wolk|zon|zon achter regenwolk
🌧️;wolk met regen;regen|wolk|wolk met regen
🌨️;wolk met sneeuw;koud|sneeuw|wolk|wolk met sneeuw
🌩️;wolk met bliksem;bliksem|wolk|wolk met bliksem
🌪️;tornado;tornado|wervelwind|wolk
🌫️;mist;mist|wolk
🌬️;gezicht dat wind blaast;blazen|gezicht|gezicht dat wind blaast|wind|wolk
🌀;cycloon;cycloon|duizelig|twister|tyfoon
🌈;regenboog;regen|regenboog
🌂;ingevouwen paraplu;ingevouwen paraplu|kleding|paraplu|regen
☂️;paraplu;kleding|paraplu|regen
☔;paraplu met regendruppels;druppels|kleding|paraplu|paraplu met regendruppels|regen
⛱️;strandparasol;parasol|regen|strandparasol|zon
⚡;hoog voltage;bliksem|elektrisch|gevaar|hoog voltage|schok|voltage
❄️;sneeuwvlok;koud|sneeuw|sneeuwvlok
☃️;sneeuwpop;koud|sneeuw|sneeuwpop
⛄;sneeuwpop zonder sneeuwvlokken;koud|sneeuw|sneeuwpop|sneeuwpop zonder sneeuwvlokken
☄️;komeet;komeet|ruimte
🔥;vuur;hulpmiddel|vlam|vuur
💧;druppel;druppel|koud|strip|zweet
🌊;golf;golf|oceaan|water

[activities]
🎃;halloweenlantaarn;feest|halloween|halloweenlantaarn|lantaarn|pompoen
🎄;kerstboom;boom|kerstboom|Kerstmis|viering
🎆;vuurwerk;feest|vuurwerk
🎇;sterretje;feest|sterretje|vuurwerk|vuurwerksterretje
🧨;rotje;dynamiet|explosief|rotje|vuurwerk
✨;sterretjes;*|glinsteren|ster|sterretjes
🎈;ballon;ballon|feest
🎉;feestknaller;feest|feestknaller|hoera|knaller|viering
🎊;confettibal;bal|confetti|confettibal|viering
🎋;tanabataboom;boom|feest|japans|papierlinten|tanabataboom
🎍;dennenboomversiering;bamboe|den|dennenboomversiering|feest|japans
🎎;Japanse poppen;feest|festival|japans|Japanse poppen|pop
🎏;karperslinger;feest|karper|karperslinger|slinger
🎐;windorgel;bel|feest|wind|windorgel
🎑;maanobservatieceremonie;ceremonie|feest|maan|maanobservatieceremonie
🧧;rode envelop;cadeau|geld|hóngbāo|lai see|rode envelop|voorspoed
🎀;strik;feest|strik
🎁;ingepakt cadeau;cadeau|cadeautje|feest|ingepakt|verpakking
🎗️;bewustzijnslintje;bewustzijnslintje|herinnering|lintje|viering
🎟️;entreekaartjes;entree|entreekaartjes|kaartje
🎫;ticket;entree|ticket
🎖️;militaire medaille;medaille|militair|militaire medaille|viering
🏆;trofee;prijs|trofee
🏅;sportmedaille;medaille|sportmedaille
🥇;medaille 1e plaats;eerste|goud|gouden|medaille|medaille 1e plaats
🥈;medaille 2e plaats;medaille|medaille 2e plaats|tweede|zilver
🥉;medaille 3e plaats;brons|bronzen|derde|medaille|medaille 3e plaats
⚽;voetbal;bal|voetbal
⚾;honkbal;bal|honkbal
🥎;softbal;bal|handschoen|onderarm|softbal
🏀;basketbal;bal|basket|basketbal
🏐;volleybal;bal|volleybal|wedstrijd
🏈;american football;american football|amerikaans|bal|football
🏉;rugby;bal|rugby|voetbal
🎾;tennis;bal|tennis|tennisracket
🥏;frisbee;frisbee|ultiem
🎳;bowlen;bal|bowlen|spel
🏏;cricket;bal|bat|cricket|wedstrijd
🏑;hockey;bal|hockey|stick|veld|wedstrijd
🏒;ijshockeystick en puck;ijs|ijshockey|ijshockeystick en puck|puck|stick|wedstrijd
🥍;lacrosse;bal|doel|lacrosse|stick
🏓;pingpong;bal|bat|batje|pingpong|tafeltennis|wedstrijd
🏸;badminton;badminton|pluimbal|racket|shuttle|wedstrijd
🥊;bokshandschoen;boksen|bokshandschoen|handschoen
🥋;pak voor vechtsporten;judo|karate|pak voor vechtsporten|taekwondo|uniform|vechtsport
🥅;doelnet;doel|doelnet|net
⛳;vlag in hole;golf|hole|vlag in hole
⛸️;schaats;ijs|schaats
🎣;vishengel;hengel|vis|vishengel
🤿;duikbril;duikbril|duiken|scubaduiken|snorkelen
🎽;hardloopshirt;atletiek|hardloopshirt|hardlopen|shirt|sjerp
🎿;ski’s;ski|ski’s|sneeuw
🛷;slee;slede|slee|sleetje
🥌;curlingsteen;curlingsteen|kei|spel
🎯;directe treffer;bull’s eye|darts|directe treffer|doelwit|spel|treffer
🪀;jojo;fluctueren|jojo|speelgoed
🪁;vlieger;vliegen|vlieger|zweven
🔫;waterpistool;gereedschap|pistool|revolver|vuurwapen|wapen|water|waterpistool
🎱;biljart;8|8 ball|acht|bal|biljart|spel
🔮;kristallen bol;bol|kristal|kristallen bol|waarzeggen|waarzeggerij
🪄;toverstok;heks|magie|tovenaar|toverstok
🎮;videogame;controller|game|videogame
🕹️;joystick;game|joystick|videogame
🎰;fruitautomaat;fruitautomaat|spel
🎲;dobbelsteen;dobbelsteen|dobbelstenen|spel
🧩;puzzelstukje;aanwijzing|gekoppeld|legpuzzel|puzzel|puzzelstukje
🧸;teddybeer;knuffel|pluche|speelgoed|speeltje|teddybeer
🪅;piñata;feest|piñata|viering
🪩;spiegelbal;dans|disco|feest|glitter|spiegelbal
🪆;matroesjka;matroesjka|pop|poppetjes|rusland
♠️;schoppen;kaart|schoppen|spel
♥️;harten;harten|kaart|spel
♦️;ruiten;kaart|ruiten|spel
♣️;klaveren;kaart|klaveren|spel
♟️;pion;pion|schaken|slachtoffer|waardeloos
🃏;Jokerkaart;joker|Jokerkaart|kaart|spel
🀄;mahjong rode draak;mahjong|mahjong rode draak|rood|spel
🎴;speelkaarten;bloem|bloemspeelkaarten|japans|kaart|speelkaarten|spel|spelen
🎭;toneelkunsten;kunst|masker|optreden|theater|toneel|toneelkunsten
🖼️;lijst met afbeelding;afbeelding|kunst|lijst|lijst met afbeelding|museum|schilderij
🎨;schilderspalet;kunst|museum|palet|schilderij|schilderspalet
🧵;garen;draad|garen|klos|naaien|naald
🪡;naald;borduren|hechten|hechtingen|kleermaken|naaien|naald
🧶;wol;bal|breien|haken|wol
🪢;knoop;geknoopt|knoop|knopen|kronkel|streng|touw

[objects]
👓;bril;bril|brillen|kleding|oog
🕶️;zonnebril;bril|brillen|donker|oog|zonnebril
🥽;oogscherm;lassen|oogbescherming|oogscherm|zwemmen
🥼;labjas;dokter|experiment|labjas|wetenschapper
🦺;veiligheidsvest;noodgeval|veiligheid|veiligheidsvest|vest
👔;stropdas;kleding|stropdas
👕;T-shirt;kleding|shirt|T-shirt
👖;spijkerbroek;jeans|kleding|spijkerbroek
🧣;sjaal;nek|sjaal
🧤;handschoenen;hand|handschoenen
🧥;jas;blazer|jas
🧦;sokken;kousen|sokken
👗;jurk;jurk|kleding
👘;kimono;kimono|kleding
🥻;sari;jurk|kleding|sari
🩱;badpak;badpak|zwempak
🩲;slip;onderbroek|ondergoed|slip|zwembroek|zwemkleding
🩳;korte broek;korte broek|onderbroek|shorts|zwembroek
👙;bikini;bikini|kleding|zwemmen
👚;dameskleding;dames|dameskleding|kleding
🪭;opvouwbare waaier;afkoelen|dansen|fladderen|heet|opvouwbare waaier|verlegen|waaier
👛;portemonnee;kleding|munt|portemonnee
👜;handtas;handtas|kleding|tas
👝;tasje;enveloptas|kleding|tas|tasje
🛍️;boodschappentassen;boodschappentassen|hotel|tas|winkelen
🎒;schooltas;rugzak|school|schooltas|tas
🩴;teenslipper;slipper|strandslipper|teenslipper|teenslof|zori
👞;herenschoen;herenschoen|kleding|man|schoen
👟;sportschoen;atletiek|kleding|schoen|sneaker|sportschoen
🥾;wandelschoen;kamperen|schoen|wandelen|wandelschoen
🥿;platte schoen;ballerina|instapper|platte schoen|slip-on
👠;schoen met hoge hak;hak|kleding|schoen|schoen met hoge hak|vrouw
👡;damessandaal;damessandaal|kleding|sandaal|schoen|vrouw
🩰;balletschoenen;ballet|balletschoenen|dans
👢;dameslaars;dameslaars|kleding|laars|schoen|vrouw
🪮;haarkam;afro|haar|haarkam|kam|kroes
👑;kroon;kleding|koning|koningin|kroon
👒;dameshoed;dameshoed|hoed|kleding|vrouw
🎩;hoge hoed;hoed|hoge hoed|hoog|kleding
🎓;academische baret;academische baret|eindexamen|hoed|kleding|viering
🧢;pet;baseballcap|pet
🪖;legerhelm;helm|leger|legerhelm|militair|soldaat|vechter
⛑️;helm van reddingswerker;gezicht|helm|helm van reddingswerker|hoed|hulp|kruis
📿;gebedssnoer;gebed|gebedssnoer|geloof|ketting|kleding|kralen
💄;lippenstift;cosmetica|lippenstift|make-up
💍;ring;diamant|ring
💎;edelsteen;diamant|edelsteen|juweel|romantiek
🔇;speaker uit;dempen|luidspreker|speaker uit|stil|volume
🔈;speaker;speaker|volume
🔉;speaker aan;speaker|speaker aan
🔊;speaker luid;luid|speaker luid
📢;luidspreker;luid|luidspreker|toespraak
📣;megafoon;juichen|megafoon
📯;posthoorn;hoorn|post|posthoorn
🔔;bel;bel|klok
🔕;doorgestreepte bel;bel|doorgestreepte bel|geen|geluid uit|niet toegestaan|stil
🎼;notenschift;muziek|notenschift|partituur
🎵;muzieknoot;muziek|muzieknoot|noot
🎶;muzieknoten;muziek|muzieknoten|noot|noten
🎙️;studiomicrofoon;microfoon|muziek|studio|studiomicrofoon
🎚️;schuifregelaar;muziek|niveau|schuifregelaar
🎛️;controleknoppen;bediening|controleknoppen|knoppen|muziek
🎤;microfoon;karaoke|microfoon
🎧;hoofdtelefoon;hoofdtelefoon|oordopje
📻;radio;muziek|radio
🎷;saxofoon;instrument|muziek|sax|saxofoon
🪗;accordeon;accordeon|bandoneon|concertina|trekzak
🎸;gitaar;gitaar|instrument|muziek
🎹;piano;instrument|keyboard|muziek|muziekinstrument|piano
🎺;trompet;instrument|muziek|trompet
🎻;viool;instrument|muziek|viool
🪕;banjo;banjo|besnaard|muziek
🥁;trommel;drummen|muziek|trommel|trommelstokken
🪘;hoge trom;beat|conga|drummen|hoge trom|ritme
🪇;sambaballen;instrument|muziek|percussie|ratelen|sambaballen|schudden
🪈;fluit;blokfluit|dwarsfluit|fluit|houtblazer|muziek|pijperfluit
📱;mobiele telefoon;mobiel|mobiele telefoon|telefoon
📲;mobiel met pijl;mobiel|mobiel met pijl|mobiele telefoon|ontvangen|pijl|telefoon
☎️;telefoon;telefoon
📞;telefoonhoorn;hoorn|telefoon|telefoonhoorn
📟;pager;pager
📠;fax;fax|faxapparaat
🔋;batterij;batterij
🪫;batterij bijna leeg;batterij bijna leeg|electronisch|weinig batterijlading
🔌;stekker;elektriciteit|elektrisch|stekker
💻;laptop;computer|laptop|pc|personal computer
🖥️;desktop;computer|desktop
🖨️;printer;computer|printer
⌨️;toetsenbord;computer|toetsenbord
🖱️;computermuis;computer|computermuis
🖲️;trackball;computer|trackball
💽;harddisk;computer|disk|harddisk|optisch
💾;floppydisk;disk|diskette|floppy|floppydisk
💿;optische schijf;cd|computer|optisch|optische schijf|schijf
📀;dvd;blu-ray|computer|dvd|optisch|schijf
🧮;abacus;abacus|berekenen|telraam
🎥;filmcamera;bioscoop|camera|film|filmcamera
🎞️;filmframes;bioscoop|film|filmframes|films|frames
📽️;filmprojector;bioscoop|film|filmprojector|projector|video
🎬;klapbord;film|klapbord|klapper
📺;tv;beeld|televisie|tv
📷;camera;camera|video
📸;camera met flitser;camera|camera met flitser|flitser|video
📹;videocamera;camera|video|videocamera
📼;videoband;band|vhs|video|videoband
🔍;vergrootglas naar links gericht;gereedschap|glas|vergrootglas naar links gericht|vergroten|zoeken
🔎;vergrootglas naar rechts gericht;gereedschap|glas|vergrootglas naar rechts gericht|vergroten|zoeken
🕯️;kaars;kaars|licht
💡;gloeilamp;elektrisch|gloeilamp|idee|licht|strip
🔦;zaklamp;elektrisch|lamp|licht|zaklamp|zaklantaarn
🏮;rode papieren lantaarn;bar|lantaarn|licht|rode papieren lantaarn|rood
🪔;diya-lamp;diya|diya-lamp|lamp|olie
📔;versierd schrift;boek|notitieboekje|omslag|schrift|versierd
📕;gesloten boek;boek|gesloten
📖;geopend boek;boek|geopend|open
📗;groen boek;boek|groen
📘;blauw boek;blauw|boek
📙;oranje boek;boek|oranje
📚;boeken;boek|boeken
📓;schrift;notitieboek|schrift
📒;grootboek;grootboek|notitieboek|schrift
📃;omkrullende pagina;document|krul|omkrullende pagina|pagina|pagina met krul
📜;rol;papierrol|rol
📄;pagina met bovenzijde omhoog;document|pagina|pagina met bovenzijde omhoog
📰;krant;krant|nieuws|nieuwsblad
🗞️;opgerolde krant;krant|nieuws|nieuwsblad|opgerold|opgerolde krant
📑;bladwijzertabs;bladwijzer|bladwijzertabs|markering|tabs
🔖;bladwijzer;bladwijzer|markering
🏷️;label;label
💰;zak met geld;dollar|geld|geldzak|zak|zak met geld
🪙;munt;geld|goud|metaal|munt|schat|zilver
💴;yenbiljet;bankbiljet|biljet|briefje|geld|valuta|yen|yenbiljet
💵;dollarbiljet;bankbiljet|biljet|briefje|dollar|dollarbiljet|geld|valuta
💶;eurobiljet;bankbiljet|biljet|briefje|euro|eurobiljet|geld|valuta
💷;pondbiljet;bankbiljet|biljet|briefje|geld|pond|pondbiljet|valuta
💸;vliegend geld;bankbiljet|biljet|geld|geld met vleugels|vleugels|vliegen|vliegend geld
💳;creditcard;creditcard|geld|kaart|krediet
🧾;kassabon;administratie|bewijs|boekhouding|kassabon|kwitantie
💹;stijgende grafiek met yenteken;diagram|geld|grafiek|groei|stijgende grafiek met yenteken|yen
✉️;envelop;brief|e-mail|envelop
📧;e-mail;brief|e-mail|mail|post
📨;inkomende post;brief|e-mail|elektronische post|envelop|inkomend|inkomende post|ontvangen
📩;envelop met pijl;e-mail|elektronische post|envelop|envelop met pijl|pijl|uitgaand
📤;postvak uit;brief|mail|post|postvak|postvak uit|verzonden
📥;postvak in;brief|mail|ontvangen|post|postvak|postvak in
📦;pakket;doos|pakket|pakketje
📫;gesloten brievenbus met vlaggetje omhoog;brievenbus|gesloten|gesloten brievenbus met vlaggetje omhoog|post|postbus
📪;gesloten brievenbus met vlaggetje omlaag;brievenbus|gesloten|gesloten brievenbus met vlaggetje omlaag|omlaag|post|postbus
📬;open brievenbus met vlaggetje omhoog;brievenbus|open|open brievenbus met vlaggetje omhoog|post|postbus
📭;open brievenbus met vlaggetje omlaag;brievenbus|omlaag|open|open brievenbus met vlaggetje omlaag|post|postbus
📮;brievenbus;brievenbus|post|postbus
🗳️;stembus met stembiljet;doos|stembus|stembus met stembiljet
✏️;potlood;potlood
✒️;kroontjespen met zwarte punt;kroontjespen met zwarte punt|pen|punt
🖋️;vulpen;pen|vulpen
🖊️;pen;ballpoint|balpen|pen
🖌️;kwast;kwast|schilderen
🖍️;krijtje;krijt|krijtje
📝;memo;memo|potlood
💼;aktentas;aktentas
📁;bestandsmap;bestand|bestandsmap|map
📂;geopende map;bestand|geopende map|map|open
🗂️;tabbladen;index|kaart|tabbladen
📅;kalender;datum|kalender
📆;scheurkalender;kalender|scheurkalender
🗒️;schrijfblok met spiraal;notitie|schrijfblok|schrijfblok met spiraal|spiraal
🗓️;kalender met spiraal;blok|kalender|kalender met spiraal|spiraal
📇;kaartindex;index|kaart|kaartindex|rolodex
📈;stijgende trend;diagram|grafiek|grafiek met stijgende trend|stijgend|stijgende trend
📉;dalende trend;dalend|dalende trend|diagram|grafiek|grafiek met dalende trend
📊;staafdiagram;diagram|grafiek|staaf|staafdiagram
📋;klembord;klembord
📌;punaise;punaise|speld
📍;ronde speld;kopspeld|ronde speld|speld
📎;paperclip;clip|paperclip
🖇️;twee paperclips aan elkaar;aan elkaar|paperclip|twee paperclips aan elkaar
📏;liniaal;liniaal|rechte lijn
📐;geodriehoek;driehoek|geo|geodriehoek|liniaal
✂️;schaar;gereedschap|knippen|schaar
🗃️;kaartenbak;archief|bak|kaart|kaartenbak
🗄️;archiefkast;archief|archiefkast|kast
🗑️;prullenmand;prullenmand
🔒;slot;gesloten slot|slot
🔓;geopend hangslot;geopend|geopend hangslot|open|openen
🔏;slot met pen;inkt|pen|privacy|slot|slot met pen|vulpen
🔐;gesloten slot met sleutel;beveiligd|gesloten|gesloten slot met sleutel|sleutel|slok
🔑;sleutel;beveiligd|sleutel|wachtwoord
🗝️;oude sleutel;aanwijzing|oud|oude sleutel|sleutel|slot
🔨;hamer;gereedschap|hamer
🪓;bijl;bijl|hakken|hout|splijten
⛏️;pikhouweel;gereedschap|mijnbouw|pikhouweel
⚒️;twee hamers;gereedschap|hamer|hamers|twee hamers
🛠️;hamer en moersleutel;gereedschap|hamer|hamer en moersleutel|moersleutel
🗡️;dolk;dolk|mes|wapen
⚔️;gekruiste zwaarden;gekruist|gekruiste zwaarden|wapen|zwaarden
💣;bom;bom|strip
🪃;boemerang;Australië|boemerang|reactie|terugslag
🏹;pijl en boog;boog|boogschutter|pijl|pijl en boog|wapen
🛡️;schild;schild|wapen
🪚;houtzaag;gereedschap|hout|houtzaag|timmerman|zaag
🔧;moersleutel;gereedschap|moersleutel|schroefsleutel
🪛;schroevendraaier;gereedschap|schroef|schroevendraaier
🔩;bout en moer;bout|bout en moer|gereedschap|moer
⚙️;tandwiel;gereedschap|radertje|tandrad|tandwiel
🗜️;lijmklem;bankschroef|gereedschap|lijmklem|samendrukken
⚖️;weegschaal;balans|dierenriem|gerechtigheid|Libra|weegschaal
🦯;taststok;blind|taststok|toegankelijkheid
🔗;schakels;schakels|twee ringen
⛓️‍💥;gebroken ketting;boeien|breek|gebroken|ketting|vrijheid
⛓️;kettingen;ketting|kettingen
🪝;haak;aanbeveling|bocht|haak|kronkel|vangen|verstrikken
🧰;gereedschapskist;gereedschap|gereedschapskist|kist|monteur
🧲;magneet;aantrekkingskracht|hoefijzer|magneet|magnetisch
🪜;ladder;klimmen|ladder|sport|trede
⚗️;distilleerkolf;distilleerkolf|gereedschap|scheikunde
🧪;reageerbuis;experiment|laboratorium|reageerbuis|scheikunde|scheikundige|wetenschap
🧫;petrischaal;bacterie|biologie|bioloog|cultuur|laboratorium|petrischaal
🧬;DNA;bioloog|DNA|evolutie|gen|genetica|leven
🔬;microscoop;gereedschap|microscoop|wetenschap
🔭;telescoop;gereedschap|telescoop|wetenschap
📡;satellietschotel;antenne|satelliet|satellietschotel|schotel
💉;injectiespuit;geneeskunde|injectie|injectiespuit|naald|ziek
🩸;bloeddruppel;bloeddonor|bloeddruppel|bloeden|geneeskunde|menstruatie|verwonding
💊;pil;dokter|geneeskunde|pil|ziek
🩹;pleister;pleister|verband
🩼;kruk;gewond|handicap|kruk|mobiliteitshulp|stok|wandelstok
🩺;stethoscoop;dokter|geneeskunde|hart|stethoscoop
🩻;röntgenfoto;botten|dokter|medisch|röntgenfoto|skelet
🚪;deur;deur
🛗;lift;hijstoestel|lift|personenlift|toegankelijkheid
🪞;spiegel;reflector|speculum|spiegel|weerspiegeling
🪟;raam;doorzichtig|frisse lucht|kozijn|opening|raam|uitzicht
🛏️;bed;bed|hotel|slapen
🛋️;bank en lamp;bank|bank en lamp|hotel|lamp
🪑;hoge stoel;hoge stoel|stoel|zitten
🚽;toilet;toilet|wc
🪠;ontstopper;loodgieter|ontstopper|toilet|zuiger|zuigkracht
🚿;douche;douche|water
🛁;badkuip;bad|badkuip
🪤;muizenval;aas|muizenval|strik|valstrik
🪒;scheermes;scheermes|scheren|scherp
🧴;lotionfles;hydraterende lotion|lotion|lotionfles|shampoo|zonnebrandolie
🧷;veiligheidsspeld;luier|punk|veiligheidsspeld
🧹;bezem;bezem|heks|schoonmaken|vegen
🧺;mand;mand|oogsten|picknick|wasgoed
🧻;rol papier;keukenrol|rol papier|wc-rol
🪣;emmer;aker|emmer|putemmer|vat
🧼;zeep;baden|schoonmaken|schuim|stuk zeep|zeep|zeephouder
🫧;zeepbellen;bubbel|onderwater|schoon|zeep|zeepbellen
🪥;tandenborstel;badkamer|hygiëne|poetsen|reinigen|tand|tanden|tandenborstel
🧽;spons;absorberend|poreus|schoonmaken|spons
🧯;brandblusapparaat;blussen|brandblusapparaat|doven|vuur
🛒;winkelwagen;shoppen|wagen|wagentje|winkelen|winkelwagen
🚬;sigaret;roken|sigaret
⚰️;doodskist;dood|doodskist
🪦;grafsteen;begraafplaats|graf|grafsteen|grafzerk|kerkhof
⚱️;urn;as|begrafenis|dood|urn
🧿;Nazar-amulet;amulet|boze oog|kraal|Nazar|Nazar-amulet|talisman
🪬;hamsa;amulet|bescherming|Fatima|hamsa|hand|Maria|Mirjam
🗿;moai-beeld;gezicht|moai|moai-beeld|standbeeld
🪧;plakkaat;bord|demonstratie|plakkaat|poster|protest
🪪;legitimatiebewijs;beveiliging|ID|legitimatiebewijs|vergunning

[symbols]
🏧;pinautomaat;automaat|pinautomaat|pinnen
🚮;prullenbaksymbool;afval|prullenbak|prullenbaksymbool
🚰;drinkwater;drinkwater|drinkwatersymbool
♿;rolstoelsymbool;rolstoelsymbool|toegang
🚹;herentoilet;herentoilet|man|toilet|wc
🚺;damestoilet;damestoilet|toilet|vrouw|wc
🚻;toiletten;toilet|toiletten|wc
🚼;babysymbool;baby|baby aan boord|babyruimte|babysymbool
🚾;wc;toilet|wasgelegenheid|water|wc
🛂;paspoortcontrole;controle|paspoort|paspoortcontrole
🛃;douane;douane
🛄;bagage afhalen;bagage|bagage afhalen
🛅;bagagekluis;bagage|bagagekluis|bagageservice|koffers
⚠️;waarschuwing;waarschuwing
🚸;overstekende kinderen;kind|oversteekplaats|overstekende kinderen|verkeer|voetganger
⛔;geen toegang;geen toegang|nee|symbool|verboden|Verboden toegang
🚫;verboden;nee|niet|niet toegestaan|toegang|verboden
🚳;geen fietsen;fiets|fietsen|geen fietsen|nee|niet toegestaan|verboden
🚭;niet roken;nee|niet|niet toegestaan|roken|verboden
🚯;geen afval weggooien;afval|geen afval weggooien|nee|niet|niet toegestaan|verboden
🚱;geen drinkwater;geen drinkwater|niet drinken|water
🚷;geen voetgangers;geen voetgangers|nee|niet|niet toegestaan|verboden|voetganger
📵;geen mobiele telefoon;geen mobiele telefoon|mobiel|mobiele telefoon|nee|telefoon|verboden
🔞;niemand onder de 18;18|achttien|leeftijdsbeperking|minderjarig|niemand onder de 18|niemand onder de achttien|verboden
☢️;radioactief;radioactief|symbool
☣️;biologisch gevaar;biologisch gevaar|symbool
⬆️;pijl omhoog;noord|pijl|pijl omhoog|richting|windrichting
↗️;pijl rechtsomhoog;noordoost|pijl|pijl rechtsomhoog|richting|windrichting
➡️;pijl naar rechts;oost|pijl|pijl naar rechts|richting|windrichting
↘️;pijl rechtsomlaag;pijl|pijl rechtsomlaag|richting|windrichting|zuidoost
⬇️;pijl omlaag;omlaag|pijl|richting|windrichting|zuid
↙️;pijl linksomlaag;linksbeneden|linksomlaag|pijl|zuidwest
⬅️;pijl naar links;pijl|pijl naar links|richting|west|windrichting
↖️;pijl linksomhoog;noordwest|pijl|pijl linksomhoog|richting|windrichting
↕️;pijl omhoog en omlaag;pijl|pijl omhoog en omlaag
↔️;pijl naar links en rechts;pijl|pijl naar links en rechts
↩️;pijl naar rechts die naar links draait;pijl|pijl naar rechts die naar links draait
↪️;pijl naar links die naar rechts draait;pijl|pijl naar links die naar rechts draait
⤴️;pijl naar rechts die omhoog draait;pijl|pijl naar rechts die omhoog draait
⤵️;pijl naar rechts die omlaag draait;omlaag|pijl|pijl naar rechts die omlaag draait
🔃;verticale pijlen met de klok mee;met de klok mee|opnieuw laden|pijl|verticale pijlen met de klok mee
🔄;pijlen tegen de klok in;achteruit|in tegengestelde richting|pijl|pijlen tegen de klok in|tegen de klok in
🔙;BACK-pijl;BACK-pijl|pijl|terug
🔚;END-pijl;einde|END-pijl|pijl
🔛;ON!-pijl;aan|ON!-pijl|pijl|teken
🔜;SOON-pijl;binnenkort|pijl|SOON-pijl
🔝;TOP-pijl;bovenkant|omhoog|pijl|TOP-pijl
🛐;gebedsruimte;bidden|gebedsruimte|religie
⚛️;atoomsymbool;atheïst|atoom|atoomsymbool
🕉️;om-symbool;hindoeïsme|om|om-symbool|religie
✡️;davidster;david|davidster|jodendom|joods|religie|ster
